Composition,
Date Added,2019-08-29
Formula,
Grain Size Description,<250.0um
Grain Size,125.0 - 250.0
Locality,
Minimum Wavelength,300
Sample Name,JB1552b: Fuertaventura tephra 125-250 um
Maximum Wavelength,2550
Database of Origin,ReLab
Other Information,
References,
Resolution,5.0
Material Class,Sediment
Sample Description,
Sample ID,C1JBF52B
Original Sample ID,JB-JLB-F52-B
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,33.268
305.0,34.383
310.0,36.094
315.0,37.121
320.0,38.413
325.0,39.426
330.0,40.484
335.0,41.759
340.0,42.696
345.0,43.548
350.0,44.61
355.0,45.855
360.0,46.931
365.0,48.146
370.0,49.573
375.0,51.364
380.0,52.993
385.0,54.637
390.0,56.644
395.0,58.584
400.0,60.997
405.0,62.883
410.0,64.837
415.0,66.801
420.0,69.056
425.0,71.258
430.0,73.841
435.0,76.377
440.0,78.936
445.0,81.429
450.0,83.841
455.0,85.888
460.0,87.672
465.0,89.113
470.0,90.508
475.0,92.06
480.0,93.742
485.0,95.615
490.0,97.729
495.0,100.235
500.0,102.869
505.0,105.451
510.0,108.195
515.0,110.792
520.0,113.54
525.0,116.398
530.0,119.304
535.0,122.348
540.0,125.475
545.0,128.644
550.0,131.902
555.0,135.449
560.0,138.881
565.0,142.263
570.0,146.033
575.0,149.24
580.0,151.959
585.0,154.944
590.0,157.49
595.0,159.631
600.0,161.696
605.0,163.482
610.0,165.203
615.0,166.84
620.0,168.005
625.0,169.308
630.0,170.449
635.0,171.681
640.0,172.483
645.0,173.474
650.0,173.922
655.0,175.262
660.0,175.978
665.0,176.999
670.0,177.64
675.0,178.312
680.0,178.685
685.0,179.608
690.0,180.174
695.0,180.655
700.0,181.769
705.0,182.305
710.0,182.751
715.0,183.706
720.0,184.202
725.0,184.833
730.0,184.922
735.0,185.567
740.0,186.103
745.0,186.002
750.0,186.557
755.0,186.556
760.0,186.792
765.0,187.117
770.0,187.32
775.0,187.135
780.0,187.16
785.0,187.257
790.0,186.841
795.0,186.998
800.0,186.248
805.0,186.451
810.0,186.347
815.0,185.82
820.0,185.887
825.0,185.424
830.0,185.258
835.0,184.911
840.0,184.488
845.0,184.102
850.0,184.114
855.0,183.611
860.0,183.738
865.0,183.102
870.0,182.67
875.0,182.575
880.0,182.029
885.0,181.709
890.0,181.518
895.0,181.119
900.0,180.937
905.0,180.768
910.0,180.443
915.0,180.157
920.0,179.88
925.0,179.74
930.0,179.695
935.0,180.08
940.0,179.273
945.0,178.921
950.0,178.876
955.0,178.206
960.0,177.639
965.0,177.576
970.0,177.159
975.0,176.81
980.0,176.396
985.0,176.103
990.0,175.633
995.0,175.369
1000.0,175.137
1005.0,174.95
1010.0,174.608
1015.0,174.541
1020.0,174.229
1025.0,174.041
1030.0,174.091
1035.0,173.843
1040.0,173.598
1045.0,173.405
1050.0,173.448
1055.0,173.39
1060.0,173.195
1065.0,173.093
1070.0,172.944
1075.0,172.954
1080.0,173.09
1085.0,173.288
1090.0,173.283
1095.0,173.582
1100.0,173.189
1105.0,173.51
1110.0,173.443
1115.0,173.569
1120.0,173.569
1125.0,173.545
1130.0,173.653
1135.0,173.753
1140.0,173.788
1145.0,173.841
1150.0,173.474
1155.0,173.615
1160.0,173.652
1165.0,173.711
1170.0,173.673
1175.0,173.757
1180.0,173.727
1185.0,173.776
1190.0,173.605
1195.0,173.536
1200.0,173.524
1205.0,173.495
1210.0,173.401
1215.0,173.477
1220.0,173.319
1225.0,173.299
1230.0,173.452
1235.0,173.342
1240.0,173.273
1245.0,173.209
1250.0,173.238
1255.0,173.271
1260.0,173.252
1265.0,173.169
1270.0,173.02
1275.0,173.247
1280.0,173.092
1285.0,173.019
1290.0,173.128
1295.0,173.015
1300.0,172.956
1305.0,172.994
1310.0,173.032
1315.0,173.031
1320.0,172.957
1325.0,172.904
1330.0,172.968
1335.0,172.78
1340.0,172.938
1345.0,172.735
1350.0,172.755
1355.0,172.7
1360.0,172.294
1365.0,172.361
1370.0,172.195
1375.0,171.93
1380.0,170.967
1385.0,170.596
1390.0,169.729
1395.0,169.415
1400.0,168.691
1405.0,167.909
1410.0,167.161
1415.0,166.252
1420.0,167.245
1425.0,167.813
1430.0,168.156
1435.0,168.665
1440.0,169.24
1445.0,169.375
1450.0,169.736
1455.0,169.807
1460.0,169.918
1465.0,170.115
1470.0,170.094
1475.0,170.349
1480.0,170.587
1485.0,170.776
1490.0,170.907
1495.0,171.353
1500.0,171.256
1505.0,171.443
1510.0,171.787
1515.0,171.695
1520.0,171.831
1525.0,171.854
1530.0,171.95
1535.0,171.96
1540.0,172.274
1545.0,172.009
1550.0,172.06
1555.0,172.104
1560.0,172.28
1565.0,172.069
1570.0,172.344
1575.0,172.371
1580.0,172.131
1585.0,171.979
1590.0,172.085
1595.0,172.127
1600.0,171.819
1605.0,171.992
1610.0,171.906
1615.0,172.105
1620.0,171.981
1625.0,171.973
1630.0,171.685
1635.0,171.583
1640.0,171.707
1645.0,171.505
1650.0,171.596
1655.0,171.609
1660.0,171.647
1665.0,171.549
1670.0,171.562
1675.0,171.401
1680.0,171.421
1685.0,171.304
1690.0,171.14
1695.0,171.135
1700.0,170.951
1705.0,170.421
1710.0,170.339
1715.0,170.271
1720.0,170.22
1725.0,170.087
1730.0,169.943
1735.0,169.624
1740.0,169.301
1745.0,168.965
1750.0,168.863
1755.0,168.604
1760.0,168.572
1765.0,168.39
1770.0,168.259
1775.0,168.028
1780.0,167.873
1785.0,167.639
1790.0,167.583
1795.0,167.449
1800.0,167.238
1805.0,167.262
1810.0,166.972
1815.0,166.985
1820.0,166.893
1825.0,166.711
1830.0,166.686
1835.0,166.498
1840.0,166.44
1845.0,166.229
1850.0,166.115
1855.0,165.7
1860.0,165.207
1865.0,164.778
1870.0,164.164
1875.0,163.122
1880.0,162.656
1885.0,160.562
1890.0,158.178
1895.0,155.229
1900.0,151.488
1905.0,148.625
1910.0,146.201
1915.0,145.537
1920.0,145.396
1925.0,145.792
1930.0,146.317
1935.0,146.736
1940.0,147.324
1945.0,147.847
1950.0,148.236
1955.0,148.577
1960.0,148.923
1965.0,149.376
1970.0,149.878
1975.0,150.237
1980.0,150.698
1985.0,151.138
1990.0,151.617
1995.0,151.95
2000.0,152.361
2005.0,152.866
2010.0,153.279
2015.0,153.576
2020.0,153.949
2025.0,154.138
2030.0,154.379
2035.0,154.401
2040.0,154.706
2045.0,154.735
2050.0,154.668
2055.0,154.765
2060.0,154.789
2065.0,154.726
2070.0,154.724
2075.0,154.787
2080.0,154.726
2085.0,154.645
2090.0,154.529
2095.0,154.322
2100.0,154.15
2105.0,154.215
2110.0,154.023
2115.0,154.018
2120.0,154.053
2125.0,153.837
2130.0,153.837
2135.0,153.536
2140.0,153.373
2145.0,153.051
2150.0,152.437
2155.0,152.009
2160.0,151.44
2165.0,150.901
2170.0,150.187
2175.0,149.6
2180.0,149.02
2185.0,148.508
2190.0,147.653
2195.0,146.668
2200.0,145.686
2205.0,144.657
2210.0,144.369
2215.0,145.615
2220.0,146.081
2225.0,146.289
2230.0,146.216
2235.0,146.227
2240.0,145.993
2245.0,146.139
2250.0,146.003
2255.0,146.008
2260.0,145.939
2265.0,146.135
2270.0,146.093
2275.0,145.661
2280.0,145.367
2285.0,144.985
2290.0,144.64
2295.0,144.115
2300.0,143.757
