Composition,
Date Added,2017-03-01
Formula,
Grain Size Description,<125.0um
Grain Size,0.0 - 125.0
Locality,
Minimum Wavelength,300
Sample Name,JB1554a: Fuertaventura tephra <125 um
Maximum Wavelength,2550
Database of Origin,ReLab
Other Information,
References,
Resolution,5.0
Material Class,Sediment
Sample Description,
Sample ID,C1JBF54A
Original Sample ID,JB-JLB-F54-A
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,26.08
305.0,26.75
310.0,27.42
315.0,28.27
320.0,29.36
325.0,30.43
330.0,31.36
335.0,32.3
340.0,33.35
345.0,34.14
350.0,35.06
355.0,36.07
360.0,37.12
365.0,38.33
370.0,39.54
375.0,41.03
380.0,42.12
385.0,43.21
390.0,44.68
395.0,46.34
400.0,48.08
405.0,49.35
410.0,50.77
415.0,52.2
420.0,53.89
425.0,55.39
430.0,57.19
435.0,59.03
440.0,60.86
445.0,62.3
450.0,63.7
455.0,65.06
460.0,66.27
465.0,67.24
470.0,68.2
475.0,69.39
480.0,70.72
485.0,72.01
490.0,73.62
495.0,75.32
500.0,77.04
505.0,79.0
510.0,80.84
515.0,82.72
520.0,84.41
525.0,86.23
530.0,88.15
535.0,90.03
540.0,91.97
545.0,93.96
550.0,96.14
555.0,98.32
560.0,100.55
565.0,102.77
570.0,104.96
575.0,106.79
580.0,108.78
585.0,110.41
590.0,111.95
595.0,113.61
600.0,114.98
605.0,116.14
610.0,117.27
615.0,118.25
620.0,119.09
625.0,119.86
630.0,120.67
635.0,121.5
640.0,122.24
645.0,123.21
650.0,123.91
655.0,124.53
660.0,125.33
665.0,126.08
670.0,126.68
675.0,127.21
680.0,127.95
685.0,128.13
690.0,129.01
695.0,129.39
700.0,130.09
705.0,130.76
710.0,131.49
715.0,131.89
720.0,132.57
725.0,133.43
730.0,133.65
735.0,134.22
740.0,134.5
745.0,134.96
750.0,135.3
755.0,135.44
760.0,135.73
765.0,136.21
770.0,136.32
775.0,136.3
780.0,136.68
785.0,136.9
790.0,137.43
795.0,136.79
800.0,137.09
805.0,137.32
810.0,137.53
815.0,137.62
820.0,137.6
825.0,137.7
830.0,137.74
835.0,138.02
840.0,137.97
845.0,138.21
850.0,138.45
855.0,138.07
860.0,138.03
865.0,137.79
870.0,137.91
875.0,137.58
880.0,137.49
885.0,137.32
890.0,137.06
895.0,136.78
900.0,136.76
905.0,136.6
910.0,136.53
915.0,136.32
920.0,136.34
925.0,136.42
930.0,136.14
935.0,135.55
940.0,135.26
945.0,135.37
950.0,135.07
955.0,134.78
960.0,134.62
965.0,134.7
970.0,134.31
975.0,134.03
980.0,133.99
985.0,133.92
990.0,133.91
995.0,133.81
1000.0,133.69
1005.0,133.64
