Composition,
Date Added,2017-02-17
Formula,
Grain Size Description,<150.0um
Grain Size,0.0 - 150.0
Locality,
Minimum Wavelength,300
Sample Name,"Synthetic imogolite Al/Si = 2, Fe(III) = 5 mol% <150 um (JB1657a)"
Maximum Wavelength,2550
Database of Origin,ReLab
Other Information,
References,
Resolution,5.0
Material Class,Mineral
Sample Description,
Sample ID,C1JBG57A
Original Sample ID,JB-JLB-G57-A
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,18.75
305.0,18.29
310.0,18.33
315.0,18.28
320.0,18.46
325.0,18.55
330.0,18.73
335.0,18.87
340.0,18.97
345.0,19.08
350.0,18.88
355.0,18.89
360.0,18.97
365.0,19.14
370.0,19.28
375.0,19.51
380.0,19.5
385.0,19.5
390.0,19.55
395.0,19.77
400.0,20.47
405.0,20.54
410.0,20.7
415.0,20.93
420.0,21.29
425.0,21.3
430.0,21.71
435.0,22.19
440.0,22.66
445.0,23.21
450.0,23.6
455.0,24.16
460.0,24.7
465.0,25.19
470.0,25.55
475.0,26.19
480.0,26.76
485.0,27.47
490.0,28.15
495.0,28.96
500.0,29.89
505.0,30.95
510.0,32.26
515.0,33.67
520.0,35.07
525.0,36.76
530.0,38.69
535.0,40.75
540.0,42.94
545.0,45.5
550.0,48.09
555.0,51.21
560.0,54.62
565.0,58.37
570.0,62.38
575.0,66.71
580.0,71.54
585.0,77.09
590.0,82.62
595.0,88.9
600.0,95.28
605.0,102.39
610.0,110.0
615.0,117.53
620.0,125.18
625.0,133.12
630.0,141.09
635.0,149.87
640.0,158.04
645.0,165.97
650.0,174.26
655.0,182.47
660.0,190.52
665.0,198.52
670.0,205.72
675.0,213.32
680.0,220.76
685.0,228.02
690.0,235.57
695.0,243.53
700.0,250.61
705.0,257.62
710.0,265.0
715.0,272.49
720.0,279.6
725.0,285.36
730.0,291.53
735.0,297.39
740.0,302.74
745.0,307.04
750.0,311.2
755.0,314.89
760.0,317.37
765.0,320.69
770.0,322.59
775.0,323.57
780.0,324.04
785.0,324.24
790.0,323.85
795.0,323.66
800.0,323.05
805.0,323.12
810.0,321.48
815.0,320.26
820.0,319.19
825.0,317.48
830.0,316.47
835.0,315.66
840.0,314.72
845.0,313.49
850.0,312.52
855.0,312.11
860.0,310.68
865.0,310.38
870.0,310.19
875.0,309.63
880.0,309.36
885.0,308.73
890.0,308.41
895.0,308.09
900.0,308.8
905.0,308.2
910.0,309.1
915.0,309.02
920.0,309.89
925.0,310.38
930.0,310.99
935.0,312.26
940.0,313.95
945.0,314.4
950.0,315.37
955.0,316.62
960.0,318.51
965.0,319.22
970.0,321.08
975.0,323.03
980.0,325.84
985.0,328.14
990.0,330.56
995.0,332.47
1000.0,334.96
1005.0,337.52
1010.0,340.84
1015.0,343.87
1020.0,346.8
1025.0,349.94
1030.0,353.55
1035.0,357.06
1040.0,360.5
1045.0,364.11
1050.0,368.07
1055.0,371.12
1060.0,376.54
1065.0,380.44
1070.0,384.84
1075.0,389.07
1080.0,393.53
1085.0,397.41
1090.0,402.71
1095.0,406.46
1100.0,411.27
1105.0,416.43
1110.0,421.48
1115.0,427.02
1120.0,431.94
1125.0,438.61
1130.0,443.06
1135.0,448.15
1140.0,453.5
1145.0,457.44
1150.0,463.53
1155.0,468.0
1160.0,473.29
1165.0,478.83
1170.0,484.8
1175.0,490.75
1180.0,496.34
1185.0,502.37
1190.0,508.45
1195.0,514.66
1200.0,520.15
1205.0,525.45
1210.0,531.72
1215.0,537.85
1220.0,543.6
1225.0,549.79
1230.0,555.35
1235.0,560.42
1240.0,565.99
1245.0,571.19
1250.0,576.75
1255.0,581.92
1260.0,587.09
1265.0,592.22
1270.0,597.32
1275.0,601.35
1280.0,605.8
1285.0,610.3
1290.0,613.81
1295.0,617.33
1300.0,621.49
1305.0,623.76
1310.0,626.37
1315.0,628.5
1320.0,631.58
1325.0,632.46
1330.0,633.1
1335.0,632.95
1340.0,633.92
1345.0,633.12
1350.0,629.98
1355.0,625.72
1360.0,614.5
1365.0,601.17
1370.0,579.71
1375.0,557.27
1380.0,538.69
1385.0,523.39
1390.0,507.13
1395.0,493.53
1400.0,478.46
1405.0,466.99
1410.0,458.31
1415.0,450.45
1420.0,444.64
1425.0,441.36
1430.0,439.47
1435.0,438.22
1440.0,439.05
1445.0,441.24
1450.0,442.62
1455.0,444.31
1460.0,446.86
1465.0,449.55
1470.0,453.35
1475.0,458.24
1480.0,464.2
1485.0,471.09
1490.0,477.8
1495.0,484.17
1500.0,490.7
1505.0,497.04
1510.0,504.11
1515.0,509.66
1520.0,515.37
1525.0,520.72
1530.0,526.98
1535.0,531.62
1540.0,536.61
1545.0,541.05
1550.0,544.84
1555.0,549.1
1560.0,552.65
1565.0,555.33
1570.0,558.64
1575.0,561.31
1580.0,564.62
1585.0,566.09
1590.0,568.9
1595.0,570.57
1600.0,572.45
1605.0,573.93
1610.0,574.6
1615.0,576.01
1620.0,576.96
1625.0,577.08
1630.0,578.2
1635.0,578.65
1640.0,579.01
1645.0,579.15
1650.0,578.98
1655.0,579.13
1660.0,579.16
1665.0,578.15
1670.0,578.16
1675.0,577.58
1680.0,575.99
1685.0,575.88
1690.0,574.81
1695.0,573.96
1700.0,571.97
1705.0,571.73
1710.0,570.4
1715.0,568.57
1720.0,567.55
1725.0,565.99
1730.0,563.73
1735.0,562.12
1740.0,560.68
1745.0,558.1
1750.0,555.34
1755.0,553.12
1760.0,550.8
1765.0,548.54
1770.0,545.21
1775.0,543.77
1780.0,540.96
1785.0,539.94
1790.0,537.38
1795.0,536.26
1800.0,535.85
1805.0,534.9
1810.0,533.84
1815.0,533.52
1820.0,533.55
1825.0,531.36
1830.0,531.33
1835.0,530.7
1840.0,530.53
1845.0,526.13
1850.0,524.01
1855.0,517.79
1860.0,511.02
1865.0,498.58
1870.0,486.3
1875.0,466.32
1880.0,439.3
1885.0,409.88
1890.0,376.93
1895.0,344.26
1900.0,315.93
1905.0,292.85
1910.0,275.46
1915.0,263.68
1920.0,255.51
1925.0,250.49
1930.0,247.35
1935.0,246.41
1940.0,247.54
1945.0,248.98
1950.0,250.9
1955.0,254.16
1960.0,257.98
1965.0,262.45
1970.0,266.42
1975.0,271.58
1980.0,276.87
1985.0,283.18
1990.0,288.92
1995.0,295.17
2000.0,301.26
2005.0,308.02
2010.0,313.96
2015.0,320.38
2020.0,326.07
2025.0,331.06
2030.0,336.4
2035.0,341.41
2040.0,345.87
2045.0,350.55
2050.0,355.39
2055.0,359.47
2060.0,364.29
2065.0,367.6
2070.0,370.56
2075.0,375.15
2080.0,378.2
2085.0,381.28
2090.0,383.92
2095.0,386.21
2100.0,388.8
2105.0,390.43
2110.0,392.28
2115.0,393.01
2120.0,392.63
2125.0,391.98
2130.0,390.07
2135.0,388.13
2140.0,384.75
2145.0,381.03
2150.0,376.91
2155.0,372.35
2160.0,366.83
2165.0,361.01
2170.0,355.81
2175.0,349.03
2180.0,342.95
2185.0,337.42
2190.0,332.98
2195.0,329.45
2200.0,325.29
2205.0,324.15
2210.0,322.68
2215.0,321.73
2220.0,320.62
2225.0,321.15
2230.0,320.75
2235.0,321.16
2240.0,321.35
2245.0,322.42
2250.0,323.07
2255.0,323.29
2260.0,323.59
2265.0,322.89
2270.0,321.53
2275.0,319.82
2280.0,318.08
2285.0,315.43
2290.0,313.64
2295.0,310.97
2300.0,307.65
2305.0,305.15
2310.0,302.73
2315.0,300.43
2320.0,298.72
2325.0,296.27
2330.0,293.64
2335.0,290.88
2340.0,288.04
2345.0,284.49
2350.0,281.55
2355.0,278.67
2360.0,275.69
2365.0,272.1
2370.0,269.34
2375.0,265.97
2380.0,261.99
2385.0,259.63
2390.0,255.75
2395.0,252.95
2400.0,249.04
2405.0,246.29
2410.0,242.31
2415.0,239.19
2420.0,235.92
2425.0,232.67
2430.0,229.17
2435.0,225.81
2440.0,222.24
2445.0,219.11
2450.0,216.01
2455.0,212.5
2460.0,209.87
2465.0,206.65
2470.0,203.79
2475.0,201.11
2480.0,199.1
2485.0,195.81
2490.0,193.52
2495.0,191.62
2500.0,188.56
2505.0,186.59
2510.0,184.78
2515.0,182.73
2520.0,180.95
2525.0,179.29
2530.0,177.2
2535.0,177.43
2540.0,174.53
2545.0,174.5
2550.0,173.16
