Composition,
Date Added,2021-12-03
Formula,
Grain Size Description,<125.0um
Grain Size,0.0 - 125.0
Locality,
Minimum Wavelength,300
Sample Name,JB1796a: Bill's Hill white section <125 um
Maximum Wavelength,2550
Database of Origin,ReLab
Other Information,
References,
Resolution,5.0
Material Class,Rock
Sample Description,
Sample ID,C1JBH96A
Original Sample ID,JB-JLB-H96-A
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,615.915
305.0,619.271
310.0,624.17
315.0,630.388
320.0,631.283
325.0,637.351
330.0,639.77
335.0,646.249
340.0,650.432
345.0,653.979
350.0,653.934
355.0,661.952
360.0,662.418
365.0,668.519
370.0,668.617
375.0,674.942
380.0,681.349
385.0,685.918
390.0,685.629
395.0,691.32
400.0,692.034
405.0,696.689
410.0,698.372
415.0,703.971
420.0,706.086
425.0,711.305
430.0,713.534
435.0,719.213
440.0,722.202
445.0,727.841
450.0,730.825
455.0,737.261
460.0,739.121
465.0,744.322
470.0,745.542
475.0,750.542
480.0,752.39
485.0,757.134
490.0,758.948
495.0,764.012
500.0,766.022
505.0,770.912
510.0,772.555
515.0,777.75
520.0,779.557
525.0,783.809
530.0,785.643
535.0,790.188
540.0,792.663
545.0,796.956
550.0,798.823
555.0,803.092
560.0,806.081
565.0,810.072
570.0,810.716
575.0,815.79
580.0,817.709
585.0,820.835
590.0,822.012
595.0,824.434
600.0,825.329
605.0,827.561
610.0,828.17
615.0,830.227
620.0,830.854
625.0,832.135
630.0,833.25
635.0,835.289
640.0,836.915
645.0,838.785
650.0,839.85
655.0,841.674
660.0,842.901
665.0,844.099
670.0,844.019
675.0,846.066
680.0,846.689
685.0,849.578
690.0,851.952
695.0,855.802
700.0,857.72
705.0,859.131
710.0,861.214
715.0,862.16
720.0,863.334
725.0,863.564
730.0,864.987
735.0,865.182
740.0,866.43
745.0,867.057
750.0,867.853
755.0,868.414
760.0,869.711
765.0,870.342
770.0,869.91
775.0,871.043
780.0,871.692
785.0,872.63
790.0,874.594
795.0,873.836
800.0,875.788
805.0,875.764
810.0,877.777
815.0,877.566
820.0,878.358
825.0,879.751
830.0,879.663
835.0,880.254
840.0,880.815
845.0,881.844
850.0,882.021
855.0,882.802
860.0,882.591
865.0,884.439
