Composition,
Date Added,2002-05-10
Formula,
Grain Size Description,<0.0um
Grain Size,0.0 - 0.0
Locality,
Minimum Wavelength,300
Sample Name,Cogoini #SNF1d-5
Maximum Wavelength,25921
Database of Origin,ReLab
Other Information,
References,
Resolution,9.0
Material Class,Mineral
Sample Description,Altered nontronite B#1-org
Sample ID,S502F543
Original Sample ID,JB-JLB-543
Viewing Geometry,
Wavelength,Response
300.0,34.97
305.0,34.09
310.0,33.18
315.0,32.63
320.0,31.98
325.0,31.4
330.0,31.23
335.0,31.28
340.0,31.45
345.0,31.65
350.0,31.93
355.0,32.36
360.0,33.0
365.0,33.83
370.0,34.38
375.0,36.01
380.0,37.33
385.0,38.86
390.0,40.61
395.0,42.58
400.0,44.73
405.0,46.99
410.0,49.34
415.0,51.77
420.0,54.25
425.0,56.9
430.0,59.88
435.0,63.28
440.0,66.42
445.0,70.36
450.0,74.73
455.0,80.46
460.0,85.75
465.0,91.39
470.0,97.12
475.0,102.57
480.0,108.53
485.0,113.4
490.0,117.74
495.0,121.85
500.0,125.89
505.0,129.14
510.0,133.73
515.0,138.91
520.0,145.4
525.0,154.72
530.0,169.63
535.0,189.03
540.0,206.18
545.0,223.78
550.0,241.84
555.0,260.07
560.0,279.47
565.0,299.48
570.0,314.77
575.0,323.18
580.0,327.28
585.0,326.92
590.0,323.9
595.0,316.66
600.0,309.58
605.0,302.72
610.0,296.55
615.0,289.56
620.0,283.63
625.0,277.24
630.0,272.98
635.0,270.14
640.0,268.93
645.0,268.08
650.0,271.3
655.0,275.06
660.0,279.38
665.0,286.63
670.0,295.89
675.0,306.93
680.0,320.88
685.0,335.31
690.0,351.27
695.0,368.99
700.0,387.89
705.0,409.07
710.0,429.89
715.0,451.19
720.0,472.87
725.0,494.12
730.0,515.01
735.0,536.21
740.0,556.46
745.0,573.44
750.0,589.18
755.0,602.35
760.0,614.37
765.0,622.96
770.0,631.1
775.0,637.78
780.0,642.43
785.0,645.9
790.0,647.57
795.0,647.14
800.0,646.94
805.0,644.95
810.0,643.4
815.0,641.29
820.0,638.77
825.0,635.82
830.0,632.49
835.0,628.79
840.0,625.0
845.0,620.93
850.0,616.79
855.0,612.32
860.0,607.88
865.0,603.56
870.0,599.51
875.0,595.24
880.0,591.45
885.0,588.35
890.0,584.93
895.0,581.68
900.0,578.74
905.0,576.06
910.0,573.44
915.0,571.15
920.0,568.44
925.0,566.77
930.0,566.1
935.0,565.07
940.0,564.39
945.0,564.01
950.0,563.93
955.0,564.08
960.0,564.5
965.0,565.02
970.0,565.76
975.0,566.82
980.0,568.09
985.0,569.54
990.0,571.28
995.0,573.27
1000.0,575.27
1005.0,577.45
1010.0,579.96
1015.0,582.75
1020.0,585.26
1025.0,588.3
1030.0,591.65
1035.0,594.86
1040.0,598.2
1045.0,601.89
1050.0,605.68
1055.0,609.42
1060.0,613.06
1065.0,616.81
1070.0,620.62
1075.0,624.5
1080.0,628.52
1085.0,632.61
1090.0,636.61
1095.0,640.51
1100.0,644.36
1105.0,648.24
1110.0,652.05
1115.0,655.82
1120.0,659.33
1125.0,662.66
1130.0,665.64
1135.0,668.62
1140.0,671.42
1145.0,674.35
1150.0,677.27
1155.0,680.29
1160.0,683.23
1165.0,686.19
1170.0,689.01
1175.0,691.78
1180.0,694.91
1185.0,697.56
1190.0,700.25
1195.0,703.08
1200.0,705.89
1205.0,708.95
1210.0,711.58
1215.0,714.74
1220.0,717.29
1225.0,720.13
1230.0,722.83
1235.0,725.23
1240.0,727.51
1245.0,729.72
1250.0,731.99
1255.0,734.4
1260.0,736.81
1265.0,739.19
1270.0,741.46
1275.0,743.82
1280.0,746.1
1285.0,748.24
1290.0,750.25
1295.0,752.03
1300.0,753.52
1305.0,754.88
1310.0,755.92
1315.0,756.84
1320.0,757.63
1325.0,758.41
1330.0,759.02
1335.0,759.5
1340.0,760.26
1345.0,760.54
1350.0,760.87
1350.7,761.2
1351.4,761.53
1352.1,761.72
1352.9,761.78
1353.6,761.93
1354.3,762.08
1355.0,762.18
1355.7,762.23
1356.4,762.31
1357.1,762.37
1357.8,762.35
1358.5,762.3
1359.2,762.3
1360.0,762.29
1360.7,762.27
1361.4,762.26
1362.1,762.23
1362.8,762.15
1363.5,762.09
1364.2,762.07
1365.0,762.01
1365.7,761.83
1366.4,761.65
1367.1,761.52
1367.8,761.36
1368.6,761.2
1369.3,761.0
1370.0,760.76
1370.7,760.49
1371.5,760.2
1372.2,759.92
1372.9,759.63
1373.6,759.22
1374.4,758.69
1375.1,758.11
1375.8,757.58
1376.6,757.01
1377.3,756.33
1378.0,755.6
1378.8,754.88
1379.5,754.08
1380.2,753.28
1381.0,752.52
1381.7,751.71
1382.4,750.8
1383.2,749.86
1383.9,748.94
1384.7,747.98
1385.4,746.87
1386.1,745.68
1386.9,744.39
1387.6,743.04
1388.4,741.67
1389.1,740.18
1389.8,738.58
1390.6,736.93
1391.3,735.19
1392.1,733.34
1392.8,731.39
1393.6,729.34
1394.3,727.17
1395.1,724.92
1395.8,722.72
1396.6,720.47
1397.3,718.12
1398.1,715.76
1398.8,713.47
1399.6,711.25
1400.4,709.04
1401.1,706.81
1401.9,704.51
1402.6,702.2
1403.4,699.98
1404.2,697.87
1404.9,695.79
1405.7,693.72
1406.4,691.64
1407.2,689.6
1408.0,687.73
1408.7,686.01
1409.5,684.35
1410.3,682.74
1411.0,681.08
1411.8,679.46
1412.6,677.94
1413.3,676.55
1414.1,675.33
1414.9,674.22
1415.7,673.23
1416.4,672.37
1417.2,671.55
1418.0,670.82
1418.8,670.2
1419.5,669.62
1420.3,669.04
1421.1,668.3
1421.9,667.37
1422.6,666.19
1423.4,664.72
1424.2,663.03
1425.0,661.05
1425.8,658.73
1426.6,656.14
1427.3,653.3
1428.1,650.34
1428.9,647.47
1429.7,644.93
1430.5,641.9
1431.3,639.98
1432.1,638.68
1432.9,638.09
1433.7,638.48
1434.5,639.83
1435.3,642.08
1436.0,645.01
1436.8,649.17
1437.6,652.97
1438.4,657.27
1439.2,661.92
1440.0,666.72
1440.8,671.65
1441.6,676.56
1442.4,681.43
1443.2,686.33
1444.0,691.18
1444.9,695.84
1445.7,700.3
1446.5,704.54
1447.3,708.45
1448.1,712.07
1448.9,715.42
1449.7,718.41
1450.5,721.06
1451.3,723.46
1452.1,725.72
1453.0,727.83
1453.8,729.8
1454.6,731.7
1455.4,733.56
1456.2,735.3
1457.0,737.01
