Composition,
Date Added,2001-11-30
Formula,
Grain Size Description,<0.0um
Grain Size,0.0 - 0.0
Locality,
Minimum Wavelength,850
Sample Name,EETA79001 powder (lith B)
Maximum Wavelength,25921
Database of Origin,ReLab
Other Information,
References,
Resolution,9.0
Material Class,Rock
Sample Description,
Sample ID,1101SLRMT4B
Original Sample ID,MT-JLB-004-B
Viewing Geometry,
Wavelength,Response
850.2,123.64
850.8,122.83
851.3,120.19
851.9,118.12
852.4,118.63
853.0,119.13
853.6,119.58
854.1,119.56
854.7,120.43
855.3,119.78
855.8,117.02
856.4,116.48
857.0,118.63
857.5,117.82
858.1,117.52
858.7,118.13
859.2,116.81
859.8,115.58
860.4,113.78
860.9,114.09
861.5,115.95
862.1,115.85
862.7,114.82
863.2,114.04
863.8,114.02
864.4,114.67
865.0,113.94
865.5,114.01
866.1,112.01
866.7,110.16
867.3,111.12
867.9,112.05
868.4,111.84
869.0,111.32
869.6,111.25
870.2,110.51
870.8,109.63
871.4,108.61
871.9,108.63
872.5,109.23
873.1,108.15
873.7,107.39
874.3,107.55
874.9,109.31
875.5,110.03
876.1,109.36
876.7,108.22
877.3,106.46
877.9,105.15
878.5,106.08
879.0,105.87
879.6,103.68
880.2,103.15
880.8,104.44
881.4,105.33
882.0,105.1
882.6,103.51
883.2,103.52
883.8,103.46
884.4,103.22
885.1,103.74
885.7,102.82
886.3,101.49
886.9,100.89
887.5,101.41
888.1,102.72
888.7,102.51
889.3,100.65
889.9,99.94
890.5,100.12
891.1,100.2
891.8,99.54
892.4,99.42
893.0,98.5
893.6,97.87
894.2,98.23
894.8,97.8
895.5,97.62
896.1,97.59
896.7,97.36
897.3,97.71
897.9,97.95
898.6,97.6
899.2,97.83
899.8,97.36
900.4,95.11
901.1,94.82
901.7,95.64
902.3,95.75
902.9,95.04
903.6,94.47
904.2,93.84
904.8,93.37
905.5,93.89
906.1,94.43
906.7,93.33
907.4,92.98
908.0,92.74
908.6,92.46
909.3,93.37
909.9,95.27
910.6,94.3
911.2,92.5
911.8,92.46
912.5,92.73
913.1,90.71
913.8,90.04
914.4,91.36
915.1,91.86
915.7,91.25
916.3,91.03
917.0,90.67
917.6,91.05
918.3,90.15
918.9,89.34
919.6,88.95
920.3,89.0
920.9,89.86
921.6,90.84
922.2,90.45
922.9,90.14
923.5,90.19
924.2,90.06
924.9,89.86
925.5,97.17
926.2,98.29
926.8,90.04
927.5,86.81
928.2,85.61
928.8,87.17
929.5,87.65
930.2,88.25
930.8,88.29
931.5,88.43
932.2,88.09
932.8,87.74
933.5,86.96
934.2,87.64
934.9,87.46
935.5,86.71
936.2,87.16
936.9,87.59
937.6,87.44
938.2,86.77
938.9,86.19
939.6,86.91
940.3,86.77
941.0,86.05
941.7,86.19
942.3,86.14
943.0,85.2
943.7,85.13
944.4,85.42
945.1,85.82
945.8,86.24
946.5,86.03
947.2,85.79
947.9,86.01
948.5,85.76
949.2,85.55
949.9,85.8
950.6,85.94
951.3,85.89
952.0,85.16
952.7,84.29
953.4,85.1
954.1,85.32
954.8,84.3
955.5,84.11
956.2,84.82
957.0,85.42
957.7,85.69
958.4,85.52
959.1,85.17
959.8,84.76
960.5,85.13
961.2,85.32
961.9,85.23
962.6,84.79
963.4,84.46
964.1,84.59
964.8,84.22
965.5,84.46
966.2,84.88
967.0,85.22
967.7,84.72
968.4,83.93
969.1,84.29
969.8,85.09
970.6,85.05
971.3,84.82
972.0,84.77
972.8,84.98
973.5,85.81
974.2,86.0
975.0,85.96
975.7,85.3
976.4,84.76
977.2,85.34
977.9,84.94
978.6,84.68
979.4,85.47
980.1,84.96
980.9,85.13
981.6,85.9
982.3,85.44
983.1,85.21
983.8,85.41
984.6,85.59
985.3,85.69
986.1,85.46
986.8,85.32
987.6,85.58
988.3,86.29
989.1,86.95
989.9,86.82
990.6,86.44
991.4,86.61
992.1,86.55
992.9,86.62
993.6,87.06
994.4,87.24
995.2,87.03
995.9,86.92
996.7,86.95
997.5,87.38
998.2,88.04
999.0,88.57
999.8,88.86
1000.6,88.32
1001.3,87.89
1002.1,88.11
1002.9,88.31
1003.7,88.58
1004.4,88.8
1005.2,88.86
1006.0,88.87
1006.8,89.1
1007.6,89.6
1008.3,89.41
1009.1,89.26
1009.9,89.38
1010.7,89.79
1011.5,89.89
1012.3,90.06
1013.1,90.24
1013.9,90.52
1014.7,91.24
1015.5,91.74
1016.2,91.75
1017.0,91.66
1017.8,91.65
1018.6,91.62
1019.4,91.88
1020.2,92.06
1021.1,92.46
1021.9,92.61
1022.7,92.78
1023.5,93.51
1024.3,93.85
1025.1,93.92
1025.9,94.1
1026.7,94.45
1027.5,94.49
1028.3,94.29
1029.2,94.56
1030.0,95.01
1030.8,95.37
1031.6,95.69
1032.4,96.32
1033.3,97.05
1034.1,97.15
1034.9,97.2
1035.7,97.1
1036.6,97.04
1037.4,97.59
1038.2,98.33
1039.1,98.56
1039.9,98.65
1040.7,98.68
1041.6,98.88
1042.4,99.18
1043.3,99.75
1044.1,100.48
1044.9,100.89
1045.8,101.22
1046.6,101.69
1047.5,101.78
1048.3,102.0
1049.2,102.74
1050.0,103.11
1050.9,102.86
1051.7,103.12
1052.6,103.7
1053.4,104.22
1054.3,104.8
1055.1,105.11
1056.0,105.28
1056.9,105.7
1057.7,106.3
1058.6,106.59
1059.5,107.15
1060.3,107.76
1061.2,107.67
1062.1,107.7
1062.9,108.32
1063.8,108.86
1064.7,109.13
1065.6,109.99
1066.4,110.94
1067.3,111.04
1068.2,111.15
1069.1,111.76
1070.0,112.06
1070.8,112.78
1071.7,113.61
1072.6,114.01
1073.5,114.14
1074.4,114.74
1075.3,115.25
1076.2,116.02
1077.1,116.88
1078.0,117.08
1078.9,117.39
1079.8,118.0
1080.7,118.85
1081.6,119.2
1082.5,119.6
1083.4,120.07
1084.3,120.41
1085.2,120.8
1086.1,121.49
1087.0,122.38
1087.9,122.72
1088.8,123.08
1089.8,123.45
1090.7,123.76
1091.6,124.39
1092.5,125.43
1093.4,126.38
1094.4,126.93
1095.3,127.23
1096.2,127.7
1097.1,128.25
1098.1,128.9
1099.0,129.4
1099.9,129.84
1100.9,130.63
1101.8,131.11
1102.7,131.55
1103.7,132.21
1104.6,132.94
1105.6,133.23
1106.5,133.81
1107.5,134.28
1108.4,134.64
1109.3,135.33
1110.3,136.05
1111.2,136.51
1112.2,137.03
1113.2,137.65
1114.1,138.18
1115.1,138.7
1116.0,139.57
1117.0,140.34
1118.0,140.5
1118.9,140.81
1119.9,141.31
1120.9,142.13
1121.8,142.84
1122.8,143.52
1123.8,143.92
1124.8,144.29
1125.7,144.89
1126.7,145.6
1127.7,146.23
1128.7,146.5
1129.7,146.85
1130.6,147.3
1131.6,147.76
1132.6,148.26
1133.6,148.84
1134.6,149.46
1135.6,149.93
1136.6,150.32
1137.6,150.77
1138.6,151.13
1139.6,151.57
1140.6,151.97
1141.6,152.52
1142.6,153.17
1143.6,153.39
1144.6,153.61
1145.6,153.97
1146.7,154.48
1147.7,155.18
1148.7,155.66
1149.7,156.09
1150.7,156.51
1151.7,157.0
1152.8,157.36
1153.8,157.71
1154.8,157.75
1155.9,158.1
1156.9,158.46
1157.9,158.63
1159.0,158.95
1160.0,159.34
1161.0,160.01
1162.1,160.42
1163.1,160.88
1164.2,161.14
1165.2,161.2
1166.3,161.45
