Composition,
Date Added,2011-10-06
Formula,
Grain Size Description,<30.0um
Grain Size,"(2.0, 30.0)"
Locality,Unknown 
Minimum Wavelength,320
Sample Name,TR-4
Maximum Wavelength,25050
Database of Origin,RELAB
Other Information,Hydrothermal Clay
References,
Resolution,4.0
Material class,Mineral
Sample Description,
Sample ID,BKR1JM101
Original Sample ID,JM-JRM-101
Viewing Geometry,unknown
Wavelength,Response
320.0,0.0716
330.0,0.07736
340.0,0.08188
350.0,0.08464
360.0,0.086
370.0,0.08741
380.0,0.08938
390.0,0.093
400.0,0.09573
410.0,0.09817
420.0,0.10124
430.0,0.10467
440.0,0.10975
450.0,0.11596
460.0,0.12254
470.0,0.12908
480.0,0.13629
490.0,0.14435
500.0,0.15318
510.0,0.16233
520.0,0.17211
530.0,0.18215
540.0,0.19163
550.0,0.20056
560.0,0.20906
570.0,0.21632
580.0,0.22341
590.0,0.23043
600.0,0.23794
610.0,0.24521
620.0,0.25328
630.0,0.26132
640.0,0.26939
650.0,0.27714
660.0,0.28445
670.0,0.28988
680.0,0.29477
690.0,0.29902
700.0,0.30309
710.0,0.30714
720.0,0.31213
730.0,0.31623
740.0,0.32121
750.0,0.32594
760.0,0.32965
770.0,0.33508
780.0,0.33975
790.0,0.34461
800.0,0.35043
810.0,0.35467
820.0,0.35834
830.0,0.36231
840.0,0.36675
850.0,0.37096
860.0,0.3757
870.0,0.37976
870.3,0.37927
870.4,0.37856
870.6,0.37884
870.7,0.37963
870.8,0.37989
871.0,0.37828
871.1,0.37755
871.3,0.37846
871.4,0.37879
871.6,0.37879
871.7,0.37819
871.9,0.37814
872.0,0.37901
872.2,0.37913
872.3,0.37937
872.5,0.37943
872.6,0.37829
872.8,0.37849
872.9,0.37875
873.0,0.37835
873.2,0.37921
873.3,0.38021
873.5,0.3808
873.6,0.38058
873.8,0.37927
873.9,0.37775
874.1,0.37952
874.2,0.38126
874.4,0.38062
874.5,0.37987
874.7,0.37898
874.8,0.37839
875.0,0.3789
875.1,0.37986
875.3,0.37975
875.4,0.37983
875.5,0.38041
875.7,0.38044
875.8,0.38052
876.0,0.38031
876.2,0.38012
876.3,0.38008
876.4,0.37991
876.6,0.38065
876.7,0.38125
876.9,0.38118
877.0,0.38153
877.2,0.38167
877.3,0.38153
877.5,0.38106
877.6,0.38133
877.8,0.38144
877.9,0.38143
878.1,0.38078
878.2,0.37995
878.4,0.38037
878.5,0.3802
878.7,0.38019
878.8,0.38127
879.0,0.3818
879.1,0.38083
879.3,0.38049
879.4,0.38064
879.6,0.37995
879.7,0.38017
879.9,0.38049
880.0,0.38025
880.2,0.38025
880.3,0.3814
880.5,0.38148
880.6,0.3814
880.8,0.38137
880.9,0.38223
881.1,0.38241
881.2,0.38139
881.4,0.37998
881.5,0.3795
881.7,0.37929
881.8,0.38001
882.0,0.37986
882.1,0.38097
882.3,0.38236
882.4,0.38154
882.6,0.38048
882.7,0.38041
882.9,0.38006
883.0,0.37973
883.2,0.38008
883.3,0.38026
883.5,0.38051
883.6,0.37998
883.8,0.38006
883.9,0.37986
884.1,0.38053
884.2,0.38104
884.4,0.38005
884.5,0.38013
884.7,0.38104
884.8,0.38129
885.0,0.38131
885.1,0.38041
885.3,0.37909
885.4,0.37952
885.6,0.37922
885.7,0.37871
885.9,0.37883
886.0,0.37951
886.2,0.38005
886.3,0.38028
886.5,0.38087
886.6,0.38085
886.8,0.38043
886.9,0.38114
887.1,0.38117
887.2,0.37997
887.4,0.38027
887.5,0.37995
887.7,0.37914
887.8,0.37926
888.0,0.37992
888.2,0.38072
888.3,0.38075
888.5,0.38091
888.6,0.38144
888.8,0.38236
888.9,0.38153
889.1,0.38045
889.2,0.38089
889.4,0.38128
889.5,0.38143
889.7,0.38208
889.8,0.38265
890.0,0.3827
890.1,0.38262
890.3,0.38302
890.4,0.38353
890.6,0.38309
890.8,0.38218
890.9,0.38206
891.0,0.38183
891.2,0.38132
891.4,0.38172
891.5,0.38196
891.7,0.38161
891.8,0.382
892.0,0.38273
892.1,0.38279
892.3,0.38311
892.4,0.38326
892.6,0.38273
892.7,0.38246
892.9,0.38329
893.0,0.38392
893.2,0.38426
893.4,0.38341
893.5,0.38278
893.7,0.38275
893.8,0.38367
894.0,0.38416
894.1,0.38398
894.3,0.38468
894.4,0.38522
894.6,0.38507
894.7,0.38549
894.9,0.3851
895.0,0.38428
895.2,0.38422
895.4,0.38426
895.5,0.38444
895.7,0.384
895.8,0.38326
896.0,0.38411
896.1,0.3837
896.3,0.38326
896.4,0.38444
896.6,0.38476
896.8,0.3846
896.9,0.38511
897.1,0.38505
897.2,0.3854
897.4,0.38547
897.5,0.38465
897.7,0.38474
897.8,0.38462
898.0,0.38442
898.2,0.38427
898.3,0.38445
898.5,0.38531
898.6,0.38639
898.8,0.38634
898.9,0.38519
899.1,0.38452
899.2,0.38432
899.4,0.38461
899.6,0.38541
899.7,0.38608
899.9,0.38567
900.0,0.3848
900.2,0.38517
900.3,0.38581
900.5,0.38601
900.7,0.38586
900.8,0.38584
901.0,0.38647
901.1,0.38608
901.3,0.38498
901.4,0.38508
901.6,0.38538
901.8,0.3858
901.9,0.3861
902.1,0.38617
902.2,0.3866
902.4,0.38666
902.5,0.38627
902.7,0.38634
902.8,0.3862
903.0,0.38529
903.2,0.38519
903.3,0.38569
903.5,0.38525
903.6,0.38569
903.8,0.38657
904.0,0.38762
904.1,0.38712
904.3,0.38625
904.4,0.38661
904.6,0.3875
904.7,0.3872
904.9,0.38683
905.0,0.3864
905.2,0.38615
905.4,0.38626
905.5,0.38561
905.7,0.38524
905.8,0.38578
906.0,0.38652
906.2,0.3864
906.3,0.38623
906.5,0.38646
906.6,0.38699
906.8,0.38683
907.0,0.38639
907.1,0.3861
907.3,0.38691
907.4,0.38704
907.6,0.38669
907.7,0.38694
907.9,0.38694
908.1,0.38638
908.2,0.3866
908.4,0.38655
908.5,0.38754
908.7,0.38829
908.9,0.38718
909.0,0.38719
909.2,0.38875
909.3,0.38805
909.5,0.38731
909.7,0.38745
909.8,0.38697
910.0,0.38761
910.1,0.38833
910.3,0.38812
910.5,0.38764
910.6,0.38756
910.8,0.38749
910.9,0.38805
911.1,0.38828
911.3,0.3879
911.4,0.38793
911.6,0.38866
911.7,0.38864
911.9,0.38825
912.1,0.38844
912.2,0.38828
912.4,0.38807
912.5,0.38784
912.7,0.38826
912.9,0.38911
913.0,0.38886
913.2,0.38818
913.3,0.38843
913.5,0.3894
913.7,0.38959
913.8,0.3894
914.0,0.38897
914.2,0.38889
914.3,0.38899
914.5,0.38913
914.6,0.38982
914.8,0.38949
915.0,0.38869
915.1,0.38913
915.3,0.38927
915.4,0.3881
915.6,0.38763
915.8,0.3881
915.9,0.38844
916.1,0.38855
916.3,0.38842
916.4,0.3883
916.6,0.38867
916.7,0.38904
916.9,0.38882
917.1,0.38915
917.2,0.38947
917.4,0.38938
917.5,0.38955
917.7,0.38961
917.9,0.38927
918.0,0.38913
918.2,0.38936
918.4,0.38919
918.5,0.38923
918.7,0.38958
918.8,0.39013
919.0,0.39005
919.2,0.38943
919.3,0.39006
919.5,0.39061
919.7,0.39035
919.8,0.38999
920.0,0.38955
920.2,0.38971
920.3,0.39031
920.5,0.39063
920.6,0.39001
920.8,0.38995
921.0,0.3904
921.1,0.39062
921.3,0.39019
921.5,0.38997
921.6,0.39003
921.8,0.39024
922.0,0.39036
922.1,0.3904
922.3,0.39031
922.4,0.39078
922.6,0.39178
922.8,0.39113
922.9,0.38995
923.1,0.38986
923.3,0.39024
923.4,0.3905
923.6,0.3906
923.8,0.3903
923.9,0.38965
924.1,0.38953
924.3,0.39049
924.4,0.3913
924.6,0.39129
924.7,0.39184
924.9,0.39173
925.1,0.39123
925.2,0.39114
925.4,0.3911
925.6,0.39094
925.7,0.39102
925.9,0.39115
926.1,0.39038
926.2,0.39017
926.4,0.39055
926.6,0.39115
926.7,0.39193
926.9,0.39206
927.1,0.39112
927.2,0.39053
927.4,0.39148
927.6,0.39162
927.7,0.39108
927.9,0.39168
928.0,0.39154
928.2,0.39146
928.4,0.39174
928.5,0.39168
928.7,0.39162
928.9,0.39186
929.0,0.39173
929.2,0.39152
929.4,0.39107
929.5,0.39143
929.7,0.39257
929.9,0.39288
930.0,0.39194
930.2,0.39131
930.4,0.39131
930.5,0.39165
930.7,0.39216
930.9,0.3922
931.0,0.39157
931.2,0.39122
931.4,0.39145
931.6,0.39173
931.7,0.39176
931.9,0.39197
932.1,0.39194
932.2,0.39165
932.4,0.39188
932.6,0.39276
932.7,0.39325
932.9,0.39253
933.1,0.39159
933.2,0.3916
933.4,0.39188
933.6,0.39257
933.7,0.39286
933.9,0.39266
934.1,0.39245
934.2,0.39245
934.4,0.39236
934.6,0.39294
934.8,0.3931
934.9,0.39221
935.1,0.39211
935.3,0.3923
935.4,0.39236
935.6,0.39243
935.8,0.39239
935.9,0.39236
936.1,0.39236
936.3,0.39222
936.4,0.39226
936.6,0.39267
936.8,0.39327
936.9,0.39267
937.1,0.39203
937.3,0.3926
937.5,0.39315
937.6,0.39337
937.8,0.39299
938.0,0.39262
938.1,0.39261
938.3,0.39248
938.5,0.3923
938.6,0.39244
938.8,0.39275
939.0,0.39295
939.2,0.39285
939.3,0.39264
939.5,0.39285
939.7,0.39316
939.8,0.39291
940.0,0.39272
940.2,0.39271
940.3,0.39289
940.5,0.39305
940.7,0.3938
940.8,0.39394
941.0,0.39353
941.2,0.39292
941.4,0.39283
941.5,0.39306
941.7,0.39282
941.9,0.39272
942.0,0.39314
942.2,0.39359
942.4,0.3932
942.6,0.39274
942.7,0.393
942.9,0.39335
943.1,0.39348
943.3,0.39337
943.4,0.39322
943.6,0.39326
943.8,0.39304
943.9,0.39309
944.1,0.39342
944.3,0.39335
944.5,0.39307
944.6,0.39299
944.8,0.3933
945.0,0.39354
945.1,0.3937
945.3,0.39363
945.5,0.39303
945.7,0.3927
945.8,0.39282
946.0,0.39307
946.2,0.39326
946.3,0.39292
946.5,0.3932
946.7,0.39366
946.9,0.39288
947.0,0.39297
947.2,0.3932
947.4,0.39303
947.6,0.39351
947.7,0.39385
947.9,0.39426
948.1,0.3943
948.3,0.39341
948.4,0.39294
948.6,0.39339
948.8,0.39361
949.0,0.39398
949.1,0.39415
949.3,0.39445
949.5,0.39481
949.6,0.39496
949.8,0.39506
950.0,0.39495
950.2,0.39484
950.3,0.39509
950.5,0.39508
950.7,0.39555
950.9,0.3958
951.0,0.39548
951.2,0.39542
951.4,0.39553
951.6,0.39604
951.7,0.39609
951.9,0.39609
952.1,0.39603
952.3,0.39625
952.4,0.3967
952.6,0.39659
952.8,0.39676
953.0,0.3969
953.1,0.39689
953.3,0.39699
953.5,0.39721
953.7,0.39738
953.8,0.39683
954.0,0.39694
954.2,0.39731
954.4,0.39748
954.5,0.39703
954.7,0.3967
954.9,0.39705
955.1,0.39727
955.2,0.39746
955.4,0.39767
955.6,0.39822
955.8,0.39824
956.0,0.39778
956.1,0.39777
956.3,0.39795
956.5,0.39762
956.7,0.39755
956.8,0.39766
957.0,0.39801
957.2,0.39787
957.4,0.39733
957.5,0.39744
957.7,0.39752
957.9,0.39757
958.1,0.39795
958.2,0.39825
958.4,0.39847
958.6,0.39814
958.8,0.39794
959.0,0.39818
959.1,0.39808
959.3,0.39771
959.5,0.39805
959.7,0.39841
959.8,0.3987
960.0,0.3987
960.2,0.39821
960.4,0.3983
960.5,0.39834
960.7,0.39856
960.9,0.39873
961.1,0.39887
961.3,0.39904
961.4,0.39891
961.6,0.39892
961.8,0.39932
962.0,0.39908
962.2,0.39924
962.3,0.39946
962.5,0.39949
962.7,0.39932
962.9,0.39925
963.0,0.39944
963.2,0.3997
963.4,0.39964
963.6,0.39936
963.8,0.39944
963.9,0.3997
964.1,0.3998
964.3,0.40001
964.5,0.39999
964.7,0.39994
964.8,0.39994
965.0,0.39968
965.2,0.39986
965.4,0.40041
965.6,0.40049
965.7,0.40022
965.9,0.40026
966.1,0.4004
966.3,0.40008
966.5,0.40007
966.6,0.40022
966.8,0.4004
967.0,0.40029
967.2,0.40021
967.4,0.40064
967.5,0.40073
967.7,0.40059
967.9,0.40087
968.1,0.40083
968.3,0.40072
968.4,0.4008
968.6,0.40067
968.8,0.40086
969.0,0.40124
969.2,0.40108
969.3,0.40112
969.5,0.40148
969.7,0.40136
969.9,0.40103
970.1,0.40097
970.3,0.40128
970.4,0.40138
970.6,0.40156
970.8,0.4017
971.0,0.4017
971.2,0.40172
971.3,0.40195
971.5,0.40204
971.7,0.40221
971.9,0.4024
972.1,0.40236
972.3,0.40234
972.4,0.40258
972.6,0.40266
972.8,0.4028
973.0,0.40294
973.2,0.40278
973.3,0.40246
973.5,0.40248
973.7,0.40261
973.9,0.40313
974.1,0.40342
974.3,0.40312
974.5,0.40283
974.6,0.40279
974.8,0.40301
975.0,0.40317
975.2,0.40334
975.4,0.40326
975.5,0.40317
975.7,0.40345
975.9,0.40359
976.1,0.40355
976.3,0.40349
976.5,0.40353
976.7,0.40358
976.8,0.40375
977.0,0.40388
977.2,0.4039
977.4,0.40409
977.6,0.40413
977.8,0.40423
977.9,0.40447
978.1,0.40447
978.3,0.40409
978.5,0.40419
978.7,0.40436
978.9,0.40422
979.0,0.40429
979.2,0.40439
979.4,0.40457
979.6,0.40474
979.8,0.40502
980.0,0.40513
980.2,0.40488
980.3,0.40496
980.5,0.40533
980.7,0.40526
980.9,0.40545
981.1,0.40555
981.3,0.40553
981.5,0.40534
981.7,0.40538
981.8,0.40546
982.0,0.40509
982.2,0.40505
982.4,0.40525
982.6,0.40554
982.8,0.40577
983.0,0.40572
983.1,0.40581
983.3,0.40577
983.5,0.4055
983.7,0.40545
983.9,0.40571
984.1,0.40584
984.3,0.40576
984.4,0.4059
984.6,0.40626
984.8,0.40634
985.0,0.4066
985.2,0.40683
985.4,0.40676
985.6,0.40648
985.8,0.40645
985.9,0.40667
