Composition,
Date Added,2020-02-24
Formula,
Grain Size Description,<45.0um
Grain Size,0.0 - 45.0
Locality,
Minimum Wavelength,320
Sample Name,NWA 11756 (Ungrouped) <45 um
Maximum Wavelength,25050
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Rock
Sample Description,
Sample ID,BKR1MT356
Original Sample ID,MT-JMS-356
Viewing Geometry,
Wavelength,Response
320.0,54.589
330.0,58.387
340.0,63.319
350.0,67.327
360.0,71.368
370.0,75.113
380.0,78.428
390.0,81.747
400.0,87.604
410.0,92.238
420.0,97.508
430.0,101.723
440.0,109.276
450.0,114.826
460.0,119.016
470.0,121.448
480.0,125.974
490.0,130.415
500.0,138.378
510.0,146.906
520.0,157.583
530.0,168.514
540.0,182.421
550.0,194.69
560.0,208.374
570.0,219.812
580.0,230.941
590.0,239.635
600.0,247.341
610.0,252.991
620.0,257.762
630.0,261.373
640.0,265.437
650.0,269.759
660.0,274.08
670.0,278.807
680.0,283.922
690.0,287.423
700.0,291.411
710.0,294.328
720.0,296.428
730.0,296.784
740.0,298.382
750.0,298.279
760.0,296.963
770.0,296.231
780.0,293.081
790.0,289.494
800.0,286.399
810.0,282.958
820.0,278.757
830.0,274.297
840.0,270.474
850.0,266.609
860.0,263.599
870.0,260.536
880.0,257.528
890.0,254.824
900.0,252.029
910.0,249.715
920.0,247.119
930.0,245.703
940.0,243.812
950.0,242.306
960.0,239.955
970.0,239.005
980.0,236.999
990.0,235.527
1000.0,234.32
1010.0,233.104
1020.0,231.997
1030.0,231.567
1040.0,231.242
1050.0,231.491
1060.0,231.72
1070.0,232.967
1080.0,234.119
1090.0,236.163
1100.0,238.22
1110.0,240.783
1120.0,243.04
1130.0,245.268
1140.0,247.433
1150.0,249.429
1160.0,250.604
1170.0,252.359
1180.0,253.446
1190.0,254.569
1200.0,255.164
1210.0,255.845
1220.0,256.318
1230.0,257.141
1240.0,257.39
1250.0,258.288
1260.0,258.807
1270.0,259.69
1280.0,260.267
1290.0,261.275
1300.0,262.231
1310.0,263.032
1320.0,264.561
1330.0,265.486
1340.0,266.433
1350.0,267.668
1360.0,269.194
1370.0,270.401
1380.0,271.553
1390.0,272.766
1400.0,273.778
1410.0,274.869
1420.0,275.904
1430.0,277.335
1440.0,278.189
1450.0,279.36
1460.0,280.451
1470.0,281.469
1480.0,282.793
1490.0,283.276
1500.0,283.777
1510.0,284.647
1520.0,285.536
1530.0,286.162
1540.0,286.524
