Composition,
Date Added,2007-04-20
Formula,
Grain Size Description,<150.0um
Grain Size,0.0 - 150.0
Locality,
Minimum Wavelength,300
Sample Name,DB-A-5 F-9 <150 um
Maximum Wavelength,49859
Database of Origin,ReLab
Other Information,
References,"Shukla A. D. et al. (2001) Proc. Indian Acad. Sci. (Earth Planet. Sci.) 110, 111-132."
Resolution,4.0
Material Class,Rock
Sample Description,Mission Planning (Chandrayaan)
Sample ID,BKR1DP001A
Original Sample ID,DP-JNG-001-A
Viewing Geometry,
Wavelength,Response
300.0,75.85
305.0,90.26
310.0,91.85
315.0,94.33
320.0,97.66
325.0,101.04
330.0,105.99
335.0,110.33
340.0,113.65
345.0,116.73
350.0,121.05
355.0,124.7
360.0,129.83
365.0,136.35
370.0,141.66
375.0,147.08
380.0,153.24
385.0,158.93
390.0,164.52
395.0,169.97
400.0,175.2
405.0,179.47
410.0,183.52
415.0,186.8
420.0,190.41
425.0,194.46
430.0,198.32
435.0,202.4
440.0,206.44
445.0,210.34
450.0,214.4
455.0,217.92
460.0,221.87
465.0,225.09
470.0,227.98
475.0,230.77
480.0,233.39
485.0,236.25
490.0,239.13
495.0,242.34
500.0,246.22
505.0,248.48
510.0,251.62
515.0,256.9
520.0,262.19
525.0,266.46
530.0,269.87
535.0,272.91
540.0,275.4
545.0,277.35
550.0,279.13
555.0,281.38
560.0,284.04
565.0,286.0
570.0,288.11
575.0,289.12
580.0,290.65
585.0,291.89
590.0,293.03
595.0,293.92
600.0,294.9
605.0,295.92
610.0,296.77
615.0,297.52
620.0,298.38
625.0,299.36
630.0,300.07
635.0,301.04
640.0,301.58
645.0,302.42
650.0,303.33
655.0,303.95
660.0,304.91
665.0,305.85
670.0,306.45
675.0,307.62
680.0,308.44
685.0,309.19
690.0,309.82
695.0,310.76
700.0,311.09
705.0,311.68
710.0,312.42
715.0,313.07
720.0,313.27
725.0,314.1
730.0,314.68
735.0,315.24
740.0,315.7
745.0,315.76
750.0,316.64
755.0,316.44
760.0,316.89
765.0,317.36
770.0,317.18
775.0,317.71
780.0,317.45
785.0,317.48
790.0,317.96
795.0,317.48
800.0,317.93
805.0,317.64
810.0,317.05
815.0,316.17
820.0,315.86
825.0,313.94
830.0,311.93
835.0,311.92
840.0,309.31
845.0,307.6
850.0,305.47
855.0,303.88
860.0,300.23
865.0,297.64
870.0,293.38
875.0,290.8
880.0,288.38
885.0,284.76
890.0,281.07
895.0,277.99
900.0,274.92
905.0,272.21
910.0,268.87
915.0,265.19
920.0,262.02
925.0,259.51
930.0,256.25
935.0,253.01
940.0,251.51
945.0,248.94
950.0,247.01
955.0,245.16
960.0,243.41
965.0,243.0
970.0,240.58
975.0,239.09
980.0,238.81
985.0,238.48
990.0,237.41
995.0,236.97
1000.0,237.26
1005.0,237.45
1010.0,238.36
1015.0,238.5
1020.0,239.66
1025.0,240.6
1030.0,242.35
1035.0,243.91
1040.0,245.88
1045.0,247.74
1050.0,250.71
1055.0,252.83
1060.0,256.4
1065.0,258.54
1070.0,262.25
1075.0,265.87
1080.0,269.4
1085.0,273.03
1090.0,277.34
1095.0,280.84
1100.0,284.36
1105.0,288.37
1110.0,292.33
1115.0,295.72
1120.0,299.99
1125.0,302.49
1130.0,305.09
1135.0,308.38
1140.0,311.3
1145.0,313.36
1150.0,316.03
1155.0,317.69
1160.0,319.68
1165.0,321.69
1170.0,322.91
1175.0,325.0
1180.0,326.8
1185.0,328.01
1190.0,328.94
1195.0,330.11
1200.0,331.19
1205.0,331.79
1210.0,332.98
1215.0,333.82
1220.0,335.37
1225.0,335.39
1230.0,336.22
1235.0,337.26
1240.0,337.85
1245.0,338.95
1250.0,339.7
1255.0,340.07
1260.0,341.28
1265.0,341.99
1270.0,342.6
1275.0,343.51
1280.0,343.93
1285.0,345.49
1290.0,345.76
1295.0,346.82
1300.0,347.43
1305.0,348.69
1310.0,349.83
1315.0,350.51
1320.0,351.33
1325.0,352.12
1330.0,353.16
1335.0,354.24
1340.0,355.12
1345.0,355.33
1350.0,356.19
1355.0,356.84
1360.0,356.72
1365.0,358.28
1370.0,359.71
1375.0,360.16
1380.0,360.41
1385.0,362.52
1390.0,362.54
1395.0,362.32
1400.0,362.7
1405.0,363.0
1410.0,363.54
1415.0,364.05
1420.0,365.01
1425.0,365.64
1430.0,366.83
1435.0,367.5
1440.0,368.43
1445.0,369.06
1450.0,369.9
1455.0,370.3
1460.0,371.16
1465.0,372.04
1470.0,372.26
1475.0,373.52
1480.0,373.68
1485.0,374.55
1490.0,374.86
1495.0,375.88
1500.0,376.4
1505.0,376.67
1510.0,377.48
1515.0,378.1
1520.0,378.03
1525.0,378.34
1530.0,378.9
1535.0,379.06
1540.0,379.6
1545.0,379.98
1550.0,380.67
1555.0,380.13
1560.0,380.95
1565.0,380.49
1570.0,381.05
1575.0,381.15
1580.0,381.59
1585.0,381.37
1590.0,381.14
1595.0,381.59
1600.0,381.45
1605.0,381.2
1610.0,381.42
1615.0,381.18
1620.0,380.93
1625.0,381.38
1630.0,380.01
1635.0,381.14
1640.0,380.22
1645.0,380.47
1650.0,379.71
1655.0,379.74
1660.0,379.34
1665.0,379.03
1670.0,378.46
1675.0,378.63
1680.0,377.8
1685.0,377.89
1690.0,377.69
1695.0,377.03
1700.0,376.86
1705.0,375.92
1710.0,375.42
1715.0,375.25
1720.0,374.96
1725.0,374.49
1730.0,373.29
1735.0,372.56
1740.0,372.07
1745.0,371.18
1750.0,370.57
1755.0,369.92
1760.0,369.57
1765.0,368.38
1770.0,367.79
1775.0,367.75
1780.0,366.85
1785.0,366.32
1790.0,365.04
1795.0,364.89
1800.0,364.53
1805.0,363.16
1810.0,361.91
1815.0,361.57
1820.0,360.52
1825.0,360.26
1830.0,359.29
1835.0,358.59
1840.0,358.35
1845.0,357.11
1850.0,356.2
1855.0,355.27
1860.0,354.77
1865.0,353.57
1870.0,352.11
1875.0,352.06
1880.0,349.14
1885.0,346.6
1890.0,343.64
1895.0,341.1
1900.0,337.13
1905.0,335.19
1910.0,333.74
1915.0,333.47
1920.0,333.81
1925.0,334.13
1930.0,333.8
1935.0,332.92
1940.0,333.12
1945.0,333.4
1950.0,332.7
1955.0,332.24
1960.0,331.9
1965.0,331.66
1970.0,331.38
1975.0,330.77
1980.0,330.49
1985.0,330.65
1990.0,330.5
1995.0,330.4
2000.0,329.52
2005.0,329.93
2010.0,329.06
2015.0,329.19
2020.0,328.9
2025.0,328.42
2030.0,327.76
2035.0,327.47
2040.0,326.79
2045.0,326.6
2050.0,325.9
2055.0,325.76
2060.0,324.96
2065.0,324.03
2070.0,324.22
2075.0,324.28
2080.0,323.59
2085.0,322.5
2090.0,322.32
2095.0,322.56
2100.0,321.91
2105.0,321.88
2110.0,321.39
2115.0,320.67
2120.0,319.39
2125.0,319.89
2130.0,319.51
2135.0,319.43
2140.0,318.64
2145.0,319.05
2150.0,318.19
2155.0,317.24
2160.0,316.71
2165.0,316.4
2170.0,316.66
2175.0,315.54
2180.0,315.22
2185.0,314.75
2190.0,315.34
2195.0,314.58
2200.0,314.11
2205.0,314.52
2210.0,314.02
2215.0,314.6
2220.0,314.52
2225.0,313.27
2230.0,313.12
2235.0,313.62
2240.0,313.74
2245.0,313.6
2250.0,313.28
2255.0,313.23
2260.0,313.32
2265.0,312.73
2270.0,313.53
2275.0,312.48
2280.0,312.49
2285.0,312.73
2290.0,312.74
2295.0,312.32
2300.0,311.68
2305.0,312.18
2310.0,312.13
2315.0,312.63
2320.0,312.96
2325.0,313.45
2330.0,314.46
2335.0,314.87
2340.0,315.64
2345.0,315.33
2350.0,315.27
2355.0,315.2
2360.0,315.75
2365.0,315.86
2370.0,316.63
2375.0,317.41
2380.0,316.72
2385.0,317.9
2390.0,318.69
2395.0,319.06
2400.0,319.11
2405.0,320.69
2410.0,319.99
2415.0,320.8
2420.0,321.72
2425.0,322.55
2430.0,322.55
2435.0,323.31
2440.0,324.12
2445.0,324.83
2450.0,325.14
2455.0,325.53
2460.0,325.97
2465.0,326.81
2470.0,327.45
2475.0,327.73
2480.0,328.62
2485.0,328.46
2490.0,329.39
2495.0,329.88
2500.0,329.26
2505.0,330.84
2510.0,331.03
2515.0,332.31
2520.0,334.02
2525.0,333.99
2530.0,335.56
2535.0,336.87
2540.0,337.66
2545.0,339.32
2550.0,339.63
2551.9,339.91
2553.1,340.13
2554.4,340.3
2555.7,340.39
2556.9,340.64
2558.2,340.89
2559.4,341.1
2560.7,341.29
2562.0,341.52
2563.2,341.64
2564.5,341.84
2565.8,342.08
2567.1,342.29
2568.3,342.45
2569.6,342.64
2570.9,342.84
2572.1,342.98
2573.4,343.19
2574.7,343.48
2576.0,343.6
2577.3,343.81
2578.5,344.01
2579.8,344.19
2581.1,344.37
2582.4,344.57
2583.7,344.72
2585.0,345.04
2586.3,345.18
2587.5,345.3
2588.8,345.51
2590.1,345.75
2591.4,345.89
2592.7,346.08
2594.0,346.25
2595.3,346.64
2596.6,346.89
2597.9,346.92
2599.2,347.02
2600.5,347.19
2601.8,347.37
2603.1,347.64
2604.4,347.82
2605.8,348.0
2607.1,348.16
2608.4,348.21
2609.7,348.38
2611.0,348.57
2612.3,348.67
2613.6,348.88
2614.9,349.0
2616.3,349.1
2617.6,349.3
2618.9,349.45
2620.2,349.58
2621.6,349.89
2622.9,350.01
2624.2,350.15
2625.5,350.2
2626.9,350.3
2628.2,350.43
2629.5,350.5
2630.9,350.75
2632.2,350.94
2633.5,350.92
2634.9,351.06
2636.2,351.15
2637.6,351.2
2638.9,351.2
2640.2,351.27
2641.6,351.33
2642.9,351.42
2644.3,351.5
2645.6,351.6
2647.0,351.66
2648.3,351.68
2649.7,351.67
2651.0,351.69
2652.4,351.72
2653.8,351.71
2655.1,351.56
2656.5,351.51
2657.8,351.41
2659.2,351.33
2660.6,351.21
2661.9,351.12
2663.3,350.89
2664.7,350.63
2666.0,350.39
2667.4,349.85
2668.8,348.68
2670.1,347.16
2671.5,345.68
2672.9,344.5
2674.3,343.7
2675.7,343.35
2677.0,343.17
2678.4,342.87
2679.8,342.35
2681.2,341.67
2682.6,340.87
2684.0,340.21
2685.4,339.31
2686.8,338.38
2688.1,337.38
2689.5,336.32
2690.9,335.24
2692.3,334.15
2693.7,333.01
2695.1,331.88
2696.5,330.67
2697.9,329.57
2699.3,328.55
2700.8,327.64
2702.1,326.56
2703.6,325.35
2705.0,323.93
2706.4,322.51
2707.8,320.86
2709.2,319.06
2710.6,317.08
2712.1,314.99
2713.5,312.62
2714.9,310.08
2716.3,307.35
2717.7,304.56
2719.2,301.84
2720.6,298.89
2722.0,295.45
2723.4,292.32
2724.9,289.44
2726.3,286.86
2727.7,284.5
2729.2,282.35
2730.6,280.35
2732.1,278.52
2733.5,276.73
2734.9,275.12
2736.4,273.48
2737.8,271.89
2739.3,270.38
2740.7,269.02
2742.2,267.59
2743.6,266.16
2745.1,264.7
2746.5,263.34
2748.0,262.0
2749.4,260.69
2750.9,259.35
2752.4,258.14
2753.8,257.0
2755.3,255.99
2756.7,255.01
2758.2,254.02
2759.7,253.13
2761.1,252.37
2762.6,251.64
2764.1,251.01
2765.6,250.3
2767.0,249.66
2768.5,249.02
2770.0,248.35
2771.5,247.68
2773.0,247.06
2774.4,246.41
2775.9,245.8
2777.4,245.18
2778.9,244.57
2780.4,244.0
2781.9,243.45
2783.4,242.85
2784.9,242.3
2786.4,241.81
2787.9,241.37
2789.4,240.95
2790.9,240.58
2792.4,240.23
2793.9,239.97
2795.4,239.7
2796.9,239.52
2798.4,239.4
2799.9,239.27
2801.4,239.2
2802.9,239.26
2804.4,239.34
2806.0,239.37
2807.5,239.43
2809.0,239.59
2810.5,239.77
2812.1,240.01
2813.6,240.26
2815.1,240.52
2816.6,240.83
2818.2,241.18
2819.7,241.54
2821.2,241.91
2822.8,242.29
2824.3,242.69
2825.9,243.13
2827.4,243.55
2828.9,243.97
2830.5,244.44
2832.0,244.87
2833.6,245.35
2835.1,245.84
2836.7,246.27
2838.2,246.72
2839.8,247.2
2841.3,247.61
2842.9,248.01
2844.4,248.4
2846.0,248.77
2847.6,249.18
2849.1,249.63
2850.7,250.04
2852.3,250.41
2853.8,250.78
2855.4,251.15
2857.0,251.57
2858.6,251.9
2860.1,252.2
2861.7,252.55
2863.3,252.93
2864.9,253.31
2866.5,253.64
2868.1,253.94
2869.6,254.25
2871.2,254.58
2872.8,254.9
2874.4,255.2
2876.0,255.54
2877.6,255.83
2879.2,256.1
2880.8,256.39
2882.4,256.65
2884.0,256.9
2885.6,257.15
2887.2,257.43
2888.8,257.71
2890.4,257.93
2892.0,258.13
2893.6,258.39
2895.3,258.63
2896.9,258.83
2898.5,259.02
2900.1,259.24
2901.8,259.48
2903.4,259.69
2905.0,259.84
2906.6,260.01
2908.3,260.21
2909.9,260.36
2911.5,260.48
2913.2,260.72
