Composition,
Date Added,2007-05-18
Formula,
Grain Size Description,<45.0um
Grain Size,25.0 - 45.0
Locality,
Minimum Wavelength,300
Sample Name,DB-A-17 F-7 25-45 um
Maximum Wavelength,2600
Database of Origin,ReLab
Other Information,
References,"Shukla A. D. et al. (2001) Proc. Indian Acad. Sci. (Earth Planet. Sci.) 110, 111-132."
Resolution,5.0
Material Class,Rock
Sample Description,Mission Planning (Chandrayaan)
Sample ID,C1DP04D
Original Sample ID,DP-JNG-004-D
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,65.53
305.0,65.77
310.0,66.96
315.0,70.11
320.0,73.39
325.0,75.13
330.0,78.69
335.0,79.95
340.0,81.9
345.0,83.86
350.0,86.78
355.0,89.29
360.0,92.42
365.0,96.91
370.0,101.76
375.0,106.29
380.0,111.31
385.0,116.74
390.0,122.1
395.0,127.35
400.0,131.48
405.0,135.43
410.0,139.14
415.0,143.03
420.0,146.43
425.0,150.61
430.0,154.78
435.0,158.95
440.0,162.83
445.0,166.8
450.0,170.52
455.0,173.88
460.0,177.06
465.0,179.97
470.0,182.58
475.0,185.04
480.0,187.65
485.0,190.15
490.0,192.66
495.0,195.29
500.0,197.85
505.0,200.51
510.0,203.13
515.0,206.61
520.0,209.71
525.0,212.58
530.0,215.08
535.0,217.69
540.0,219.61
545.0,221.82
550.0,223.04
555.0,224.85
560.0,226.08
565.0,227.28
570.0,227.97
575.0,228.87
580.0,229.53
585.0,230.35
590.0,230.75
595.0,231.68
600.0,231.99
605.0,232.63
610.0,233.2
615.0,234.11
620.0,234.87
625.0,235.51
630.0,236.4
635.0,237.09
640.0,237.78
645.0,238.62
650.0,239.28
655.0,240.04
660.0,240.76
665.0,241.81
670.0,242.4
675.0,243.34
680.0,244.02
685.0,244.75
690.0,245.8
695.0,246.82
700.0,247.73
705.0,248.69
710.0,249.68
715.0,250.69
720.0,251.76
725.0,252.95
730.0,253.94
735.0,255.25
740.0,256.56
745.0,257.78
750.0,259.17
755.0,260.22
760.0,261.34
765.0,262.59
770.0,263.63
775.0,264.72
780.0,265.74
785.0,266.95
790.0,267.79
795.0,268.51
800.0,269.74
805.0,270.03
810.0,270.81
815.0,271.35
820.0,271.56
825.0,272.03
830.0,273.32
835.0,272.77
840.0,272.41
845.0,272.96
850.0,272.84
855.0,273.19
860.0,272.92
865.0,273.15
870.0,272.18
875.0,271.67
880.0,272.2
885.0,271.61
890.0,271.5
895.0,270.68
900.0,270.66
905.0,269.93
910.0,269.79
915.0,268.78
920.0,267.63
925.0,267.51
930.0,266.7
935.0,266.62
940.0,266.33
945.0,264.89
950.0,263.88
955.0,263.36
960.0,263.5
965.0,262.02
970.0,261.83
975.0,260.05
980.0,259.68
985.0,259.02
990.0,258.94
995.0,257.17
1000.0,257.73
1005.0,256.18
1010.0,256.44
1015.0,256.52
1020.0,255.9
1025.0,256.64
1030.0,256.44
1035.0,256.5
1040.0,256.94
1045.0,257.05
1050.0,258.0
1055.0,259.05
1060.0,258.92
1065.0,260.93
1070.0,261.76
1075.0,262.47
1080.0,263.69
1085.0,264.7
1090.0,266.75
1095.0,267.29
1100.0,268.75
1105.0,270.07
1110.0,272.02
1115.0,273.32
1120.0,274.57
1125.0,275.62
1130.0,276.0
1135.0,277.23
1140.0,279.18
1145.0,279.32
1150.0,279.95
1155.0,281.52
1160.0,282.05
1165.0,282.91
1170.0,284.08
1175.0,284.31
1180.0,285.05
1185.0,285.21
1190.0,286.19
1195.0,286.85
1200.0,286.97
1205.0,287.38
1210.0,288.65
1215.0,288.94
1220.0,289.25
1225.0,289.5
1230.0,289.67
1235.0,290.17
1240.0,290.2
1245.0,290.99
1250.0,291.08
1255.0,291.62
1260.0,292.17
1265.0,292.99
1270.0,293.23
1275.0,293.28
1280.0,293.71
1285.0,293.95
1290.0,294.53
1295.0,294.95
1300.0,295.92
1305.0,295.66
1310.0,296.37
1315.0,296.63
1320.0,297.49
1325.0,297.84
1330.0,298.44
1335.0,298.67
1340.0,299.11
1345.0,299.38
1350.0,300.17
1355.0,299.92
1360.0,300.4
1365.0,300.88
1370.0,300.67
1375.0,301.55
1380.0,302.57
1385.0,303.04
1390.0,302.93
1395.0,303.01
1400.0,302.31
1405.0,302.46
1410.0,303.12
1415.0,303.02
1420.0,303.92
1425.0,304.38
1430.0,304.88
1435.0,305.42
1440.0,305.76
1445.0,306.25
1450.0,306.86
1455.0,306.95
1460.0,307.66
1465.0,308.12
1470.0,307.97
1475.0,308.84
1480.0,309.01
1485.0,309.05
1490.0,309.46
1495.0,310.0
1500.0,310.4
1505.0,310.06
1510.0,310.78
1515.0,311.51
1520.0,311.03
1525.0,311.81
1530.0,312.15
1535.0,312.65
1540.0,312.36
1545.0,311.75
1550.0,312.96
1555.0,313.34
1560.0,313.55
1565.0,313.45
1570.0,313.73
1575.0,313.82
1580.0,314.44
1585.0,314.28
1590.0,314.58
1595.0,314.75
1600.0,314.81
1605.0,314.91
1610.0,315.43
1615.0,315.75
1620.0,315.26
1625.0,315.29
1630.0,315.68
1635.0,315.84
1640.0,316.32
1645.0,316.28
1650.0,316.63
1655.0,316.36
1660.0,316.82
1665.0,316.3
1670.0,316.91
1675.0,316.62
1680.0,317.39
1685.0,316.94
1690.0,316.85
1695.0,317.74
1700.0,317.51
1705.0,317.61
1710.0,317.73
1715.0,317.56
1720.0,317.77
1725.0,318.02
1730.0,317.69
1735.0,317.94
1740.0,317.63
1745.0,317.64
1750.0,317.61
1755.0,317.99
1760.0,318.07
1765.0,317.55
1770.0,317.82
1775.0,317.82
1780.0,317.83
1785.0,318.11
1790.0,318.21
1795.0,318.03
1800.0,318.06
1805.0,318.02
1810.0,317.95
1815.0,317.8
1820.0,318.65
1825.0,318.24
1830.0,318.36
1835.0,318.1
1840.0,318.27
1845.0,317.39
1850.0,317.07
1855.0,317.46
1860.0,316.99
1865.0,316.98
1870.0,317.63
1875.0,315.97
1880.0,315.67
1885.0,315.27
1890.0,313.88
1895.0,313.21
1900.0,311.11
1905.0,310.44
1910.0,309.6
1915.0,309.87
1920.0,309.89
1925.0,310.21
1930.0,310.1
1935.0,311.03
1940.0,310.54
1945.0,311.61
1950.0,311.08
1955.0,310.97
1960.0,310.08
1965.0,311.68
1970.0,310.98
1975.0,310.89
1980.0,311.9
