Composition,
Date Added,2007-04-26
Formula,
Grain Size Description,<125.0um
Grain Size,0.0 - 125.0
Locality,
Minimum Wavelength,300
Sample Name,M-LL5-860 (Tuxtac LL5) bulk <125 um
Maximum Wavelength,2600
Database of Origin,ReLab
Other Information,
References,
Resolution,5.0
Material Class,Rock
Sample Description,Asteroid-meteorite comparison
Sample ID,C1DP07
Original Sample ID,DP-JNG-007
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,84.56
305.0,87.94
310.0,87.35
315.0,90.56
320.0,94.52
325.0,101.0
330.0,105.57
335.0,112.4
340.0,120.15
345.0,128.32
350.0,135.99
355.0,145.49
360.0,154.58
365.0,164.84
370.0,171.0
375.0,179.61
380.0,185.88
385.0,189.05
390.0,197.59
395.0,202.34
400.0,206.45
405.0,211.25
410.0,217.48
415.0,221.89
420.0,225.46
425.0,229.08
430.0,232.71
435.0,236.01
440.0,239.82
445.0,242.82
450.0,244.82
455.0,247.14
460.0,250.84
465.0,255.11
470.0,257.89
475.0,261.85
480.0,265.64
485.0,268.15
490.0,270.29
495.0,272.3
500.0,275.92
505.0,279.09
510.0,283.89
515.0,287.8
520.0,291.27
525.0,294.63
530.0,297.96
535.0,301.58
540.0,304.62
545.0,307.25
550.0,309.66
555.0,313.04
560.0,315.07
565.0,317.17
570.0,317.6
575.0,319.73
580.0,321.37
585.0,323.25
590.0,324.1
595.0,327.34
600.0,327.82
605.0,328.3
610.0,328.7
615.0,329.28
620.0,329.58
625.0,330.52
630.0,330.9
635.0,332.21
640.0,333.02
645.0,334.82
650.0,336.66
655.0,337.45
660.0,339.36
665.0,341.02
670.0,342.57
675.0,343.28
680.0,344.81
685.0,345.92
690.0,345.12
695.0,346.25
700.0,346.64
705.0,347.71
710.0,348.22
715.0,348.47
720.0,348.6
725.0,348.53
730.0,347.27
735.0,346.62
740.0,345.82
745.0,344.05
750.0,342.36
755.0,337.93
760.0,337.52
765.0,334.24
770.0,331.11
775.0,327.44
780.0,323.88
785.0,319.39
790.0,316.56
795.0,312.18
800.0,309.9
805.0,303.33
810.0,298.8
815.0,293.76
820.0,288.1
825.0,284.27
830.0,279.64
835.0,274.18
840.0,270.71
845.0,265.88
850.0,262.08
855.0,257.73
860.0,252.94
865.0,249.28
870.0,245.32
875.0,242.99
880.0,239.37
885.0,236.87
890.0,235.07
895.0,231.96
900.0,230.45
905.0,228.24
910.0,226.53
915.0,224.38
920.0,222.59
925.0,221.54
930.0,220.79
935.0,220.33
940.0,219.46
945.0,218.22
950.0,217.59
955.0,217.43
960.0,218.02
965.0,217.25
970.0,217.35
975.0,217.44
980.0,217.61
985.0,217.62
990.0,218.18
995.0,218.73
1000.0,218.95
1005.0,218.3
1010.0,219.13
1015.0,219.85
1020.0,220.11
1025.0,221.74
1030.0,221.94
1035.0,222.27
1040.0,223.0
1045.0,224.38
1050.0,225.61
1055.0,225.83
1060.0,227.07
1065.0,229.09
1070.0,229.49
1075.0,230.99
1080.0,232.91
1085.0,234.09
1090.0,236.28
1095.0,238.06
1100.0,240.45
1105.0,242.14
1110.0,244.47
1115.0,247.38
1120.0,248.6
1125.0,251.6
1130.0,254.36
1135.0,255.87
1140.0,257.04
1145.0,260.0
1150.0,261.99
1155.0,264.35
1160.0,265.8
1165.0,266.86
1170.0,268.2
1175.0,270.33
1180.0,272.22
1185.0,272.11
1190.0,273.94
1195.0,273.42
1200.0,274.59
1205.0,274.09
1210.0,275.37
1215.0,277.48
1220.0,278.61
1225.0,278.39
1230.0,278.96
1235.0,279.2
1240.0,280.08
1245.0,280.45
1250.0,280.92
1255.0,282.3
1260.0,283.25
1265.0,284.5
1270.0,285.28
1275.0,285.71
1280.0,286.62
1285.0,288.34
1290.0,289.87
1295.0,290.27
1300.0,291.81
1305.0,293.98
1310.0,295.32
1315.0,295.42
1320.0,297.07
1325.0,297.58
1330.0,299.19
1335.0,302.09
1340.0,304.02
1345.0,305.0
1350.0,306.83
1355.0,307.91
1360.0,308.63
1365.0,310.0
1370.0,311.92
1375.0,313.76
1380.0,314.82
1385.0,318.25
1390.0,319.7
1395.0,320.67
1400.0,322.37
1405.0,324.18
1410.0,326.08
1415.0,326.82
1420.0,328.04
1425.0,329.3
1430.0,330.51
1435.0,333.12
1440.0,334.48
