Composition,
Date Added,2016-07-29
Formula,
Grain Size Description,<125.0um
Grain Size,0.0 - 125.0
Locality,
Minimum Wavelength,320
Sample Name,LEW 86220 powder <125 um (treated with ETG)
Maximum Wavelength,2550
Database of Origin,ReLab
Other Information,
References,
Resolution,10.0
Material Class,Rock
Sample Description,Treated with ethanolamine thioglycolate (ETG) for removing terrestrial weathering
Sample ID,C1MT314T
Original Sample ID,MT-JPE-314-T
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
320.0,112.16
330.0,118.55
340.0,126.59
350.0,133.9
360.0,141.89
370.0,152.32
380.0,166.79
390.0,177.56
400.0,188.55
410.0,197.42
420.0,204.78
430.0,211.83
440.0,219.69
450.0,226.28
460.0,231.51
470.0,236.02
480.0,241.63
490.0,249.22
500.0,257.91
510.0,268.55
520.0,279.09
530.0,288.48
540.0,296.06
550.0,301.67
560.0,307.67
570.0,311.39
580.0,313.18
590.0,314.31
600.0,313.96
610.0,312.79
620.0,311.29
630.0,310.88
640.0,310.36
650.0,312.29
660.0,313.07
670.0,316.94
680.0,321.95
690.0,322.29
700.0,327.12
710.0,333.2
720.0,337.18
730.0,341.21
740.0,342.96
750.0,343.49
760.0,342.61
770.0,340.99
780.0,337.14
790.0,333.08
800.0,326.0
810.0,319.52
820.0,310.47
830.0,302.56
840.0,293.93
850.0,285.78
860.0,279.43
870.0,272.9
880.0,267.14
890.0,262.59
900.0,259.03
910.0,256.17
920.0,254.39
930.0,254.42
940.0,255.25
950.0,256.17
960.0,258.85
970.0,261.31
980.0,266.03
990.0,268.44
1000.0,273.09
1010.0,277.4
1020.0,280.46
1030.0,285.01
1040.0,288.62
1050.0,293.22
1060.0,297.24
1070.0,302.33
1080.0,306.96
1090.0,312.22
1100.0,318.13
1110.0,322.74
1120.0,328.74
1130.0,333.9
1140.0,338.52
1150.0,342.15
1160.0,346.12
1170.0,349.41
1180.0,350.54
1190.0,354.58
1200.0,355.53
1210.0,357.68
1220.0,358.48
1230.0,359.26
1240.0,360.71
1250.0,361.94
1260.0,363.49
1270.0,363.54
1280.0,365.26
1290.0,365.6
1300.0,366.12
1310.0,366.95
1320.0,368.23
1330.0,368.38
1340.0,368.61
1350.0,369.9
1360.0,370.01
1370.0,370.01
1380.0,372.2
1390.0,371.59
1400.0,370.32
1410.0,370.98
1420.0,370.95
1430.0,370.67
1440.0,370.44
1450.0,369.67
1460.0,369.33
1470.0,368.84
1480.0,368.39
1490.0,367.15
1500.0,366.69
1510.0,366.74
1520.0,366.11
1530.0,364.2
1540.0,363.16
1550.0,362.5
1560.0,361.46
1570.0,360.22
1580.0,358.24
1590.0,357.53
1600.0,356.02
1610.0,354.28
1620.0,352.83
1630.0,351.39
1640.0,350.71
1650.0,348.55
1660.0,347.28
1670.0,344.96
1680.0,344.17
1690.0,342.24
1700.0,340.95
1710.0,339.9
1720.0,338.68
1730.0,337.6
1740.0,335.86
1750.0,335.33
1760.0,334.72
1770.0,332.92
1780.0,332.04
1790.0,331.62
1800.0,331.01
1810.0,329.61
1820.0,329.93
1830.0,329.35
1840.0,328.9
1850.0,328.93
1860.0,328.07
1870.0,328.84
1880.0,328.59
1890.0,328.41
1900.0,327.75
1910.0,327.88
1920.0,328.12
1930.0,327.78
1940.0,328.62
1950.0,328.34
1960.0,329.63
1970.0,330.67
1980.0,331.22
1990.0,333.14
2000.0,333.33
2010.0,334.79
2020.0,335.82
2030.0,336.46
2040.0,337.27
2050.0,338.56
2060.0,339.78
2070.0,340.82
2080.0,341.99
2090.0,342.04
2100.0,342.84
2110.0,344.7
2120.0,345.08
2130.0,346.19
2140.0,346.82
2150.0,347.34
2160.0,348.46
2170.0,350.74
2180.0,350.53
2190.0,352.12
2200.0,352.44
2210.0,353.56
2220.0,354.25
2230.0,354.16
2240.0,353.6
2250.0,354.05
2260.0,354.26
2270.0,354.27
2280.0,354.85
2290.0,354.67
2300.0,353.93
2310.0,354.33
2320.0,354.54
2330.0,354.85
2340.0,355.44
2350.0,355.09
2360.0,355.35
2370.0,355.61
2380.0,355.68
2390.0,356.98
2400.0,357.99
2410.0,358.57
2420.0,358.94
2430.0,359.42
2440.0,359.9
2450.0,360.64
2460.0,361.48
2470.0,361.4
2480.0,363.47
2490.0,362.83
2500.0,362.12
2510.0,362.68
2520.0,363.53
2530.0,364.84
2540.0,363.93
2550.0,364.5
