Composition,
Date Added,2011-10-06
Formula,
Grain Size Description,<30.0um
Grain Size,2.0 - 30.0
Locality,
Minimum Wavelength,320
Sample Name,25% KGa-2 + 75% TR-M
Maximum Wavelength,25050
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Mineral
Sample Description,
Sample ID,BKR1JM107
Original Sample ID,JM-JRM-107
Viewing Geometry,
Wavelength,Response
320.0,238.6
330.0,275.86
340.0,322.28
350.0,368.81
360.0,408.49
370.0,446.31
380.0,479.82
390.0,517.36
400.0,544.38
410.0,564.08
420.0,580.48
430.0,597.44
440.0,616.05
450.0,634.91
460.0,649.75
470.0,658.81
480.0,667.93
490.0,678.55
500.0,691.6
510.0,704.97
520.0,717.68
530.0,729.68
540.0,739.45
550.0,749.54
560.0,757.36
570.0,764.69
580.0,770.09
590.0,775.74
600.0,778.85
610.0,781.84
620.0,784.82
630.0,788.02
640.0,789.44
650.0,791.35
660.0,792.14
670.0,792.81
680.0,792.75
690.0,795.15
700.0,796.33
710.0,798.56
720.0,799.72
730.0,801.2
740.0,800.59
750.0,802.51
760.0,802.12
770.0,804.71
780.0,804.91
790.0,804.76
800.0,803.71
810.0,805.06
820.0,803.27
830.0,803.69
840.0,804.99
850.0,804.47
860.0,806.16
870.0,802.49
870.3,802.74
870.4,801.62
870.6,800.73
870.7,801.85
870.8,801.12
871.0,798.52
871.1,799.87
871.3,802.12
871.4,802.41
871.6,801.51
871.7,800.96
871.9,801.88
872.0,804.5
872.2,803.02
872.3,800.68
872.5,801.59
872.6,802.29
872.8,802.97
872.9,801.92
873.0,801.79
873.2,803.47
873.3,802.9
873.5,801.49
873.6,801.45
873.8,803.15
873.9,802.92
874.1,800.42
874.2,800.17
874.4,800.19
874.5,799.97
874.7,802.29
874.8,804.38
875.0,804.33
875.1,802.38
875.3,801.23
875.4,802.52
875.5,803.64
875.7,802.69
875.8,801.73
876.0,800.94
876.2,800.6
876.3,801.98
876.4,802.41
876.6,803.36
876.7,803.56
876.9,801.65
877.0,801.51
877.2,801.71
877.3,801.73
877.5,802.25
877.6,802.92
877.8,803.6
877.9,802.36
878.1,801.78
878.2,802.63
878.4,802.89
878.5,802.11
878.7,803.22
878.8,802.6
879.0,800.79
879.1,801.61
879.3,801.7
879.4,800.78
879.6,800.8
879.7,800.69
879.9,801.51
880.0,803.38
880.2,804.43
880.3,803.67
880.5,802.23
880.6,803.0
880.8,801.72
880.9,799.9
881.1,800.73
881.2,801.12
881.4,801.51
881.5,802.07
881.7,800.51
881.8,801.23
882.0,801.21
882.1,799.66
882.3,799.91
882.4,800.52
882.6,800.32
882.7,800.68
882.9,801.76
883.0,803.23
883.2,802.89
883.3,801.7
883.5,800.67
883.6,800.69
883.8,801.15
883.9,801.59
884.1,801.17
884.2,800.48
884.4,799.32
884.5,799.32
884.7,801.49
884.8,801.75
885.0,800.9
885.1,800.33
885.3,798.9
885.4,798.48
885.6,798.06
885.7,797.34
885.9,797.66
886.0,798.95
886.2,798.27
886.3,798.46
886.5,799.93
886.6,799.78
886.8,797.45
886.9,796.25
887.1,798.09
887.2,800.13
887.4,801.08
887.5,799.74
887.7,798.49
887.8,799.02
888.0,799.53
888.2,800.35
888.3,799.79
888.5,799.76
888.6,799.27
888.8,798.87
888.9,799.43
889.1,799.99
889.2,799.46
889.4,798.33
889.5,798.91
889.7,799.59
889.8,799.18
890.0,798.64
890.1,798.51
890.3,797.89
890.4,798.53
890.6,798.87
890.8,799.86
890.9,801.04
891.0,801.46
891.2,801.62
891.4,801.19
891.5,800.29
891.7,801.0
891.8,801.42
892.0,800.3
892.1,800.09
892.3,799.67
892.4,799.32
892.6,799.56
892.7,801.03
892.9,801.17
893.0,799.97
893.2,800.22
893.4,800.56
893.5,800.23
893.7,799.54
893.8,799.57
894.0,799.46
894.1,799.11
894.3,800.01
894.4,800.64
894.6,800.91
894.7,800.41
894.9,800.73
895.0,800.4
895.2,799.54
895.4,800.3
895.5,800.01
895.7,799.74
895.8,800.87
896.0,800.84
896.1,800.23
896.3,800.97
896.4,800.75
896.6,800.27
896.8,801.36
896.9,801.53
897.1,801.08
897.2,801.05
897.4,800.93
897.5,800.83
897.7,800.46
897.8,800.52
898.0,801.06
898.2,800.74
898.3,799.91
898.5,799.82
898.6,799.41
898.8,799.93
898.9,800.68
899.1,800.02
899.2,800.77
899.4,801.47
899.6,801.64
899.7,801.61
899.9,801.41
900.0,800.83
900.2,800.29
900.3,800.02
900.5,799.74
900.7,799.86
900.8,800.73
901.0,801.02
901.1,800.7
901.3,801.02
901.4,800.96
901.6,801.1
901.8,801.55
901.9,801.07
902.1,801.43
902.2,801.96
902.4,801.22
902.5,800.51
902.7,801.32
902.8,801.17
903.0,800.17
903.2,800.36
903.3,800.53
903.5,800.58
903.6,801.87
903.8,802.5
904.0,800.48
904.1,799.17
904.3,800.66
904.4,801.2
904.6,800.5
904.7,800.81
904.9,800.82
905.0,800.79
905.2,801.35
905.4,801.9
905.5,801.3
905.7,800.36
905.8,800.65
906.0,800.37
906.2,800.32
906.3,800.85
906.5,800.67
906.6,799.76
906.8,799.97
907.0,800.62
907.1,801.19
907.3,801.07
907.4,800.74
907.6,800.57
907.7,800.65
907.9,801.63
908.1,801.39
908.2,801.17
908.4,800.93
908.5,800.98
908.7,801.04
908.9,800.56
909.0,800.51
909.2,799.95
909.3,799.87
909.5,800.38
909.7,800.52
909.8,800.93
910.0,800.23
910.1,800.37
910.3,801.41
910.5,800.53
910.6,800.07
910.8,799.86
910.9,799.64
911.1,800.55
911.3,801.11
911.4,801.32
911.6,801.28
911.7,799.95
911.9,799.43
912.1,799.61
912.2,799.57
912.4,800.08
912.5,800.0
912.7,800.15
912.9,800.41
913.0,800.56
913.2,801.19
913.3,801.79
913.5,801.48
913.7,800.87
913.8,800.51
914.0,800.32
914.2,801.32
914.3,802.47
914.5,801.77
914.6,800.66
914.8,800.63
915.0,800.7
915.1,801.01
915.3,800.44
915.4,799.66
915.6,799.77
915.8,799.65
915.9,799.85
916.1,800.45
916.3,799.71
916.4,799.5
916.6,799.97
916.7,799.84
916.9,798.73
917.1,799.04
917.2,799.5
917.4,799.08
917.5,799.97
917.7,801.33
917.9,800.64
918.0,798.92
918.2,798.68
918.4,799.51
918.5,800.2
918.7,800.5
918.8,800.29
919.0,799.86
919.2,800.11
919.3,800.46
919.5,801.11
919.7,801.21
919.8,799.73
920.0,799.71
920.2,799.61
920.3,799.09
920.5,799.24
920.6,800.33
920.8,800.9
921.0,800.46
921.1,799.43
921.3,799.02
921.5,799.26
921.6,799.59
921.8,799.67
922.0,799.19
922.1,798.69
922.3,799.44
922.4,800.07
922.6,799.87
922.8,799.75
922.9,799.87
923.1,799.71
923.3,799.17
923.4,799.49
923.6,799.33
923.8,798.21
923.9,798.81
924.1,799.3
924.3,799.54
924.4,800.1
924.6,800.26
924.7,799.71
924.9,799.03
925.1,798.68
925.2,798.97
925.4,799.62
925.6,800.15
925.7,799.8
925.9,799.43
926.1,799.54
926.2,799.79
926.4,798.8
926.6,798.69
926.7,799.13
926.9,799.21
927.1,799.48
927.2,799.67
927.4,799.69
927.6,799.43
927.7,799.02
927.9,799.01
928.0,799.81
928.2,800.15
928.4,799.68
928.5,799.6
928.7,799.77
928.9,799.7
929.0,800.23
929.2,800.18
929.4,800.66
929.5,800.98
929.7,800.51
929.9,799.68
930.0,798.88
930.2,798.61
930.4,798.96
930.5,799.64
930.7,799.28
930.9,799.89
931.0,800.28
931.2,798.83
931.4,798.4
931.6,799.6
931.7,799.89
931.9,799.69
932.1,799.06
932.2,798.19
932.4,798.38
932.6,799.62
932.7,800.03
932.9,799.2
933.1,798.92
933.2,798.41
933.4,797.84
933.6,798.65
933.7,799.43
933.9,799.96
934.1,800.61
934.2,800.01
934.4,798.45
934.6,797.58
934.8,798.06
934.9,799.46
935.1,799.74
935.3,798.88
935.4,797.97
935.6,798.13
935.8,798.86
935.9,798.5
936.1,798.08
936.3,799.25
936.4,799.06
936.6,798.0
936.8,797.76
936.9,797.48
937.1,797.79
937.3,798.17
937.5,797.95
937.6,798.53
937.8,799.14
938.0,798.26
938.1,797.02
938.3,797.18
938.5,798.07
938.6,798.02
938.8,797.76
939.0,797.84
939.2,797.64
939.3,798.1
939.5,797.86
939.7,797.71
939.8,797.67
940.0,797.73
940.2,798.04
940.3,798.14
940.5,797.96
940.7,797.7
940.8,797.31
941.0,796.76
941.2,796.87
941.4,797.35
941.5,798.02
941.7,798.55
941.9,798.47
942.0,797.83
942.2,797.58
942.4,797.5
942.6,796.81
942.7,797.07
942.9,797.61
943.1,797.9
943.3,797.91
943.4,797.87
943.6,797.66
943.8,797.57
943.9,797.42
944.1,796.91
944.3,796.43
944.5,796.85
944.6,796.86
944.8,796.13
945.0,795.96
945.1,796.04
945.3,795.83
945.5,796.09
945.7,796.2
945.8,796.01
946.0,795.99
946.2,796.67
946.3,796.83
946.5,796.9
946.7,796.75
946.9,795.96
947.0,795.49
947.2,796.09
947.4,796.34
947.6,795.49
947.7,795.46
947.9,795.7
948.1,795.6
948.3,795.58
948.4,795.88
948.6,796.31
948.8,795.78
949.0,795.54
949.1,796.05
949.3,796.65
949.5,796.92
949.6,797.51
949.8,797.48
950.0,796.6
950.2,796.49
950.3,796.9
950.5,797.1
950.7,796.84
950.9,797.0
951.0,796.94
951.2,796.93
951.4,796.93
951.6,797.27
951.7,797.57
951.9,797.36
952.1,796.81
952.3,796.78
952.4,797.29
952.6,797.5
952.8,797.58
953.0,797.33
953.1,797.03
953.3,796.93
953.5,796.81
953.7,796.48
953.8,796.97
954.0,796.69
954.2,796.71
954.4,796.99
954.5,797.12
954.7,797.17
954.9,797.57
955.1,797.97
955.2,797.55
955.4,797.28
955.6,797.45
955.8,797.79
956.0,797.65
956.1,797.37
956.3,797.47
956.5,797.65
956.7,797.04
956.8,796.34
957.0,796.76
957.2,796.84
957.4,797.12
957.5,797.36
957.7,797.29
957.9,796.93
958.1,796.65
958.2,796.54
958.4,797.43
958.6,797.72
958.8,797.06
959.0,797.07
959.1,797.12
959.3,796.73
959.5,796.45
959.7,796.97
959.8,797.19
960.0,797.3
960.2,797.71
960.4,797.94
960.5,797.4
960.7,796.77
960.9,796.6
961.1,796.52
961.3,796.19
961.4,796.75
961.6,797.1
961.8,796.85
962.0,796.66
962.2,796.9
962.3,796.58
962.5,796.0
962.7,796.19
962.9,797.08
963.0,797.15
963.2,797.06
963.4,797.12
963.6,796.69
963.8,796.24
963.9,796.45
964.1,796.59
964.3,796.38
964.5,796.52
964.7,796.6
964.8,796.31
965.0,796.07
965.2,795.71
965.4,795.44
965.6,795.99
965.7,796.09
965.9,795.93
966.1,796.44
966.3,796.77
966.5,796.25
966.6,796.16
966.8,795.69
967.0,795.64
967.2,796.01
967.4,796.1
967.5,796.11
967.7,796.08
967.9,796.24
968.1,795.87
968.3,795.42
968.4,795.57
968.6,796.09
968.8,796.63
969.0,796.88
969.2,796.33
969.3,796.28
969.5,796.77
969.7,796.84
969.9,796.83
970.1,796.83
970.3,796.73
970.4,797.37
970.6,797.62
970.8,796.98
971.0,797.27
971.2,797.64
971.3,797.41
971.5,797.46
971.7,797.74
971.9,797.62
972.1,797.45
972.3,797.28
972.4,797.44
972.6,797.36
972.8,797.34
973.0,797.7
973.2,798.02
973.3,797.57
973.5,797.05
973.7,797.39
973.9,797.89
974.1,798.03
974.3,797.96
974.5,797.78
974.6,797.34
974.8,797.23
975.0,797.89
975.2,798.4
975.4,798.32
975.5,798.43
975.7,798.0
975.9,797.44
976.1,797.97
976.3,798.33
976.5,798.1
976.7,797.69
976.8,797.82
977.0,798.13
977.2,798.33
977.4,798.33
977.6,798.05
977.8,798.15
977.9,798.15
978.1,798.09
978.3,798.52
978.5,798.41
978.7,798.22
978.9,798.02
979.0,797.83
979.2,797.81
979.4,797.81
979.6,797.73
979.8,797.77
980.0,797.92
980.2,798.23
980.3,798.17
980.5,797.85
980.7,797.93
980.9,798.36
981.1,798.62
981.3,798.49
981.5,798.1
981.7,798.53
981.8,798.59
982.0,798.16
982.2,797.93
982.4,798.16
982.6,798.53
982.8,798.54
983.0,798.46
983.1,798.14
983.3,797.68
983.5,797.9
983.7,798.48
983.9,798.1
984.1,797.82
984.3,797.81
984.4,798.15
984.6,798.43
984.8,798.14
985.0,798.13
985.2,798.53
985.4,798.71
985.6,798.39
985.8,798.23
985.9,798.21
986.1,798.11
986.3,798.45
986.5,798.5
986.7,798.15
986.9,798.51
987.1,798.66
987.3,798.59
987.4,798.61
987.6,798.77
987.8,798.95
988.0,798.57
988.2,798.36
988.4,798.83
988.6,799.18
988.8,799.11
989.0,798.86
989.1,798.97
989.3,799.16
989.5,798.9
989.7,798.5
989.9,798.8
990.1,799.11
990.3,799.17
990.5,798.92
990.7,798.55
990.8,798.84
991.0,798.77
991.2,798.39
991.4,798.68
991.6,798.87
991.8,798.73
992.0,798.64
992.2,798.51
992.4,798.12
992.5,798.11
992.7,798.45
992.9,798.57
993.1,798.76
993.3,799.05
993.5,798.92
993.7,798.78
993.9,798.41
994.1,798.19
994.3,798.37
994.5,798.66
994.6,798.48
994.8,798.52
995.0,798.93
995.2,799.11
995.4,798.86
995.6,798.73
995.8,798.62
996.0,798.92
996.2,799.01
996.4,799.14
996.5,799.08
996.7,798.89
996.9,798.79
997.1,798.75
997.3,798.54
997.5,798.37
997.7,798.35
997.9,798.6
998.1,798.31
998.3,798.55
998.5,799.02
998.7,799.0
998.9,798.78
999.0,798.78
999.2,798.49
999.4,798.39
999.6,798.62
999.8,798.73
1000.0,798.52
1000.2,798.65
1000.4,798.94
1000.6,799.27
1000.8,799.26
1001.0,799.27
1001.2,799.33
1001.4,799.09
1001.6,798.84
1001.8,798.71
1001.9,798.56
1002.1,798.49
1002.3,798.19
1002.5,798.52
1002.7,798.99
1002.9,799.08
1003.1,798.57
1003.3,798.65
1003.5,799.29
1003.7,799.46
