Composition,
Date Added,2011-10-03
Formula,
Grain Size Description,<30.0um
Grain Size,2.0 - 30.0
Locality,
Minimum Wavelength,320
Sample Name,25% KGa-2 + 75% TR-M
Maximum Wavelength,2550
Database of Origin,ReLab
Other Information,
References,
Resolution,10.0
Material Class,Mineral
Sample Description,
Sample ID,C1JM107
Original Sample ID,JM-JRM-107
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
320.0,238.6
330.0,275.86
340.0,322.28
350.0,368.81
360.0,408.49
370.0,446.31
380.0,479.82
390.0,517.36
400.0,544.38
410.0,564.08
420.0,580.48
430.0,597.44
440.0,616.05
450.0,634.91
460.0,649.75
470.0,658.81
480.0,667.93
490.0,678.55
500.0,691.6
510.0,704.97
520.0,717.68
530.0,729.68
540.0,739.45
550.0,749.54
560.0,757.36
570.0,764.69
580.0,770.09
590.0,775.74
600.0,778.85
610.0,781.84
620.0,784.82
630.0,788.02
640.0,789.44
650.0,791.35
660.0,792.14
670.0,792.81
680.0,792.75
690.0,795.15
700.0,796.33
710.0,798.56
720.0,799.72
730.0,801.2
740.0,800.59
750.0,802.51
760.0,802.12
770.0,804.71
780.0,804.91
790.0,804.76
800.0,803.71
810.0,805.06
820.0,803.27
830.0,803.69
840.0,804.99
850.0,804.47
860.0,806.16
870.0,802.49
880.0,804.0
890.0,802.2
900.0,803.6
910.0,804.32
920.0,802.23
930.0,803.43
940.0,803.03
950.0,799.65
960.0,799.99
970.0,798.36
980.0,801.72
990.0,801.88
1000.0,802.11
1010.0,801.89
1020.0,803.27
1030.0,803.53
1040.0,804.8
1050.0,802.58
1060.0,803.85
1070.0,804.64
1080.0,805.17
1090.0,804.7
1100.0,805.73
1110.0,806.27
1120.0,805.48
1130.0,804.04
1140.0,803.62
1150.0,799.35
1160.0,799.74
1170.0,799.89
1180.0,802.27
1190.0,802.45
1200.0,802.74
1210.0,803.16
1220.0,803.04
1230.0,803.22
1240.0,803.96
1250.0,804.17
1260.0,804.13
1270.0,804.51
1280.0,802.92
1290.0,801.62
1300.0,798.77
1310.0,795.35
1320.0,794.46
1330.0,791.35
1340.0,787.58
1350.0,782.07
1360.0,772.22
1370.0,768.2
1380.0,743.27
1390.0,706.07
1400.0,661.37
1410.0,629.62
1420.0,629.96
1430.0,663.46
1440.0,682.9
1450.0,693.02
1460.0,694.8
1470.0,700.42
1480.0,713.82
1490.0,724.64
1500.0,732.12
1510.0,739.17
1520.0,745.44
1530.0,750.39
1540.0,754.13
1550.0,758.47
1560.0,761.1
1570.0,762.79
1580.0,766.68
1590.0,768.93
1600.0,769.25
1610.0,771.36
1620.0,772.31
1630.0,773.74
1640.0,774.42
1650.0,775.82
1660.0,774.6
1670.0,775.52
1680.0,774.0
1690.0,772.65
1700.0,772.26
1710.0,770.54
1720.0,767.71
1730.0,766.07
1740.0,762.96
1750.0,760.68
1760.0,757.77
1770.0,755.39
1780.0,752.26
1790.0,750.73
1800.0,747.7
1810.0,747.6
1820.0,746.29
1830.0,747.05
1840.0,746.06
1850.0,738.1
1860.0,728.88
1870.0,703.84
1880.0,661.81
1890.0,580.92
1900.0,466.17
1910.0,421.48
1920.0,451.14
1930.0,484.45
1940.0,507.1
1950.0,518.25
1960.0,529.85
1970.0,539.75
1980.0,552.05
1990.0,566.24
2000.0,581.2
2010.0,596.38
2020.0,609.65
2030.0,617.76
2040.0,626.83
2050.0,632.81
2060.0,637.13
2070.0,641.82
2080.0,643.49
2090.0,645.13
2100.0,646.98
2110.0,648.41
2120.0,650.42
2130.0,651.87
2140.0,646.66
2150.0,634.12
2160.0,621.05
2170.0,613.32
2180.0,604.7
2190.0,589.83
2200.0,562.09
2210.0,522.11
2220.0,566.57
2230.0,589.17
2240.0,596.81
2250.0,603.45
2260.0,607.56
2270.0,605.68
2280.0,599.72
2290.0,593.21
2300.0,583.18
2310.0,571.04
2320.0,562.26
2330.0,556.34
2340.0,545.02
2350.0,529.53
2360.0,518.6
2370.0,509.96
2380.0,494.25
2390.0,484.99
2400.0,478.93
2410.0,469.55
2420.0,458.34
2430.0,446.17
2440.0,431.92
2450.0,420.63
2460.0,410.94
2470.0,402.72
2480.0,394.76
2490.0,385.02
2500.0,376.24
2510.0,369.33
2520.0,361.93
2530.0,357.98
2540.0,353.8
2550.0,354.54
