Composition,
Date Added,2015-10-11
Formula,
Grain Size Description,<0.0um
Grain Size,0.0 - 0.0
Locality,
Minimum Wavelength,320
Sample Name,Synthetic MnS
Maximum Wavelength,25050
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Mineral
Sample Description,
Sample ID,BKR1WV005
Original Sample ID,WV-JWH-005
Viewing Geometry,
Wavelength,Response
320.0,35.5
330.0,35.63
340.0,35.22
350.0,34.5
360.0,33.91
370.0,33.62
380.0,33.61
390.0,33.98
400.0,34.52
410.0,34.64
420.0,36.29
430.0,39.03
440.0,42.52
450.0,43.0
460.0,45.71
470.0,57.59
480.0,73.58
490.0,84.84
500.0,80.72
510.0,76.5
520.0,77.96
530.0,84.49
540.0,96.32
550.0,110.4
560.0,117.07
570.0,107.24
580.0,93.42
590.0,84.4
600.0,81.24
610.0,81.57
620.0,84.54
630.0,89.96
640.0,98.27
650.0,109.66
660.0,124.94
670.0,145.52
680.0,168.09
690.0,190.92
700.0,208.6
710.0,220.56
720.0,229.01
730.0,234.45
740.0,238.75
750.0,242.91
760.0,246.29
770.0,249.77
780.0,253.24
790.0,256.94
800.0,259.79
810.0,263.46
820.0,266.35
830.0,269.85
840.0,272.64
850.0,275.92
860.0,279.46
870.0,282.91
880.0,286.12
890.0,289.78
900.0,293.71
910.0,297.21
920.0,301.21
930.0,304.5
940.0,308.15
950.0,310.92
950.3,310.74
950.5,310.88
950.7,311.04
950.9,311.3
951.0,311.32
951.2,311.14
951.4,311.09
951.6,311.16
951.7,311.27
951.9,311.6
952.1,311.47
952.3,311.11
952.4,311.04
952.6,311.38
952.8,312.0
953.0,312.15
953.1,312.06
953.3,312.05
953.5,311.83
953.7,311.55
953.8,311.82
954.0,311.83
954.2,311.99
954.4,312.39
954.5,312.3
954.7,312.07
954.9,312.42
955.1,312.6
955.2,312.26
955.4,312.0
955.6,311.94
955.8,312.09
956.0,312.37
956.1,312.61
956.3,312.79
956.5,312.7
956.7,312.78
956.8,312.91
957.0,312.81
957.2,312.86
957.4,312.95
957.5,313.04
957.7,312.99
957.9,312.97
958.1,313.32
958.2,313.3
958.4,313.18
958.6,313.22
958.8,313.21
959.0,313.05
959.1,312.95
959.3,313.32
959.5,313.88
959.7,313.84
959.8,313.55
960.0,313.39
960.2,313.55
960.4,313.56
960.5,313.63
960.7,314.08
960.9,314.31
961.1,314.18
961.3,314.07
961.4,314.19
961.6,314.41
961.8,314.14
962.0,314.11
962.2,314.37
962.3,314.5
962.5,314.67
962.7,314.63
962.9,314.51
963.0,314.36
963.2,314.27
963.4,314.58
963.6,315.02
963.8,315.09
963.9,314.84
964.1,314.85
964.3,314.82
964.5,315.01
964.7,315.31
964.8,315.54
965.0,315.58
965.2,315.39
965.4,315.45
965.6,315.4
965.7,315.63
965.9,315.74
966.1,315.47
966.3,315.49
966.5,315.62
966.6,315.68
966.8,316.02
967.0,316.16
967.2,315.85
967.4,315.89
967.5,316.1
967.7,316.0
967.9,316.02
968.1,316.2
968.3,316.18
968.4,316.25
968.6,316.16
968.8,315.9
969.0,315.96
969.2,316.07
969.3,316.21
969.5,316.29
969.7,316.4
969.9,316.71
970.1,316.83
970.3,316.85
970.4,316.76
970.6,316.72
970.8,316.89
971.0,316.98
971.2,316.98
971.3,316.98
971.5,316.87
971.7,317.21
971.9,317.63
972.1,317.45
972.3,317.26
972.4,317.38
972.6,317.06
972.8,317.03
973.0,317.18
973.2,317.41
973.3,317.83
973.5,317.86
973.7,317.97
973.9,318.21
974.1,317.99
974.3,317.82
974.5,317.87
974.6,317.81
974.8,317.89
975.0,318.21
975.2,318.61
975.4,318.53
975.5,318.38
975.7,318.24
975.9,318.29
976.1,318.85
976.3,319.06
976.5,318.91
976.7,318.77
976.8,318.61
977.0,318.71
977.2,318.8
977.4,318.95
977.6,319.1
977.8,319.06
977.9,319.08
978.1,319.22
978.3,319.13
978.5,318.86
978.7,319.02
978.9,319.38
979.0,319.54
979.2,319.35
979.4,319.33
979.6,319.36
979.8,319.42
980.0,319.6
980.2,319.73
980.3,319.73
980.5,319.83
980.7,320.03
980.9,320.01
981.1,319.89
981.3,319.98
981.5,320.14
981.7,320.14
981.8,320.41
982.0,320.73
982.2,320.51
982.4,320.44
982.6,320.38
982.8,320.51
983.0,320.69
983.1,320.75
983.3,320.78
983.5,320.88
983.7,320.9
983.9,320.81
984.1,320.99
984.3,321.0
984.4,320.89
984.6,321.09
984.8,321.41
985.0,321.7
985.2,321.72
985.4,321.57
985.6,321.37
985.8,321.31
985.9,321.09
986.1,321.26
986.3,321.41
986.5,321.53
986.7,321.85
986.9,321.89
987.1,321.8
987.3,321.98
987.4,322.03
987.6,321.88
987.8,322.0
988.0,321.99
988.2,322.09
988.4,322.32
988.6,322.38
988.8,322.45
989.0,322.53
989.1,322.66
989.3,322.63
989.5,322.45
989.7,322.56
989.9,322.84
990.1,322.64
990.3,322.42
990.5,322.79
990.7,323.14
990.8,323.25
991.0,323.26
991.2,323.15
991.4,323.06
991.6,323.1
991.8,323.16
992.0,323.34
992.2,323.53
992.4,323.56
992.5,323.48
992.7,323.4
992.9,323.29
993.1,323.49
993.3,323.94
993.5,324.01
993.7,324.11
993.9,324.33
994.1,324.28
994.3,324.17
994.5,324.15
994.6,324.27
994.8,324.4
995.0,324.39
995.2,324.27
995.4,324.55
995.6,324.73
995.8,324.65
996.0,324.77
996.2,325.05
996.4,325.25
996.5,325.23
996.7,324.98
996.9,325.09
997.1,325.22
997.3,325.22
997.5,325.44
997.7,325.65
997.9,325.54
998.1,325.53
998.3,325.59
998.5,325.63
998.7,325.63
998.9,325.78
999.0,325.8
999.2,325.75
999.4,325.88
999.6,326.22
999.8,326.37
1000.0,326.24
1000.2,325.94
1000.4,326.04
1000.6,326.15
1000.8,326.27
1001.0,326.39
1001.2,326.35
1001.4,326.35
1001.6,326.55
1001.8,326.69
1001.9,326.64
1002.1,326.56
1002.3,326.58
1002.5,326.55
1002.7,326.57
1002.9,326.66
1003.1,326.74
1003.3,326.92
1003.5,327.38
1003.7,327.57
1003.9,327.53
1004.1,327.44
1004.3,327.3
1004.5,327.3
1004.7,327.36
1004.9,327.41
1005.0,327.35
1005.3,327.45
1005.4,327.74
1005.6,327.92
1005.8,328.03
1006.0,328.22
1006.2,328.16
1006.4,328.03
1006.6,328.23
1006.8,328.35
1007.0,328.29
1007.2,328.28
1007.4,328.26
1007.6,328.48
1007.8,328.64
1008.0,328.86
1008.2,328.81
1008.4,328.55
1008.6,328.6
1008.8,328.88
1009.0,329.01
1009.2,329.18
1009.4,329.38
1009.5,329.37
1009.8,329.24
1010.0,329.11
1010.1,329.26
1010.3,329.46
1010.5,329.39
1010.7,329.28
1010.9,329.27
1011.1,329.44
1011.3,329.65
1011.5,329.67
1011.7,330.0
1011.9,330.3
1012.1,330.15
1012.3,330.01
1012.5,329.95
1012.7,330.07
1012.9,330.27
1013.1,330.32
1013.3,330.4
1013.5,330.44
1013.7,330.37
1013.9,330.4
1014.1,330.64
1014.3,330.71
1014.5,330.68
1014.7,330.76
1014.9,330.97
1015.1,331.02
1015.3,331.06
1015.5,331.15
1015.7,330.99
1015.9,330.88
1016.1,331.19
1016.3,331.45
1016.5,331.27
1016.7,331.19
1016.9,331.3
1017.1,331.57
1017.3,331.62
1017.5,331.69
1017.7,331.8
1017.9,331.7
1018.1,331.55
1018.3,331.59
1018.5,331.99
1018.7,332.3
1018.9,332.3
1019.1,332.16
1019.3,332.26
1019.5,332.41
1019.7,332.36
1019.9,332.55
1020.1,332.84
1020.3,332.95
1020.5,332.97
1020.7,332.85
1020.9,332.86
1021.1,332.84
1021.3,332.91
1021.5,333.25
1021.7,333.36
1021.9,333.09
1022.1,333.21
1022.3,333.66
1022.5,333.78
1022.7,333.59
1022.9,333.52
1023.1,333.65
1023.3,333.87
1023.5,333.97
1023.7,333.65
1023.9,333.65
1024.1,333.89
1024.3,333.71
1024.5,333.78
1024.7,333.99
1024.9,334.12
1025.1,334.23
1025.3,334.32
1025.5,334.36
1025.7,334.43
1025.9,334.63
1026.1,334.7
1026.3,334.65
1026.5,334.68
1026.8,334.73
1026.9,334.79
1027.2,334.81
1027.4,334.99
1027.6,335.04
1027.8,335.17
1028.0,335.33
1028.2,335.33
1028.4,335.39
1028.6,335.53
1028.8,335.38
1029.0,335.49
1029.2,335.76
1029.4,335.64
1029.6,335.53
1029.8,335.73
1030.0,336.0
1030.2,336.14
1030.4,336.05
1030.6,336.0
1030.8,336.07
1031.0,336.2
1031.2,336.26
1031.4,336.19
1031.7,336.25
1031.8,336.48
1032.1,336.6
1032.3,336.48
1032.5,336.48
1032.7,336.86
1032.9,337.11
1033.1,337.06
1033.3,336.99
1033.5,337.06
1033.7,337.16
