Composition,
Date Added,1989-06-01
Formula,
Grain Size Description,<0.0um
Grain Size,0.0 - 0.0
Locality,
Minimum Wavelength,350
Sample Name,"LEW87009,16 "
Maximum Wavelength,2600
Database of Origin,ReLab
Other Information,
References,
Resolution,5.0
Material Class,Rock
Sample Description,
Sample ID,LEWGLU
Original Sample ID,LM-LAM-011
Viewing Geometry,15.0° / 0.0°
Wavelength,Response
350.0,894.85
355.0,940.13
360.0,963.48
365.0,980.44
370.0,986.32
375.0,980.32
380.0,970.64
385.0,976.98
390.0,993.23
395.0,996.52
400.0,1002.23
405.0,1003.48
410.0,1004.93
415.0,998.54
420.0,993.73
425.0,993.92
430.0,988.64
435.0,987.6
440.0,986.2
445.0,984.82
450.0,986.02
455.0,987.3
460.0,988.42
465.0,990.07
470.0,991.43
475.0,990.9
480.0,991.42
485.0,991.72
490.0,993.22
495.0,992.71
500.0,993.55
505.0,994.03
510.0,994.17
515.0,992.42
520.0,992.37
525.0,991.19
530.0,990.54
535.0,989.65
540.0,988.35
545.0,986.9
550.0,986.34
555.0,984.45
560.0,984.61
565.0,981.64
570.0,980.71
575.0,979.12
580.0,977.32
585.0,975.55
590.0,972.26
595.0,971.32
600.0,967.48
605.0,967.08
610.0,963.43
615.0,962.24
620.0,959.5
625.0,956.85
630.0,954.4
635.0,951.76
640.0,949.76
645.0,948.62
650.0,947.27
655.0,943.92
660.0,942.12
665.0,941.73
670.0,939.96
675.0,938.99
680.0,938.27
685.0,934.79
690.0,933.09
695.0,931.58
700.0,931.61
705.0,928.04
710.0,927.38
715.0,924.35
720.0,922.86
725.0,923.05
730.0,919.53
735.0,918.65
740.0,917.7
745.0,916.17
750.0,913.15
755.0,912.96
760.0,909.23
765.0,905.1
770.0,904.96
775.0,904.45
780.0,902.7
785.0,898.24
790.0,896.1
795.0,894.61
800.0,893.84
805.0,891.84
810.0,887.99
815.0,887.24
820.0,886.88
825.0,886.07
830.0,880.16
835.0,880.53
840.0,879.68
845.0,877.89
850.0,876.84
855.0,873.49
860.0,871.51
865.0,870.26
870.0,867.48
875.0,869.84
880.0,865.88
885.0,867.04
890.0,863.74
895.0,862.8
900.0,861.25
905.0,858.57
910.0,857.49
915.0,855.58
920.0,854.94
925.0,855.05
930.0,855.26
935.0,852.9
940.0,852.31
945.0,851.66
950.0,848.78
955.0,849.08
960.0,847.74
965.0,848.85
970.0,846.78
975.0,845.11
980.0,844.03
985.0,843.67
990.0,844.49
995.0,844.87
1000.0,842.9
1005.0,843.89
1010.0,841.9
1015.0,843.22
1020.0,842.08
1025.0,843.42
1030.0,842.23
1035.0,842.12
1040.0,842.41
1045.0,840.37
1050.0,839.03
1055.0,839.71
1060.0,840.28
1065.0,839.05
1070.0,839.55
1075.0,841.13
1080.0,837.83
1085.0,836.76
1090.0,838.02
1095.0,837.34
1100.0,837.25
1105.0,834.74
1110.0,836.03
1115.0,836.11
1120.0,838.77
1125.0,838.15
1130.0,837.33
1135.0,835.6
1140.0,836.09
1145.0,838.39
1150.0,836.75
1155.0,838.67
1160.0,836.98
1165.0,838.67
1170.0,838.8
1175.0,837.3
1180.0,838.4
1185.0,836.83
1190.0,838.44
1195.0,838.89
1200.0,841.05
1205.0,840.46
1210.0,841.29
1215.0,841.92
1220.0,840.86
1225.0,841.39
1230.0,840.82
1235.0,840.13
1240.0,841.78
1245.0,839.89
1250.0,842.36
1255.0,843.19
1260.0,844.9
1265.0,843.62
1270.0,844.86
1275.0,846.42
1280.0,845.61
1285.0,843.97
1290.0,846.19
1295.0,847.97
1300.0,849.64
1305.0,847.69
1310.0,849.13
1315.0,850.66
1320.0,851.93
1325.0,852.46
1330.0,851.98
1335.0,851.11
1340.0,855.51
1345.0,854.14
1350.0,853.06
1355.0,853.91
1360.0,855.89
1365.0,858.65
1370.0,857.72
1375.0,859.8
1380.0,857.78
1385.0,859.3
1390.0,857.27
1395.0,856.97
1400.0,857.66
1405.0,858.54
1410.0,861.13
1415.0,861.17
1420.0,861.29
1425.0,860.13
1430.0,858.79
1435.0,859.75
1440.0,862.63
1445.0,863.91
1450.0,861.03
1455.0,863.91
1460.0,865.98
1465.0,866.76
1470.0,867.02
1475.0,869.84
1480.0,872.16
1485.0,871.67
1490.0,872.52
1495.0,872.98
1500.0,874.41
1505.0,877.89
1510.0,877.53
1515.0,875.91
1520.0,875.88
1525.0,880.26
1530.0,884.28
1535.0,880.01
1540.0,880.45
1545.0,879.2
1550.0,881.23
1555.0,882.35
1560.0,885.99
1565.0,882.55
1570.0,878.0
1575.0,886.37
1580.0,886.02
1585.0,886.86
1590.0,886.38
1595.0,888.75
1600.0,889.33
1605.0,890.27
1610.0,891.9
1615.0,888.63
1620.0,887.53
1625.0,886.17
1630.0,886.97
1635.0,889.72
1640.0,889.81
1645.0,889.98
1650.0,889.69
1655.0,893.71
1660.0,885.04
1665.0,883.54
1670.0,878.08
1675.0,874.47
1680.0,883.15
1685.0,875.2
1690.0,879.3
1695.0,879.52
1700.0,879.87
1705.0,881.77
1710.0,878.69
1715.0,880.34
1720.0,881.4
1725.0,879.49
1730.0,876.23
1735.0,876.77
1740.0,876.41
1745.0,878.16
1750.0,881.03
1755.0,880.24
1760.0,879.36
1765.0,881.5
1770.0,883.82
1775.0,879.81
1780.0,881.38
1785.0,883.21
1790.0,885.43
1795.0,883.74
1800.0,880.52
1805.0,881.18
1810.0,880.02
1815.0,876.95
1820.0,876.76
1825.0,873.96
1830.0,871.66
1835.0,870.41
1840.0,870.85
1845.0,871.52
1850.0,871.63
1855.0,873.37
1860.0,871.78
1865.0,870.27
1870.0,861.53
1875.0,862.08
1880.0,868.03
1885.0,870.09
1890.0,867.94
1895.0,861.35
1900.0,858.27
1905.0,857.67
1910.0,855.94
1915.0,855.45
1920.0,857.38
1925.0,862.97
1930.0,863.45
1935.0,863.0
1940.0,865.0
1945.0,868.78
1950.0,869.9
1955.0,872.13
1960.0,871.51
1965.0,874.01
1970.0,874.46
1975.0,875.02
1980.0,873.04
1985.0,874.84
1990.0,873.4
1995.0,870.25
2000.0,870.4
2005.0,872.89
2010.0,872.59
2015.0,869.47
2020.0,871.75
2025.0,874.57
2030.0,872.82
2035.0,872.61
2040.0,872.52
2045.0,872.82
2050.0,870.84
2055.0,870.77
2060.0,867.93
2065.0,869.57
2070.0,869.24
2075.0,867.25
2080.0,863.54
2085.0,865.3
2090.0,867.03
2095.0,866.19
2100.0,864.53
2105.0,864.11
2110.0,864.44
2115.0,862.82
2120.0,859.83
2125.0,857.96
2130.0,858.52
2135.0,857.41
2140.0,856.41
2145.0,859.12
2150.0,857.62
2155.0,853.4
2160.0,846.41
2165.0,843.24
2170.0,845.1
2175.0,852.56
2180.0,851.81
2185.0,848.78
2190.0,843.69
2195.0,842.96
2200.0,843.4
2205.0,844.33
2210.0,845.69
2215.0,845.99
2220.0,844.54
2225.0,842.88
2230.0,843.3
2235.0,840.2
2240.0,838.62
2245.0,835.97
2250.0,830.2
2255.0,822.83
2260.0,819.04
2265.0,815.57
2270.0,806.5
2275.0,801.75
2280.0,798.56
2285.0,798.56
2290.0,796.23
2295.0,795.15
2300.0,797.81
2305.0,797.46
2310.0,794.39
2315.0,790.22
2320.0,791.67
2325.0,796.49
2330.0,800.66
2335.0,800.99
2340.0,804.67
2345.0,810.5
2350.0,808.97
2355.0,810.33
2360.0,812.52
2365.0,811.09
2370.0,808.36
2375.0,810.78
2380.0,812.93
2385.0,808.52
2390.0,803.75
2395.0,800.84
2400.0,800.46
2405.0,801.04
2410.0,804.17
2415.0,802.83
2420.0,802.45
2425.0,805.6
2430.0,805.29
2435.0,800.56
2440.0,799.57
2445.0,791.78
2450.0,779.54
2455.0,772.59
2460.0,767.73
2465.0,765.23
2470.0,768.73
2475.0,771.64
2480.0,778.29
2485.0,779.87
2490.0,776.02
2495.0,778.25
2500.0,777.59
2505.0,771.57
2510.0,770.28
2515.0,764.94
