Composition,
Date Added,2006-11-08
Formula,
Grain Size Description,<2000.0um
Grain Size,(0.0 - 2000.0)
Locality,"Rio Tinto, Spain"
Minimum Wavelength,320
Sample Name,MD-1 unsorted
Maximum Wavelength,49859
Database of Origin,RELAB
Other Information,Efflorescent
References,
Resolution,4.0
Material class,Mineral
Sample Description,
Sample ID,BKR1LH051
Original Sample ID,LH-JFM-051
Viewing Geometry,Unknown
Wavelength,Response
320.0,0.17181
330.0,0.18261
340.0,0.19858
350.0,0.22286
360.0,0.25198
370.0,0.28512
380.0,0.31692
390.0,0.34948
400.0,0.38505
410.0,0.41437
420.0,0.43604
430.0,0.4422
440.0,0.45221
450.0,0.4716
460.0,0.48425
470.0,0.49466
480.0,0.507
490.0,0.52185
500.0,0.53782
510.0,0.55189
520.0,0.56582
530.0,0.57916
540.0,0.59169
550.0,0.60366
560.0,0.61419
570.0,0.62351
580.0,0.63058
590.0,0.63621
600.0,0.64075
610.0,0.64377
620.0,0.64636
630.0,0.64895
640.0,0.65061
650.0,0.6514
660.0,0.65116
670.0,0.65301
680.0,0.65713
690.0,0.66269
700.0,0.66812
710.0,0.67374
720.0,0.67715
730.0,0.68019
740.0,0.68173
750.0,0.68176
760.0,0.68272
770.0,0.68213
780.0,0.68146
790.0,0.68024
800.0,0.67826
810.0,0.67699
820.0,0.67717
830.0,0.67521
840.0,0.67257
850.0,0.6719
860.0,0.67192
870.0,0.66919
880.0,0.6712
890.0,0.6704
900.0,0.66958
910.0,0.66991
920.0,0.67041
930.0,0.67288
940.0,0.67332
950.0,0.67303
960.0,0.67087
970.0,0.66843
980.0,0.6642
990.0,0.66089
1000.0,0.66125
1010.0,0.66925
1020.0,0.67744
1030.0,0.68565
1040.0,0.69125
1050.0,0.69605
1060.0,0.69963
1070.0,0.70161
1080.0,0.70293
1090.0,0.70421
1100.0,0.7043
1110.0,0.70298
1120.0,0.70328
1130.0,0.70129
1140.0,0.6977
1150.0,0.68783
1160.0,0.66789
1170.0,0.63975
1180.0,0.62396
1190.0,0.62357
1200.0,0.62212
1210.0,0.62083
1220.0,0.63637
1230.0,0.63787
1240.0,0.64888
1250.0,0.66242
1260.0,0.66711
1270.0,0.67029
1280.0,0.67246
1290.0,0.67231
1300.0,0.67012
1310.0,0.6643
1320.0,0.6535
1330.0,0.63882
1340.0,0.61888
1350.0,0.59399
1360.0,0.57357
1370.0,0.55553
1380.0,0.53871
1390.0,0.52624
1400.0,0.4989
1410.0,0.45054
1420.0,0.39132
1430.0,0.34747
1440.0,0.27734
1450.0,0.26084
1460.0,0.30538
1470.0,0.31977
1470.6,0.32043
1471.0,0.32106
1471.4,0.32049
1471.8,0.32074
1472.2,0.32111
1472.7,0.32137
1473.1,0.322
1473.5,0.32188
1473.9,0.32132
1474.3,0.32164
1474.7,0.32201
1475.2,0.32237
1475.6,0.32246
1476.0,0.32313
1476.4,0.32413
1476.8,0.32433
1477.3,0.32423
1477.7,0.32382
1478.1,0.32289
1478.5,0.32335
1478.9,0.32366
1479.4,0.3235
1479.8,0.32369
1480.2,0.32395
1480.6,0.32423
1481.1,0.32321
1481.5,0.32205
1481.9,0.32193
1482.3,0.32267
1482.8,0.32168
1483.2,0.3207
1483.6,0.32065
1484.0,0.32077
1484.4,0.32014
1484.9,0.31865
1485.3,0.31761
1485.7,0.31688
1486.2,0.3163
1486.6,0.31546
1487.0,0.3143
1487.4,0.31357
1487.9,0.31352
1488.3,0.31321
1488.7,0.31217
1489.1,0.31171
1489.6,0.31181
1490.0,0.31186
1490.4,0.3122
1490.8,0.31198
1491.3,0.3118
1491.7,0.31221
1492.1,0.31259
1492.6,0.31275
1493.0,0.31335
1493.4,0.31414
1493.9,0.31363
1494.3,0.3136
1494.7,0.3148
1495.2,0.31625
1495.6,0.31717
1496.0,0.31746
1496.4,0.31836
1496.9,0.31932
1497.3,0.32012
1497.8,0.32135
1498.2,0.32222
1498.6,0.32349
1499.0,0.32443
1499.5,0.32535
1499.9,0.32618
1500.3,0.32673
1500.8,0.32734
1501.2,0.32852
1501.7,0.32994
1502.1,0.3311
1502.5,0.33269
1502.9,0.33321
1503.4,0.333
1503.8,0.3341
1504.3,0.33571
1504.7,0.33702
1505.1,0.33756
1505.6,0.33728
1506.0,0.33747
1506.4,0.33899
1506.9,0.34036
1507.3,0.34117
1507.8,0.34132
1508.2,0.34123
1508.6,0.34165
1509.1,0.34202
1509.5,0.34224
1510.0,0.3425
1510.4,0.34264
1510.8,0.34333
1511.3,0.34296
1511.7,0.34322
1512.2,0.34426
1512.6,0.34454
1513.0,0.34453
1513.5,0.3449
1513.9,0.34506
1514.4,0.34491
1514.8,0.34559
1515.3,0.34586
1515.7,0.34545
1516.1,0.3456
1516.6,0.34597
1517.0,0.34645
1517.5,0.34654
1517.9,0.34644
1518.4,0.34571
1518.8,0.34557
1519.3,0.3467
1519.7,0.3461
1520.1,0.34488
1520.6,0.34488
1521.0,0.34482
1521.5,0.3449
1521.9,0.3449
1522.4,0.34519
1522.8,0.34501
1523.3,0.3442
1523.7,0.34392
1524.2,0.34415
1524.6,0.34362
1525.1,0.34366
1525.5,0.34361
1526.0,0.3436
1526.4,0.34294
1526.9,0.34189
1527.3,0.34169
1527.8,0.34181
1528.2,0.34155
1528.7,0.34145
1529.1,0.34071
1529.6,0.34008
1530.0,0.34007
1530.5,0.34
1530.9,0.34018
1531.4,0.33973
1531.8,0.33884
1532.3,0.33888
1532.7,0.33894
1533.2,0.33858
1533.6,0.33853
1534.1,0.33846
1534.5,0.33805
1535.0,0.33727
1535.4,0.33693
1535.9,0.3367
1536.4,0.33667
1536.8,0.33722
1537.3,0.33685
1537.7,0.33631
1538.2,0.33619
1538.6,0.33645
1539.1,0.33714
1539.6,0.33782
1540.0,0.33784
1540.5,0.33758
1540.9,0.33754
1541.4,0.33751
1541.8,0.33815
1542.3,0.33851
1542.8,0.33927
1543.2,0.3403
1543.7,0.3413
1544.1,0.3416
1544.6,0.34174
1545.1,0.34244
1545.5,0.34296
1546.0,0.34418
1546.4,0.34481
1546.9,0.34506
1547.4,0.34545
1547.8,0.34653
1548.3,0.34738
1548.8,0.34801
1549.2,0.34945
1549.7,0.35037
1550.1,0.35083
1550.6,0.35162
1551.1,0.3524
1551.5,0.35317
1552.0,0.3539
1552.5,0.35503
1552.9,0.35587
1553.4,0.35613
1553.8,0.35671
1554.3,0.35757
1554.8,0.35858
1555.3,0.35957
1555.7,0.36012
1556.2,0.36131
1556.7,0.36276
1557.1,0.36296
1557.6,0.36372
1558.1,0.36471
1558.5,0.36446
1559.0,0.36451
1559.5,0.36621
1559.9,0.3672
1560.4,0.36743
1560.9,0.3685
1561.3,0.36943
1561.8,0.37027
1562.3,0.37028
1562.8,0.37
1563.2,0.37073
1563.7,0.37184
1564.2,0.3725
1564.6,0.37293
1565.1,0.37293
1565.6,0.37367
1566.1,0.37441
1566.5,0.3745
1567.0,0.37471
1567.5,0.37549
1567.9,0.37566
1568.4,0.37614
1568.9,0.37678
1569.4,0.37758
1569.8,0.37794
1570.3,0.37829
1570.8,0.37868
1571.3,0.37906
1571.8,0.37975
1572.2,0.38007
1572.7,0.3802
1573.2,0.3804
1573.7,0.38111
1574.1,0.38162
1574.6,0.38188
1575.1,0.3821
1575.6,0.38279
1576.1,0.38311
1576.5,0.38323
1577.0,0.38417
1577.5,0.38455
1578.0,0.38466
1578.4,0.38527
1578.9,0.38582
1579.4,0.38646
1579.9,0.38666
1580.4,0.38657
1580.9,0.38739
1581.3,0.38798
1581.8,0.38814
1582.3,0.38809
1582.8,0.38797
1583.3,0.38824
1583.8,0.38861
1584.2,0.38889
1584.7,0.38935
1585.2,0.38996
1585.7,0.3904
1586.2,0.39066
1586.7,0.39116
1587.2,0.39116
1587.6,0.39089
1588.1,0.39144
1588.6,0.39171
1589.1,0.39205
1589.6,0.39272
1590.1,0.39279
1590.6,0.39339
1591.1,0.39414
1591.5,0.39438
1592.0,0.39429
1592.5,0.39453
1593.0,0.39526
1593.5,0.39526
1594.0,0.39496
1594.5,0.39561
1595.0,0.39628
1595.4,0.39683
1595.9,0.39766
1596.4,0.39803
1596.9,0.39794
1597.4,0.3983
1597.9,0.39873
1598.4,0.3988
1598.9,0.39866
1599.4,0.39931
1599.9,0.40007
1600.4,0.40052
1600.9,0.40053
1601.4,0.40064
1601.9,0.40088
1602.3,0.40083
1602.8,0.40105
1603.3,0.40168
1603.8,0.40202
1604.3,0.40274
1604.8,0.40349
1605.3,0.40397
1605.8,0.40427
1606.3,0.40437
1606.8,0.40435
1607.3,0.40513
1607.8,0.40566
1608.3,0.40614
1608.8,0.40647
1609.3,0.4068
1609.8,0.40676
1610.3,0.4069
1610.8,0.40763
1611.3,0.40838
1611.8,0.40819
1612.3,0.40789
1612.8,0.40843
1613.3,0.4085
1613.8,0.4085
1614.3,0.40933
1614.8,0.41017
1615.3,0.41012
1615.8,0.41025
1616.3,0.41109
1616.8,0.4116
1617.3,0.41187
1617.8,0.41192
1618.4,0.41189
1618.9,0.4116
1619.4,0.41149
1619.9,0.4117
1620.4,0.41248
1620.9,0.41273
1621.4,0.41282
1621.9,0.41325
1622.4,0.41347
1622.9,0.41364
1623.4,0.41382
1623.9,0.41352
1624.4,0.414
1624.9,0.4145
1625.5,0.41446
1626.0,0.41492
1626.5,0.41561
1627.0,0.41584
1627.5,0.41605
1628.0,0.41607
1628.5,0.41623
1629.0,0.41617
1629.6,0.41615
1630.1,0.41689
1630.6,0.41694
1631.1,0.41634
1631.6,0.4168
1632.1,0.41747
1632.6,0.41793
1633.1,0.41816
1633.7,0.41831
1634.2,0.419
1634.7,0.4197
1635.2,0.41959
1635.7,0.41922
1636.2,0.4191
1636.8,0.41971
1637.3,0.42003
1637.8,0.41984
1638.3,0.42005
1638.8,0.42039
1639.3,0.42106
1639.9,0.42185
1640.4,0.42181
1640.9,0.42181
1641.4,0.42206
1641.9,0.42204
1642.5,0.42188
1643.0,0.42179
1643.5,0.42162
1644.0,0.42206
1644.5,0.42249
1645.1,0.42289
1645.6,0.4234
1646.1,0.42358
1646.6,0.42329
1647.2,0.42337
1647.7,0.42379
1648.2,0.42443
1648.7,0.42461
1649.3,0.42454
1649.8,0.42438
1650.3,0.42436
1650.8,0.42452
1651.3,0.42479
1651.9,0.4248
1652.4,0.42487
1652.9,0.42509
1653.4,0.42511
1654.0,0.42508
1654.5,0.42523
1655.0,0.42528
1655.6,0.42512
1656.1,0.42549
1656.6,0.42597
1657.2,0.42583
1657.7,0.42587
1658.2,0.42619
1658.7,0.42628
1659.3,0.42615
1659.8,0.42646
1660.3,0.42641
1660.9,0.42639
1661.4,0.42656
1661.9,0.42652
1662.5,0.42643
1663.0,0.42623
1663.5,0.4262
1664.1,0.42626
1664.6,0.42646
1665.1,0.42684
1665.7,0.42688
1666.2,0.42701
1666.7,0.42714
1667.3,0.427
1667.8,0.42702
1668.3,0.42712
1668.9,0.42684
1669.4,0.4268
1670.0,0.42717
1670.5,0.42718
1671.0,0.42687
1671.6,0.42673
1672.1,0.42665
1672.7,0.42666
1673.2,0.42658
1673.7,0.4265
