Composition,
Date Added,2005-06-15
Formula,
Grain Size Description,<0.0um
Grain Size,Whole Object
Locality,"Rio Tinto, Spain"
Minimum Wavelength,1351
Sample Name,0202039a1 chip side 1 (rougher texture)
Maximum Wavelength,28649
Database of Origin,RELAB
Other Information,Iron Oxide
References,
Resolution,4.0
Material class,Rock
Sample Description,"Side with red powder, rougher texture, white phenocrysts"
Sample ID,BMR1LH004A
Original Sample ID,LH-JFM-004-A
Viewing Geometry,Unknown
Wavelength,Response
1351.4,0.31285
1351.7,0.31247
1352.1,0.31308
1352.4,0.31407
1352.8,0.3143
1353.1,0.31389
1353.5,0.31319
1353.8,0.31391
1354.2,0.31466
1354.5,0.31652
1354.9,0.3169
1355.2,0.31697
1355.6,0.31908
1355.9,0.31788
1356.3,0.31508
1356.7,0.31451
1357.0,0.31503
1357.4,0.31518
1357.7,0.31403
1358.1,0.31431
1358.4,0.31514
1358.8,0.31559
1359.2,0.3151
1359.5,0.31458
1359.9,0.31656
1360.2,0.31978
1360.6,0.32064
1360.9,0.31839
1361.3,0.31665
1361.7,0.3162
1362.0,0.3179
1362.4,0.31902
1362.7,0.31789
1363.1,0.31731
1363.4,0.31743
1363.8,0.31718
1364.2,0.31569
1364.5,0.31539
1364.9,0.31581
1365.2,0.31574
1365.6,0.31557
1365.9,0.31521
1366.3,0.31527
1366.7,0.31591
1367.0,0.31642
1367.4,0.317
1367.8,0.31689
1368.1,0.31639
1368.5,0.31514
1368.8,0.31523
1369.2,0.31716
1369.6,0.31854
1369.9,0.3189
1370.3,0.31955
1370.7,0.31933
1371.0,0.31947
1371.4,0.31856
1371.7,0.31717
1372.1,0.31596
1372.5,0.3162
1372.8,0.31692
1373.2,0.31699
1373.6,0.31655
1373.9,0.31658
1374.3,0.31638
1374.7,0.31636
1375.0,0.31698
1375.4,0.31725
1375.7,0.31742
1376.1,0.3172
1376.5,0.3158
1376.8,0.31562
1377.2,0.31687
1377.6,0.31934
1377.9,0.32006
1378.3,0.31877
1378.7,0.31689
1379.0,0.31612
1379.4,0.31594
1379.8,0.31588
1380.1,0.31575
1380.5,0.31512
1380.9,0.31495
1381.2,0.31656
1381.6,0.31662
1382.0,0.31567
1382.3,0.31479
1382.7,0.3145
1383.1,0.31486
1383.4,0.31414
1383.8,0.31455
1384.2,0.31533
1384.6,0.31481
1384.9,0.31499
1385.3,0.31581
1385.7,0.31521
1386.0,0.31496
1386.4,0.31481
1386.8,0.31413
1387.2,0.31303
1387.5,0.31231
1387.9,0.31236
1388.3,0.31268
1388.6,0.31264
1389.0,0.31203
1389.4,0.31217
1389.8,0.31219
1390.1,0.31237
1390.5,0.31297
1390.9,0.3133
1391.2,0.31351
1391.6,0.31324
1392.0,0.31201
1392.4,0.3117
1392.7,0.31202
1393.1,0.31236
1393.5,0.31239
1393.9,0.31257
1394.2,0.31223
1394.6,0.31101
1395.0,0.31016
1395.4,0.31002
1395.7,0.30927
1396.1,0.30806
1396.5,0.30785
1396.9,0.30849
1397.2,0.30839
1397.6,0.30761
1398.0,0.30707
1398.4,0.30698
1398.8,0.30761
1399.1,0.30753
1399.5,0.30672
1399.9,0.30613
1400.3,0.30606
1400.6,0.3057
1401.0,0.30558
