Composition,
Date Added,1986-10-31
Formula,
Grain Size Description,<250.0um
Grain Size,"(0.0, 250.0)"
Locality,Moon
Minimum Wavelength,400
Sample Name,"Y-791197,90 "
Maximum Wavelength,2600
Database of Origin,RELAB
Other Information,
References,
Resolution,5.0
Material class,Meteorites
Sample Description,Ground portion of LM-LAM-002  
Sample ID,SBLM03
Original Sample ID,LM-LAM-003
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
400.0,0.23911
405.0,0.24011
410.0,0.24181
415.0,0.24346
420.0,0.24523
425.0,0.24681
430.0,0.24824
435.0,0.24953
440.0,0.2504
445.0,0.2514
450.0,0.25235
455.0,0.25367
460.0,0.25464
465.0,0.25572
470.0,0.25674
475.0,0.25791
480.0,0.25895
485.0,0.26013
490.0,0.26113
495.0,0.2622
500.0,0.263
505.0,0.26395
510.0,0.26497
515.0,0.26611
520.0,0.26723
525.0,0.26808
530.0,0.26871
535.0,0.26932
540.0,0.26997
545.0,0.27082
550.0,0.27117
555.0,0.27156
560.0,0.27198
565.0,0.27277
570.0,0.27354
575.0,0.27429
580.0,0.27493
585.0,0.27557
590.0,0.27614
595.0,0.27682
600.0,0.27744
605.0,0.27798
610.0,0.27843
615.0,0.27895
620.0,0.27933
625.0,0.27968
630.0,0.28021
635.0,0.28084
640.0,0.2816
645.0,0.28234
650.0,0.28314
655.0,0.28386
660.0,0.28458
665.0,0.28538
670.0,0.2862
675.0,0.28703
680.0,0.28773
685.0,0.28836
690.0,0.28889
695.0,0.28934
700.0,0.28984
705.0,0.29034
710.0,0.29067
715.0,0.2909
720.0,0.29123
725.0,0.29156
730.0,0.29203
735.0,0.29258
740.0,0.29304
745.0,0.29341
750.0,0.29371
755.0,0.29399
760.0,0.29435
765.0,0.29475
770.0,0.2951
775.0,0.29534
780.0,0.29548
785.0,0.29555
790.0,0.29563
795.0,0.29575
800.0,0.29592
805.0,0.29613
810.0,0.29627
815.0,0.29616
820.0,0.29581
825.0,0.29542
830.0,0.29501
835.0,0.2945
840.0,0.29395
845.0,0.29336
850.0,0.29263
855.0,0.29181
860.0,0.29107
865.0,0.2904
870.0,0.28976
875.0,0.28925
880.0,0.28886
885.0,0.28838
890.0,0.28762
895.0,0.28669
900.0,0.28581
905.0,0.28502
910.0,0.28423
915.0,0.2834
920.0,0.28261
925.0,0.28212
930.0,0.28202
935.0,0.28207
940.0,0.28206
945.0,0.28198
950.0,0.28199
955.0,0.28215
960.0,0.2824
965.0,0.28265
970.0,0.28291
975.0,0.28331
980.0,0.28389
985.0,0.28456
990.0,0.28528
995.0,0.28601
1000.0,0.28671
1005.0,0.28739
1010.0,0.28816
1015.0,0.28904
1020.0,0.28991
1025.0,0.29071
1030.0,0.29147
1035.0,0.29233
1040.0,0.29333
1045.0,0.29432
1050.0,0.2951
1055.0,0.29577
1060.0,0.29651
1065.0,0.29739
1070.0,0.29829
1075.0,0.29907
1080.0,0.29975
1085.0,0.30052
1090.0,0.30151
1095.0,0.30258
1100.0,0.30355
1105.0,0.30443
1110.0,0.30534
1115.0,0.30637
1120.0,0.30743
1125.0,0.30842
1130.0,0.30932
1135.0,0.31017
1140.0,0.31093
1145.0,0.31156
1150.0,0.31213
1155.0,0.31271
1160.0,0.31326
1165.0,0.31377
1170.0,0.31432
1175.0,0.31493
1180.0,0.31552
1185.0,0.31598
1190.0,0.31635
1195.0,0.31675
1200.0,0.31704
1205.0,0.31727
1210.0,0.31751
1215.0,0.31786
1220.0,0.31835
1225.0,0.31887
1230.0,0.3193
1235.0,0.31963
1240.0,0.31997
1245.0,0.32046
1250.0,0.32103
1255.0,0.3215
1260.0,0.32179
1265.0,0.32205
1270.0,0.32248
1275.0,0.32313
1280.0,0.32394
1285.0,0.32471
1290.0,0.32532
1295.0,0.32592
1300.0,0.32668
1305.0,0.32762
1310.0,0.32855
1315.0,0.32929
1320.0,0.32981
1325.0,0.33021
1330.0,0.33062
1335.0,0.33103
1340.0,0.33142
1345.0,0.33189
1350.0,0.33238
1355.0,0.33271
1360.0,0.33294
1365.0,0.33327
1370.0,0.33373
1375.0,0.3342
1380.0,0.33468
1385.0,0.33518
1390.0,0.33561
1395.0,0.33602
1400.0,0.33661
1405.0,0.33738
1410.0,0.33808
1415.0,0.33867
1420.0,0.33931
1425.0,0.34013
1430.0,0.34096
1435.0,0.34158
1440.0,0.34198
1445.0,0.34232
1450.0,0.34271
1455.0,0.34317
1460.0,0.34373
