Composition,
Date Added,2009-09-29
Formula,
Grain Size Description,<45.0um
Grain Size,0.0 - 45.0
Locality,
Minimum Wavelength,1428
Sample Name,Synthetic ilmenite <45 um from Lindsay Keller
Maximum Wavelength,25050
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Mineral
Sample Description,From Lindsay Keller for space weathering experiment
Sample ID,BMR1IL007
Original Sample ID,IL-LPK-007
Viewing Geometry,
Wavelength,Response
1428.4,33.1
1428.8,33.06
1429.2,33.13
1429.6,32.92
1430.0,33.04
1430.4,33.4
1430.8,33.23
1431.2,32.97
1431.6,32.99
1432.0,33.35
1432.4,33.63
1432.8,33.28
1433.2,33.1
1433.6,33.27
1433.9,33.65
1434.3,33.6
1434.8,32.99
1435.1,33.19
1435.5,33.68
1435.9,33.68
1436.3,33.51
1436.7,33.01
1437.1,32.91
1437.5,32.94
1437.9,33.29
1438.3,33.72
1438.7,33.31
1439.1,33.18
1439.5,33.1
1439.9,32.98
1440.3,33.46
1440.7,33.65
1441.1,33.78
1441.5,33.38
1441.9,33.4
1442.3,33.65
1442.7,33.48
1443.1,33.35
1443.5,33.23
1443.9,33.53
1444.3,33.94
1444.7,33.47
1445.1,33.1
1445.6,33.38
1445.9,33.42
1446.3,32.97
1446.8,32.97
1447.2,33.4
1447.6,33.56
1448.0,33.63
1448.4,33.48
1448.8,33.33
1449.2,33.25
1449.6,33.51
1450.0,33.75
1450.4,33.38
1450.8,33.37
1451.2,34.0
1451.6,33.64
1452.0,32.91
1452.4,33.27
1452.8,33.7
1453.3,33.51
1453.7,33.4
1454.1,33.49
1454.5,33.66
1454.9,33.78
1455.3,33.42
1455.7,33.35
1456.1,33.35
1456.5,33.34
1456.9,33.2
1457.3,33.22
1457.7,33.74
1458.2,34.01
1458.6,33.77
1459.0,33.66
1459.4,33.47
1459.8,33.11
1460.2,33.02
1460.6,33.32
1461.0,33.44
1461.4,33.08
1461.8,33.1
1462.3,33.41
1462.7,33.74
1463.1,33.81
1463.5,33.46
1463.9,33.51
1464.3,33.66
1464.7,33.86
1465.2,33.78
1465.6,33.37
1466.0,33.35
1466.4,33.55
1466.8,33.68
1467.2,33.75
1467.6,33.75
1468.1,33.49
1468.5,33.36
1468.9,33.59
1469.3,33.83
1469.7,33.94
1470.1,33.92
1470.6,33.76
1471.0,33.76
1471.4,33.81
1471.8,33.89
1472.2,33.94
1472.7,33.95
1473.1,33.83
1473.5,33.56
1473.9,33.46
1474.3,33.53
1474.7,33.93
1475.2,33.96
1475.6,33.76
1476.0,33.8
1476.4,34.03
1476.8,33.99
1477.3,33.73
1477.7,33.66
1478.1,33.7
1478.5,33.88
1478.9,33.74
1479.4,33.47
1479.8,33.32
1480.2,33.53
1480.6,33.88
1481.1,33.89
1481.5,33.83
1481.9,33.64
1482.3,33.4
1482.8,33.69
1483.2,34.24
1483.6,33.93
1484.0,33.59
1484.4,33.76
1484.9,33.81
1485.3,33.76
1485.7,33.94
1486.2,34.04
1486.6,34.07
1487.0,33.84
1487.4,33.71
1487.9,33.56
1488.3,33.71
1488.7,34.06
1489.1,33.84
1489.6,33.77
1490.0,33.87
1490.4,33.71
1490.8,33.79
1491.3,33.68
1491.7,33.54
1492.1,33.8
1492.6,33.86
1493.0,33.63
1493.4,33.55
1493.9,33.9
1494.3,33.87
1494.7,33.38
1495.2,33.5
1495.6,34.03
1496.0,34.06
1496.4,33.8
1496.9,34.06
1497.3,34.28
1497.8,34.12
1498.2,34.13
1498.6,34.27
1499.0,34.18
1499.5,33.87
1499.9,33.74
1500.3,33.75
1500.8,33.85
1501.2,34.1
1501.7,34.1
1502.1,34.14
1502.5,34.16
1502.9,34.08
1503.4,33.9
1503.8,33.74
1504.3,33.78
1504.7,33.8
1505.1,34.01
1505.6,34.37
1506.0,34.47
1506.4,34.23
1506.9,34.0
1507.3,33.89
1507.8,33.8
1508.2,33.84
1508.6,33.71
1509.1,33.6
1509.5,33.54
1510.0,33.84
1510.4,34.17
1510.8,34.09
1511.3,33.92
1511.7,34.02
1512.2,34.17
1512.6,34.01
1513.0,33.84
1513.5,33.79
1513.9,34.21
1514.4,34.32
1514.8,34.16
1515.3,34.17
1515.7,34.22
1516.1,34.32
1516.6,34.26
1517.0,34.21
1517.5,34.18
1517.9,34.32
1518.4,34.41
1518.8,34.19
1519.3,34.23
1519.7,34.36
1520.1,34.24
1520.6,34.21
1521.0,34.2
1521.5,34.24
1521.9,34.38
1522.4,34.32
1522.8,34.14
1523.3,34.2
1523.7,34.27
1524.2,34.27
1524.6,34.2
1525.1,34.18
1525.5,34.21
1526.0,34.07
1526.4,34.02
1526.9,34.17
1527.3,34.4
1527.8,34.35
1528.2,34.12
1528.7,34.1
1529.1,34.51
1529.6,34.73
1530.0,34.54
1530.5,34.47
1530.9,34.41
1531.4,34.22
1531.8,34.14
1532.3,34.09
1532.7,34.15
1533.2,34.07
1533.6,34.13
1534.1,34.47
1534.5,34.43
1535.0,34.25
1535.4,34.16
1535.9,34.01
1536.4,34.1
1536.8,34.21
1537.3,34.19
1537.7,34.29
1538.2,34.49
1538.6,34.5
1539.1,34.32
1539.6,34.52
1540.0,34.69
1540.5,34.55
1540.9,34.4
1541.4,34.4
1541.8,34.4
1542.3,34.4
1542.8,34.39
1543.2,34.39
1543.7,34.42
1544.1,34.5
1544.6,34.53
1545.1,34.47
1545.5,34.46
1546.0,34.39
1546.4,34.35
1546.9,34.55
1547.4,34.74
1547.8,34.75
1548.3,34.61
1548.8,34.44
1549.2,34.47
1549.7,34.53
1550.1,34.55
1550.6,34.47
1551.1,34.6
1551.5,34.82
1552.0,34.85
1552.5,34.68
1552.9,34.67
1553.4,34.84
1553.8,34.73
1554.3,34.54
1554.8,34.61
1555.3,34.49
1555.7,34.35
1556.2,34.43
1556.7,34.59
1557.1,34.64
1557.6,34.57
1558.1,34.6
1558.5,34.52
1559.0,34.59
1559.5,34.77
1559.9,34.63
1560.4,34.61
1560.9,34.85
1561.3,34.77
1561.8,34.7
1562.3,34.94
1562.8,34.98
1563.2,34.7
1563.7,34.65
1564.2,34.69
1564.6,34.73
1565.1,34.94
1565.6,34.75
1566.1,34.69
1566.5,34.86
1567.0,34.9
1567.5,34.86
1567.9,34.69
1568.4,34.65
1568.9,34.79
1569.4,34.8
1569.8,34.76
1570.3,34.72
1570.8,34.68
