Composition,
Date Added,2003-10-02
Formula,
Grain Size Description,<45.0um
Grain Size,(20.0 - 45.0)
Locality,"Luna 24 site, Moon"
Minimum Wavelength,300
Sample Name,Luna 24 20-45 um
Maximum Wavelength,25050
Database of Origin,RELAB
Other Information,
References,
Resolution,4.0
Material class,Mixture
Sample Description,Water sieved for LSCC (Taylor project).
Sample ID,BKR1LR121
Original Sample ID,LR-CMP-121
Viewing Geometry,Unknown
Wavelength,Response
300.0,0.03363
305.0,0.03898
310.0,0.03988
315.0,0.0414
320.0,0.04156
325.0,0.04251
330.0,0.04387
335.0,0.04543
340.0,0.04715
345.0,0.04861
350.0,0.0497
355.0,0.05065
360.0,0.05151
365.0,0.05247
370.0,0.05345
375.0,0.05441
380.0,0.05535
385.0,0.05669
390.0,0.05827
395.0,0.05927
400.0,0.06004
405.0,0.06081
410.0,0.0617
415.0,0.06256
420.0,0.06315
425.0,0.064
430.0,0.06482
435.0,0.06561
440.0,0.0664
445.0,0.06716
450.0,0.06783
455.0,0.06864
460.0,0.06962
465.0,0.07039
470.0,0.07112
475.0,0.07204
480.0,0.07287
485.0,0.07379
490.0,0.07462
495.0,0.07545
500.0,0.07633
505.0,0.07685
510.0,0.07763
515.0,0.07904
520.0,0.08006
525.0,0.08113
530.0,0.08209
535.0,0.08304
540.0,0.08384
545.0,0.08464
550.0,0.08537
555.0,0.08607
560.0,0.08701
565.0,0.08788
570.0,0.08872
575.0,0.08947
580.0,0.09012
585.0,0.09077
590.0,0.09156
595.0,0.09213
600.0,0.0929
605.0,0.09346
610.0,0.09415
615.0,0.09496
620.0,0.09559
625.0,0.09634
630.0,0.09707
635.0,0.09776
640.0,0.09846
645.0,0.09912
650.0,0.09978
655.0,0.10043
660.0,0.10088
665.0,0.10146
670.0,0.10201
675.0,0.1025
680.0,0.10325
685.0,0.10375
690.0,0.10429
695.0,0.10479
700.0,0.10536
705.0,0.1059
710.0,0.10653
715.0,0.10696
720.0,0.10746
725.0,0.10795
730.0,0.10847
735.0,0.10887
740.0,0.10941
745.0,0.10966
750.0,0.11003
755.0,0.1103
760.0,0.11035
765.0,0.1105
770.0,0.11064
775.0,0.11057
780.0,0.11042
785.0,0.1102
790.0,0.11024
795.0,0.11001
800.0,0.10967
805.0,0.10906
810.0,0.10868
815.0,0.10798
820.0,0.10716
825.0,0.10662
830.0,0.10586
835.0,0.10518
840.0,0.10421
845.0,0.10344
850.0,0.10237
855.0,0.10167
860.0,0.10062
865.0,0.09931
870.0,0.09875
875.0,0.09728
880.0,0.09668
885.0,0.09539
890.0,0.09474
895.0,0.09406
900.0,0.09288
905.0,0.09237
910.0,0.09182
915.0,0.09091
920.0,0.09082
925.0,0.09033
930.0,0.08983
935.0,0.08939
940.0,0.08897
945.0,0.089
950.0,0.08862
955.0,0.08843
960.0,0.08846
965.0,0.08831
970.0,0.08866
975.0,0.08853
980.0,0.08873
985.0,0.08873
990.0,0.08928
995.0,0.08957
1000.0,0.08965
1005.0,0.09014
1010.0,0.09091
1015.0,0.09123
1020.0,0.09188
1025.0,0.0923
1030.0,0.09309
1035.0,0.09384
1040.0,0.09458
1045.0,0.0956
1050.0,0.09684
1055.0,0.09749
1060.0,0.09872
1065.0,0.09961
1070.0,0.10067
1075.0,0.10167
1080.0,0.10289
1085.0,0.10415
1090.0,0.10542
1095.0,0.10704
1100.0,0.10821
1105.0,0.10944
1110.0,0.11081
1115.0,0.11195
1120.0,0.11337
1125.0,0.11461
1130.0,0.11587
1135.0,0.11692
1140.0,0.11806
1145.0,0.11914
