Composition,
Date Added,2003-02-26
Formula,
Grain Size Description,<10.0um
Grain Size,"(0.0, 10.0)"
Locality,"Apollo 16 site, Moon"
Minimum Wavelength,2000
Sample Name,"67481,84"
Maximum Wavelength,25050
Database of Origin,RELAB
Other Information,
References,
Resolution,4.0
Material class,Mixture
Sample Description,Water sieved for LSCC (Taylor project).
Sample ID,BMR1LR120
Original Sample ID,LR-CMP-120
Viewing Geometry,unknown
Wavelength,Response
1999.7,0.30291
2000.5,0.30291
2001.3,0.30295
2002.1,0.30312
2002.8,0.30314
2003.6,0.30308
2004.4,0.30309
2005.2,0.30313
2005.9,0.30315
2006.7,0.3032
2007.5,0.30332
2008.3,0.30336
2009.0,0.30332
2009.8,0.30331
2010.6,0.30341
2011.4,0.30351
2012.2,0.30359
2012.9,0.30362
2013.7,0.30357
2014.5,0.30357
2015.3,0.30368
2016.1,0.30377
2016.8,0.30378
2017.6,0.30379
2018.4,0.30384
2019.2,0.30385
2020.0,0.30388
2020.8,0.30396
2021.6,0.30404
2022.4,0.30405
2023.2,0.30408
2023.9,0.30413
2024.7,0.3042
2025.5,0.30422
2026.3,0.30423
2027.1,0.30427
2027.9,0.30437
2028.7,0.30439
2029.5,0.30441
2030.3,0.30442
2031.1,0.30444
2031.9,0.30452
2032.7,0.30456
2033.5,0.30458
2034.3,0.30462
2035.1,0.30466
2035.9,0.3047
2036.7,0.30476
2037.5,0.3048
2038.3,0.30481
2039.1,0.30484
2039.9,0.30492
2040.7,0.30492
2041.5,0.30494
2042.3,0.30505
2043.1,0.30506
2043.9,0.30504
2044.7,0.3051
2045.5,0.30516
2046.3,0.30524
2047.1,0.30527
2047.9,0.30528
2048.7,0.30529
2049.5,0.30538
2050.4,0.30546
2051.2,0.30553
2052.0,0.30551
2052.8,0.30554
2053.6,0.30559
2054.4,0.30564
2055.2,0.30567
2056.0,0.30573
2056.9,0.30573
2057.7,0.30572
2058.5,0.30576
2059.3,0.30582
2060.1,0.30582
2060.9,0.3059
2061.8,0.30599
2062.6,0.30603
2063.4,0.30604
2064.2,0.30605
2065.1,0.30613
2065.9,0.3062
2066.7,0.30625
2067.5,0.30629
2068.3,0.30634
2069.2,0.30636
2070.0,0.30645
