Composition,
Date Added,2019-03-11
Formula,
Grain Size Description,<250.0um
Grain Size,"(125.0, 250.0)"
Locality,"Apollo 15 site, Station 8, Moon"
Minimum Wavelength,1428
Sample Name,15041 bulk 125-250 um
Maximum Wavelength,49859
Database of Origin,RELAB
Other Information,Bulk
References,
Resolution,4.0
Material class,Mixture
Sample Description,
Sample ID,BIR1LS142
Original Sample ID,LS-BWD-142
Viewing Geometry,unknown
Wavelength,Response
1428.42,0.04761
1428.82,0.047342
1429.21,0.047178
1429.6,0.046951
1430.0,0.046736
1430.39,0.047084
1430.79,0.047504
1431.18,0.047689
1431.58,0.047903
1431.97,0.047888
1432.37,0.047326
1432.77,0.047287
1433.16,0.047535
1433.56,0.047825
1433.95,0.04815
1434.35,0.047144
1434.75,0.046886
1435.14,0.047997
1435.54,0.048215
1435.94,0.04814
1436.34,0.047909
1436.74,0.047389
1437.13,0.047949
1437.53,0.048224
1437.93,0.047759
1438.33,0.048023
1438.73,0.048514
1439.13,0.048227
1439.53,0.047886
1439.93,0.047862
1440.33,0.048016
1440.73,0.0481
1441.13,0.048026
1441.53,0.047593
1441.93,0.047556
1442.33,0.048134
1442.73,0.048019
1443.13,0.047489
1443.54,0.048076
1443.94,0.048332
1444.34,0.048001
1444.74,0.048021
1445.14,0.048096
1445.55,0.047962
1445.95,0.048068
1446.35,0.048041
1446.76,0.047907
1447.16,0.047961
1447.57,0.048526
1447.97,0.048711
1448.37,0.048355
1448.78,0.048165
1449.18,0.0479
1449.59,0.048151
1449.99,0.048744
1450.4,0.048616
1450.81,0.047622
1451.21,0.047599
1451.62,0.048305
1452.03,0.048481
1452.43,0.048599
1452.84,0.048866
1453.25,0.049297
1453.65,0.048779
1454.06,0.047942
1454.47,0.04769
1454.88,0.047866
1455.29,0.048164
1455.69,0.047714
1456.1,0.047238
1456.51,0.047839
1456.92,0.048273
1457.33,0.048363
1457.74,0.048228
1458.15,0.048213
1458.56,0.048022
1458.97,0.048031
1459.38,0.048266
1459.79,0.04816
1460.2,0.048013
1460.62,0.048478
1461.03,0.048804
1461.44,0.049032
1461.85,0.04904
1462.26,0.048647
1462.68,0.04829
1463.09,0.048233
1463.5,0.048804
1463.91,0.048826
1464.33,0.048571
1464.74,0.048465
1465.16,0.048447
1465.57,0.048624
1465.98,0.048812
1466.4,0.048978
1466.81,0.048869
1467.23,0.048869
1467.64,0.048781
1468.06,0.047978
1468.48,0.048006
1468.89,0.048349
1469.31,0.048322
1469.72,0.048535
1470.14,0.048599
1470.56,0.04868
1470.97,0.048852
1471.39,0.048687
1471.81,0.048663
1472.23,0.048668
1472.65,0.04867
1473.06,0.048833
1473.48,0.048385
1473.9,0.048366
1474.32,0.048461
1474.74,0.048664
1475.16,0.04896
1475.58,0.048763
1476.0,0.048458
1476.42,0.048235
1476.84,0.048361
1477.26,0.048897
1477.68,0.049061
1478.1,0.048727
1478.53,0.048633
1478.95,0.04873
1479.37,0.048635
1479.79,0.048674
1480.21,0.048947
1480.64,0.049253
1481.06,0.04964
1481.48,0.04933
1481.91,0.048725
1482.33,0.048992
1482.75,0.049627
1483.18,0.049011
1483.6,0.048739
1484.03,0.049108
1484.45,0.049756
1484.88,0.049842
1485.3,0.048903
1485.73,0.048599
1486.15,0.048869
1486.58,0.049187
1487.01,0.049245
1487.43,0.049449
1487.86,0.049528
1488.29,0.049494
1488.71,0.049611
1489.14,0.049624
1489.57,0.049581
1490.0,0.049721
1490.43,0.049617
1490.85,0.049533
1491.28,0.049638
1491.71,0.049361
1492.14,0.049115
1492.57,0.049002
1493.0,0.049095
1493.43,0.049266
1493.86,0.049339
1494.29,0.048821
1494.72,0.049021
1495.15,0.049692
1495.58,0.049936
1496.02,0.049858
1496.45,0.049517
1496.88,0.049127
1497.31,0.049219
1497.75,0.04924
1498.18,0.048894
1498.61,0.048747
1499.04,0.048717
1499.48,0.049154
1499.91,0.049487
1500.35,0.049231
1500.78,0.049245
1501.21,0.049431
1501.65,0.048741
1502.08,0.048565
1502.52,0.049181
1502.95,0.04977
1503.39,0.049789
1503.83,0.049321
1504.26,0.049458
1504.7,0.049739
1505.14,0.049688
1505.57,0.04938
1506.01,0.049272
1506.45,0.049447
1506.89,0.049467
1507.32,0.049541
1507.76,0.049418
1508.2,0.049408
1508.64,0.049459
1509.08,0.049451
1509.52,0.049363
1509.96,0.049312
1510.4,0.049293
1510.84,0.049362
1511.28,0.049757
1511.72,0.049789
1512.16,0.049689
1512.6,0.049594
1513.04,0.049194
1513.48,0.049065
1513.93,0.049348
1514.37,0.0493
1514.81,0.049261
1515.25,0.049605
1515.7,0.049768
1516.14,0.049873
1516.58,0.04963
1517.03,0.049484
1517.47,0.049609
1517.92,0.049672
1518.36,0.049925
1518.8,0.050134
1519.25,0.049896
1519.69,0.049821
1520.14,0.049889
1520.59,0.049557
1521.03,0.049476
1521.48,0.049599
1521.93,0.049655
1522.37,0.049388
1522.82,0.049365
1523.27,0.049389
1523.71,0.049367
1524.16,0.049475
1524.61,0.04965
1525.06,0.050067
1525.51,0.049998
1525.96,0.050003
1526.41,0.050076
1526.86,0.050057
1527.31,0.050309
1527.76,0.050227
1528.21,0.050066
1528.66,0.049892
1529.11,0.049825
1529.56,0.049748
1530.01,0.049734
1530.46,0.049847
1530.91,0.049981
1531.37,0.050233
1531.82,0.050026
1532.27,0.050054
1532.72,0.050096
1533.18,0.049913
1533.63,0.050299
1534.08,0.050231
1534.54,0.050204
1534.99,0.050603
1535.45,0.050613
1535.9,0.05052
1536.36,0.050361
1536.81,0.050197
1537.27,0.049875
1537.72,0.049971
1538.18,0.050129
1538.64,0.050106
1539.09,0.050371
1539.55,0.050666
1540.01,0.050612
1540.46,0.050535
1540.92,0.050172
1541.38,0.049953
1541.84,0.050086
1542.3,0.050363
1542.76,0.050221
1543.22,0.050056
1543.68,0.050052
1544.14,0.050339
1544.6,0.050524
1545.06,0.050442
1545.52,0.050326
1545.98,0.050114
1546.44,0.050077
1546.9,0.050108
1547.36,0.050188
1547.82,0.050159
