Composition,
Date Added,1992-10-29
Formula,
Grain Size Description,<0.0um
Grain Size,Unknown
Locality,Apollo 17 
Minimum Wavelength,300
Sample Name,"75035,207"
Maximum Wavelength,2600
Database of Origin,RELAB
Other Information,"Apollo 17 rock #75035, Bulk"
References,"Lofgren and Lofgren, 1981. Catalog of Lunar Mare Basalts, p. 362."
Resolution,5.0
Material class,Returned Planetary Samples
Sample Description,"Weight: 1235g , Dimensions: 16 X 14 X 7   "
Sample ID,C1LS52
Original Sample ID,LS-CMP-052
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,0.07989
305.0,0.08124
310.0,0.0826
315.0,0.08536
320.0,0.0867
325.0,0.08987
330.0,0.09195
335.0,0.09494
340.0,0.09684
345.0,0.09999
350.0,0.10236
355.0,0.10573
360.0,0.10861
365.0,0.11184
370.0,0.11464
375.0,0.11747
380.0,0.11995
385.0,0.12212
390.0,0.12484
395.0,0.12667
400.0,0.12844
405.0,0.12946
410.0,0.13224
415.0,0.13309
420.0,0.13424
425.0,0.13552
430.0,0.13584
435.0,0.13643
440.0,0.13684
445.0,0.13797
450.0,0.13882
455.0,0.13915
460.0,0.13953
465.0,0.14053
470.0,0.14056
475.0,0.14092
480.0,0.14106
485.0,0.14156
490.0,0.14173
495.0,0.14237
500.0,0.14288
505.0,0.14266
510.0,0.14248
515.0,0.14327
520.0,0.14429
525.0,0.14456
530.0,0.14496
535.0,0.14546
540.0,0.14581
545.0,0.14582
550.0,0.14617
555.0,0.14658
560.0,0.14717
565.0,0.14772
570.0,0.1484
575.0,0.14858
580.0,0.14902
585.0,0.14921
590.0,0.14975
595.0,0.1503
600.0,0.15069
605.0,0.15118
610.0,0.15163
615.0,0.15202
620.0,0.15292
625.0,0.15333
630.0,0.15398
635.0,0.15443
640.0,0.15524
645.0,0.15557
650.0,0.15629
655.0,0.15697
660.0,0.15751
665.0,0.15816
670.0,0.15894
675.0,0.15953
680.0,0.16003
685.0,0.16093
690.0,0.16152
695.0,0.16256
700.0,0.16323
705.0,0.1638
710.0,0.16489
715.0,0.16558
720.0,0.16641
725.0,0.16744
730.0,0.1683
735.0,0.16911
740.0,0.16994
745.0,0.17094
750.0,0.172
755.0,0.17276
760.0,0.17312
765.0,0.17356
770.0,0.17424
775.0,0.17557
780.0,0.17601
785.0,0.1768
790.0,0.17775
795.0,0.1782
800.0,0.17874
805.0,0.17939
810.0,0.18007
815.0,0.1802
820.0,0.17992
825.0,0.18035
830.0,0.18128
835.0,0.18169
840.0,0.18191
845.0,0.18242
850.0,0.18217
855.0,0.18286
860.0,0.18216
865.0,0.1827
870.0,0.1831
875.0,0.18266
880.0,0.1834
885.0,0.18301
890.0,0.18326
895.0,0.18182
900.0,0.18226
905.0,0.18208
910.0,0.18151
915.0,0.18129
920.0,0.18033
925.0,0.18033
930.0,0.18028
935.0,0.17943
940.0,0.17939
945.0,0.17914
950.0,0.17866
955.0,0.17871
960.0,0.17821
965.0,0.17841
970.0,0.17822
975.0,0.17767
980.0,0.17804
985.0,0.17796
990.0,0.1779
995.0,0.17823
1000.0,0.17812
1005.0,0.17839
1010.0,0.17861
1015.0,0.17928
1020.0,0.17975
1025.0,0.18008
1030.0,0.18098
1035.0,0.18143
1040.0,0.1825
1045.0,0.18379
1050.0,0.18452
1055.0,0.1855
1060.0,0.18697
1065.0,0.18843
1070.0,0.18941
1075.0,0.19066
1080.0,0.19222
1085.0,0.19372
1090.0,0.19498
1095.0,0.19666
1100.0,0.19795
1105.0,0.19928
1110.0,0.20076
1115.0,0.20123
1120.0,0.20264
1125.0,0.20321
1130.0,0.20438
1135.0,0.20549
1140.0,0.20625
1145.0,0.20639
1150.0,0.20744
1155.0,0.20783
1160.0,0.20835
1165.0,0.20883
1170.0,0.20919
1175.0,0.20939
1180.0,0.20958
1185.0,0.20968
1190.0,0.21059
1195.0,0.21057
1200.0,0.21079
1205.0,0.21088
1210.0,0.21098
1215.0,0.21161
1220.0,0.21156
1225.0,0.21127
1230.0,0.21164
1235.0,0.2119
1240.0,0.21204
1245.0,0.21237
1250.0,0.21216
1255.0,0.21289
1260.0,0.21313
1265.0,0.21373
1270.0,0.21384
1275.0,0.21407
1280.0,0.21407
1285.0,0.2144
1290.0,0.21497
1295.0,0.21528
1300.0,0.2157
1305.0,0.21582
1310.0,0.21632
1315.0,0.2164
1320.0,0.21736
1325.0,0.21753
1330.0,0.21773
1335.0,0.21843
1340.0,0.21928
1345.0,0.2197
1350.0,0.21919
1355.0,0.21888
1360.0,0.2187
1365.0,0.2195
1370.0,0.22063
1375.0,0.22105
1380.0,0.22104
1385.0,0.2222
1390.0,0.22354
1395.0,0.22358
1400.0,0.22403
1405.0,0.22396
1410.0,0.22593
1415.0,0.22592
1420.0,0.22695
1425.0,0.22709
1430.0,0.22785
1435.0,0.22878
1440.0,0.22908
1445.0,0.22977
1450.0,0.22992
1455.0,0.23025
1460.0,0.23109
1465.0,0.23156
1470.0,0.23151
1475.0,0.23236
1480.0,0.23318
1485.0,0.23324
1490.0,0.23407
1495.0,0.23406
1500.0,0.23462
1505.0,0.23502
1510.0,0.23521
