Composition,
Date Added,1996-02-20
Formula,
Grain Size Description,<25.0um
Grain Size,(0.0 - 25.0)
Locality,"Apollo 12 site, Moon"
Minimum Wavelength,300
Sample Name,"12063,198"
Maximum Wavelength,2600
Database of Origin,RELAB
Other Information,Plagioclase 
References,
Resolution,5.0
Material class,Returned Planetary Samples
Sample Description,
Sample ID,C1LS86
Original Sample ID,LS-CMP-086
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,0.18435
305.0,0.20151
310.0,0.21261
315.0,0.22737
320.0,0.24052
325.0,0.25299
330.0,0.26445
335.0,0.27546
340.0,0.28304
345.0,0.29371
350.0,0.30324
355.0,0.31218
360.0,0.32287
365.0,0.33699
370.0,0.34619
375.0,0.3556
380.0,0.36485
385.0,0.37235
390.0,0.38072
395.0,0.38744
400.0,0.3943
405.0,0.40205
410.0,0.40877
415.0,0.41422
420.0,0.41882
425.0,0.42403
430.0,0.42874
435.0,0.43317
440.0,0.43558
445.0,0.43999
450.0,0.44191
455.0,0.4466
460.0,0.44901
465.0,0.45123
470.0,0.45398
475.0,0.4558
480.0,0.45917
485.0,0.46122
490.0,0.46345
495.0,0.46586
500.0,0.46816
505.0,0.46874
510.0,0.47122
515.0,0.47417
520.0,0.47791
525.0,0.47897
530.0,0.48069
535.0,0.48236
540.0,0.4848
545.0,0.48588
550.0,0.48777
555.0,0.48964
560.0,0.49199
565.0,0.49404
570.0,0.49537
575.0,0.49706
580.0,0.49944
585.0,0.50054
590.0,0.50201
595.0,0.50435
600.0,0.50564
605.0,0.50747
610.0,0.50871
615.0,0.51033
620.0,0.51194
625.0,0.51409
630.0,0.51592
635.0,0.51729
640.0,0.51924
645.0,0.52126
650.0,0.52277
655.0,0.52475
660.0,0.52692
665.0,0.52921
670.0,0.5308
675.0,0.53294
680.0,0.53535
685.0,0.53719
690.0,0.53866
695.0,0.54052
700.0,0.54241
705.0,0.54479
710.0,0.54649
715.0,0.54881
720.0,0.55102
725.0,0.5502
730.0,0.5529
735.0,0.55361
740.0,0.55626
745.0,0.55684
750.0,0.55866
755.0,0.55958
760.0,0.56326
765.0,0.56314
770.0,0.56419
775.0,0.56424
780.0,0.56517
785.0,0.56508
790.0,0.56553
795.0,0.56416
800.0,0.56404
805.0,0.56291
810.0,0.56272
815.0,0.56184
820.0,0.56079
825.0,0.55882
830.0,0.55729
835.0,0.55505
840.0,0.55272
845.0,0.55089
850.0,0.54816
855.0,0.54625
860.0,0.54324
865.0,0.5404
870.0,0.53644
875.0,0.53398
880.0,0.53123
885.0,0.52747
890.0,0.52507
895.0,0.52184
900.0,0.51959
905.0,0.51618
910.0,0.51318
915.0,0.51063
920.0,0.50807
925.0,0.50538
930.0,0.50185
935.0,0.49959
940.0,0.49794
945.0,0.49538
950.0,0.49329
955.0,0.49256
960.0,0.48949
965.0,0.4878
970.0,0.48524
975.0,0.48373
980.0,0.48128
985.0,0.48065
990.0,0.4788
995.0,0.47756
1000.0,0.47476
1005.0,0.47405
1010.0,0.47259
1015.0,0.47135
1020.0,0.47025
1025.0,0.46936
1030.0,0.46826
1035.0,0.46722
1040.0,0.46604
1045.0,0.46524
1050.0,0.46458
1055.0,0.46363
1060.0,0.46188
1065.0,0.46103
1070.0,0.46046
1075.0,0.45856
1080.0,0.45802
1085.0,0.45722
1090.0,0.45585
1095.0,0.45364
1100.0,0.45298
1105.0,0.45196
1110.0,0.4497
1115.0,0.44884
1120.0,0.44692
1125.0,0.44543
1130.0,0.44361
1135.0,0.44193
1140.0,0.44071
1145.0,0.43825
1150.0,0.43678
1155.0,0.4346
1160.0,0.43367
1165.0,0.43205
1170.0,0.43069
1175.0,0.42882
1180.0,0.42755
1185.0,0.42597
1190.0,0.42451
1195.0,0.42351
1200.0,0.42212
1205.0,0.42138
1210.0,0.4202
1215.0,0.42012
1220.0,0.41868
1225.0,0.41767
1230.0,0.41737
1235.0,0.41634
1240.0,0.41609
1245.0,0.41493
1250.0,0.41499
1255.0,0.4143
1260.0,0.41416
1265.0,0.41448
1270.0,0.41403
1275.0,0.4138
1280.0,0.413
1285.0,0.41423
1290.0,0.41479
1295.0,0.41465
1300.0,0.41504
1305.0,0.41657
1310.0,0.41723
1315.0,0.41841
1320.0,0.41842
1325.0,0.41888
1330.0,0.4202
1335.0,0.42036
1340.0,0.42155
1345.0,0.4228
1350.0,0.42429
1355.0,0.42409
1360.0,0.42352
