Composition,
Date Added,1996-02-20
Formula,
Grain Size Description,<1000.0um
Grain Size,"(0.0, 1000.0)"
Locality,"Apollo 16, Station 2, Moon"
Minimum Wavelength,300
Sample Name,"62231,14"
Maximum Wavelength,2600
Database of Origin,RELAB
Other Information,"Apollo 16 Soil 62231, Bulk"
References,"RV Morris et al, Handbook of Lunar Soils, 1983"
Resolution,5.0
Material class,Mixture
Sample Description,Surface sample collected from southeast rim of Buster Crater  
Sample ID,CLS30Z
Original Sample ID,LS-CMP-030
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,0.06824
305.0,0.06786
310.0,0.06944
315.0,0.07105
320.0,0.07357
325.0,0.07494
330.0,0.07629
335.0,0.07908
340.0,0.0815
345.0,0.08263
350.0,0.08382
355.0,0.08546
360.0,0.08664
365.0,0.08773
370.0,0.08933
375.0,0.09072
380.0,0.09252
385.0,0.0939
390.0,0.09527
395.0,0.09705
400.0,0.09863
405.0,0.10054
410.0,0.10098
415.0,0.10222
420.0,0.10355
425.0,0.10517
430.0,0.10624
435.0,0.10757
440.0,0.10866
445.0,0.10978
450.0,0.11088
455.0,0.11224
460.0,0.11395
465.0,0.11513
470.0,0.11613
475.0,0.1172
480.0,0.11894
485.0,0.12005
490.0,0.12126
495.0,0.12228
500.0,0.12351
505.0,0.12456
510.0,0.12564
515.0,0.12683
520.0,0.1285
525.0,0.12931
530.0,0.13024
535.0,0.13169
540.0,0.13248
545.0,0.13356
550.0,0.13428
555.0,0.13539
560.0,0.13646
565.0,0.1375
570.0,0.13838
575.0,0.13921
580.0,0.14001
585.0,0.14089
590.0,0.14209
595.0,0.14256
600.0,0.14352
605.0,0.14417
610.0,0.14517
615.0,0.14618
620.0,0.14713
625.0,0.14804
630.0,0.14897
635.0,0.15
640.0,0.15079
645.0,0.15153
650.0,0.15251
655.0,0.15328
660.0,0.15417
665.0,0.15481
670.0,0.15571
675.0,0.15635
680.0,0.15717
685.0,0.15819
690.0,0.15868
695.0,0.15985
700.0,0.16046
705.0,0.16121
710.0,0.16212
715.0,0.16294
720.0,0.16364
725.0,0.1637
730.0,0.16438
735.0,0.1651
740.0,0.16595
745.0,0.16675
750.0,0.1676
755.0,0.16816
760.0,0.16953
765.0,0.17035
770.0,0.17075
775.0,0.17108
780.0,0.17176
785.0,0.17201
790.0,0.17241
795.0,0.17272
800.0,0.17284
805.0,0.17309
810.0,0.17359
815.0,0.17403
820.0,0.17438
825.0,0.17457
830.0,0.17497
835.0,0.1751
840.0,0.17552
845.0,0.1758
850.0,0.17597
855.0,0.17627
860.0,0.17639
865.0,0.17621
870.0,0.17639
875.0,0.17624
880.0,0.1763
885.0,0.17675
890.0,0.1766
895.0,0.17704
900.0,0.17724
905.0,0.17769
910.0,0.178
915.0,0.178
920.0,0.17829
925.0,0.17879
930.0,0.17878
935.0,0.1792
940.0,0.17993
945.0,0.1804
950.0,0.18082
955.0,0.18103
960.0,0.18196
965.0,0.18214
970.0,0.18289
975.0,0.18352
980.0,0.18408
985.0,0.18464
990.0,0.18511
995.0,0.18589
1000.0,0.18662
1005.0,0.1873
1010.0,0.18799
1015.0,0.18851
1020.0,0.18909
1025.0,0.18982
1030.0,0.19054
1035.0,0.19129
1040.0,0.19196
1045.0,0.19282
1050.0,0.1937
1055.0,0.19392
1060.0,0.1948
1065.0,0.19555
1070.0,0.1965
1075.0,0.197
1080.0,0.19744
1085.0,0.19793
1090.0,0.199
1095.0,0.19973
1100.0,0.20025
1105.0,0.20076
1110.0,0.20135
1115.0,0.20195
1120.0,0.20286
1125.0,0.20316
1130.0,0.20383
1135.0,0.2045
1140.0,0.20497
1145.0,0.20589
1150.0,0.2066
1155.0,0.20702
1160.0,0.20745
1165.0,0.20813
1170.0,0.20917
1175.0,0.2097
1180.0,0.20982
1185.0,0.21092
1190.0,0.21118
1195.0,0.2114
1200.0,0.21121
1205.0,0.21187
1210.0,0.21263
1215.0,0.21323
1220.0,0.21378
1225.0,0.21463
1230.0,0.21498
1235.0,0.21571
1240.0,0.21577
1245.0,0.21644
1250.0,0.21688
1255.0,0.21735
1260.0,0.2177
1265.0,0.21856
1270.0,0.21916
1275.0,0.21951
1280.0,0.21994
1285.0,0.22057
1290.0,0.2208
1295.0,0.22184
1300.0,0.22231
1305.0,0.22292
1310.0,0.22318
1315.0,0.22373
1320.0,0.22442
1325.0,0.22518
1330.0,0.22547
