Composition,
Date Added,1995-07-04
Formula,
Grain Size Description,<125.0um
Grain Size,(75.0 - 125.0)
Locality,Apollo 11 
Minimum Wavelength,300
Sample Name,"10084,1780 75-125 um"
Maximum Wavelength,25920
Database of Origin,RELAB
Other Information,"Apollo 11 Soil Breccia NASA #10084, Bulk"
References,"Morris, et al, Handbook of Lunar Soils, NASA 1983"
Resolution,9.0
Material class,Mixture
Sample Description,Apollo 11 sample #10084.1780  
Sample ID,NCLS49H
Original Sample ID,LS-CMP-049-H
Viewing Geometry,Unknown
Wavelength,Response
300.0,0.03852
305.0,0.03702
310.0,0.03776
315.0,0.03823
320.0,0.03858
325.0,0.03789
330.0,0.03812
335.0,0.03863
340.0,0.03882
345.0,0.03918
350.0,0.03952
355.0,0.03964
360.0,0.03981
365.0,0.04014
370.0,0.04045
375.0,0.04088
380.0,0.04168
385.0,0.04192
390.0,0.04241
395.0,0.04255
400.0,0.04263
405.0,0.0432
410.0,0.04301
415.0,0.04316
420.0,0.04354
425.0,0.04418
430.0,0.0441
435.0,0.04436
440.0,0.04469
445.0,0.04497
450.0,0.04493
455.0,0.04539
460.0,0.04548
465.0,0.0459
470.0,0.04677
475.0,0.04659
480.0,0.04684
485.0,0.047
490.0,0.04741
495.0,0.04757
500.0,0.04804
505.0,0.04838
510.0,0.04865
515.0,0.04863
520.0,0.04934
525.0,0.04981
530.0,0.05031
535.0,0.05058
540.0,0.05096
545.0,0.05109
550.0,0.05141
555.0,0.05155
560.0,0.05217
565.0,0.05216
570.0,0.05241
575.0,0.05272
580.0,0.05305
585.0,0.05342
590.0,0.05374
595.0,0.05393
600.0,0.05436
605.0,0.05434
610.0,0.05509
615.0,0.05545
620.0,0.05587
625.0,0.05634
630.0,0.05639
635.0,0.05668
640.0,0.05727
645.0,0.0572
650.0,0.05748
655.0,0.05771
660.0,0.05792
665.0,0.05801
670.0,0.0587
675.0,0.05877
680.0,0.05932
685.0,0.05958
690.0,0.05989
695.0,0.06025
700.0,0.0607
705.0,0.06083
710.0,0.06117
715.0,0.06153
720.0,0.06225
725.0,0.0622
730.0,0.06222
735.0,0.06191
740.0,0.06249
745.0,0.06257
750.0,0.06355
755.0,0.0637
760.0,0.06326
765.0,0.0637
770.0,0.06383
775.0,0.0637
780.0,0.06373
785.0,0.06335
790.0,0.06362
795.0,0.06363
800.0,0.06337
805.0,0.06342
810.0,0.06266
815.0,0.06231
820.0,0.06255
825.0,0.06223
830.0,0.06205
835.0,0.06131
840.0,0.06067
845.0,0.06047
850.0,0.06032
855.0,0.05956
860.0,0.05909
865.0,0.05883
870.0,0.05876
875.0,0.05811
880.0,0.0586
885.0,0.05831
890.0,0.05765
895.0,0.05743
900.0,0.05701
905.0,0.05669
910.0,0.05651
915.0,0.05601
920.0,0.05619
925.0,0.05587
930.0,0.05549
935.0,0.05541
940.0,0.05526
945.0,0.05508
950.0,0.05511
955.0,0.05481
960.0,0.05487
965.0,0.05466
970.0,0.05466
975.0,0.05458
980.0,0.05451
985.0,0.05446
990.0,0.05452
995.0,0.05449
1000.0,0.05458
1005.0,0.05454
1010.0,0.05476
1015.0,0.05488
1020.0,0.055
1025.0,0.05536
1030.0,0.05554
1035.0,0.05591
1040.0,0.0559
1045.0,0.05617
1050.0,0.05645
1055.0,0.05656
1060.0,0.05683
1065.0,0.05722
1070.0,0.0576
1075.0,0.05783
1080.0,0.05829
1085.0,0.05872
1090.0,0.05906
1095.0,0.05964
1100.0,0.06012
1105.0,0.06059
1110.0,0.06121
1115.0,0.0619
1120.0,0.06251
1125.0,0.06296
1130.0,0.06346
1135.0,0.06363
1140.0,0.06435
1145.0,0.0649
1150.0,0.06546
1155.0,0.06571
1160.0,0.06623
1165.0,0.06673
1170.0,0.06722
1175.0,0.06721
1180.0,0.06788
1185.0,0.06799
1190.0,0.06818
1195.0,0.06865
1200.0,0.06862
1205.0,0.06935
1210.0,0.06947
1215.0,0.06968
1220.0,0.07012
1225.0,0.06998
1230.0,0.07027
1235.0,0.07073
1240.0,0.07067
1245.0,0.07088
1250.0,0.07129
1255.0,0.07156
1260.0,0.07185
1265.0,0.07207
1270.0,0.07203
1275.0,0.07247
1280.0,0.07239
1285.0,0.07324
1290.0,0.07326
1295.0,0.07345
1300.0,0.07352
1305.0,0.0741
1310.0,0.07423
1315.0,0.07462
1320.0,0.07517
1325.0,0.07511
1330.0,0.07541
1335.0,0.0759
1340.0,0.07605
1345.0,0.07608
1350.0,0.07635
1355.0,0.07652
1360.0,0.07661
1365.0,0.07714
1370.0,0.07745
1375.0,0.07766
1380.0,0.0779
1385.0,0.078
1390.0,0.07851
1395.0,0.0785
1400.0,0.07884
1405.0,0.07931
1410.0,0.07954
1415.0,0.07978
1420.0,0.08018
1425.0,0.08044
1430.0,0.08035
1435.0,0.08118
1440.0,0.08146
1445.0,0.08157
1450.0,0.08191
1455.0,0.0823
1460.0,0.08237
1465.0,0.08286
1470.0,0.08251
1475.0,0.08291
1480.0,0.08281
1485.0,0.08323
1490.0,0.08338
1495.0,0.08402
1500.0,0.08376
1505.0,0.08411
1510.0,0.08406
1515.0,0.08446
1520.0,0.08455
1525.0,0.08507
1530.0,0.08444
1535.0,0.08458
1540.0,0.08494
1545.0,0.08503
1550.0,0.08525
1555.0,0.08504
1560.0,0.0851
1565.0,0.08553
1570.0,0.08528
1575.0,0.08564
1580.0,0.08558
1585.0,0.08623
1590.0,0.08567
1595.0,0.0863
1600.0,0.08607
1605.0,0.08614
1610.0,0.08662
1615.0,0.08687
1620.0,0.0866
1625.0,0.08645
1630.0,0.08668
1635.0,0.08687
1640.0,0.08646
1645.0,0.08683
1650.0,0.08663
1655.0,0.0865
1660.0,0.08738
1665.0,0.08699
1670.0,0.08699
1675.0,0.08713
1680.0,0.08766
1685.0,0.08759
1690.0,0.08752
1695.0,0.08724
1700.0,0.08767
1705.0,0.08752
1710.0,0.08739
1715.0,0.08725
1720.0,0.08732
1725.0,0.08721
1730.0,0.08708
1735.0,0.08701
1740.0,0.08696
1745.0,0.08705
1750.0,0.0868
1755.0,0.08697
1760.0,0.08651
1765.0,0.08687
1770.0,0.08677
1775.0,0.08685
1780.0,0.08691
1785.0,0.08687
1790.0,0.08646
1795.0,0.08652
1800.0,0.08671
1805.0,0.08669
1810.0,0.08668
1815.0,0.08726
1820.0,0.08654
1825.0,0.0871
1830.0,0.08663
1835.0,0.08655
1840.0,0.08644
1845.0,0.08621
1850.0,0.08623
1855.0,0.08614
1860.0,0.08642
1865.0,0.08632
1870.0,0.08576
1875.0,0.08653
1880.0,0.08658
1885.0,0.08611
1890.0,0.08605
1895.0,0.08632
1900.0,0.0864
1905.0,0.08645
1910.0,0.08631
1915.0,0.0867
1920.0,0.08641
1925.0,0.08675
1930.0,0.08673
1935.0,0.08682
1940.0,0.0867
1945.0,0.0866
1950.0,0.08655
1955.0,0.08676
1960.0,0.08669
1965.0,0.08677
1970.0,0.0866
1975.0,0.08671
1980.0,0.08673
1985.0,0.08671
1990.0,0.08699
1995.0,0.08663
2000.0,0.08658
2005.0,0.08725
2010.0,0.08655
2015.0,0.08696
2020.0,0.08696
2025.0,0.08676
2030.0,0.08693
2035.0,0.08697
2040.0,0.08703
2045.0,0.08715
2050.0,0.08726
2055.0,0.0872
2060.0,0.0873
2065.0,0.08726
2070.0,0.08757
2075.0,0.0879
2080.0,0.08812
2085.0,0.08812
2090.0,0.088
2095.0,0.08824
2100.0,0.08812
2105.0,0.08816
2110.0,0.08817
2115.0,0.08852
2120.0,0.08827
2125.0,0.08833
2130.0,0.08842
2135.0,0.08878
2140.0,0.08842
2145.0,0.08862
2150.0,0.08867
2155.0,0.08883
2160.0,0.08884
2165.0,0.08924
2170.0,0.08956
2175.0,0.08958
2180.0,0.08971
2185.0,0.0901
