Composition,
Date Added,1985-07-02
Formula,
Grain Size Description,<1000.0um
Grain Size,(0.0 - 1000.0)
Locality,Apollo 15 Station 4 
Minimum Wavelength,351
Sample Name,15471P
Maximum Wavelength,2515
Database of Origin,RELAB
Other Information,"Apollo 15 Soil  NASA 15471, Bulk"
References,"RV Morris et al, Handbook of Lunar Soils, 1983"
Resolution,3.0
Material class,Returned Planetary Samples
Sample Description,"S. rim Dune Crater, South Cluster   "
Sample ID,CLS467
Original Sample ID,LS-JBA-125-P3
Viewing Geometry,Unknown
Wavelength,Response
351.0,0.067
354.0,0.068
357.0,0.068667
360.0,0.07
363.0,0.07
366.0,0.07
369.0,0.072
372.0,0.072333
375.0,0.073
378.0,0.074333
381.0,0.075
384.0,0.075
387.0,0.075667
390.0,0.077
393.0,0.078333
396.0,0.079
399.0,0.079
402.0,0.079333
405.0,0.08
408.0,0.080667
411.0,0.081
414.0,0.082
417.0,0.082667
420.0,0.084
423.0,0.084667
426.0,0.085
429.0,0.086
432.0,0.086333
435.0,0.087
438.0,0.088333
441.0,0.089
444.0,0.089
447.0,0.089333
450.0,0.09
453.0,0.091333
456.0,0.092
459.0,0.093
462.0,0.093333
465.0,0.094
468.0,0.094667
471.0,0.095
474.0,0.096
477.0,0.096667
480.0,0.098
483.0,0.098
486.0,0.098
489.0,0.099
492.0,0.099333
495.0,0.1
498.0,0.101333
501.0,0.102
504.0,0.103
507.0,0.103
510.0,0.103
513.0,0.104333
517.0,0.105
520.0,0.106
523.0,0.106667
526.0,0.108
529.0,0.108
532.0,0.108
535.0,0.11
538.0,0.11
541.0,0.11
544.0,0.111333
547.0,0.112
550.0,0.112
553.0,0.112333
556.0,0.113
559.0,0.114333
562.0,0.115
565.0,0.115
568.0,0.115667
571.0,0.117
574.0,0.117
577.0,0.117
580.0,0.118
583.0,0.118333
586.0,0.119
589.0,0.119667
593.0,0.12
596.0,0.121
599.0,0.121
602.0,0.121
605.0,0.122333
608.0,0.123
611.0,0.1236
614.0,0.123941
617.0,0.124622
620.0,0.124622
623.0,0.124622
626.0,0.125643
629.0,0.125983
632.0,0.126664
636.0,0.128026
639.0,0.128707
642.0,0.128707
645.0,0.128707
648.0,0.128707
651.0,0.130069
654.0,0.13075
657.0,0.13075
660.0,0.13075
664.0,0.13075
667.0,0.132112
670.0,0.132793
673.0,0.132793
676.0,0.133134
679.0,0.133815
683.0,0.133815
686.0,0.133815
689.0,0.135858
692.0,0.136198
695.0,0.136879
698.0,0.136879
702.0,0.136879
705.0,0.137901
708.0,0.137901
711.0,0.137901
714.0,0.139263
718.0,0.139944
721.0,0.140965
724.0,0.140965
727.0,0.140965
730.0,0.141646
734.0,0.141987
737.0,0.143008
740.0,0.143349
743.0,0.14403
746.0,0.14403
750.0,0.14403
753.0,0.145051
756.0,0.145051
759.0,0.145051
762.0,0.145732
766.0,0.146073
769.0,0.146073
772.0,0.146073
775.0,0.146073
778.0,0.146754
781.0,0.147094
785.0,0.147094
788.0,0.147094
791.0,0.147094
794.0,0.147094
797.0,0.147094
800.0,0.148116
803.0,0.148116
807.0,0.148116
810.0,0.148116
813.0,0.148116
816.0,0.147094
819.0,0.147094
822.0,0.147094
825.0,0.147094
828.0,0.147094
831.0,0.147094
834.0,0.147094
838.0,0.147094
841.0,0.147094
844.0,0.147094
847.0,0.147094
850.0,0.147094
853.0,0.147094
856.0,0.147094
859.0,0.147094
862.0,0.147094
865.0,0.147094
868.0,0.147094
871.0,0.147094
874.0,0.147094
877.0,0.146073
880.0,0.146073
883.0,0.146073
887.0,0.146073
890.0,0.146073
893.0,0.146073
896.0,0.146073
899.0,0.146073
902.0,0.146073
905.0,0.146073
908.0,0.146073
911.0,0.146073
914.0,0.146073
917.0,0.146754
920.0,0.147094
923.0,0.147094
926.0,0.146754
929.0,0.146073
932.0,0.146073
935.0,0.146073
938.0,0.147094
941.0,0.146754
944.0,0.146073
947.0,0.146073
950.0,0.146073
953.0,0.147094
956.0,0.147435
959.0,0.148116
962.0,0.148797
965.0,0.149137
968.0,0.149137
971.0,0.149137
974.0,0.149137
978.0,0.150499
981.0,0.15118
984.0,0.15118
987.0,0.15118
990.0,0.15118
993.0,0.151861
996.0,0.152202
999.0,0.152202
1002.0,0.152883
1005.0,0.154245
1008.0,0.154245
1011.0,0.154245
1014.0,0.155266
1017.0,0.155607
1020.0,0.156288
1023.0,0.15765
1026.0,0.158331
1029.0,0.158331
1032.0,0.158671
1035.0,0.159352
1038.0,0.160033
1041.0,0.160374
1044.0,0.161395
1047.0,0.161736
1050.0,0.162417
1053.0,0.163098
1056.0,0.163438
1059.0,0.163438
1062.0,0.164119
1065.0,0.165481
1068.0,0.166843
1071.0,0.167524
1074.0,0.168545
1077.0,0.168545
1080.0,0.168545
1083.0,0.169226
1086.0,0.169567
1089.0,0.170588
1092.0,0.170588
1095.0,0.170588
1098.0,0.171269
1101.0,0.17161
1104.0,0.172631
1107.0,0.173312
1110.0,0.174674
1113.0,0.175355
1116.0,0.175696
1119.0,0.175696
1122.0,0.176036
1125.0,0.176717
1128.0,0.177398
1131.0,0.177739
1134.0,0.17876
1137.0,0.17876
1140.0,0.17876
1143.0,0.179441
1146.0,0.179782
1149.0,0.180803
1152.0,0.181144
1155.0,0.181825
1158.0,0.181825
1161.0,0.181825
1164.0,0.182846
1167.0,0.183527
1170.0,0.184889
1173.0,0.184889
1176.0,0.184889
1179.0,0.185911
1182.0,0.185911
1185.0,0.185911
1188.0,0.186592
1191.0,0.186932
1194.0,0.187954
1197.0,0.188294
1200.0,0.188975
1203.0,0.188975
1206.0,0.188975
1209.0,0.189997
1212.0,0.190337
1215.0,0.191018
1218.0,0.191018
1221.0,0.191018
1224.0,0.19204
1227.0,0.19204
1230.0,0.19204
1233.0,0.192721
1236.0,0.193061
1239.0,0.193061
1242.0,0.193402
1245.0,0.194083
1248.0,0.194083
1251.0,0.194083
1254.0,0.195104
1257.0,0.195445
1260.0,0.196126
1263.0,0.196126
1266.0,0.196126
1269.0,0.197147
1272.0,0.197488
1276.0,0.198169
1279.0,0.198169
1282.0,0.198169
1285.0,0.200212
1288.0,0.200212
1291.0,0.200212
1294.0,0.200212
1297.0,0.200212
1300.0,0.201233
1303.0,0.201574
1306.0,0.202255
1309.0,0.202255
1312.0,0.202255
1315.0,0.202255
1318.0,0.202936
1321.0,0.204298
1324.0,0.204979
1327.0,0.205319
1330.0,0.205319
1333.0,0.205319
1336.0,0.205319
1339.0,0.206
1342.0,0.206341
1345.0,0.208383
1348.0,0.208724
1351.0,0.209405
1354.0,0.209405
1357.0,0.209405
1360.0,0.210426
1363.0,0.210767
1366.0,0.211448
1369.0,0.211448
1372.0,0.211448
1375.0,0.211448
1378.0,0.211448
1381.0,0.211448
1384.0,0.212129
1387.0,0.212469
1390.0,0.213491
1393.0,0.213491
1396.0,0.213491
1399.0,0.214172
1402.0,0.214512
1405.0,0.214512
1408.0,0.215193
1411.0,0.216555
1414.0,0.216555
1417.0,0.216555
1420.0,0.217577
1423.0,0.217577
1426.0,0.217577
1429.0,0.218939
1432.0,0.21962
1435.0,0.220641
1438.0,0.220641
1441.0,0.220641
1444.0,0.220641
1447.0,0.220641
1450.0,0.221663
1453.0,0.222003
1456.0,0.222684
1459.0,0.222684
1462.0,0.222684
1465.0,0.222684
1468.0,0.223025
1471.0,0.223706
1474.0,0.224387
1477.0,0.224727
1480.0,0.224727
1483.0,0.224727
1486.0,0.224727
1489.0,0.225408
1492.0,0.225749
1495.0,0.22677
1498.0,0.22677
1501.0,0.22677
1504.0,0.22677
1507.0,0.22677
1510.0,0.227792
1513.0,0.228132
1516.0,0.228813
1519.0,0.228813
1522.0,0.228813
1525.0,0.228813
1528.0,0.228813
1531.0,0.228813
1534.0,0.229494
1537.0,0.229835
1540.0,0.230856
1543.0,0.230856
1546.0,0.230856
1549.0,0.230856
1552.0,0.230856
1555.0,0.231878
1558.0,0.232218
1561.0,0.232899
1564.0,0.232899
1567.0,0.232899
1570.0,0.232899
1573.0,0.232899
1576.0,0.232899
1579.0,0.232899
1582.0,0.232899
1585.0,0.233921
1588.0,0.233921
1591.0,0.233921
1594.0,0.233921
1597.0,0.233921
1600.0,0.233921
1603.0,0.234261
1606.0,0.234942
1609.0,0.234942
1612.0,0.234942
1615.0,0.234942
1618.0,0.234942
1621.0,0.234942
1624.0,0.235623
1627.0,0.235964
1630.0,0.235964
1633.0,0.235964
1636.0,0.235964
1639.0,0.235964
1642.0,0.235964
1645.0,0.235964
1648.0,0.236304
1651.0,0.236985
1654.0,0.236985
1657.0,0.236985
1660.0,0.236985
1663.0,0.236985
1666.0,0.236985
1669.0,0.237666
1672.0,0.238007
1675.0,0.238007
1678.0,0.238007
1681.0,0.238007
1684.0,0.237326
1687.0,0.236985
1690.0,0.236985
1693.0,0.237326
1696.0,0.238007
1699.0,0.238007
1702.0,0.238007
1705.0,0.238007
1708.0,0.238007
1711.0,0.238007
1714.0,0.238688
1717.0,0.239028
1720.0,0.239028
1723.0,0.239028
1726.0,0.239028
1729.0,0.239028
1732.0,0.239028
1735.0,0.239028
1738.0,0.239028
1741.0,0.239028
1744.0,0.239028
1747.0,0.239028
1750.0,0.239028
1753.0,0.239028
1756.0,0.239028
1759.0,0.239028
1762.0,0.239028
1765.0,0.24005
1768.0,0.24005
1771.0,0.24005
1774.0,0.24005
1777.0,0.24005
1780.0,0.24005
1783.0,0.24005
1786.0,0.24005
1789.0,0.240731
1792.0,0.241071
1795.0,0.24005
1798.0,0.24005
1801.0,0.24005
1804.0,0.240731
1807.0,0.241071
1810.0,0.241071
1813.0,0.241071
1816.0,0.241071
1819.0,0.241071
1822.0,0.241071
1825.0,0.241071
1828.0,0.241071
1831.0,0.241071
1834.0,0.241071
1837.0,0.241071
1840.0,0.242093
1843.0,0.241752
1846.0,0.241071
1849.0,0.241071
1852.0,0.241071
1855.0,0.242093
1858.0,0.242433
1861.0,0.243114
1864.0,0.243114
1867.0,0.243114
1870.0,0.243114
1873.0,0.243114
1876.0,0.243114
1879.0,0.243114
1882.0,0.243114
1885.0,0.244136
1888.0,0.244136
1891.0,0.244136
1894.0,0.244136
1897.0,0.244136
1900.0,0.244136
1903.0,0.244136
1906.0,0.244136
1909.0,0.244817
1912.0,0.245157
1915.0,0.245157
1918.0,0.245157
1921.0,0.245157
1924.0,0.245838
1927.0,0.246179
1930.0,0.246179
1933.0,0.246179
1936.0,0.246179
1939.0,0.246179
1942.0,0.246179
1945.0,0.246179
1948.0,0.246179
1951.0,0.246179
1954.0,0.24686
1957.0,0.2472
1960.0,0.2472
1963.0,0.2472
1966.0,0.2472
1969.0,0.2472
1972.0,0.2472
1975.0,0.248222
1978.0,0.248222
1981.0,0.248222
1984.0,0.248222
1987.0,0.248222
1990.0,0.248222
1993.0,0.248222
1996.0,0.248222
1999.0,0.248902
2002.0,0.249243
2005.0,0.249243
2008.0,0.249243
2011.0,0.249243
2014.0,0.249243
2017.0,0.249243
2020.0,0.250264
2023.0,0.250264
2026.0,0.250264
2029.0,0.250264
2032.0,0.250264
