Composition,
Date Added,2014-01-21
Formula,
Grain Size Description,<63.0um
Grain Size,(0.0 - 63.0)
Locality,"Lake Towuti, Indonesia"
Minimum Wavelength,833
Sample Name,5A-S12-C9-23cm
Maximum Wavelength,25050
Database of Origin,RELAB
Other Information,Lake Core
References,
Resolution,4.0
Material class,Mixture
Sample Description,"Sub-sampled sediment from Lake Towuti, Indonesia Core TOW10-5A-1K-9 at 23 cm"
Sample ID,BIR1LT041
Original Sample ID,LT-JFM-041
Viewing Geometry,Unknown
Wavelength,Response
833.3,0.0898
833.5,0.08905
833.6,0.08966
833.7,0.0897
833.9,0.08941
834.0,0.08983
834.1,0.08884
834.3,0.08946
834.4,0.08987
834.5,0.08933
834.7,0.08947
834.8,0.09025
835.0,0.09088
835.1,0.09094
835.2,0.08988
835.3,0.08904
835.5,0.08941
835.6,0.08926
835.8,0.08855
835.9,0.08899
836.0,0.08932
836.2,0.08959
836.3,0.08969
836.4,0.08957
836.6,0.08896
836.7,0.08897
836.8,0.08948
837.0,0.08974
837.1,0.08891
837.2,0.08894
837.4,0.08919
837.5,0.08947
837.6,0.0896
837.8,0.08925
837.9,0.08927
838.0,0.08948
838.2,0.08917
838.3,0.08917
838.5,0.09045
838.6,0.09054
838.7,0.08915
838.9,0.08803
839.0,0.08837
839.1,0.08966
839.3,0.09025
839.4,0.09029
839.5,0.09014
839.7,0.08969
839.8,0.0894
840.0,0.08918
840.1,0.08829
840.2,0.08809
840.4,0.08967
840.5,0.09156
840.6,0.09145
840.8,0.09089
840.9,0.09054
841.0,0.09016
841.2,0.08968
841.3,0.09012
841.5,0.09084
841.6,0.09051
841.7,0.08986
841.9,0.08978
842.0,0.08918
842.1,0.08881
842.3,0.08919
842.4,0.08806
842.5,0.08857
842.7,0.09074
842.8,0.09165
843.0,0.09048
843.1,0.08864
843.2,0.08751
843.4,0.0879
843.5,0.08931
843.6,0.08967
843.8,0.0891
843.9,0.0897
844.0,0.08988
844.2,0.08948
844.3,0.08883
844.5,0.08871
844.6,0.08912
844.7,0.08879
844.9,0.08896
845.0,0.08897
845.2,0.08945
845.3,0.09062
845.4,0.09083
845.6,0.09011
845.7,0.08937
845.8,0.08941
846.0,0.0901
846.1,0.08994
846.3,0.0892
846.4,0.08842
846.5,0.08809
846.7,0.08856
846.8,0.08905
847.0,0.08865
847.1,0.08763
847.2,0.08857
847.4,0.0899
847.5,0.08997
847.6,0.08886
847.8,0.08723
847.9,0.08794
848.1,0.08896
848.2,0.0904
848.3,0.09081
848.5,0.08877
848.6,0.08805
848.8,0.08988
848.9,0.09081
849.0,0.09087
849.2,0.09068
849.3,0.09022
849.5,0.09027
849.6,0.09007
849.7,0.08937
849.9,0.08898
850.0,0.08969
850.1,0.09022
850.3,0.09015
850.4,0.09022
850.6,0.09034
850.7,0.0893
850.8,0.08932
851.0,0.08973
851.1,0.09035
851.3,0.09121
851.4,0.09049
851.5,0.08955
851.7,0.08902
851.8,0.09035
852.0,0.09001
852.1,0.0883
852.2,0.08823
852.4,0.08894
852.5,0.08896
852.7,0.08986
852.8,0.09077
852.9,0.09003
853.1,0.08949
853.2,0.09022
853.4,0.09063
853.5,0.08965
853.6,0.08872
853.8,0.08875
853.9,0.08906
854.1,0.08894
854.2,0.08783
854.3,0.08777
854.5,0.08879
854.6,0.08971
854.8,0.08957
854.9,0.08925
855.0,0.08877
855.2,0.0882
855.3,0.08868
855.5,0.08952
855.6,0.08949
855.8,0.08945
855.9,0.08952
856.0,0.08879
856.2,0.08891
856.3,0.08815
856.5,0.0883
856.6,0.08947
856.8,0.08959
856.9,0.08973
857.0,0.0894
857.2,0.08907
857.3,0.08996
857.5,0.09004
857.6,0.08974
857.7,0.08985
857.9,0.08927
858.0,0.08941
858.2,0.08936
858.3,0.08858
858.5,0.089
858.6,0.08991
858.7,0.0897
858.9,0.09037
859.0,0.09028
859.2,0.09027
859.3,0.09074
859.4,0.0902
859.6,0.0891
859.7,0.08817
859.9,0.08915
860.0,0.08994
860.2,0.08991
860.3,0.08999
860.4,0.08907
860.6,0.08894
860.7,0.08885
860.9,0.08868
861.0,0.09001
861.2,0.09021
861.3,0.08945
861.4,0.0897
861.6,0.09023
861.7,0.08959
861.9,0.08852
862.0,0.08919
862.2,0.08968
862.3,0.08955
862.5,0.08955
862.6,0.0895
862.7,0.08918
862.9,0.08898
863.0,0.08919
863.2,0.08963
863.3,0.08965
863.5,0.08968
863.6,0.08916
863.7,0.08866
863.9,0.08895
864.0,0.08912
864.2,0.08925
864.3,0.089
864.5,0.08903
864.6,0.08927
864.8,0.08967
864.9,0.08902
865.0,0.08906
865.2,0.08897
865.3,0.08923
865.5,0.08987
865.6,0.08966
865.8,0.08866
865.9,0.08898
866.0,0.08933
866.2,0.08948
866.3,0.08975
866.5,0.08896
866.6,0.08856
866.8,0.08887
866.9,0.08955
867.1,0.08929
867.2,0.08858
867.3,0.08837
867.5,0.08865
867.6,0.08873
867.8,0.0884
867.9,0.08793
868.1,0.08796
868.2,0.08845
868.4,0.08869
868.5,0.08854
868.7,0.08816
868.8,0.08862
869.0,0.08938
869.1,0.08929
869.2,0.08904
869.4,0.0892
869.5,0.08925
869.7,0.08907
869.8,0.0891
870.0,0.08959
870.1,0.08956
870.3,0.08954
870.4,0.08923
870.6,0.08914
870.7,0.08973
870.8,0.08932
871.0,0.08871
871.1,0.08934
871.3,0.08911
871.4,0.08775
871.6,0.08796
871.7,0.08782
871.9,0.08734
872.0,0.08851
872.2,0.08971
872.3,0.08929
872.5,0.08875
872.6,0.08888
872.8,0.08947
872.9,0.09001
873.0,0.0897
873.2,0.08872
873.3,0.0884
873.5,0.08901
873.6,0.08917
873.8,0.08845
873.9,0.08838
874.1,0.08908
874.2,0.08878
874.4,0.08785
874.5,0.08795
874.7,0.08822
874.8,0.08852
875.0,0.0891
875.1,0.08815
875.3,0.08755
875.4,0.08826
875.5,0.08864
875.7,0.08852
875.8,0.08911
876.0,0.08994
876.2,0.09009
876.3,0.0892
876.4,0.0884
876.6,0.0883
876.7,0.08864
876.9,0.08924
877.0,0.08949
877.2,0.08943
877.3,0.08958
877.5,0.0892
877.6,0.08899
877.8,0.08917
877.9,0.08892
878.1,0.08851
878.2,0.08815
878.4,0.08863
878.5,0.08909
878.7,0.08897
878.8,0.08914
879.0,0.08867
879.1,0.08784
879.3,0.08796
879.4,0.0885
879.6,0.08896
879.7,0.08877
879.9,0.08843
880.0,0.08855
880.2,0.08867
880.3,0.08852
880.5,0.0884
880.6,0.08855
880.8,0.08897
880.9,0.08876
881.1,0.08828
881.2,0.08872
881.4,0.08926
881.5,0.08921
881.7,0.08922
881.8,0.08923
882.0,0.08883
882.1,0.08867
882.3,0.08887
882.4,0.0898
882.6,0.08997
882.7,0.08857
882.9,0.08793
883.0,0.08893
883.2,0.0897
883.3,0.08961
883.5,0.08922
883.6,0.08857
883.8,0.08811
883.9,0.08835
884.1,0.08875
884.2,0.08864
884.4,0.08834
884.5,0.08847
884.7,0.08892
884.8,0.08929
885.0,0.08906
885.1,0.08843
885.3,0.08833
885.4,0.08808
885.6,0.08819
885.7,0.08889
885.9,0.08894
886.0,0.08854
886.2,0.08882
886.3,0.08958
886.5,0.08883
886.6,0.08814
886.8,0.08834
886.9,0.08868
887.1,0.08845
887.2,0.08816
887.4,0.0887
887.5,0.08873
887.7,0.08776
887.8,0.08803
888.0,0.08855
888.2,0.08876
888.3,0.08886
888.5,0.08888
888.6,0.08855
888.8,0.08872
888.9,0.08892
889.1,0.08855
889.2,0.08843
889.4,0.08909
889.5,0.089
889.7,0.08868
889.8,0.08869
890.0,0.08869
890.1,0.08866
890.3,0.08886
890.4,0.08873
890.6,0.08816
890.8,0.08774
890.9,0.08763
891.0,0.08852
891.2,0.08909
891.4,0.08873
891.5,0.08887
891.7,0.0886
891.8,0.08814
892.0,0.08834
892.1,0.08867
892.3,0.08909
892.4,0.08895
892.6,0.08834
892.7,0.08819
892.9,0.08803
893.0,0.08823
893.2,0.08873
893.4,0.088
893.5,0.08762
893.7,0.08805
893.8,0.08871
894.0,0.08905
894.1,0.08925
894.3,0.08905
894.4,0.08843
894.6,0.08833
894.7,0.08851
894.9,0.08855
895.0,0.08829
895.2,0.08798
895.4,0.088
895.5,0.08839
895.7,0.08855
895.8,0.08823
896.0,0.08783
896.1,0.08819
896.3,0.0882
896.4,0.088
896.6,0.08811
896.8,0.08862
896.9,0.08899
897.1,0.08834
897.2,0.08781
897.4,0.08805
897.5,0.0882
897.7,0.08803
897.8,0.08816
898.0,0.08811
898.2,0.08789
898.3,0.08787
898.5,0.08845
898.6,0.08809
898.8,0.08727
898.9,0.08767
899.1,0.08809
899.2,0.08764
899.4,0.08769
899.6,0.08812
899.7,0.08791
899.9,0.08759
900.0,0.08771
900.2,0.08781
900.3,0.08785
900.5,0.0877
900.7,0.08761
900.8,0.08773
901.0,0.08828
901.1,0.08832
901.3,0.08791
901.4,0.0877
901.6,0.08806
901.8,0.08871
901.9,0.08871
902.1,0.08821
902.2,0.08792
902.4,0.08854
902.5,0.08831
902.7,0.08829
902.8,0.08831
903.0,0.08793
903.2,0.08795
903.3,0.08796
903.5,0.08763
903.6,0.08787
903.8,0.08818
904.0,0.08785
904.1,0.08751
904.3,0.08781
904.4,0.08817
904.6,0.08782
904.7,0.08724
904.9,0.08741
905.0,0.08779
905.2,0.08791
905.4,0.08802
905.5,0.08787
905.7,0.08743
905.8,0.0876
906.0,0.08802
906.2,0.08768
906.3,0.08794
906.5,0.08827
906.6,0.08827
906.8,0.08777
907.0,0.08718
907.1,0.08752
907.3,0.08802
907.4,0.0879
907.6,0.08766
907.7,0.08749
907.9,0.08772
908.1,0.08831
908.2,0.08822
908.4,0.08795
908.5,0.08788
908.7,0.08766
908.9,0.08757
909.0,0.08749
909.2,0.08778
909.3,0.08785
909.5,0.08756
909.7,0.08737
909.8,0.08717
910.0,0.08739
910.1,0.08788
910.3,0.08815
910.5,0.08768
910.6,0.08753
910.8,0.08777
910.9,0.08792
911.1,0.08782
911.3,0.08788
911.4,0.08806
911.6,0.08841
911.7,0.08822
911.9,0.08761
912.1,0.08782
912.2,0.08826
912.4,0.08821
912.5,0.08768
912.7,0.08756
912.9,0.08753
913.0,0.08754
913.2,0.08752
913.3,0.08747
913.5,0.08762
913.7,0.08748
913.8,0.08756
914.0,0.08842
914.2,0.08891
914.3,0.0882
914.5,0.08755
914.6,0.08747
914.8,0.08743
915.0,0.08755
915.1,0.08761
915.3,0.08723
915.4,0.08728
915.6,0.08717
915.8,0.08704
915.9,0.0876
916.1,0.0878
916.3,0.08771
916.4,0.08779
916.6,0.08766
916.7,0.08775
916.9,0.08799
917.1,0.08832
917.2,0.08822
917.4,0.08822
917.5,0.0882
917.7,0.08794
917.9,0.08778
918.0,0.08788
918.2,0.08838
918.4,0.08814
918.5,0.08734
918.7,0.0873
918.8,0.08725
919.0,0.08739
919.2,0.08781
919.3,0.08785
919.5,0.08767
919.7,0.0876
919.8,0.0875
920.0,0.08747
920.2,0.0875
920.3,0.08775
920.5,0.08794
920.6,0.0877
920.8,0.08751
921.0,0.08753
921.1,0.08748
921.3,0.08714
921.5,0.08704
921.6,0.08761
921.8,0.08763
922.0,0.0873
922.1,0.08724
922.3,0.08755
922.4,0.08787
922.6,0.08828
922.8,0.08819
922.9,0.08778
923.1,0.08764
923.3,0.08764
923.4,0.08741
923.6,0.08741
923.8,0.08749
923.9,0.08759
924.1,0.0878
924.3,0.08778
924.4,0.0878
924.6,0.08731
924.7,0.08684
924.9,0.08695
925.1,0.08723
925.2,0.08752
925.4,0.08739
925.6,0.08688
925.7,0.08708
925.9,0.08733
926.1,0.08759
926.2,0.08753
926.4,0.08713
926.6,0.08726
926.7,0.08723
926.9,0.0872
927.1,0.08766
927.2,0.08779
927.4,0.0878
927.6,0.08786
927.7,0.08764
927.9,0.08735
928.0,0.08747
928.2,0.08747
928.4,0.08709
928.5,0.08695
928.7,0.08729
928.9,0.08782
929.0,0.08777
929.2,0.0876
929.4,0.08767
929.5,0.08746
929.7,0.087
929.9,0.08695
930.0,0.08728
930.2,0.08756
930.4,0.08771
930.5,0.08754
930.7,0.08721
930.9,0.08732
931.0,0.08802
931.2,0.08781
931.4,0.08731
931.6,0.08737
931.7,0.08767
931.9,0.08743
932.1,0.08731
932.2,0.08738
932.4,0.08749
932.6,0.08793
932.7,0.08819
932.9,0.08805
933.1,0.08803
933.2,0.088
933.4,0.08785
933.6,0.08761
933.7,0.08766
933.9,0.08777
934.1,0.08745
934.2,0.08752
934.4,0.08759
934.6,0.0876
934.8,0.08763
934.9,0.08782
935.1,0.08787
935.3,0.08747
935.4,0.08725
935.6,0.08746
935.8,0.08745
935.9,0.08747
936.1,0.08783
936.3,0.08762
936.4,0.08736
936.6,0.08725
936.8,0.08707
936.9,0.08725
937.1,0.0874
937.3,0.08759
937.5,0.08775
937.6,0.0878
937.8,0.08767
938.0,0.08747
938.1,0.08749
938.3,0.0874
938.5,0.08755
938.6,0.08775
938.8,0.08772
939.0,0.0878
939.2,0.08761
939.3,0.0874
939.5,0.08761
939.7,0.08775
939.8,0.08792
940.0,0.08788
940.2,0.08751
940.3,0.08746
940.5,0.08735
940.7,0.08713
940.8,0.08728
941.0,0.08732
941.2,0.08747
941.4,0.0877
941.5,0.08754
941.7,0.0875
941.9,0.08753
942.0,0.0875
942.2,0.08748
942.4,0.08728
942.6,0.08749
942.7,0.08769
942.9,0.08747
943.1,0.08717
943.3,0.08727
943.4,0.08717
943.6,0.08728
943.8,0.08771
943.9,0.08785
944.1,0.08738
944.3,0.08726
944.5,0.08759
944.6,0.08764
944.8,0.08741
945.0,0.08729
945.1,0.08749
945.3,0.08753
945.5,0.08742
945.7,0.08743
945.8,0.0874
946.0,0.08772
946.2,0.08803
946.3,0.08776
946.5,0.0875
946.7,0.08767
946.9,0.08749
947.0,0.08747
947.2,0.08783
947.4,0.08778
947.6,0.08781
947.7,0.08791
947.9,0.08757
948.1,0.08733
948.3,0.08733
948.4,0.08733
948.6,0.08751
948.8,0.0879
949.0,0.08782
949.1,0.08771
949.3,0.08767
949.5,0.08749
949.6,0.08751
949.8,0.08746
950.0,0.08722
950.2,0.08715
950.3,0.08726
950.5,0.08732
950.7,0.08734
950.9,0.08727
951.0,0.08758
951.2,0.08749
951.4,0.0875
951.6,0.08767
951.7,0.08765
951.9,0.0875
952.1,0.08742
952.3,0.08753
952.4,0.08754
952.6,0.08729
952.8,0.08733
953.0,0.08777
953.1,0.0881
953.3,0.0878
953.5,0.08742
953.7,0.08757
953.8,0.0878
954.0,0.08772
954.2,0.08757
954.4,0.08757
954.5,0.08779
954.7,0.08746
954.9,0.08709
955.1,0.08738
955.2,0.08777
955.4,0.08792
955.6,0.08758
955.8,0.08733
956.0,0.08748
956.1,0.08755
956.3,0.08752
956.5,0.0879
956.7,0.08802
956.8,0.08789
957.0,0.08767
