Composition,
Date Added,2011-10-13
Formula,
Grain Size Description,<150.0um
Grain Size,(5.0 - 150.0)
Locality,"Lake Towuti Core 9, Indonesia"
Minimum Wavelength,833
Sample Name,9b-6-137.0 (IDLE TOW10 9B-1K-6 137.0)
Maximum Wavelength,4762
Database of Origin,RELAB
Other Information,Lake Core
References,
Resolution,4.0
Material class,Sediment
Sample Description,Paleoclimate reconstruction of Lake Towuti
Sample ID,BNR1LT004
Original Sample ID,LT-JMR-004
Viewing Geometry,Unknown
Wavelength,Response
833.3,0.13103
833.5,0.13091
833.6,0.13264
833.7,0.1349
833.9,0.13544
834.0,0.13494
834.1,0.13374
834.3,0.13305
834.4,0.13219
834.5,0.13184
834.7,0.13194
834.8,0.13254
835.0,0.13339
835.1,0.13387
835.2,0.13261
835.3,0.13215
835.5,0.13254
835.6,0.13331
835.8,0.13381
835.9,0.13349
836.0,0.13349
836.2,0.13429
836.3,0.13421
836.4,0.1334
836.6,0.1323
836.7,0.13287
836.8,0.13494
837.0,0.1347
837.1,0.13322
837.2,0.13279
837.4,0.13161
837.5,0.13098
837.6,0.1323
837.8,0.13263
837.9,0.13213
838.0,0.13284
838.2,0.13341
838.3,0.13303
838.5,0.13246
838.6,0.13336
838.7,0.13481
838.9,0.13456
839.0,0.13463
839.1,0.13542
839.3,0.13557
839.4,0.13405
839.5,0.13394
839.7,0.13375
839.8,0.13275
840.0,0.13227
840.1,0.1333
840.2,0.13346
840.4,0.13276
840.5,0.1331
840.6,0.13336
840.8,0.13305
840.9,0.13241
841.0,0.13234
841.2,0.13238
841.3,0.13297
841.5,0.13319
841.6,0.13346
841.7,0.1341
841.9,0.13285
842.0,0.13207
842.1,0.1335
842.3,0.13484
842.4,0.13394
842.5,0.13262
842.7,0.13266
842.8,0.13313
843.0,0.1329
843.1,0.13355
843.2,0.13407
843.4,0.13466
843.5,0.13513
843.6,0.13521
843.8,0.13491
843.9,0.13443
844.0,0.13386
844.2,0.13281
844.3,0.13229
844.5,0.1321
844.6,0.13282
844.7,0.13358
844.9,0.13355
845.0,0.13278
845.2,0.13268
845.3,0.13318
845.4,0.13311
845.6,0.13292
845.7,0.1329
845.8,0.13367
846.0,0.13451
846.1,0.13455
846.3,0.13363
846.4,0.13299
846.5,0.13319
846.7,0.13294
846.8,0.13228
847.0,0.13321
847.1,0.13375
847.2,0.13339
847.4,0.1329
847.5,0.1334
847.6,0.13477
847.8,0.13484
847.9,0.13477
848.1,0.13429
848.2,0.13319
848.3,0.13223
848.5,0.13261
848.6,0.13246
848.8,0.1326
848.9,0.13385
849.0,0.13389
849.2,0.13447
849.3,0.13514
849.5,0.13432
849.6,0.13354
849.7,0.1332
849.9,0.13328
850.0,0.13316
850.1,0.13262
850.3,0.1336
850.4,0.13468
850.6,0.13491
850.7,0.13448
850.8,0.13459
851.0,0.13449
851.1,0.13409
851.3,0.1337
851.4,0.1336
851.5,0.13381
851.7,0.13367
851.8,0.13341
852.0,0.13358
852.1,0.13379
852.2,0.13366
852.4,0.13368
852.5,0.13435
852.7,0.13459
852.8,0.13361
852.9,0.13239
853.1,0.13189
853.2,0.13196
853.4,0.13215
853.5,0.13248
853.6,0.13234
853.8,0.13328
853.9,0.13389
854.1,0.13347
854.2,0.13389
854.3,0.13366
854.5,0.13301
854.6,0.1334
854.8,0.13399
854.9,0.13377
855.0,0.13371
855.2,0.13307
855.3,0.13257
855.5,0.13375
855.6,0.13478
855.8,0.13437
855.9,0.13361
856.0,0.13342
856.2,0.13307
856.3,0.13275
856.5,0.13262
856.6,0.13274
856.8,0.1334
856.9,0.13405
857.0,0.13398
857.2,0.13294
857.3,0.1331
857.5,0.13368
857.6,0.13231
857.7,0.13245
857.9,0.13373
858.0,0.13404
858.2,0.13452
858.3,0.13417
858.5,0.13311
858.6,0.13265
858.7,0.13361
858.9,0.13472
859.0,0.1335
859.2,0.13327
859.3,0.13363
859.4,0.13324
859.6,0.13317
859.7,0.13296
859.9,0.13291
860.0,0.13325
860.2,0.13296
860.3,0.13283
860.4,0.13308
860.6,0.13354
860.7,0.13418
860.9,0.13422
861.0,0.13349
861.2,0.13317
861.3,0.13308
861.4,0.13283
861.6,0.13305
861.7,0.13328
861.9,0.13323
862.0,0.13297
862.2,0.13274
862.3,0.13297
862.5,0.1329
862.6,0.13322
862.7,0.13401
862.9,0.13387
863.0,0.13309
863.2,0.13293
863.3,0.13295
863.5,0.13288
863.6,0.13303
863.7,0.13348
863.9,0.13396
864.0,0.13479
864.2,0.13464
864.3,0.13376
864.5,0.13351
864.6,0.13365
864.8,0.13379
864.9,0.13374
865.0,0.13367
865.2,0.13407
865.3,0.1336
865.5,0.13241
865.6,0.13249
865.8,0.13255
865.9,0.13302
866.0,0.1331
866.2,0.13301
866.3,0.13324
866.5,0.13322
866.6,0.13294
866.8,0.13323
866.9,0.13323
867.1,0.13298
867.2,0.13301
867.3,0.13333
867.5,0.13327
867.6,0.13306
867.8,0.13264
867.9,0.13268
868.1,0.13269
868.2,0.13276
868.4,0.13285
868.5,0.13289
868.7,0.13291
868.8,0.13373
869.0,0.1342
869.1,0.1334
869.2,0.13345
869.4,0.13362
869.5,0.13322
869.7,0.133
869.8,0.13295
870.0,0.13254
870.1,0.13202
870.3,0.13186
870.4,0.132
870.6,0.13244
870.7,0.13283
870.8,0.13294
871.0,0.13328
871.1,0.13367
871.3,0.13342
871.4,0.13287
871.6,0.13335
871.7,0.13327
871.9,0.13289
872.0,0.13293
872.2,0.1329
872.3,0.13384
872.5,0.13411
872.6,0.13345
872.8,0.13352
872.9,0.13304
873.0,0.13223
873.2,0.13282
873.3,0.13285
873.5,0.13217
873.6,0.13291
873.8,0.13382
873.9,0.13366
874.1,0.13345
874.2,0.13357
874.4,0.13327
874.5,0.13258
874.7,0.13267
874.8,0.13264
875.0,0.13314
875.1,0.13417
875.3,0.13327
875.4,0.13277
875.5,0.13312
875.7,0.13291
875.8,0.13272
876.0,0.13309
876.2,0.1332
876.3,0.1325
876.4,0.13216
876.6,0.13211
876.7,0.1327
876.9,0.13317
877.0,0.13261
877.2,0.13215
877.3,0.13277
877.5,0.13288
877.6,0.1325
877.8,0.13256
877.9,0.13228
878.1,0.13186
878.2,0.13267
878.4,0.13327
878.5,0.13316
878.7,0.13351
878.8,0.13327
879.0,0.1328
879.1,0.13315
879.3,0.13339
879.4,0.13347
879.6,0.13366
879.7,0.13378
879.9,0.13371
880.0,0.13363
880.2,0.13329
880.3,0.13345
880.5,0.13383
880.6,0.13345
880.8,0.13294
880.9,0.13279
881.1,0.13279
881.2,0.13316
881.4,0.13349
881.5,0.13309
881.7,0.13284
881.8,0.13324
882.0,0.13354
882.1,0.13271
882.3,0.13197
882.4,0.13196
882.6,0.13246
882.7,0.1325
882.9,0.13255
883.0,0.13256
883.2,0.13169
883.3,0.13158
883.5,0.13237
883.6,0.13232
883.8,0.13192
883.9,0.13266
884.1,0.13334
884.2,0.13296
884.4,0.13318
884.5,0.13365
884.7,0.13355
884.8,0.13302
885.0,0.13291
885.1,0.13327
885.3,0.13318
885.4,0.1336
885.6,0.13394
885.7,0.13352
885.9,0.1329
886.0,0.13272
886.2,0.13238
886.3,0.13232
886.5,0.13289
886.6,0.13336
886.8,0.13309
886.9,0.13337
887.1,0.13253
887.2,0.13212
887.4,0.13254
887.5,0.13287
887.7,0.1327
887.8,0.13259
888.0,0.13296
888.2,0.13295
888.3,0.13244
888.5,0.13291
888.6,0.1337
888.8,0.13376
888.9,0.13329
889.1,0.13297
889.2,0.1329
889.4,0.1326
889.5,0.13275
889.7,0.13331
889.8,0.1332
890.0,0.13348
890.1,0.13326
890.3,0.13296
890.4,0.13327
890.6,0.13318
890.8,0.13277
890.9,0.13286
891.0,0.13315
891.2,0.13318
891.4,0.1327
891.5,0.13249
891.7,0.13271
891.8,0.13326
892.0,0.13335
892.1,0.13271
892.3,0.13207
892.4,0.13243
892.6,0.13288
892.7,0.13327
892.9,0.13373
893.0,0.13319
893.2,0.13292
893.4,0.1332
893.5,0.1332
893.7,0.13341
893.8,0.1328
