Composition,
Date Added,1996-09-11
Formula,
Grain Size Description,<45.0um
Grain Size,(0.0 - 45.0)
Locality,"Apollo 17 site, Moon"
Minimum Wavelength,300
Sample Name,76015 Xt10+Gl90 
Maximum Wavelength,2600
Database of Origin,RELAB
Other Information,Lunar Rock Crystal Glass
References,
Resolution,5.0
Material class,Returned Planetary Samples
Sample Description,
Sample ID,C1LX04
Original Sample ID,LX-CMP-004
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,0.08516
305.0,0.08935
310.0,0.09419
315.0,0.09811
320.0,0.1053
325.0,0.11235
330.0,0.11896
335.0,0.12596
340.0,0.13201
345.0,0.13926
350.0,0.14568
355.0,0.15166
360.0,0.15759
365.0,0.16487
370.0,0.17009
375.0,0.17595
380.0,0.18148
385.0,0.18713
390.0,0.19251
395.0,0.19833
400.0,0.20417
405.0,0.20992
410.0,0.21364
415.0,0.2194
420.0,0.22548
425.0,0.23063
430.0,0.23591
435.0,0.24173
440.0,0.24728
445.0,0.25199
450.0,0.25734
455.0,0.26365
460.0,0.2692
465.0,0.27529
470.0,0.28041
475.0,0.28616
480.0,0.29211
485.0,0.29826
490.0,0.30337
495.0,0.30848
500.0,0.31238
505.0,0.31771
510.0,0.32219
515.0,0.32765
520.0,0.33223
525.0,0.33652
530.0,0.34074
535.0,0.34502
540.0,0.34883
545.0,0.35215
550.0,0.35595
555.0,0.35944
560.0,0.36192
565.0,0.36459
570.0,0.3672
575.0,0.36931
580.0,0.37119
585.0,0.37249
590.0,0.37356
595.0,0.37465
600.0,0.37504
605.0,0.37504
610.0,0.37579
615.0,0.37558
620.0,0.37526
625.0,0.37487
630.0,0.3739
635.0,0.37393
640.0,0.37249
645.0,0.37138
650.0,0.37052
655.0,0.36829
660.0,0.36693
665.0,0.36503
670.0,0.36318
675.0,0.36174
680.0,0.35982
685.0,0.35751
690.0,0.35557
695.0,0.35389
700.0,0.35221
705.0,0.34929
710.0,0.34735
715.0,0.34513
720.0,0.34231
725.0,0.33935
730.0,0.33736
735.0,0.33443
740.0,0.33193
745.0,0.32891
750.0,0.32594
755.0,0.32297
760.0,0.32006
765.0,0.31737
770.0,0.31495
775.0,0.31175
780.0,0.30964
785.0,0.30627
790.0,0.3038
795.0,0.30106
800.0,0.29846
805.0,0.29522
810.0,0.29283
815.0,0.28945
820.0,0.28701
825.0,0.28423
830.0,0.28097
835.0,0.27846
840.0,0.27597
845.0,0.27294
850.0,0.27045
855.0,0.26954
860.0,0.26668
865.0,0.26376
870.0,0.26223
875.0,0.25983
880.0,0.25802
885.0,0.25537
890.0,0.25399
895.0,0.25219
900.0,0.25017
905.0,0.24886
910.0,0.24722
915.0,0.24524
920.0,0.24442
925.0,0.2426
930.0,0.2413
935.0,0.24035
940.0,0.23941
945.0,0.23834
950.0,0.23762
955.0,0.23676
960.0,0.23612
965.0,0.23567
970.0,0.2351
975.0,0.23438
980.0,0.23428
985.0,0.23417
990.0,0.23384
995.0,0.23368
1000.0,0.23325
1005.0,0.23277
1010.0,0.23272
1015.0,0.23275
1020.0,0.2325
1025.0,0.23274
1030.0,0.2326
1035.0,0.23247
1040.0,0.23254
1045.0,0.23252
1050.0,0.2327
1055.0,0.23289
1060.0,0.2326
1065.0,0.23328
1070.0,0.233
1075.0,0.23296
1080.0,0.23348
1085.0,0.2332
1090.0,0.23389
1095.0,0.23388
1100.0,0.23396
1105.0,0.23399
1110.0,0.23408
1115.0,0.23439
1120.0,0.2352
1125.0,0.23525
1130.0,0.23585
1135.0,0.23611
1140.0,0.23618
1145.0,0.23677
1150.0,0.23735
1155.0,0.23778
1160.0,0.23811
1165.0,0.23882
1170.0,0.2394
1175.0,0.23958
1180.0,0.24028
1185.0,0.24075
1190.0,0.2415
1195.0,0.24232
1200.0,0.24314
1205.0,0.24419
1210.0,0.2447
1215.0,0.24538
1220.0,0.24568
1225.0,0.24652
1230.0,0.24721
1235.0,0.2484
1240.0,0.24908
1245.0,0.24977
1250.0,0.25023
1255.0,0.25104
1260.0,0.25212
1265.0,0.25367
1270.0,0.25474
1275.0,0.25546
1280.0,0.25559
1285.0,0.25666
1290.0,0.25815
1295.0,0.25917
1300.0,0.26016
1305.0,0.26113
1310.0,0.26175
1315.0,0.26288
1320.0,0.26413
1325.0,0.26544
1330.0,0.26655
1335.0,0.26817
1340.0,0.26939
1345.0,0.26988
1350.0,0.27045
1355.0,0.27124
1360.0,0.27212
1365.0,0.27353
1370.0,0.27443
1375.0,0.27624
1380.0,0.27616
1385.0,0.27794
1390.0,0.27914
1395.0,0.28032
1400.0,0.28156
1405.0,0.28269
1410.0,0.28416
1415.0,0.28481
1420.0,0.28561
1425.0,0.28693
1430.0,0.28771
1435.0,0.28881
1440.0,0.29022
1445.0,0.29109
1450.0,0.29192
1455.0,0.2928
1460.0,0.29334
1465.0,0.29408
1470.0,0.2946
1475.0,0.29575
1480.0,0.29675
1485.0,0.29721
1490.0,0.29809
1495.0,0.29853
1500.0,0.29871
1505.0,0.29943
1510.0,0.30033
1515.0,0.30036
1520.0,0.30179
1525.0,0.30218
1530.0,0.30276
1535.0,0.30327
1540.0,0.30391
1545.0,0.30366
1550.0,0.30376
1555.0,0.30442
1560.0,0.30472
1565.0,0.30543
1570.0,0.30571
1575.0,0.3058
1580.0,0.30643
1585.0,0.30685
1590.0,0.30657
1595.0,0.30678
1600.0,0.3071
1605.0,0.30606
1610.0,0.3071
1615.0,0.30712
1620.0,0.30709
1625.0,0.30737
1630.0,0.30686
1635.0,0.30721
1640.0,0.30718
1645.0,0.30735
1650.0,0.30683
1655.0,0.30701
1660.0,0.30718
1665.0,0.30753
1670.0,0.30794
1675.0,0.30691
1680.0,0.30703
1685.0,0.30707
1690.0,0.30689
1695.0,0.30768
1700.0,0.30869
1705.0,0.30834
1710.0,0.30779
1715.0,0.30806
1720.0,0.30786
1725.0,0.30776
1730.0,0.30803
1735.0,0.30737
1740.0,0.30742
1745.0,0.30745
1750.0,0.30722
1755.0,0.30677
1760.0,0.30721
1765.0,0.30706
1770.0,0.30723
1775.0,0.30706
1780.0,0.30703
1785.0,0.30692
1790.0,0.30707
1795.0,0.30745
1800.0,0.30687
1805.0,0.30719
1810.0,0.30761
1815.0,0.30721
1820.0,0.30774
1825.0,0.30759
1830.0,0.30806
1835.0,0.30767
1840.0,0.30851
1845.0,0.30872
1850.0,0.30879
1855.0,0.30882
1860.0,0.30867
1865.0,0.30895
1870.0,0.30895
1875.0,0.31013
1880.0,0.31011
1885.0,0.30967
1890.0,0.30978
1895.0,0.31036
1900.0,0.31049
1905.0,0.31132
1910.0,0.31154
1915.0,0.31201
1920.0,0.3123
1925.0,0.31235
1930.0,0.31288
1935.0,0.31301
1940.0,0.31332
1945.0,0.31336
1950.0,0.31395
1955.0,0.31387
1960.0,0.31429
1965.0,0.31529
1970.0,0.31545
1975.0,0.31627
1980.0,0.31692
1985.0,0.31759
1990.0,0.31735
1995.0,0.31758
2000.0,0.31874
2005.0,0.31925
2010.0,0.32044
2015.0,0.32031
2020.0,0.32086
2025.0,0.32159
2030.0,0.32194
2035.0,0.32236
2040.0,0.32345
2045.0,0.32418
2050.0,0.32441
2055.0,0.32461
2060.0,0.32581
2065.0,0.3261
2070.0,0.32671
2075.0,0.3277
2080.0,0.32817
2085.0,0.3288
2090.0,0.32939
2095.0,0.33054
2100.0,0.33125
2105.0,0.33134
2110.0,0.33247
2115.0,0.33316
2120.0,0.33363
2125.0,0.33404
2130.0,0.3349
2135.0,0.3357
2140.0,0.33621
2145.0,0.33672
2150.0,0.33801
2155.0,0.3388
2160.0,0.33965
2165.0,0.3403
2170.0,0.34098
2175.0,0.34159
2180.0,0.34266
2185.0,0.34372
2190.0,0.34482
2195.0,0.34586
2200.0,0.34651
2205.0,0.34722
2210.0,0.34841
2215.0,0.34865
2220.0,0.34991
2225.0,0.34997
2230.0,0.35072
2235.0,0.35156
2240.0,0.3518
2245.0,0.35271
2250.0,0.35319
2255.0,0.3543
2260.0,0.35507
2265.0,0.35631
2270.0,0.35652
2275.0,0.35725
2280.0,0.35769
2285.0,0.35892
2290.0,0.359
2295.0,0.35936
2300.0,0.36082
2305.0,0.36089
2310.0,0.36132
2315.0,0.36116
2320.0,0.36162
2325.0,0.36206
2330.0,0.36239
2335.0,0.36254
2340.0,0.36348
2345.0,0.36377
2350.0,0.36408
2355.0,0.3649
2360.0,0.36551
2365.0,0.36577
2370.0,0.3664
2375.0,0.36664
2380.0,0.36741
2385.0,0.36714
2390.0,0.36777
2395.0,0.36886
2400.0,0.36954
2405.0,0.37015
2410.0,0.37056
2415.0,0.37124
2420.0,0.37142
2425.0,0.37216
2430.0,0.37239
2435.0,0.37283
2440.0,0.37336
2445.0,0.37404
2450.0,0.37442
2455.0,0.37457
2460.0,0.37514
2465.0,0.37522
2470.0,0.37552
2475.0,0.37579
2480.0,0.37638
2485.0,0.37726
2490.0,0.37695
2495.0,0.37685
2500.0,0.37767
2505.0,0.37791
2510.0,0.3774
2515.0,0.37634
2520.0,0.3774
2525.0,0.3783
2530.0,0.37749
2535.0,0.37784
2540.0,0.37847
2545.0,0.37882
2550.0,0.37801
2555.0,0.37886
2560.0,0.37635
2565.0,0.37863
2570.0,0.37733
2575.0,0.37718
2580.0,0.37698
2585.0,0.37636
2590.0,0.37732
2595.0,0.3781
2600.0,0.37686
