Composition,
Date Added,1996-09-10
Formula,
Grain Size Description,<125.0um
Grain Size,"(0.0, 125.0)"
Locality,Anarctica 
Minimum Wavelength,1800
Sample Name,"EET 87507,27 "
Maximum Wavelength,25990
Database of Origin,RELAB
Other Information,CK5 
References,
Resolution,4.0
Material class,Rock
Sample Description,
Sample ID,MMMB92
Original Sample ID,MB-TXH-092
Viewing Geometry,unknown
Wavelength,Response
1800.1,0.07345
1800.2,0.07321
1800.4,0.07294
1800.5,0.07285
1800.7,0.07314
1800.8,0.07341
1801.0,0.07403
1801.2,0.07382
1801.3,0.07361
1801.5,0.07348
1801.6,0.07359
1801.8,0.07401
1801.9,0.07408
1802.1,0.07362
1802.3,0.07333
1802.4,0.07334
1802.6,0.07355
1802.7,0.07328
1802.9,0.07323
1803.0,0.07317
1803.2,0.07316
1803.4,0.07365
1803.5,0.07375
1803.7,0.0734
1803.8,0.07353
1804.0,0.07382
1804.1,0.07313
1804.3,0.07279
1804.4,0.07275
1804.6,0.07268
1804.8,0.07286
1804.9,0.07353
1805.1,0.07389
1805.2,0.07365
1805.4,0.07389
1805.5,0.07348
1805.7,0.07313
1805.9,0.07366
1806.0,0.07373
1806.2,0.07381
1806.3,0.07354
1806.5,0.07302
1806.6,0.07253
1806.8,0.07287
1807.0,0.07311
1807.1,0.07319
1807.3,0.07334
1807.4,0.07286
1807.6,0.07272
1807.8,0.07324
1807.9,0.0736
1808.1,0.07374
1808.2,0.07291
1808.4,0.07229
1808.5,0.07281
1808.7,0.07351
1808.9,0.0736
1809.0,0.07277
1809.2,0.07326
1809.3,0.07424
1809.5,0.07378
1809.6,0.07348
1809.8,0.07339
1810.0,0.07349
1810.1,0.07308
1810.3,0.07293
1810.4,0.07334
1810.6,0.07303
1810.8,0.07251
1810.9,0.07346
1811.1,0.07311
1811.2,0.07242
1811.4,0.07274
1811.5,0.07334
1811.7,0.07308
1811.9,0.07287
1812.0,0.07315
1812.2,0.07362
1812.3,0.074
1812.5,0.07391
1812.6,0.07362
1812.8,0.07377
1813.0,0.07377
1813.1,0.0729
1813.3,0.0727
1813.4,0.07302
1813.6,0.07335
1813.8,0.07295
1813.9,0.07314
1814.1,0.07437
1814.2,0.07416
1814.4,0.07375
1814.6,0.07363
1814.7,0.07395
1814.9,0.07493
1815.0,0.07408
1815.2,0.07288
1815.3,0.07311
1815.5,0.07336
1815.7,0.0737
1815.8,0.07336
1816.0,0.07277
1816.1,0.07261
1816.3,0.07284
1816.5,0.07334
1816.6,0.0739
1816.8,0.07382
1816.9,0.07417
1817.1,0.07408
1817.3,0.07356
1817.4,0.073
1817.6,0.07329
1817.7,0.07324
1817.9,0.07348
1818.1,0.07373
1818.2,0.07263
1818.4,0.0731
1818.5,0.0735
1818.7,0.07232
1818.8,0.07202
1819.0,0.07213
1819.2,0.07282
1819.3,0.07396
1819.5,0.07364
1819.6,0.0729
1819.8,0.07342
1820.0,0.07315
1820.1,0.07276
1820.3,0.07278
1820.4,0.07287
1820.6,0.07353
1820.8,0.07353
1820.9,0.07265
1821.1,0.07239
1821.2,0.07265
1821.4,0.07296
1821.6,0.07339
1821.7,0.07335
1821.9,0.07317
1822.0,0.07268
1822.2,0.07301
1822.4,0.07361
1822.5,0.07338
1822.7,0.07292
1822.8,0.07292
1823.0,0.07283
1823.2,0.07257
1823.3,0.07296
1823.5,0.0728
1823.6,0.07302
1823.8,0.0731
1824.0,0.07373
1824.1,0.07344
1824.3,0.07312
1824.4,0.07385
1824.6,0.07371
1824.8,0.07329
1824.9,0.07313
1825.1,0.07299
1825.3,0.07317
1825.4,0.07293
1825.6,0.07311
1825.7,0.07332
1825.9,0.07341
1826.1,0.07337
1826.2,0.07279
1826.4,0.07266
1826.5,0.07322
1826.7,0.07361
1826.9,0.07325
1827.0,0.07229
1827.2,0.07246
1827.3,0.07357
1827.5,0.07355
1827.7,0.0732
1827.8,0.073
1828.0,0.0733
1828.1,0.07356
1828.3,0.07373
1828.5,0.07404
1828.6,0.07318
1828.8,0.07276
1829.0,0.07315
1829.1,0.0732
1829.3,0.07313
1829.4,0.07273
1829.6,0.07264
1829.8,0.07297
1829.9,0.07277
1830.1,0.07233
1830.2,0.07238
1830.4,0.07305
1830.6,0.07335
1830.7,0.07353
1830.9,0.07414
1831.1,0.07415
1831.2,0.07339
1831.4,0.07278
1831.5,0.0727
1831.7,0.07277
1831.9,0.07288
1832.0,0.07302
1832.2,0.07286
1832.3,0.07242
1832.5,0.07325
1832.7,0.0733
1832.8,0.07254
1833.0,0.07272
1833.2,0.0722
1833.3,0.07179
1833.5,0.07278
1833.6,0.07333
1833.8,0.07245
1834.0,0.07269
1834.1,0.0728
1834.3,0.07289
1834.5,0.0734
1834.6,0.07362
1834.8,0.0732
1834.9,0.07283
1835.1,0.07262
1835.3,0.07296
1835.4,0.0734
1835.6,0.07324
1835.8,0.07355
1835.9,0.07353
1836.1,0.07283
1836.2,0.07295
1836.4,0.0737
1836.6,0.07353
1836.7,0.07267
1836.9,0.07204
1837.1,0.07265
1837.2,0.07354
1837.4,0.07339
1837.5,0.07329
1837.7,0.07319
1837.9,0.07299
1838.0,0.07338
1838.2,0.07343
1838.4,0.07333
1838.5,0.07292
1838.7,0.07241
1838.8,0.07283
1839.0,0.07392
1839.2,0.07377
1839.3,0.07319
1839.5,0.07359
1839.7,0.07348
1839.8,0.07287
1840.0,0.07291
1840.2,0.07334
1840.3,0.07318
1840.5,0.07291
1840.6,0.07317
1840.8,0.07285
1841.0,0.07253
1841.1,0.07307
1841.3,0.0736
1841.5,0.07345
1841.6,0.07299
1841.8,0.07307
1841.9,0.07332
1842.1,0.07281
1842.3,0.07272
1842.4,0.07307
1842.6,0.0734
1842.8,0.07299
1842.9,0.07279
1843.1,0.07327
1843.3,0.07336
1843.4,0.07291
1843.6,0.07285
1843.7,0.0728
1843.9,0.07271
1844.1,0.07334
1844.2,0.07314
1844.4,0.07324
1844.6,0.073
1844.7,0.07304
1844.9,0.07327
1845.1,0.07305
1845.2,0.07264
1845.4,0.07296
1845.6,0.07316
1845.7,0.07268
1845.9,0.07248
1846.0,0.07284
1846.2,0.07318
1846.4,0.07345
1846.5,0.07342
1846.7,0.07291
1846.9,0.07299
1847.0,0.07385
1847.2,0.07422
1847.4,0.07368
1847.5,0.07345
1847.7,0.07304
1847.9,0.07326
1848.0,0.07308
1848.2,0.07283
1848.4,0.0727
1848.5,0.07309
1848.7,0.0737
1848.8,0.07305
1849.0,0.07264
1849.2,0.07309
1849.3,0.07335
1849.5,0.07287
1849.7,0.07296
1849.8,0.07319
1850.0,0.0728
1850.2,0.0724
1850.3,0.07227
1850.5,0.07293
1850.7,0.07316
1850.8,0.07335
1851.0,0.07318
