Composition,
Date Added,2011-06-17
Formula,
Grain Size Description,<75.0um
Grain Size,0.0 - 75.0
Locality,
Minimum Wavelength,800
Sample Name,MS10_BV_06_int dolerite unaltered interior powder <75 um
Maximum Wavelength,25050
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Rock
Sample Description,Investigation of alteration rind formation in the Antarctic Dry Valleys
Sample ID,BIR1DV020IP
Original Sample ID,DV-MBW-020-IP
Viewing Geometry,
Wavelength,Response
799.9,204.46
800.0,204.1
800.2,204.71
800.3,205.3
800.4,204.9
800.5,204.75
800.7,204.29
800.8,205.58
800.9,205.72
801.0,204.18
801.2,204.12
801.3,204.08
801.4,203.86
801.5,204.65
801.6,204.41
801.8,203.9
801.9,204.58
802.0,204.44
802.1,203.1
802.3,203.09
802.4,203.81
802.5,203.57
802.6,203.03
802.8,203.44
802.9,203.57
803.0,203.26
803.1,203.76
803.3,204.47
803.4,204.3
803.5,203.93
803.6,202.69
803.8,202.68
803.9,204.11
804.0,204.61
804.1,203.57
804.3,202.68
804.4,202.75
804.5,202.34
804.6,201.84
804.8,202.0
804.9,201.32
805.0,201.89
805.1,202.64
805.3,203.29
805.4,204.55
805.5,203.94
805.6,202.3
805.8,201.64
805.9,201.76
806.0,202.97
806.1,203.93
806.3,203.96
806.4,202.99
806.5,203.0
806.6,203.68
806.8,203.69
806.9,202.49
807.0,202.33
807.1,202.51
807.3,202.87
807.4,203.23
807.5,202.83
807.6,202.21
807.8,202.26
807.9,201.92
808.0,202.65
808.1,204.29
808.3,204.57
808.4,203.3
808.5,203.3
808.6,204.44
808.8,204.36
808.9,203.44
809.0,203.35
809.2,203.08
809.3,202.46
809.4,202.25
809.5,202.3
809.7,202.94
809.8,202.46
809.9,201.97
810.0,201.95
810.2,201.73
810.3,202.27
810.4,202.12
810.5,201.77
810.7,202.17
810.8,201.41
810.9,201.44
811.0,202.34
811.2,201.9
811.3,200.38
811.4,201.27
811.5,203.53
811.7,204.41
811.8,204.1
811.9,203.18
812.1,202.36
812.2,201.6
812.3,201.4
812.4,201.28
812.6,200.98
812.7,201.63
