Composition,
Date Added,2011-07-07
Formula,
Grain Size Description,<75.0um
Grain Size,0.0 - 75.0
Locality,
Minimum Wavelength,320
Sample Name,MS10_BV_05B_int dolerite unaltered interior powder <75 um
Maximum Wavelength,25050
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Rock
Sample Description,Investigation of alteration rind formation in the Antarctic Dry Valleys
Sample ID,BKR1DV019IP
Original Sample ID,DV-MBW-019-IP
Viewing Geometry,
Wavelength,Response
320.0,84.11
325.0,86.2
330.0,88.68
335.0,91.01
340.0,93.81
345.0,96.35
350.0,98.25
355.0,100.18
360.0,103.17
365.0,106.71
370.0,111.1
375.0,115.66
380.0,120.33
385.0,125.0
390.0,129.07
395.0,133.15
400.0,137.55
405.0,140.78
410.0,143.91
415.0,147.01
420.0,150.62
425.0,154.19
430.0,158.97
435.0,164.36
440.0,170.2
445.0,176.2
450.0,181.63
455.0,186.09
460.0,190.58
465.0,194.04
470.0,197.14
475.0,200.17
480.0,203.57
485.0,207.5
490.0,211.83
495.0,216.74
500.0,222.36
505.0,228.27
510.0,233.86
515.0,241.7
520.0,249.33
525.0,256.64
530.0,263.67
535.0,269.88
540.0,275.88
545.0,280.6
550.0,284.82
555.0,289.76
560.0,293.23
565.0,297.29
570.0,300.56
575.0,303.04
580.0,305.87
585.0,308.48
590.0,310.53
595.0,312.57
600.0,314.96
605.0,317.21
610.0,319.7
615.0,321.9
620.0,323.53
625.0,325.82
630.0,327.62
635.0,329.79
640.0,331.6
645.0,334.01
650.0,336.2
655.0,338.25
660.0,340.53
665.0,342.29
670.0,344.24
675.0,346.37
680.0,347.63
685.0,349.69
690.0,351.58
695.0,353.51
700.0,355.17
705.0,357.47
710.0,359.17
715.0,360.46
720.0,362.71
725.0,364.33
730.0,366.22
735.0,367.21
740.0,369.1
745.0,370.25
750.0,371.56
755.0,372.4
760.0,373.63
765.0,375.35
770.0,376.05
775.0,376.95
780.0,377.23
785.0,378.02
790.0,378.26
795.0,378.76
800.0,378.71
805.0,378.56
810.0,377.2
815.0,376.43
820.0,375.19
825.0,374.5
830.0,372.75
835.0,370.77
840.0,368.83
845.0,366.33
850.0,363.82
850.1,364.57
850.3,365.18
850.4,364.36
850.6,365.57
850.7,365.96
850.8,365.32
851.0,365.49
851.1,365.99
851.3,365.39
851.4,365.27
851.5,363.16
851.7,362.34
851.8,363.34
852.0,362.54
852.1,362.54
852.2,362.98
852.4,363.82
852.5,364.01
852.7,363.32
852.8,363.15
852.9,362.7
853.1,362.51
853.2,362.43
853.4,361.52
853.5,361.01
853.6,361.28
853.8,362.71
853.9,362.27
854.1,362.48
854.2,363.37
854.3,363.89
854.5,362.62
854.6,360.83
854.8,360.61
854.9,361.5
855.0,362.02
855.2,362.33
855.3,362.4
855.5,363.28
855.6,362.61
855.8,361.56
855.9,360.76
856.0,359.9
856.2,361.06
856.3,360.37
856.5,358.62
856.6,358.72
856.8,359.81
856.9,361.67
857.0,361.49
857.2,360.13
857.3,360.6
857.5,361.72
857.6,361.41
857.7,360.47
857.9,359.94
858.0,358.98
858.2,358.84
858.3,359.93
858.5,360.96
858.6,360.43
858.7,359.65
858.9,360.34
859.0,360.37
859.2,359.0
859.3,358.41
859.4,357.93
859.6,357.17
859.7,358.29
859.9,359.58
860.0,360.64
860.2,361.28
860.3,359.72
860.4,358.03
860.6,358.29
860.7,358.97
860.9,359.22
861.0,359.15
861.2,358.77
861.3,358.18
861.4,358.27
861.6,358.34
861.7,357.85
861.9,357.13
862.0,357.81
862.2,357.99
862.3,357.26
862.5,356.86
862.6,357.33
862.7,356.87
862.9,356.9
863.0,357.2
863.2,357.55
863.3,357.06
863.5,356.67
863.6,355.86
863.7,355.77
863.9,355.89
864.0,356.36
864.2,357.25
864.3,356.57
864.5,356.72
864.6,356.64
864.8,355.73
864.9,355.77
865.0,354.91
865.2,354.29
865.3,355.4
865.5,355.39
865.6,354.97
865.8,354.66
865.9,354.44
866.0,355.3
866.2,355.63
866.3,355.65
866.5,355.76
866.6,354.89
866.8,354.01
866.9,354.19
867.1,354.43
867.2,355.7
867.3,356.67
867.5,355.63
867.6,355.77
867.8,356.22
867.9,355.75
868.1,354.5
868.2,353.22
868.4,352.83
868.5,353.19
868.7,353.09
868.8,353.5
869.0,354.45
869.1,353.64
869.2,352.93
869.4,353.27
869.5,353.32
869.7,353.69
869.8,354.04
870.0,353.42
870.1,353.79
870.3,353.09
870.4,352.3
870.6,352.47
870.7,353.36
870.8,352.99
871.0,352.78
871.1,352.76
871.3,352.22
871.4,351.24
871.6,351.11
871.7,351.69
871.9,352.28
872.0,352.59
872.2,351.82
872.3,351.33
872.5,351.36
872.6,351.66
872.8,352.22
872.9,352.41
873.0,351.45
873.2,351.69
873.3,351.12
873.5,350.87
873.6,351.27
873.8,350.49
873.9,350.45
874.1,350.95
874.2,350.75
874.4,350.88
874.5,351.39
874.7,350.81
874.8,349.65
875.0,350.59
875.1,351.44
875.3,351.05
875.4,350.18
875.5,349.4
875.7,349.85
875.8,350.47
876.0,350.55
876.2,350.54
876.3,349.39
876.4,348.87
876.6,349.16
876.7,350.06
876.9,350.12
877.0,349.32
877.2,348.81
877.3,348.88
877.5,349.58
877.6,349.77
877.8,348.82
877.9,347.56
878.1,347.49
878.2,347.85
878.4,348.12
878.5,349.13
878.7,349.39
878.8,348.97
879.0,348.67
879.1,348.89
879.3,348.38
879.4,347.55
879.6,347.63
879.7,348.22
879.9,347.73
880.0,347.22
880.2,346.66
880.3,346.9
880.5,347.0
880.6,347.13
880.8,348.22
880.9,348.94
881.1,348.85
881.2,348.91
881.4,348.83
881.5,348.42
881.7,348.03
881.8,346.95
882.0,346.13
882.1,346.22
882.3,346.13
882.4,346.25
882.6,345.9
882.7,345.51
882.9,345.55
883.0,345.52
883.2,345.36
883.3,345.63
883.5,345.35
883.6,345.31
883.8,345.19
883.9,345.43
884.1,346.55
884.2,346.53
884.4,346.3
884.5,345.41
884.7,345.41
884.8,345.72
885.0,345.37
885.1,346.04
885.3,345.53
885.4,344.23
885.6,344.2
885.7,344.69
885.9,344.69
886.0,344.37
886.2,344.15
886.3,344.27
886.5,344.68
886.6,344.92
886.8,345.31
886.9,345.29
887.1,344.23
887.2,342.63
887.4,342.34
887.5,343.54
887.7,344.54
887.8,344.94
888.0,345.47
888.2,344.17
888.3,343.01
888.5,343.0
888.6,343.24
888.8,343.52
888.9,343.53
889.1,343.22
889.2,342.89
889.4,342.55
889.5,342.76
889.7,343.07
889.8,342.78
890.0,342.34
890.1,343.03
890.3,343.55
890.4,342.67
890.6,342.33
890.8,342.78
890.9,342.06
891.0,341.89
891.2,342.5
891.4,342.05
891.5,341.91
891.7,340.79
891.8,340.08
892.0,340.34
892.1,340.28
892.3,341.24
892.4,341.0
892.6,340.96
892.7,340.86
892.9,340.63
893.0,340.82
893.2,340.96
893.4,341.3
893.5,341.09
893.7,340.09
893.8,340.01
894.0,340.61
894.1,340.94
894.3,341.52
894.4,341.46
894.6,340.73
894.7,340.63
894.9,340.65
895.0,341.02
895.2,341.02
895.4,340.81
895.5,341.35
895.7,340.84
895.8,340.18
896.0,340.39
896.1,339.86
896.3,338.95
896.4,338.75
896.6,338.99
896.8,339.45
896.9,339.75
897.1,338.96
897.2,337.7
897.4,338.05
897.5,338.48
897.7,339.02
897.8,339.67
898.0,339.34
898.2,338.77
898.3,338.67
898.5,338.27
898.6,337.79
898.8,338.28
898.9,338.52
899.1,338.03
899.2,337.81
899.4,338.01
899.6,338.0
899.7,337.88
899.9,337.93
900.0,338.12
900.2,337.81
900.3,337.75
900.5,337.77
900.7,337.09
900.8,336.51
901.0,336.43
901.1,336.98
901.3,336.93
901.4,336.29
901.6,336.33
901.8,336.64
901.9,335.75
902.1,336.06
902.2,336.39
902.4,336.13
902.5,336.72
902.7,337.46
902.8,336.84
903.0,335.74
903.2,335.68
903.3,335.86
903.5,336.11
903.6,335.45
903.8,334.83
904.0,335.36
904.1,335.53
904.3,335.05
904.4,335.0
904.6,335.35
904.7,335.32
