Composition,
Date Added,2011-04-22
Formula,
Grain Size Description,<0.0um
Grain Size,0.0 - 0.0
Locality,
Minimum Wavelength,1428
Sample Name,MS10_BV_13-E dolerite exterior alteration rind
Maximum Wavelength,25050
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Rock
Sample Description,Investigation of alteration rind formation in the Antarctic Dry Valleys
Sample ID,BMR1DV027E
Original Sample ID,DV-MBW-027-E
Viewing Geometry,
Wavelength,Response
1428.4,111.22
1428.8,110.95
1429.2,111.62
1429.6,112.18
1430.0,111.5
1430.4,111.15
1430.8,111.65
1431.2,111.22
1431.6,110.6
1432.0,111.02
1432.4,111.73
1432.8,111.57
1433.2,111.58
1433.6,111.49
1433.9,111.4
1434.3,111.57
1434.8,111.79
1435.1,112.23
1435.5,112.43
1435.9,112.04
1436.3,111.65
1436.7,111.44
1437.1,111.13
1437.5,111.3
1437.9,111.33
1438.3,111.47
1438.7,111.75
1439.1,111.74
1439.5,111.74
1439.9,111.57
1440.3,111.29
1440.7,111.2
1441.1,111.38
1441.5,111.38
1441.9,111.57
1442.3,111.86
1442.7,112.01
1443.1,111.95
1443.5,111.61
1443.9,111.77
1444.3,111.86
1444.7,111.63
1445.2,112.11
1445.6,112.35
1445.9,112.21
1446.3,111.89
1446.8,111.8
1447.2,112.08
1447.6,112.18
1448.0,112.1
1448.4,112.15
1448.8,112.27
1449.2,112.24
1449.6,111.83
1450.0,111.98
1450.4,112.47
1450.8,112.43
1451.2,112.38
1451.6,112.77
1452.0,112.71
1452.4,112.5
1452.8,112.82
1453.3,113.17
1453.7,112.95
1454.1,112.5
1454.5,112.24
1454.9,112.22
1455.3,112.44
1455.7,112.83
1456.1,112.38
1456.5,112.45
1456.9,113.19
1457.3,113.25
1457.7,112.6
1458.2,112.66
1458.6,112.75
1459.0,112.64
1459.4,112.74
1459.8,113.0
1460.2,112.92
1460.6,112.87
1461.0,112.84
1461.4,113.39
1461.8,113.26
1462.3,113.01
1462.7,113.19
1463.1,113.4
1463.5,113.51
1463.9,113.34
1464.3,113.03
1464.7,113.24
1465.2,113.37
1465.6,113.17
1466.0,112.99
1466.4,113.39
1466.8,113.71
1467.2,113.4
1467.6,113.25
1468.1,113.41
1468.5,113.54
1468.9,113.65
1469.3,113.58
1469.7,113.14
1470.1,113.12
1470.6,113.26
1471.0,113.27
1471.4,113.56
1471.8,113.79
1472.2,113.8
1472.7,113.69
1473.1,113.33
1473.5,113.31
1473.9,113.61
1474.3,113.85
1474.7,114.0
1475.2,113.88
1475.6,114.1
1476.0,114.12
1476.4,113.77
1476.8,113.34
1477.3,113.55
1477.7,113.71
1478.1,113.64
1478.5,113.72
1478.9,114.19
1479.4,114.09
1479.8,113.7
1480.2,114.0
1480.6,114.46
1481.1,114.71
1481.5,114.66
1481.9,114.16
1482.3,114.27
1482.8,114.33
1483.2,114.32
1483.6,114.57
1484.0,114.52
1484.4,114.36
1484.9,114.6
1485.3,114.5
1485.7,114.45
1486.2,114.56
