Composition,
Date Added,2008-07-10
Formula,
Grain Size Description,<50.0um
Grain Size,0.0 - 50.0
Locality,
Minimum Wavelength,1000
Sample Name,CheWA nontronite
Maximum Wavelength,25050
Database of Origin,ReLab
Other Information,H2O: 5.3 %
References,
Resolution,4.0
Material Class,Mineral
Sample Description,Contains trace quartz impurity based from XRD.
Sample ID,BIR1NT004
Original Sample ID,NT-MBW-004
Viewing Geometry,
Wavelength,Response
1000.0,387.61
1000.2,387.77
1000.4,387.89
1000.6,387.81
1000.8,387.87
1001.0,388.0
1001.2,388.08
1001.4,388.1
1001.6,388.09
1001.8,388.09
1001.9,388.06
1002.1,388.03
1002.3,388.06
1002.5,388.09
1002.7,388.26
1002.9,388.27
1003.1,388.21
1003.3,388.25
1003.5,388.41
1003.7,388.42
1003.9,388.42
1004.1,388.39
1004.3,388.4
1004.5,388.53
1004.7,388.64
1004.9,388.65
1005.0,388.63
1005.3,388.66
1005.4,388.67
1005.6,388.82
1005.8,388.93
1006.0,388.93
1006.2,388.91
1006.4,388.88
1006.6,388.82
1006.8,388.88
1007.0,388.91
1007.2,389.09
1007.4,389.13
1007.6,389.03
1007.8,388.96
1008.0,389.06
1008.2,389.17
1008.4,389.2
1008.6,389.28
1008.8,389.21
1009.0,389.29
1009.2,389.41
1009.4,389.46
1009.5,389.46
1009.8,389.55
1010.0,389.61
1010.1,389.5
1010.3,389.65
1010.5,389.77
1010.7,389.63
1010.9,389.67
1011.1,389.74
1011.3,389.79
1011.5,389.95
1011.7,389.92
1011.9,389.89
1012.1,389.99
1012.3,390.03
1012.5,390.05
1012.7,390.17
1012.9,390.24
1013.1,390.16
1013.3,390.19
1013.5,390.31
1013.7,390.34
1013.9,390.37
1014.1,390.38
1014.3,390.46
1014.5,390.58
1014.7,390.6
1014.9,390.7
1015.1,390.67
1015.3,390.54
1015.5,390.61
1015.7,390.75
1015.9,390.91
1016.1,390.91
1016.3,390.91
1016.5,390.95
1016.7,391.02
1016.9,391.1
1017.1,391.15
1017.3,391.23
1017.5,391.15
1017.7,391.1
1017.9,391.12
1018.1,391.06
1018.3,391.17
1018.5,391.34
1018.7,391.41
1018.9,391.36
1019.1,391.46
1019.3,391.6
1019.5,391.59
1019.7,391.7
1019.9,391.84
1020.1,391.93
1020.3,391.93
1020.5,391.93
1020.7,391.92
1020.9,391.85
1021.1,391.9
1021.3,391.99
1021.5,392.01
1021.7,391.97
1021.9,391.93
1022.1,392.12
1022.3,392.29
1022.5,392.32
1022.7,392.37
1022.9,392.44
1023.1,392.47
1023.3,392.41
1023.5,392.32
1023.7,392.4
1023.9,392.54
1024.1,392.64
1024.3,392.69
1024.5,392.65
1024.7,392.76
1024.9,392.83
1025.1,392.91
1025.3,392.95
1025.5,393.02
1025.7,393.0
1025.9,392.92
1026.1,393.07
1026.3,393.14
1026.5,393.11
1026.8,393.18
1026.9,393.31
1027.2,393.45
1027.4,393.57
1027.6,393.59
1027.8,393.55
1028.0,393.67
1028.2,393.79
1028.4,393.87
1028.6,393.94
1028.8,393.92
1029.0,393.88
1029.2,393.93
1029.4,394.04
1029.6,394.16
1029.8,394.12
1030.0,394.13
1030.2,394.28
1030.4,394.3
1030.6,394.32
1030.8,394.33
1031.0,394.22
1031.2,394.35
1031.4,394.51
1031.7,394.62
1031.8,394.7
1032.1,394.59
1032.3,394.55
1032.5,394.76
1032.7,394.9
1032.9,394.85
1033.1,394.87
1033.3,394.93
1033.5,394.92
1033.7,394.94
1033.9,395.01
1034.1,395.15
1034.3,395.3
1034.5,395.31
1034.7,395.32
1034.9,395.32
1035.2,395.41
1035.4,395.52
1035.6,395.51
1035.8,395.59
1036.0,395.76
1036.2,395.73
1036.4,395.64
1036.6,395.73
1036.8,395.91
1037.0,395.94
1037.2,395.9
1037.4,395.98
1037.6,396.08
1037.8,396.18
1038.1,396.24
1038.3,396.17
1038.5,396.17
1038.7,396.26
1038.9,396.48
1039.1,396.65
1039.3,396.64
1039.5,396.64
1039.7,396.54
1039.9,396.63
1040.1,396.77
1040.3,396.82
1040.6,396.89
1040.8,396.92
1041.0,396.87
1041.2,396.98
1041.4,397.12
1041.6,397.21
1041.8,397.29
1042.0,397.43
1042.2,397.5
1042.4,397.49
1042.6,397.48
1042.8,397.47
1043.1,397.48
1043.3,397.68
1043.5,397.79
1043.7,397.76
1043.9,397.73
1044.1,397.72
1044.3,397.82
1044.5,398.03
1044.7,398.15
1045.0,398.16
1045.2,398.17
1045.4,398.26
1045.6,398.39
1045.8,398.51
1046.0,398.49
1046.2,398.45
1046.4,398.57
1046.6,398.59
1046.8,398.6
1047.1,398.69
1047.3,398.79
1047.5,398.89
1047.7,398.95
1047.9,399.0
1048.1,399.02
1048.3,399.05
1048.6,399.12
1048.8,399.14
1049.0,399.18
1049.2,399.25
1049.4,399.4
1049.6,399.56
1049.8,399.57
1050.0,399.66
1050.3,399.78
1050.5,399.68
1050.7,399.71
1050.9,399.8
1051.1,399.81
1051.3,400.01
1051.5,400.16
1051.7,400.1
1051.9,400.06
1052.2,400.16
1052.4,400.23
1052.6,400.3
1052.8,400.4
1053.0,400.47
1053.2,400.62
1053.4,400.66
1053.7,400.56
1053.9,400.62
1054.1,400.68
1054.3,400.73
1054.5,400.88
1054.7,400.96
1054.9,400.88
1055.2,400.98
1055.4,401.25
1055.6,401.43
1055.8,401.49
1056.0,401.41
1056.2,401.48
1056.4,401.62
