Composition,
Date Added,2009-03-31
Formula,
Grain Size Description,<1000.0um
Grain Size,0.0 - 1000.0
Locality,
Minimum Wavelength,909
Sample Name,V3G
Maximum Wavelength,99719
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Sediment
Sample Description,"Weathering/alteration of topsoil in Martian analog environments (Prop Prep, Student)"
Sample ID,BIR1UH038
Original Sample ID,UH-MBW-038
Viewing Geometry,
Wavelength,Response
909.0,169.33
909.2,169.41
909.3,169.58
909.5,169.63
909.7,169.66
909.8,169.16
910.0,169.09
910.1,169.6
910.3,169.82
910.5,169.57
910.6,169.52
910.8,169.54
910.9,169.61
911.1,169.47
911.3,169.3
911.4,169.65
911.6,169.4
911.7,169.07
911.9,169.48
912.1,169.33
912.2,169.26
912.4,169.04
912.5,169.1
912.7,169.36
912.9,169.28
913.0,169.05
913.2,168.96
913.3,169.49
913.5,169.91
913.7,169.82
913.8,169.82
914.0,169.57
914.2,169.16
914.3,169.22
914.5,169.52
914.6,169.56
914.8,169.79
915.0,169.58
915.1,169.4
915.3,169.6
915.4,169.24
915.6,169.28
915.8,169.63
915.9,169.73
916.1,169.81
916.3,169.74
916.4,169.35
916.6,168.74
916.7,168.96
916.9,169.62
917.1,169.69
917.2,169.38
917.4,169.33
917.5,169.26
917.7,169.07
917.9,169.23
918.0,169.66
918.2,169.45
918.4,169.23
918.5,169.39
918.7,169.2
918.8,169.33
919.0,169.73
919.2,169.74
919.3,169.67
919.5,169.56
919.7,169.51
919.8,169.59
920.0,169.27
920.2,169.21
920.3,169.41
920.5,169.41
920.6,169.51
920.8,169.66
921.0,169.75
921.1,169.42
921.3,169.09
921.5,169.2
921.6,169.62
921.8,169.69
922.0,169.15
922.1,168.81
922.3,169.28
922.4,169.56
922.6,169.22
922.8,169.03
922.9,169.11
923.1,169.41
923.3,169.45
923.4,169.35
923.6,169.04
923.8,168.9
923.9,169.16
924.1,169.4
924.3,169.42
924.4,169.21
924.6,169.32
924.7,169.59
924.9,169.64
925.1,169.98
925.2,170.03
925.4,169.82
925.6,169.67
925.7,169.51
925.9,169.71
926.1,169.28
926.2,168.85
926.4,169.2
926.6,169.56
926.7,169.31
926.9,169.62
927.1,169.94
927.2,169.69
927.4,169.18
927.6,169.1
927.7,169.24
927.9,168.95
928.0,169.15
928.2,169.29
928.4,168.97
928.5,168.9
928.7,169.19
928.9,169.39
929.0,169.37
929.2,169.15
929.4,169.44
929.5,169.48
929.7,169.4
929.9,169.53
930.0,169.46
930.2,169.36
930.4,169.45
930.5,169.63
930.7,169.66
930.9,169.51
931.0,169.73
931.2,169.41
931.4,169.05
931.6,169.05
931.7,169.16
931.9,169.12
932.1,169.35
932.2,169.36
932.4,169.41
932.6,169.38
932.7,169.55
932.9,169.66
933.1,169.61
933.2,169.72
933.4,169.53
933.6,169.37
933.7,169.58
933.9,169.73
934.1,169.57
934.2,169.29
934.4,169.28
934.6,169.09
934.8,169.03
934.9,169.22
935.1,169.28
935.3,169.35
935.4,169.47
935.6,169.57
935.8,169.5
935.9,169.46
936.1,169.89
936.3,169.83
936.4,169.62
936.6,169.81
936.8,169.77
936.9,169.74
937.1,169.95
937.3,169.69
937.5,169.5
937.6,169.47
937.8,169.62
938.0,169.41
938.1,169.19
938.3,169.16
938.5,169.31
938.6,169.26
938.8,169.32
939.0,169.68
939.2,169.81
939.3,169.46
939.5,169.44
939.7,169.44
939.8,169.55
940.0,169.74
940.2,169.75
940.3,169.45
940.5,169.33
940.7,169.69
940.8,169.69
941.0,169.62
941.2,169.5
941.4,169.6
941.5,169.66
941.7,169.56
941.9,169.52
942.0,169.52
942.2,169.47
942.4,169.36
942.6,169.35
942.7,169.53
942.9,169.41
943.1,169.39
943.3,169.41
943.4,169.26
943.6,169.24
943.8,169.37
943.9,169.31
944.1,169.3
944.3,169.71
944.5,169.98
944.6,170.04
944.8,169.69
945.0,169.73
945.1,169.98
945.3,169.78
945.5,169.57
945.7,169.44
945.8,169.4
946.0,169.47
946.2,169.57
946.3,169.58
946.5,169.69
946.7,169.58
946.9,169.34
947.0,169.48
947.2,169.34
947.4,169.27
947.6,169.57
947.7,169.85
947.9,169.8
948.1,169.47
948.3,169.58
948.4,169.74
948.6,169.56
948.8,169.46
949.0,169.53
949.1,169.69
949.3,169.72
949.5,169.69
949.6,169.77
949.8,169.79
950.0,169.77
950.2,169.87
950.3,169.84
950.5,169.65
950.7,169.73
950.9,169.99
951.0,170.44
951.2,170.42
951.4,169.93
951.6,169.64
951.7,170.0
951.9,170.14
952.1,169.93
952.3,169.96
952.4,170.19
952.6,170.3
952.8,170.16
953.0,169.84
953.1,169.87
953.3,170.13
953.5,170.01
953.7,170.23
953.8,170.53
954.0,170.36
954.2,170.09
954.4,170.13
954.5,170.12
954.7,170.1
954.9,170.04
955.1,170.17
955.2,170.37
955.4,170.38
955.6,170.42
955.8,170.39
956.0,170.12
956.1,170.01
956.3,170.04
956.5,170.14
956.7,170.23
956.8,170.13
957.0,170.05
957.2,170.15
957.4,170.37
957.5,170.41
957.7,170.12
957.9,170.02
958.1,170.3
958.2,170.43
958.4,170.17
958.6,170.05
958.8,170.28
959.0,170.57
959.1,170.68
959.3,170.44
959.5,170.08
959.7,170.21
959.8,170.51
960.0,170.41
960.2,170.23
960.4,170.12
960.5,170.1
960.7,170.35
960.9,170.43
961.1,170.32
961.3,170.55
961.4,170.51
961.6,170.36
961.8,170.26
962.0,170.32
962.2,170.38
962.3,170.22
962.5,170.23
962.7,170.3
962.9,170.47
963.0,170.57
963.2,170.66
963.4,170.59
963.6,170.54
963.8,170.52
963.9,170.55
964.1,170.56
964.3,170.66
964.5,170.68
964.7,170.72
964.8,170.76
965.0,170.64
965.2,170.49
965.4,170.36
965.6,170.42
965.7,170.71
965.9,170.61
966.1,170.5
966.3,170.77
966.5,170.65
966.6,170.43
966.8,170.67
967.0,170.76
967.2,170.64
967.4,170.54
967.5,170.47
967.7,170.58
967.9,170.79
968.1,170.69
968.3,170.69
968.4,170.91
968.6,170.87
968.8,170.67
969.0,170.78
969.2,170.8
969.3,170.74
969.5,170.66
969.7,170.71
969.9,170.75
970.1,170.75
970.3,170.67
970.4,170.87
970.6,171.09
970.8,171.12
971.0,170.72
971.2,170.69
971.3,170.8
971.5,170.85
971.7,171.03
971.9,171.11
972.1,171.08
972.3,170.88
972.4,170.72
972.6,170.82
972.8,171.01
973.0,171.01
973.2,170.93
973.3,171.01
973.5,170.94
973.7,170.82
973.9,170.94
974.1,171.03
974.3,171.09
974.5,171.28
974.6,171.27
974.8,171.13
975.0,171.3
975.2,171.24
975.4,170.83
975.5,170.69
975.7,170.8
975.9,170.9
976.1,171.03
976.3,171.02
976.5,170.95
976.7,171.1
976.8,171.26
977.0,171.09
977.2,171.17
977.4,171.22
977.6,171.1
977.8,170.86
977.9,170.8
978.1,171.11
978.3,171.33
978.5,171.17
978.7,171.17
978.9,171.24
979.0,171.07
979.2,171.02
979.4,171.13
979.6,171.0
979.8,170.95
980.0,171.35
980.2,171.54
980.3,171.29
980.5,171.17
980.7,171.12
980.9,171.35
981.1,171.61
981.3,171.44
981.5,171.42
981.7,171.5
981.8,171.36
982.0,171.18
982.2,171.29
982.4,171.54
982.6,171.52
982.8,171.5
983.0,171.53
983.1,171.35
983.3,171.29
983.5,171.29
983.7,171.18
983.9,171.43
984.1,171.37
984.3,171.29
984.4,171.55
984.6,171.65
984.8,171.42
985.0,171.45
985.2,171.75
985.4,171.64
985.6,171.44
985.8,171.3
985.9,171.39
986.1,171.61
986.3,171.82
986.5,171.73
986.7,171.79
986.9,171.92
987.1,171.68
987.3,171.76
987.4,171.95
987.6,171.81
987.8,171.68
988.0,171.68
988.2,171.72
988.4,171.92
988.6,172.03
988.8,172.05
989.0,171.93
989.1,171.81
989.3,171.82
989.5,172.1
989.7,172.16
989.9,172.04
990.1,171.94
990.3,171.93
990.5,171.85
990.7,171.63
990.8,171.58
991.0,171.86
991.2,172.13
991.4,172.11
991.6,172.01
991.8,171.91
992.0,171.78
992.2,171.86
992.4,171.83
992.5,171.99
992.7,171.99
992.9,171.88
993.1,171.87
993.3,172.0
993.5,172.0
993.7,171.92
993.9,171.87
994.1,171.95
994.3,171.96
994.5,172.0
994.6,172.18
994.8,172.11
995.0,171.96
995.2,172.06
995.4,172.33
995.6,172.31
995.8,172.3
996.0,172.48
996.2,172.33
996.4,172.08
996.5,172.16
996.7,172.24
996.9,172.27
997.1,172.18
997.3,171.99
997.5,171.99
997.7,171.97
997.9,172.11
998.1,172.19
998.3,172.15
998.5,172.26
998.7,172.29
998.9,172.37
999.0,172.52
999.2,172.41
999.4,172.29
999.6,172.27
999.8,172.34
1000.0,172.32
1000.2,172.18
1000.4,172.32
1000.6,172.52
1000.8,172.55
1001.0,172.54
1001.2,172.46
1001.4,172.51
1001.6,172.74
1001.8,172.9
1001.9,172.82
1002.1,172.62
1002.3,172.59
1002.5,172.65
1002.7,172.5
1002.9,172.55
1003.1,172.6
1003.3,172.45
1003.5,172.59
1003.7,172.66
1003.9,172.68
1004.1,172.62
1004.3,172.63
1004.5,172.74
1004.7,172.8
1004.9,172.71
1005.0,172.67
1005.3,172.63
1005.4,172.62
1005.6,172.83
1005.8,172.9
1006.0,172.83
1006.2,172.78
1006.4,172.77
1006.6,172.77
1006.8,172.68
1007.0,172.73
1007.2,172.81
1007.4,172.73
1007.6,172.76
1007.8,172.95
1008.0,172.94
1008.2,172.91
1008.4,172.85
1008.6,172.9
1008.8,173.15
1009.0,173.23
1009.2,173.32
1009.4,173.25
1009.5,173.07
1009.8,172.99
1010.0,173.05
1010.1,173.03
1010.3,173.0
1010.5,173.05
1010.7,173.16
1010.9,173.17
1011.1,173.12
1011.3,173.17
1011.5,173.14
1011.7,173.18
1011.9,173.36
1012.1,173.44
1012.3,173.5
1012.5,173.47
1012.7,173.32
1012.9,173.24
1013.1,173.27
1013.3,173.37
1013.5,173.37
1013.7,173.27
1013.9,173.33
1014.1,173.33
1014.3,173.28
1014.5,173.31
1014.7,173.4
1014.9,173.43
1015.1,173.4
1015.3,173.45
1015.5,173.48
1015.7,173.58
1015.9,173.66
1016.1,173.6
1016.3,173.55
1016.5,173.42
1016.7,173.42
1016.9,173.48
1017.1,173.52
1017.3,173.53
1017.5,173.5
1017.7,173.6
1017.9,173.7
1018.1,173.6
1018.3,173.73
1018.5,173.86
1018.7,173.8
1018.9,173.58
1019.1,173.53
1019.3,173.76
1019.5,173.79
1019.7,173.75
1019.9,173.84
1020.1,173.83
1020.3,173.73
1020.5,173.68
1020.7,173.78
1020.9,173.87
1021.1,173.73
1021.3,173.71
1021.5,173.86
1021.7,173.96
1021.9,173.85
1022.1,173.82
1022.3,173.79
1022.5,173.89
1022.7,173.87
1022.9,173.94
1023.1,174.03
1023.3,173.96
1023.5,173.93
1023.7,174.09
1023.9,174.14
1024.1,174.11
1024.3,174.13
1024.5,174.09
1024.7,173.96
1024.9,174.04
1025.1,174.14
1025.3,174.14
1025.5,174.14
1025.7,174.25
1025.9,174.33
1026.1,174.25
1026.3,174.08
1026.5,174.16
1026.8,174.16
1026.9,174.03
1027.2,174.27
1027.4,174.33
1027.6,174.27
1027.8,174.29
1028.0,174.34
1028.2,174.3
1028.4,174.44
1028.6,174.4
1028.8,174.15
1029.0,174.18
1029.2,174.46
1029.4,174.73
1029.6,174.51
1029.8,174.24
1030.0,174.28
1030.2,174.28
1030.4,174.44
1030.6,174.54
1030.8,174.41
1031.0,174.52
1031.2,174.64
1031.4,174.5
1031.7,174.47
1031.8,174.69
1032.1,174.63
1032.3,174.44
1032.5,174.58
1032.7,174.66
1032.9,174.54
1033.1,174.53
1033.3,174.65
1033.5,174.81
1033.7,174.81
1033.9,174.89
1034.1,174.87
1034.3,174.85
1034.5,174.79
1034.7,174.8
1034.9,174.94
1035.2,175.01
1035.4,175.03
1035.6,174.96
1035.8,174.91
1036.0,174.99
1036.2,174.92
1036.4,174.85
1036.6,174.93
1036.8,175.0
1037.0,175.11
1037.2,175.15
1037.4,175.1
1037.6,174.97
1037.8,174.85
1038.1,175.03
1038.3,175.2
1038.5,175.18
1038.7,175.15
1038.9,175.12
1039.1,175.1
1039.3,175.14
1039.5,175.11
1039.7,175.02
1039.9,175.05
1040.1,175.11
1040.3,175.25
1040.6,175.3
1040.8,175.27
1041.0,175.26
1041.2,175.23
1041.4,175.2
1041.6,175.31
1041.8,175.34
1042.0,175.26
1042.2,175.31
1042.4,175.4
1042.6,175.42
1042.8,175.42
1043.1,175.43
1043.3,175.34
1043.5,175.3
1043.7,175.44
1043.9,175.47
1044.1,175.64
