Composition,
Date Added,2009-04-15
Formula,
Grain Size Description,<150.0um
Grain Size,0.0 - 150.0
Locality,
Minimum Wavelength,320
Sample Name,Skaf_3133
Maximum Wavelength,99719
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Sediment
Sample Description,"Weathering/alteration down-core in Martian analog environments (Prop Prep, Student)"
Sample ID,BKR1UH025
Original Sample ID,UH-MBW-025
Viewing Geometry,
Wavelength,Response
320.0,30.45
330.0,32.35
340.0,33.97
350.0,35.45
360.0,37.68
370.0,40.06
380.0,42.48
390.0,44.89
400.0,47.05
410.0,48.75
420.0,50.29
430.0,52.04
440.0,53.95
450.0,55.74
460.0,57.53
470.0,59.0
480.0,60.53
490.0,61.99
500.0,63.79
510.0,65.86
520.0,68.14
530.0,70.51
540.0,72.51
550.0,74.24
560.0,75.91
570.0,77.37
580.0,78.52
590.0,79.68
600.0,80.83
610.0,81.72
620.0,82.68
630.0,83.48
640.0,84.31
650.0,85.1
660.0,85.98
670.0,86.83
680.0,87.77
690.0,88.58
700.0,89.27
710.0,89.87
720.0,90.36
730.0,90.84
740.0,91.37
750.0,91.7
760.0,91.84
770.0,92.02
780.0,92.31
790.0,92.38
800.0,92.25
810.0,92.46
820.0,92.15
830.0,91.93
840.0,91.63
850.0,91.12
860.0,90.84
870.0,90.47
880.0,89.91
890.0,89.32
900.0,88.73
910.0,88.17
920.0,87.66
930.0,87.2
940.0,86.9
950.0,86.4
960.0,85.89
970.0,85.25
980.0,84.72
990.0,84.25
1000.0,83.99
1000.2,83.82
1000.4,84.01
1000.6,84.28
1000.8,84.22
1001.0,84.17
1001.2,84.34
1001.4,84.24
1001.6,83.78
1001.8,83.67
1001.9,84.08
1002.1,84.33
1002.3,84.3
1002.5,84.33
1002.7,84.4
1002.9,84.22
1003.1,84.24
1003.3,84.15
1003.5,84.33
1003.7,84.31
1003.9,84.16
1004.1,83.98
1004.3,83.75
1004.5,84.06
1004.7,84.44
1004.9,84.12
1005.0,84.19
1005.3,84.28
1005.4,84.22
1005.6,84.3
1005.8,84.28
1006.0,84.08
1006.2,84.17
1006.4,84.09
1006.6,84.09
1006.8,84.22
1007.0,84.32
1007.2,84.13
1007.4,84.15
1007.6,84.38
1007.8,84.53
1008.0,84.2
1008.2,83.98
1008.4,84.1
1008.6,84.33
1008.8,84.38
1009.0,84.09
1009.2,84.08
1009.4,84.19
1009.5,84.31
1009.8,84.08
1010.0,84.09
1010.1,84.41
1010.3,84.35
1010.5,84.38
1010.7,84.17
1010.9,84.03
1011.1,84.06
1011.3,84.05
1011.5,84.08
1011.7,84.1
1011.9,84.14
1012.1,84.18
1012.3,84.11
1012.5,83.95
1012.7,83.79
1012.9,83.84
1013.1,84.25
1013.3,84.51
1013.5,84.43
1013.7,84.39
1013.9,84.25
1014.1,83.96
1014.3,83.82
1014.5,84.03
1014.7,84.11
1014.9,83.99
1015.1,84.08
1015.3,84.14
1015.5,84.1
1015.7,84.2
1015.9,84.24
1016.1,84.11
1016.3,84.07
1016.5,84.2
1016.7,84.29
1016.9,84.37
1017.1,84.38
1017.3,84.24
1017.5,84.19
1017.7,84.21
1017.9,83.93
1018.1,84.15
1018.3,84.52
1018.5,84.56
1018.7,84.53
1018.9,84.36
1019.1,84.11
1019.3,83.9
1019.5,83.98
1019.7,84.02
1019.9,84.29
1020.1,84.3
1020.3,84.12
1020.5,84.24
1020.7,84.29
1020.9,84.5
1021.1,84.61
1021.3,84.26
1021.5,83.92
1021.7,83.95
1021.9,84.24
1022.1,84.35
1022.3,84.23
1022.5,84.18
1022.7,84.24
1022.9,84.34
1023.1,84.29
1023.3,84.22
1023.5,84.21
1023.7,84.29
1023.9,84.4
1024.1,84.33
1024.3,84.19
1024.5,84.01
1024.7,84.0
1024.9,84.1
1025.1,84.25
1025.3,84.25
1025.5,84.07
1025.7,84.02
1025.9,84.16
1026.1,84.38
1026.3,84.38
1026.5,84.28
1026.8,84.33
1026.9,84.32
1027.2,84.3
1027.4,84.45
1027.6,84.46
1027.8,84.35
1028.0,84.5
1028.2,84.44
1028.4,84.2
1028.6,84.02
1028.8,84.24
1029.0,84.47
1029.2,84.39
1029.4,84.34
1029.6,84.3
1029.8,84.47
1030.0,84.53
1030.2,84.35
1030.4,84.28
1030.6,84.24
1030.8,84.32
1031.0,84.59
1031.2,84.68
1031.4,84.47
1031.7,84.43
1031.8,84.41
1032.1,84.31
1032.3,84.38
1032.5,84.52
1032.7,84.45
1032.9,84.35
1033.1,84.57
1033.3,84.57
1033.5,84.25
1033.7,84.07
1033.9,84.28
1034.1,84.46
1034.3,84.45
1034.5,84.29
1034.7,84.16
1034.9,84.22
1035.2,84.42
1035.4,84.46
1035.6,84.22
1035.8,84.41
1036.0,84.73
1036.2,84.84
1036.4,84.5
1036.6,84.3
1036.8,84.32
1037.0,84.38
1037.2,84.45
1037.4,84.5
1037.6,84.65
1037.8,84.66
1038.1,84.69
1038.3,84.89
1038.5,84.63
1038.7,84.34
1038.9,84.61
1039.1,84.74
1039.3,84.58
1039.5,84.55
1039.7,84.59
1039.9,84.45
1040.1,84.47
1040.3,84.63
1040.6,84.62
1040.8,84.54
