Composition,
Date Added,2018-12-21
Formula,
Grain Size Description,<45.0um
Grain Size,0.0 - 45.0
Locality,
Minimum Wavelength,300
Sample Name,Lindsley pigeonite 4_Wo10_x=30_I
Maximum Wavelength,49859
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Mineral
Sample Description,
Sample ID,BKR1DD158
Original Sample ID,DD-MDD-158
Viewing Geometry,
Wavelength,Response
300.0,84.652
305.0,80.843
310.0,78.286
315.0,79.961
320.0,84.508
325.0,91.732
330.0,102.171
335.0,117.044
340.0,135.311
345.0,156.781
350.0,181.158
355.0,207.251
360.0,237.362
365.0,269.416
370.0,300.241
375.0,326.489
380.0,345.786
385.0,361.809
390.0,372.561
395.0,379.334
400.0,389.046
405.0,397.805
410.0,402.796
415.0,406.799
420.0,408.262
425.0,404.01
430.0,400.126
435.0,404.56
440.0,408.203
445.0,409.877
450.0,410.147
455.0,411.054
460.0,412.49
465.0,412.29
470.0,412.08
475.0,413.533
480.0,412.619
485.0,413.761
490.0,415.412
495.0,418.564
500.0,417.725
505.0,398.928
510.0,403.379
515.0,417.533
520.0,422.283
525.0,424.556
530.0,424.999
535.0,423.32
540.0,420.304
545.0,416.168
550.0,414.254
555.0,418.267
560.0,421.581
565.0,423.333
570.0,425.143
575.0,426.472
580.0,426.465
585.0,427.193
590.0,427.573
595.0,427.839
600.0,428.203
605.0,428.864
610.0,428.123
615.0,429.099
620.0,428.371
625.0,428.597
630.0,429.547
635.0,429.197
640.0,428.924
645.0,429.404
650.0,429.156
655.0,428.819
660.0,428.657
665.0,428.714
670.0,427.721
675.0,426.919
680.0,426.408
685.0,425.969
690.0,425.579
695.0,425.111
700.0,424.464
705.0,423.78
710.0,423.485
715.0,421.908
720.0,420.816
725.0,419.475
730.0,417.425
735.0,415.085
740.0,412.757
745.0,409.515
750.0,405.327
755.0,401.38
760.0,395.89
765.0,388.838
770.0,382.499
775.0,375.024
780.0,366.731
785.0,356.942
790.0,347.039
795.0,336.183
800.0,325.099
805.0,312.895
810.0,300.273
815.0,286.347
820.0,273.95
825.0,260.366
830.0,248.648
835.0,235.795
840.0,224.015
845.0,211.921
850.0,200.824
855.0,190.7
860.0,180.048
865.0,171.518
870.0,162.726
875.0,155.319
880.0,147.795
885.0,141.41
890.0,135.63
895.0,130.426
900.0,125.728
905.0,120.243
910.0,118.797
915.0,116.415
920.0,112.33
925.0,110.53
930.0,109.159
935.0,108.46
940.0,108.249
945.0,107.353
950.0,107.387
955.0,107.864
960.0,109.409
965.0,110.734
970.0,113.063
975.0,115.573
980.0,118.888
985.0,122.474
990.0,126.671
995.0,131.304
1000.0,137.282
1005.0,143.545
1010.0,150.807
1015.0,157.905
1020.0,166.76
1025.0,175.093
1030.0,184.473
1035.0,194.184
1040.0,204.665
1045.0,213.733
1050.0,224.694
1055.0,235.332
1060.0,245.694
1065.0,256.163
1070.0,265.264
1075.0,275.003
1080.0,283.648
1085.0,291.964
1090.0,299.355
1095.0,306.19
1100.0,312.167
1105.0,317.33
1110.0,322.902
1115.0,326.526
1120.0,331.273
1125.0,334.244
1130.0,337.008
1135.0,339.711
1140.0,342.327
1145.0,344.27
1150.0,346.495
1155.0,347.43
1160.0,348.879
1165.0,350.5
1170.0,352.058
1175.0,352.702
1180.0,354.298
1185.0,354.978
1190.0,356.132
1195.0,357.029
1200.0,358.372
1205.0,359.073
1210.0,360.394
1215.0,360.994
1220.0,362.523
1225.0,363.852
1230.0,364.825
1235.0,365.77
1240.0,367.103
1245.0,368.474
1250.0,369.201
1255.0,370.454
1260.0,371.633
1265.0,372.928
1270.0,374.451
1275.0,375.35
1280.0,376.747
1285.0,378.114
1290.0,379.819
1295.0,380.26
1300.0,382.173
1305.0,383.265
1310.0,384.854
1315.0,385.502
1320.0,387.253
1325.0,388.752
1330.0,389.418
1335.0,390.615
1340.0,391.582
1345.0,392.26
1350.0,393.411
1355.0,394.678
1360.0,394.145
1365.0,395.895
1370.0,396.88
1375.0,396.429
1380.0,397.193
1385.0,398.672
1390.0,399.115
1395.0,400.404
1400.0,400.402
1405.0,401.108
1410.0,401.625
1415.0,402.34
1420.0,402.515
1425.0,402.276
1430.0,402.054
1435.0,402.968
1440.0,402.705
1445.0,402.107
1450.0,401.977
1455.0,401.655
1460.0,401.744
1465.0,401.175
1470.0,400.765
1475.0,400.553
1480.0,399.201
1485.0,398.614
1490.0,397.928
1495.0,396.93
