Composition,
Date Added,2002-11-26
Formula,
Grain Size Description,<50.0um
Grain Size,0.0 - 50.0
Locality,
Minimum Wavelength,300
Sample Name,Chassigny olivine
Maximum Wavelength,2600
Database of Origin,ReLab
Other Information,
References,
Resolution,5.0
Material Class,Mineral
Sample Description,"Separated by hand picking, then ground."
Sample ID,C1DD02
Original Sample ID,DD-MDD-002
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,53.99
305.0,54.52
310.0,55.17
315.0,55.68
320.0,58.08
325.0,62.13
330.0,66.48
335.0,72.22
340.0,80.42
345.0,90.22
350.0,102.16
355.0,116.76
360.0,133.32
365.0,149.84
370.0,167.07
375.0,183.85
380.0,198.8
385.0,213.43
390.0,226.68
395.0,240.04
400.0,245.92
405.0,260.24
410.0,275.5
415.0,287.52
420.0,297.3
425.0,303.79
430.0,310.07
435.0,315.38
440.0,320.08
445.0,321.14
450.0,317.61
455.0,319.59
460.0,328.61
465.0,338.13
470.0,343.7
475.0,357.2
480.0,369.79
485.0,373.72
490.0,378.3
495.0,380.04
500.0,394.52
505.0,408.09
510.0,419.84
515.0,427.08
520.0,433.95
525.0,438.54
530.0,445.38
535.0,453.24
540.0,461.92
545.0,469.92
550.0,476.0
555.0,480.64
560.0,484.9
565.0,486.84
570.0,488.44
575.0,489.53
580.0,489.57
585.0,490.57
590.0,490.62
595.0,490.12
600.0,490.54
605.0,490.16
610.0,490.29
615.0,487.54
620.0,487.89
625.0,487.21
630.0,489.01
635.0,489.96
640.0,494.58
645.0,496.64
650.0,500.47
655.0,503.07
660.0,505.1
665.0,506.43
670.0,506.83
675.0,508.4
680.0,507.01
685.0,505.54
690.0,502.21
695.0,500.68
700.0,497.09
705.0,493.98
710.0,489.13
715.0,484.96
720.0,479.92
725.0,475.69
730.0,470.85
735.0,462.64
740.0,457.21
745.0,449.73
750.0,443.41
755.0,436.61
760.0,429.41
765.0,422.7
770.0,414.57
775.0,407.25
780.0,399.17
785.0,392.98
790.0,384.51
795.0,378.28
800.0,374.35
805.0,365.55
810.0,359.14
815.0,350.93
820.0,344.66
825.0,339.23
830.0,332.06
835.0,325.52
840.0,320.02
845.0,315.06
850.0,310.19
855.0,305.44
860.0,300.2
865.0,297.11
870.0,293.32
875.0,296.41
880.0,292.33
885.0,296.64
890.0,292.21
895.0,294.66
900.0,291.65
905.0,292.86
910.0,288.92
915.0,289.13
920.0,284.86
925.0,285.66
930.0,281.5
935.0,279.95
940.0,276.13
945.0,275.35
950.0,270.78
955.0,267.71
960.0,262.83
965.0,260.19
970.0,255.85
975.0,251.95
980.0,247.52
985.0,244.05
990.0,240.56
995.0,236.13
1000.0,232.79
1005.0,229.66
1010.0,227.12
1015.0,224.73
1020.0,221.36
1025.0,219.2
1030.0,216.69
1035.0,216.22
1040.0,213.92
1045.0,212.96
1050.0,211.98
1055.0,212.64
1060.0,211.67
1065.0,211.88
1070.0,212.29
1075.0,212.95
1080.0,214.06
1085.0,214.49
1090.0,217.12
1095.0,218.57
1100.0,220.39
1105.0,224.12
1110.0,226.86
1115.0,228.83
1120.0,231.41
1125.0,234.17
1130.0,236.85
1135.0,241.22
1140.0,243.21
1145.0,246.37
1150.0,248.53
1155.0,250.46
1160.0,253.48
1165.0,256.87
1170.0,258.24
1175.0,259.96
1180.0,262.11
1185.0,263.77
1190.0,265.46
1195.0,268.18
1200.0,269.53
1205.0,270.61
1210.0,272.69
1215.0,274.58
1220.0,275.94
1225.0,277.31
1230.0,278.89
1235.0,280.01
1240.0,281.21
1245.0,283.39
1250.0,284.61
1255.0,285.27
1260.0,286.83
1265.0,288.24
1270.0,289.85
1275.0,292.01
1280.0,294.31
1285.0,296.04
1290.0,296.94
1295.0,300.33
1300.0,303.01
1305.0,305.61
1310.0,308.64
1315.0,310.98
1320.0,314.12
1325.0,316.69
1330.0,320.46
1335.0,322.87
1340.0,326.37
1345.0,330.56
1350.0,333.88
1355.0,338.91
1360.0,341.77
1365.0,340.37
1370.0,346.61
1375.0,349.07
1380.0,357.73
1385.0,356.74
1390.0,362.67
1395.0,368.76
1400.0,374.68
1405.0,378.89
1410.0,382.25
1415.0,388.7
1420.0,394.27
1425.0,398.26
1430.0,403.07
1435.0,408.56
1440.0,414.48
1445.0,421.41
1450.0,427.39
1455.0,433.35
1460.0,440.33
1465.0,448.33
1470.0,454.12
1475.0,460.03
1480.0,467.06
1485.0,475.51
1490.0,482.58
1495.0,489.69
1500.0,496.37
1505.0,504.45
1510.0,511.97
1515.0,517.83
1520.0,524.56
1525.0,533.37
1530.0,540.74
1535.0,545.96
1540.0,552.82
1545.0,561.45
1550.0,568.29
1555.0,574.24
1560.0,580.3
1565.0,586.43
1570.0,592.79
1575.0,599.7
1580.0,606.6
1585.0,611.29
1590.0,616.81
1595.0,623.57
1600.0,629.12
1605.0,634.11
1610.0,637.75
1615.0,644.46
1620.0,648.74
1625.0,651.31
1630.0,655.78
1635.0,659.76
1640.0,663.93
1645.0,668.62
1650.0,671.84
1655.0,675.9
1660.0,678.23
1665.0,681.05
1670.0,681.8
1675.0,685.6
1680.0,688.35
1685.0,688.89
1690.0,692.26
1695.0,695.37
1700.0,696.66
1705.0,698.24
1710.0,699.93
1715.0,702.28
1720.0,703.04
1725.0,704.28
1730.0,705.17
1735.0,706.41
1740.0,707.4
1745.0,708.77
1750.0,709.62
1755.0,708.97
1760.0,709.38
1765.0,709.92
1770.0,711.42
1775.0,710.56
1780.0,711.12
1785.0,711.01
1790.0,711.84
1795.0,711.55
1800.0,711.23
1805.0,710.72
1810.0,711.6
1815.0,710.03
1820.0,710.52
1825.0,710.15
1830.0,709.98
1835.0,709.94
1840.0,710.16
1845.0,709.91
1850.0,709.83
1855.0,710.4
1860.0,711.63
1865.0,710.93
1870.0,709.86
1875.0,709.35
1880.0,708.58
1885.0,706.8
1890.0,707.3
1895.0,707.12
1900.0,706.21
1905.0,705.39
1910.0,705.07
1915.0,703.68
1920.0,705.31
1925.0,700.72
1930.0,702.91
1935.0,703.26
1940.0,702.01
1945.0,704.05
1950.0,703.59
1955.0,703.7
1960.0,703.24
1965.0,703.75
1970.0,702.99
1975.0,703.38
1980.0,702.31
1985.0,703.37
1990.0,703.95
1995.0,704.74
2000.0,705.35
2005.0,703.15
2010.0,703.79
2015.0,704.28
2020.0,703.97
2025.0,705.39
2030.0,705.7
2035.0,706.17
2040.0,707.09
2045.0,705.43
2050.0,705.74
2055.0,706.74
2060.0,706.62
2065.0,706.72
2070.0,705.85
2075.0,705.66
2080.0,706.49
2085.0,706.46
2090.0,707.77
2095.0,707.63
2100.0,709.39
2105.0,707.44
2110.0,705.88
2115.0,708.24
2120.0,709.0
2125.0,709.88
2130.0,709.81
2135.0,710.56
2140.0,710.07
2145.0,709.46
2150.0,709.61
2155.0,709.81
2160.0,708.72
2165.0,709.08
2170.0,708.35
2175.0,708.54
2180.0,707.46
2185.0,708.59
2190.0,708.09
2195.0,708.72
2200.0,707.02
2205.0,708.24
2210.0,707.21
2215.0,709.55
2220.0,708.96
2225.0,709.11
2230.0,708.25
2235.0,708.88
2240.0,708.47
2245.0,706.87
2250.0,706.95
2255.0,705.97
2260.0,706.59
2265.0,707.43
2270.0,708.5
2275.0,707.22
2280.0,706.42
2285.0,704.27
2290.0,705.33
2295.0,703.69
2300.0,704.65
2305.0,704.66
2310.0,704.73
2315.0,703.07
2320.0,705.22
2325.0,704.61
2330.0,705.31
2335.0,705.97
2340.0,706.32
2345.0,705.27
2350.0,705.53
2355.0,705.97
2360.0,706.84
2365.0,707.04
2370.0,706.73
2375.0,708.58
2380.0,707.98
2385.0,708.18
2390.0,709.04
2395.0,709.37
2400.0,708.99
2405.0,709.83
2410.0,709.64
2415.0,712.74
2420.0,709.72
2425.0,712.0
2430.0,710.06
2435.0,712.45
2440.0,710.33
2445.0,711.46
2450.0,710.24
2455.0,710.29
2460.0,710.25
2465.0,711.23
2470.0,711.13
2475.0,708.98
2480.0,710.09
2485.0,710.66
2490.0,709.92
2495.0,710.0
2500.0,709.79
2505.0,712.93
2510.0,712.36
2515.0,713.15
2520.0,714.42
2525.0,715.56
2530.0,715.55
2535.0,717.07
2540.0,717.98
2545.0,716.22
2550.0,720.74
2555.0,720.44
2560.0,720.43
2565.0,721.67
2570.0,723.52
2575.0,723.97
2580.0,724.69
2585.0,729.87
2590.0,726.44
2595.0,724.44
2600.0,728.11
