Composition,
Date Added,2020-01-09
Formula,
Grain Size Description,<125.0um
Grain Size,0.0 - 125.0
Locality,
Minimum Wavelength,320
Sample Name,"DOM 03181,10 <125 um"
Maximum Wavelength,2550
Database of Origin,ReLab
Other Information,
References,
Resolution,10.0
Material Class,Rock
Sample Description,
Sample ID,C1TB219
Original Sample ID,TB-MDD-219
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
320.0,70.737
330.0,76.567
340.0,84.101
350.0,92.236
360.0,101.639
370.0,111.711
380.0,121.706
390.0,130.044
400.0,138.561
410.0,146.002
420.0,153.348
430.0,160.256
440.0,166.751
450.0,171.35
460.0,176.092
470.0,179.902
480.0,184.693
490.0,189.162
500.0,194.282
510.0,200.354
520.0,205.259
530.0,210.635
540.0,214.785
550.0,217.722
560.0,221.131
570.0,223.452
580.0,225.526
590.0,226.203
600.0,227.02
610.0,227.502
620.0,228.866
630.0,229.886
640.0,231.232
650.0,232.52
660.0,233.465
670.0,234.312
680.0,236.231
690.0,236.729
700.0,237.556
710.0,237.89
720.0,238.384
730.0,238.423
740.0,238.492
750.0,238.629
760.0,238.236
770.0,237.495
780.0,236.67
790.0,235.575
800.0,232.957
810.0,230.572
820.0,227.612
830.0,224.175
840.0,221.395
850.0,218.491
860.0,214.974
870.0,212.627
880.0,209.816
890.0,207.366
900.0,206.338
910.0,204.823
920.0,203.861
930.0,203.015
940.0,202.638
950.0,202.539
960.0,202.675
970.0,202.903
980.0,203.402
990.0,203.926
1000.0,204.362
1010.0,205.004
1020.0,205.721
1030.0,206.618
1040.0,207.158
1050.0,208.269
1060.0,209.646
1070.0,211.038
1080.0,212.61
1090.0,214.698
1100.0,216.389
1110.0,218.396
1120.0,220.35
1130.0,222.095
1140.0,223.566
1150.0,225.014
1160.0,226.236
1170.0,227.466
1180.0,228.256
1190.0,229.06
1200.0,229.605
1210.0,230.621
1220.0,231.105
1230.0,231.93
1240.0,232.268
1250.0,233.104
1260.0,233.36
1270.0,234.126
1280.0,234.669
1290.0,235.762
1300.0,236.17
1310.0,237.151
1320.0,238.128
1330.0,239.087
1340.0,239.981
1350.0,240.996
1360.0,242.471
1370.0,242.865
1380.0,244.336
1390.0,245.332
1400.0,246.104
1410.0,246.687
1420.0,247.666
1430.0,248.966
1440.0,249.668
1450.0,250.605
1460.0,251.557
1470.0,252.459
1480.0,252.807
1490.0,253.632
1500.0,253.996
1510.0,254.258
1520.0,254.911
1530.0,255.038
1540.0,255.351
1550.0,255.347
1560.0,255.579
1570.0,255.633
1580.0,255.627
1590.0,255.628
1600.0,255.316
1610.0,255.088
1620.0,254.996
1630.0,254.352
1640.0,254.142
1650.0,254.231
1660.0,253.641
1670.0,253.195
1680.0,252.904
1690.0,252.332
1700.0,251.815
1710.0,250.796
1720.0,250.369
1730.0,248.946
1740.0,248.273
1750.0,247.666
1760.0,247.191
1770.0,246.062
1780.0,245.627
1790.0,245.135
1800.0,244.699
1810.0,243.773
1820.0,243.424
1830.0,242.894
1840.0,241.74
1850.0,241.371
1860.0,240.669
1870.0,239.977
1880.0,239.232
1890.0,238.703
1900.0,238.044
1910.0,237.472
1920.0,237.039
1930.0,236.541
1940.0,236.306
1950.0,236.125
1960.0,236.194
1970.0,236.284
1980.0,236.374
1990.0,236.538
2000.0,236.52
2010.0,236.793
2020.0,236.475
2030.0,236.479
2040.0,236.889
2050.0,236.932
2060.0,236.919
2070.0,237.239
2080.0,237.322
2090.0,237.542
2100.0,237.842
2110.0,238.015
2120.0,238.774
2130.0,239.334
2140.0,239.612
2150.0,239.898
2160.0,240.342
2170.0,240.168
2180.0,240.592
2190.0,240.927
2200.0,241.368
2210.0,241.129
2220.0,241.591
2230.0,241.624
2240.0,241.638
2250.0,242.028
2260.0,242.522
2270.0,242.56
2280.0,242.382
2290.0,243.294
2300.0,243.068
2310.0,243.844
2320.0,243.943
2330.0,244.303
2340.0,244.807
2350.0,245.412
2360.0,245.264
2370.0,245.767
2380.0,246.137
2390.0,246.613
2400.0,247.117
2410.0,247.351
2420.0,247.635
2430.0,247.886
2440.0,248.632
2450.0,248.485
2460.0,249.226
2470.0,249.705
2480.0,250.123
2490.0,250.213
2500.0,250.863
2510.0,250.968
2520.0,251.115
2530.0,251.926
2540.0,252.421
2550.0,251.545
