Composition,
Date Added,2021-03-23
Formula,
Grain Size Description,<0.0um
Grain Size,0.0 - 0.0
Locality,
Minimum Wavelength,1428
Sample Name,"ALH 83102,103 slab"
Maximum Wavelength,49859
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Rock
Sample Description,
Sample ID,BIRAMT368
Original Sample ID,MT-MDL-368
Viewing Geometry,
Wavelength,Response
1428.42,90.618
1428.82,89.816
1429.21,90.228
1429.6,90.825
1430.0,90.361
1430.39,90.3
1430.79,90.794
1431.18,91.135
1431.58,91.451
1431.97,91.96
1432.37,91.279
1432.77,90.498
1433.16,90.117
1433.56,90.282
1433.95,90.148
1434.35,90.65
1434.75,90.564
1435.14,90.566
1435.54,90.935
1435.94,90.799
1436.34,90.501
1436.74,89.886
1437.13,89.916
1437.53,90.13
1437.93,89.537
1438.33,89.371
1438.73,89.774
1439.13,90.063
1439.53,90.1
1439.93,89.884
1440.33,89.258
1440.73,89.794
1441.13,90.25
1441.53,89.298
1441.93,88.772
1442.33,89.13
1442.73,89.591
1443.13,89.577
1443.54,89.941
1443.94,90.087
1444.34,89.573
1444.74,89.667
1445.14,89.716
1445.55,89.629
1445.95,89.724
1446.35,89.848
1446.76,89.895
1447.16,90.198
1447.57,90.37
1447.97,89.762
1448.37,89.299
1448.78,89.18
1449.18,89.222
1449.59,89.229
1449.99,89.36
1450.4,89.375
1450.81,89.483
1451.21,89.6
1451.62,89.258
1452.03,89.011
1452.43,89.223
1452.84,89.14
1453.25,88.841
1453.65,89.559
1454.06,89.417
1454.47,88.547
1454.88,88.586
1455.29,89.697
1455.69,90.281
1456.1,89.896
1456.51,89.539
1456.92,89.271
1457.33,89.443
1457.74,89.452
1458.15,89.352
1458.56,88.831
1458.97,88.586
1459.38,88.835
1459.79,89.023
1460.2,89.001
1460.62,88.955
1461.03,89.422
1461.44,89.542
1461.85,88.918
1462.26,88.941
1462.68,89.483
1463.09,89.553
1463.5,89.22
1463.91,89.334
1464.33,89.181
1464.74,88.973
1465.16,89.099
1465.57,89.192
1465.98,89.031
1466.4,88.855
1466.81,88.876
1467.23,89.123
1467.64,89.113
1468.06,88.751
1468.48,88.477
1468.89,88.412
1469.31,88.531
1469.72,88.525
1470.14,88.415
1470.56,88.72
1470.97,88.676
1471.39,88.203
1471.81,88.684
1472.23,89.206
1472.65,89.001
1473.06,88.297
1473.48,88.235
1473.9,88.902
1474.32,88.983
1474.74,88.702
1475.16,88.815
1475.58,88.601
1476.0,88.058
1476.42,88.341
1476.84,88.713
1477.26,88.471
1477.68,88.489
1478.1,88.438
1478.53,88.3
1478.95,88.128
1479.37,87.979
1479.79,87.858
1480.21,88.078
1480.64,88.443
1481.06,88.74
1481.48,88.634
1481.91,88.196
1482.33,87.933
1482.75,87.857
1483.18,88.18
1483.6,88.267
1484.03,88.273
1484.45,88.722
1484.88,88.602
1485.3,87.994
1485.73,87.674
1486.15,87.826
1486.58,88.234
1487.01,88.105
1487.43,88.062
1487.86,88.581
1488.29,88.67
1488.71,88.424
1489.14,88.336
1489.57,88.631
1490.0,88.294
1490.43,87.863
1490.85,87.727
1491.28,87.815
1491.71,88.217
1492.14,88.355
1492.57,88.38
1493.0,88.394
1493.43,88.267
1493.86,88.05
1494.29,87.909
1494.72,88.056
1495.15,88.576
1495.59,88.533
1496.02,87.918
1496.45,87.616
1496.88,87.657
1497.31,88.03
1497.75,88.021
1498.18,87.804
1498.61,87.777
1499.04,88.078
1499.48,88.141
1499.91,87.992
1500.35,87.916
1500.78,87.709
1501.21,87.701
1501.65,87.817
1502.08,88.293
1502.52,88.63
1502.95,88.448
1503.39,88.081
1503.83,88.412
1504.26,88.275
1504.7,87.788
1505.14,87.313
1505.57,87.285
1506.01,87.652
1506.45,88.014
1506.89,88.155
1507.32,87.93
1507.76,87.635
1508.2,87.743
1508.64,88.078
1509.08,87.876
1509.52,87.508
1509.96,87.154
1510.4,87.617
1510.84,87.948
1511.28,87.357
1511.72,87.127
1512.16,87.428
1512.6,87.469
1513.04,87.491
1513.48,87.469
1513.93,87.441
1514.37,87.307
1514.81,87.305
1515.25,87.6
1515.7,87.984
1516.14,88.33
1516.58,88.095
1517.03,87.673
1517.47,87.366
1517.92,87.633
1518.36,87.588
1518.8,87.529
1519.25,87.39
1519.69,87.301
1520.14,87.213
1520.59,87.504
1521.03,87.602
1521.48,87.48
1521.93,87.479
1522.37,87.353
1522.82,87.219
1523.27,87.238
1523.71,86.985
1524.16,86.854
1524.61,87.331
1525.06,87.356
1525.51,87.433
1525.96,87.694
1526.41,87.803
1526.86,87.651
1527.31,87.58
1527.76,87.235
1528.21,87.081
1528.66,87.179
1529.11,86.967
1529.56,86.875
1530.01,87.082
1530.46,87.173
1530.91,87.32
1531.36,87.272
1531.82,87.41
1532.27,87.301
1532.72,87.242
1533.18,87.558
1533.63,87.801
1534.08,87.52
1534.54,87.546
1534.99,87.588
1535.45,87.246
1535.9,87.466
1536.36,87.729
1536.81,87.758
1537.27,87.929
1537.72,88.078
1538.18,87.87
1538.64,87.471
1539.09,87.048
1539.55,87.368
1540.01,87.433
1540.46,87.469
1540.92,87.478
1541.38,87.375
1541.84,87.218
1542.3,86.947
1542.76,86.96
1543.22,87.268
1543.68,87.39
