Composition,
Date Added,1987-07-01
Formula,
Grain Size Description,<0.0um
Grain Size,0.0 - 0.0
Locality,
Minimum Wavelength,351
Sample Name,St. Michel
Maximum Wavelength,2537
Database of Origin,ReLab
Other Information,"St. Michel Meteorite (L6) (Pure elements, not oxides)"
References,"H Von Michaelis,et al, Earth Planet.Sci.Lett.,1969,5,p387"
Resolution,5.0
Material Class,Rock
Sample Description,"  Fell July 20, 1910"
Sample ID,CGN111
Original Sample ID,MR-MJG-062
Viewing Geometry,
Wavelength,Response
351.0,129.0
356.0,137.5
361.0,146.5
366.0,154.5
371.0,164.5
376.0,172.5
381.0,179.5
386.0,186.5
391.0,191.5
396.0,197.5
401.0,202.0
406.0,207.0
411.0,213.5
416.0,218.5
421.0,223.0
426.0,226.5
431.0,229.5
436.0,233.5
441.0,237.0
446.0,240.0
451.0,241.5
456.0,244.0
461.0,247.0
466.0,249.5
471.0,253.0
476.0,257.0
481.0,260.5
486.0,264.0
491.0,266.0
496.0,268.0
501.0,271.5
506.0,274.0
511.0,279.0
517.0,283.5
522.0,286.5
527.0,291.0
532.0,293.5
537.0,297.5
542.0,299.5
547.0,302.0
552.0,303.5
557.0,308.5
562.0,310.0
567.0,312.5
572.0,314.0
577.0,316.5
582.0,317.5
587.0,319.0
593.0,320.0
598.0,321.0
603.0,323.0
608.0,324.5
613.0,325.5
618.0,326.0
623.0,327.0
628.0,327.5
634.0,329.0
639.0,330.0
644.0,331.0
649.0,332.0
654.0,332.5
659.0,334.0
665.0,335.5
670.0,335.5
675.0,336.5
680.0,336.5
686.0,337.0
691.0,337.0
696.0,337.0
702.0,337.0
707.0,337.0
712.0,337.0
718.0,336.5
723.0,336.0
728.0,334.5
734.0,333.5
739.0,332.5
744.0,330.0
750.0,328.0
755.0,325.5
760.0,323.0
766.0,319.5
771.0,316.5
776.0,312.0
781.0,307.0
787.0,303.5
792.0,298.5
797.0,293.0
802.0,288.5
808.0,283.5
813.0,277.5
818.0,272.0
823.0,266.0
828.0,260.5
833.0,255.5
839.0,250.0
844.0,244.0
849.0,240.0
854.0,234.5
859.0,230.5
864.0,226.0
869.0,222.5
874.0,218.5
879.0,215.0
885.0,212.5
890.0,208.5
895.0,206.0
900.0,205.0
905.0,202.0
910.0,201.0
915.0,200.0
920.0,198.5
925.0,198.0
930.0,198.0
935.0,197.5
940.0,197.5
945.0,197.5
950.0,197.5
955.0,197.5
960.0,198.0
965.0,198.5
970.0,198.5
975.0,199.5
981.0,200.5
986.0,201.5
991.0,203.0
996.0,203.5
1001.0,205.5
1006.0,207.0
1011.0,208.5
1016.0,210.0
1021.0,212.0
1026.0,214.0
1031.0,216.0
1036.0,218.0
1041.0,219.0
1046.0,221.5
1051.0,223.5
1056.0,225.5
1061.0,227.0
1066.0,229.0
1071.0,231.5
1076.0,233.5
1081.0,236.0
1086.0,237.5
1091.0,239.0
1096.0,240.0
1101.0,242.5
1106.0,245.0
1111.0,247.0
1116.0,249.0
1121.0,251.5
1126.0,254.0
1131.0,256.5
1136.0,258.0
1141.0,260.5
1146.0,263.0
1151.0,265.0
1156.0,266.5
1161.0,268.0
1166.0,270.5
1171.0,272.0
1176.0,273.5
1181.0,275.0
1186.0,276.0
1191.0,277.5
1196.0,279.0
1201.0,280.0
1206.0,281.0
1211.0,282.5
1216.0,282.5
1221.0,284.5
1226.0,285.0
1231.0,286.5
1236.0,286.5
1241.0,288.0
1246.0,288.5
1251.0,289.5
1256.0,290.5
1261.0,292.0
1266.0,293.0
1271.0,294.0
1277.0,295.0
1282.0,296.0
1287.0,297.0
1292.0,297.5
1297.0,298.5
1302.0,300.0
1307.0,301.5
1312.0,303.5
1317.0,304.0
1322.0,305.0
1327.0,307.0
1332.0,308.0
1337.0,309.5
1342.0,310.5
1347.0,312.0
1352.0,313.5
1357.0,315.0
1362.0,316.5
1367.0,317.5
1372.0,319.0
1377.0,320.0
1382.0,321.0
1387.0,322.0
1392.0,323.5
1397.0,325.0
1402.0,326.0
1407.0,328.5
1412.0,329.5
1417.0,331.5
1422.0,332.5
1427.0,333.5
1432.0,335.0
1437.0,336.5
1442.0,337.5
1447.0,338.5
1452.0,340.0
1457.0,341.0
1462.0,342.5
1467.0,343.0
1472.0,343.5
1477.0,344.0
1482.0,345.0
1487.0,345.5
1492.0,346.0
1497.0,346.5
1502.0,347.0
1507.0,347.5
1512.0,348.0
1517.0,348.5
1522.0,348.5
1527.0,348.0
1532.0,348.0
1537.0,348.0
1542.0,348.0
1547.0,347.5
1552.0,347.5
1557.0,347.5
1562.0,347.0
1567.0,346.5
1572.0,346.0
1577.0,345.5
1582.0,345.0
1587.0,344.0
1592.0,343.5
1597.0,343.0
1602.0,342.5
1607.0,342.0
1612.0,341.0
1617.0,340.5
1622.0,340.0
1627.0,339.5
1632.0,338.5
1637.0,337.0
1642.0,337.0
1647.0,335.5
1652.0,334.0
1657.0,333.0
1662.0,332.5
1667.0,331.5
1672.0,330.0
1677.0,329.0
1682.0,328.0
1687.0,327.0
1692.0,326.0
1697.0,325.0
1702.0,323.5
1707.0,322.5
1712.0,322.0
1717.0,320.5
1722.0,319.5
1727.0,318.0
1732.0,317.0
1737.0,316.0
1742.0,314.5
1747.0,314.0
1752.0,313.0
1757.0,312.0
1762.0,311.0
1767.0,310.0
1772.0,309.0
1777.0,308.0
1782.0,308.0
1787.0,307.0
1792.0,306.5
1797.0,305.5
1802.0,305.0
1807.0,304.0
1812.0,303.5
1817.0,303.0
1822.0,302.5
1827.0,301.5
1832.0,301.0
1837.0,300.0
1842.0,299.5
1847.0,299.5
1852.0,299.0
1857.0,298.5
1862.0,298.0
1867.0,297.5
1872.0,297.5
1877.0,297.5
1882.0,297.0
1887.0,297.0
1892.0,297.0
1897.0,297.0
1902.0,297.0
1907.0,297.0
1912.0,297.0
1917.0,297.0
1922.0,296.5
1927.0,297.0
1932.0,297.0
1937.0,297.5
1942.0,297.5
1947.0,297.5
1952.0,297.5
1957.0,297.5
1962.0,298.0
1967.0,298.5
1972.0,299.0
1977.0,299.0
1982.0,299.5
1987.0,300.0
1992.0,300.0
1997.0,300.5
2002.0,301.0
2007.0,301.5
2012.0,302.0
2017.0,302.5
2022.0,303.5
2027.0,304.0
2032.0,305.5
2037.0,305.5
2042.0,306.0
2047.0,307.0
2052.0,308.0
2057.0,308.5
2062.0,309.5
2067.0,310.5
2072.0,312.5
2077.0,313.5
2082.0,314.5
2087.0,315.5
2092.0,316.5
2097.0,317.5
2102.0,317.5
2107.0,318.5
2112.0,319.5
2117.0,320.5
2122.0,321.0
2127.0,322.5
2132.0,324.0
2137.0,324.5
2142.0,325.5
2147.0,326.5
2152.0,327.5
2157.0,328.5
