Composition,
Date Added,1987-07-01
Formula,
Grain Size Description,<75.0um
Grain Size,0.0 - 75.0
Locality,
Minimum Wavelength,351
Sample Name,Meghei (Mighei) 
Maximum Wavelength,2542
Database of Origin,ReLab
Other Information,"Mighei Meteorite (C2M) (Pure elements, not oxides)"
References,
Resolution,5.0
Material Class,Rock
Sample Description,"tvj, ps=<0.075mm  Fell June 18, 1889"
Sample ID,CGP092
Original Sample ID,MR-MJG-108
Viewing Geometry,
Wavelength,Response
351.0,31.997
356.0,32.294
361.0,32.812
366.0,33.331
371.0,33.997
376.0,34.812
381.0,35.701
386.0,36.516
391.0,37.256
396.0,37.923
401.0,38.293
406.0,38.738
411.0,39.404
416.0,40.367
421.0,41.182
426.0,42.071
431.0,42.663
436.0,43.33
441.0,43.626
446.0,43.996
451.0,44.293
456.0,44.589
461.0,44.959
466.0,45.256
471.0,45.774
476.0,46.144
481.0,46.663
486.0,47.255
491.0,47.774
496.0,48.07
501.0,48.218
506.0,48.366
511.0,48.589
517.0,48.885
522.0,49.181
527.0,49.552
532.0,49.626
537.0,49.848
542.0,49.922
547.0,50.07
552.0,50.07
557.0,50.218
562.0,50.366
567.0,50.366
572.0,50.292
577.0,50.144
582.0,50.07
587.0,49.922
593.0,49.848
598.0,49.626
603.0,49.626
608.0,49.552
613.0,49.7
618.0,49.552
623.0,49.477
628.0,49.403
634.0,49.552
639.0,49.403
644.0,49.181
649.0,48.885
654.0,48.811
659.0,48.663
665.0,48.441
670.0,48.366
675.0,48.515
680.0,48.811
686.0,48.811
691.0,48.663
696.0,48.441
702.0,48.441
707.0,48.737
712.0,49.033
718.0,49.181
723.0,49.107
728.0,48.811
734.0,48.737
739.0,48.811
744.0,49.033
750.0,49.181
755.0,49.181
760.0,49.403
766.0,49.626
771.0,49.848
776.0,49.774
781.0,49.7
787.0,49.7
792.0,49.848
797.0,49.922
802.0,49.996
808.0,50.07
813.0,50.218
818.0,50.218
823.0,50.292
828.0,50.366
833.0,50.514
839.0,50.588
844.0,50.588
849.0,50.588
854.0,50.588
859.0,50.663
864.0,50.811
869.0,51.107
874.0,51.477
879.0,51.625
885.0,51.625
890.0,51.403
895.0,51.329
900.0,51.403
905.0,51.403
910.0,51.255
915.0,51.107
920.0,51.181
925.0,51.329
930.0,51.329
935.0,51.181
940.0,51.255
945.0,51.477
950.0,51.699
955.0,51.922
960.0,52.07
965.0,52.292
970.0,52.514
975.0,52.662
981.0,52.811
986.0,52.811
991.0,52.736
996.0,52.811
1001.0,52.885
1006.0,52.959
1011.0,53.107
1016.0,53.255
1021.0,53.403
1026.0,53.477
1031.0,53.477
1036.0,53.551
1041.0,53.551
1046.0,53.477
1051.0,53.477
1056.0,53.551
1061.0,53.847
1066.0,54.144
1071.0,54.514
1076.0,54.662
1081.0,54.662
1086.0,54.588
1091.0,54.588
1096.0,54.662
1101.0,54.736
1106.0,54.736
1111.0,54.736
1116.0,54.736
1121.0,54.884
1126.0,55.033
1131.0,55.033
1136.0,55.107
1141.0,55.181
1146.0,55.255
1151.0,55.255
1156.0,55.403
1161.0,55.403
1166.0,55.403
1171.0,55.403
1176.0,55.403
1181.0,55.477
1186.0,55.477
1191.0,55.551
1196.0,55.699
1201.0,55.773
1206.0,55.847
1211.0,55.995
1216.0,56.144
1221.0,56.44
1226.0,56.588
1231.0,56.81
1236.0,56.958
1241.0,56.884
1246.0,56.884
1251.0,57.032
1256.0,57.329
1261.0,57.551
1266.0,57.551
1271.0,57.477
1277.0,57.477
1282.0,57.625
1287.0,57.773
1292.0,57.921
1297.0,57.995
1302.0,58.143
1307.0,58.292
1312.0,58.514
1317.0,58.588
1322.0,58.662
1327.0,58.736
1332.0,58.81
1337.0,59.032
1342.0,59.106
1347.0,59.106
1352.0,59.032
1357.0,59.329
1362.0,59.773
1367.0,60.069
1372.0,60.217
1377.0,60.217
1382.0,60.291
1387.0,60.291
1392.0,60.365
1397.0,60.365
1402.0,60.44
1407.0,60.365
1412.0,60.291
1417.0,60.291
1422.0,60.44
1427.0,60.588
1432.0,60.736
1437.0,60.884
1442.0,60.884
1447.0,60.81
1452.0,60.884
1457.0,60.958
1462.0,61.18
1467.0,61.254
1472.0,61.328
1477.0,61.476
1482.0,61.551
1487.0,61.551
1492.0,61.625
1497.0,61.847
1502.0,62.143
1507.0,61.995
1512.0,61.921
1517.0,61.995
1522.0,62.143
1527.0,62.365
1532.0,62.513
1537.0,62.513
1542.0,62.513
1547.0,62.587
1552.0,62.662
1557.0,62.736
1562.0,62.81
1567.0,62.884
1572.0,62.884
1577.0,63.18
1582.0,63.476
1587.0,63.624
1592.0,63.476
1597.0,63.18
1602.0,63.106
1607.0,63.18
1612.0,63.328
1617.0,63.254
1622.0,63.476
1627.0,63.624
1632.0,63.847
1637.0,63.773
1642.0,63.847
1647.0,63.921
1652.0,63.921
1657.0,64.143
1662.0,64.439
1667.0,64.587
1672.0,64.439
1677.0,64.143
1682.0,63.995
1687.0,64.217
1692.0,64.439
1697.0,64.439
1702.0,64.365
1707.0,64.217
1712.0,64.365
1717.0,64.439
1722.0,64.513
1727.0,64.513
1732.0,64.735
1737.0,65.106
1742.0,65.328
1747.0,65.328
1752.0,65.106
1757.0,65.18
1762.0,65.254
1767.0,65.402
1772.0,65.55
1777.0,65.624
1782.0,65.55
1787.0,65.55
1792.0,65.698
1797.0,65.772
1802.0,65.846
1807.0,65.772
1812.0,65.698
1817.0,65.698
1822.0,65.846
1827.0,66.143
1832.0,66.143
1837.0,66.069
1842.0,66.069
1847.0,66.217
1852.0,66.291
1857.0,66.291
1862.0,66.439
1867.0,66.661
1872.0,66.809
1877.0,66.958
1882.0,67.18
1887.0,67.328
1892.0,67.402
1897.0,67.328
1902.0,67.328
1907.0,67.402
1912.0,67.476
1917.0,67.476
1922.0,67.476
1927.0,67.55
1932.0,67.698
1937.0,67.846
1942.0,67.92
1947.0,67.92
1952.0,67.994
1957.0,67.994
1962.0,68.069
1967.0,68.069
1972.0,68.217
1977.0,68.291
1982.0,68.365
1987.0,68.217
1992.0,68.217
1997.0,68.143
2002.0,68.217
2007.0,68.365
2012.0,68.513
2017.0,68.587
2022.0,68.587
2027.0,68.439
2032.0,68.439
2037.0,68.439
2042.0,68.587
2047.0,68.735
2052.0,68.883
2057.0,68.957
2062.0,69.105
2067.0,69.105
2072.0,69.18
2077.0,69.254
2082.0,69.328
2087.0,69.328
2092.0,69.254
2097.0,69.328
2102.0,69.55
2107.0,69.624
2112.0,69.55
2117.0,69.476
2122.0,69.55
2127.0,69.698
2132.0,69.698
2137.0,69.624
2142.0,69.624
2147.0,69.846
2152.0,69.92
2157.0,69.846
2162.0,69.92
2167.0,69.994
