Composition,
Date Added,1987-07-01
Formula,
Grain Size Description,<0.0um
Grain Size,0.0 - 0.0
Locality,
Minimum Wavelength,350
Sample Name,Saratov 
Maximum Wavelength,2520
Database of Origin,ReLab
Other Information,
References,
Resolution,5.0
Material Class,Rock
Sample Description,"  Fell Sep. 6, 1918 "
Sample ID,MGN071
Original Sample ID,MR-MJG-046
Viewing Geometry,
Wavelength,Response
350.0,123.0
355.0,128.5
360.0,130.5
365.0,135.5
370.0,139.0
375.0,142.0
380.0,144.5
385.0,146.0
390.0,148.5
395.0,151.5
400.0,153.5
405.0,156.5
410.0,158.5
415.0,160.5
420.0,163.0
425.0,164.5
430.0,167.0
435.0,169.0
440.0,171.0
445.0,172.5
450.0,174.5
455.0,177.0
460.0,178.5
465.0,181.0
470.0,182.0
475.0,183.5
480.0,185.0
485.0,186.5
490.0,187.5
495.0,189.0
500.0,190.0
505.0,191.5
510.0,193.0
515.0,194.5
520.0,196.0
525.0,198.0
530.0,199.0
535.0,201.5
540.0,203.0
545.0,203.5
550.0,205.0
555.0,205.5
560.0,207.0
565.0,208.0
570.0,209.0
575.0,209.0
580.0,209.5
585.0,210.5
590.0,211.5
595.0,212.0
600.0,212.5
605.0,213.0
610.0,213.5
615.0,213.5
620.0,214.0
625.0,214.5
630.0,216.0
635.0,216.5
640.0,217.5
645.0,218.0
650.0,219.0
655.0,219.0
660.0,219.5
665.0,220.5
670.0,221.5
675.0,221.5
680.0,222.5
685.0,222.5
690.0,223.5
695.0,224.0
700.0,224.0
705.0,224.5
710.0,224.5
715.0,225.5
720.0,225.5
725.0,225.5
730.0,225.5
735.0,225.5
740.0,224.5
745.0,224.5
750.0,224.5
755.0,224.0
760.0,223.0
765.0,222.0
770.0,221.5
775.0,221.0
780.0,220.0
785.0,219.5
790.0,218.5
795.0,217.5
800.0,216.0
805.0,214.0
810.0,212.5
815.0,211.0
820.0,210.0
825.0,208.5
830.0,208.0
835.0,206.5
840.0,205.5
845.0,204.0
850.0,202.5
855.0,202.0
860.0,201.0
865.0,199.5
870.0,199.5
875.0,198.5
880.0,198.5
885.0,198.5
890.0,198.5
895.0,197.5
900.0,197.0
905.0,197.0
910.0,197.0
915.0,197.0
920.0,197.5
925.0,198.0
930.0,198.0
935.0,198.5
940.0,198.5
945.0,198.5
950.0,199.5
955.0,199.5
960.0,200.5
965.0,201.5
970.0,201.5
975.0,202.5
980.0,202.5
985.0,202.5
990.0,203.0
995.0,203.5
1000.0,204.0
1005.0,204.0
1010.0,204.0
1015.0,204.5
1020.0,204.5
1025.0,205.0
1030.0,205.5
1035.0,206.0
1040.0,206.0
1045.0,206.5
1050.0,207.0
1055.0,207.5
1060.0,208.0
1065.0,208.5
1070.0,209.5
1075.0,209.5
1080.0,210.0
1085.0,211.0
1090.0,211.5
1095.0,212.5
1100.0,213.0
1105.0,213.5
1110.0,214.5
1115.0,214.5
1120.0,215.0
1125.0,215.5
1130.0,216.0
1135.0,216.5
1140.0,217.5
1145.0,218.5
1150.0,219.0
1155.0,219.5
1160.0,220.0
1165.0,220.0
1170.0,221.0
1175.0,221.0
1180.0,221.5
1185.0,221.5
1190.0,222.5
1195.0,222.5
1200.0,222.5
1205.0,222.5
1210.0,223.5
1215.0,223.5
1220.0,223.5
1225.0,223.5
1230.0,223.5
1235.0,224.0
1240.0,224.5
1245.0,225.0
1250.0,225.5
1255.0,226.0
1260.0,226.0
1265.0,226.5
1270.0,227.0
1275.0,227.0
1280.0,227.5
1285.0,228.0
1290.0,228.5
1295.0,229.0
1300.0,229.5
1305.0,229.5
1310.0,230.5
1315.0,230.5
1320.0,231.0
1325.0,231.5
1330.0,232.0
1335.0,232.0
1340.0,232.5
1345.0,233.5
1350.0,233.5
1355.0,233.5
1360.0,233.5
1365.0,234.0
1370.0,234.0
1375.0,234.0
1380.0,233.5
1385.0,234.0
1390.0,235.0
1395.0,235.5
1400.0,236.5
1405.0,237.0
1410.0,237.5
1415.0,238.0
1420.0,238.5
1425.0,239.0
1430.0,239.5
1435.0,239.5
1440.0,239.5
1445.0,240.0
1450.0,240.0
1455.0,240.0
1460.0,240.5
1465.0,240.5
1470.0,240.5
1475.0,240.5
1480.0,240.5
1485.0,241.0
1490.0,241.5
1495.0,241.0
1500.0,241.0
1505.0,241.5
1510.0,241.5
1515.0,241.5
1520.0,241.5
1525.0,241.5
1530.0,241.5
1535.0,241.5
1540.0,241.5
1545.0,241.0
1550.0,240.5
1555.0,240.5
1560.0,240.5
1565.0,240.5
1570.0,240.5
1575.0,240.5
1580.0,240.0
1585.0,240.0
1590.0,239.5
1595.0,239.5
1600.0,239.5
1605.0,239.0
1610.0,239.0
1615.0,238.0
1620.0,238.0
1625.0,238.0
1630.0,238.0
1635.0,238.0
1640.0,238.0
1645.0,237.0
1650.0,237.0
1655.0,237.0
1660.0,236.5
1665.0,236.0
1670.0,236.0
1675.0,236.0
1680.0,236.0
1685.0,235.0
1690.0,235.0
1695.0,235.0
1700.0,235.0
1705.0,234.0
1710.0,234.0
1715.0,234.0
1720.0,233.5
1725.0,233.0
1730.0,232.5
1735.0,232.0
1740.0,232.0
1745.0,231.5
1750.0,231.5
1755.0,231.0
1760.0,231.0
1765.0,230.5
1770.0,230.0
1775.0,230.0
1780.0,230.0
1785.0,230.0
1790.0,230.0
1795.0,229.5
1800.0,229.5
1805.0,229.5
1810.0,229.0
1815.0,229.0
1820.0,229.0
1825.0,229.0
1830.0,229.0
1835.0,229.0
1840.0,229.0
1845.0,229.0
1850.0,229.0
1855.0,229.0
1860.0,228.5
1865.0,228.5
1870.0,229.0
1875.0,228.5
1880.0,228.0
1885.0,228.0
1890.0,228.0
1895.0,228.0
1900.0,228.0
1905.0,228.0
1910.0,228.0
1915.0,228.0
1920.0,228.0
1925.0,228.0
1930.0,228.0
1935.0,228.0
1940.0,228.0
1945.0,228.0
1950.0,228.0
1955.0,228.0
1960.0,228.0
1965.0,228.0
1970.0,228.0
1975.0,228.0
1980.0,228.0
1985.0,228.0
1990.0,228.0
1995.0,228.0
2000.0,228.0
2005.0,228.5
2010.0,228.5
2015.0,228.5
2020.0,229.0
2025.0,229.0
2030.0,229.0
2035.0,229.0
2040.0,229.0
2045.0,229.0
2050.0,229.0
2055.0,229.5
2060.0,229.5
2065.0,229.5
2070.0,230.0
2075.0,230.0
2080.0,230.0
2085.0,230.5
2090.0,230.5
2095.0,231.0
2100.0,231.0
2105.0,231.0
2110.0,231.0
2115.0,231.0
2120.0,231.0
2125.0,231.5
2130.0,231.5
2135.0,231.5
2140.0,232.0
2145.0,232.0
2150.0,232.0
2155.0,232.0
2160.0,233.0
2165.0,233.0
2170.0,232.5
2175.0,233.0
