Composition,
Date Added,1988-11-11
Formula,
Grain Size Description,<0.0um
Grain Size,0.0 - 0.0
Locality,
Minimum Wavelength,300
Sample Name,Sediment M3 
Maximum Wavelength,2700
Database of Origin,ReLab
Other Information,
References,
Resolution,5.0
Material Class,Sediment
Sample Description,
Sample ID,C1RS93
Original Sample ID,RS-MJG-093
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,78.99
305.0,77.77
310.0,83.18
315.0,84.16
320.0,88.08
325.0,90.27
330.0,92.64
335.0,96.44
340.0,98.69
345.0,101.96
350.0,104.44
355.0,104.83
360.0,107.57
365.0,111.82
370.0,112.64
375.0,115.19
380.0,118.5
385.0,121.53
390.0,123.66
395.0,125.91
400.0,129.44
405.0,129.49
410.0,131.23
415.0,133.02
420.0,134.88
425.0,138.37
430.0,141.35
435.0,145.02
440.0,148.4
445.0,153.1
450.0,154.38
455.0,156.99
460.0,159.88
465.0,162.07
470.0,165.51
475.0,166.85
480.0,169.47
485.0,172.92
490.0,175.51
495.0,176.65
500.0,179.52
505.0,182.27
510.0,184.41
515.0,186.76
520.0,188.48
525.0,190.21
530.0,193.6
535.0,195.79
540.0,197.06
545.0,198.77
550.0,200.47
555.0,202.01
560.0,203.21
565.0,204.56
570.0,206.42
575.0,207.75
580.0,209.21
585.0,209.93
590.0,210.11
595.0,211.06
600.0,211.75
605.0,212.68
610.0,213.43
615.0,215.48
620.0,215.99
625.0,217.18
630.0,218.55
635.0,218.28
640.0,219.59
645.0,219.71
650.0,220.44
655.0,219.9
660.0,219.61
665.0,219.21
670.0,218.96
675.0,218.65
680.0,221.16
685.0,223.57
690.0,226.51
695.0,228.7
700.0,231.14
705.0,234.7
710.0,236.13
715.0,236.74
720.0,239.23
725.0,240.46
730.0,241.8
735.0,243.43
740.0,245.14
745.0,246.48
750.0,249.14
755.0,250.64
760.0,253.09
765.0,254.44
770.0,255.73
775.0,255.01
780.0,256.52
785.0,257.91
790.0,259.33
795.0,259.22
800.0,260.62
805.0,261.85
810.0,262.21
815.0,262.93
820.0,263.64
825.0,266.48
830.0,267.39
835.0,266.26
840.0,266.68
845.0,267.72
850.0,268.53
855.0,268.47
860.0,269.58
865.0,270.59
870.0,271.11
875.0,272.28
880.0,273.53
885.0,272.75
890.0,274.11
895.0,274.2
900.0,274.91
905.0,274.74
910.0,275.36
915.0,276.07
920.0,276.76
925.0,277.88
930.0,277.17
935.0,277.85
940.0,277.58
945.0,278.56
950.0,279.32
955.0,280.02
960.0,280.41
965.0,281.24
970.0,281.75
975.0,281.75
980.0,281.71
985.0,282.21
990.0,282.99
995.0,283.33
1000.0,284.12
1005.0,284.66
1010.0,284.75
1015.0,285.55
1020.0,285.89
1025.0,286.63
1030.0,287.66
1035.0,287.88
1040.0,287.82
1045.0,288.14
1050.0,288.87
1055.0,289.21
1060.0,289.68
1065.0,290.42
1070.0,290.4
1075.0,290.93
1080.0,291.56
1085.0,291.94
1090.0,292.55
1095.0,292.91
1100.0,293.71
1105.0,294.02
1110.0,294.37
1115.0,294.96
1120.0,295.03
1125.0,295.33
1130.0,295.8
1135.0,296.28
1140.0,296.41
1145.0,297.05
1150.0,297.39
1155.0,297.81
1160.0,298.02
1165.0,298.36
1170.0,299.3
1175.0,299.52
1180.0,300.11
1185.0,300.19
1190.0,300.54
1195.0,301.01
1200.0,298.85
1205.0,299.61
1210.0,300.73
1215.0,300.4
1220.0,302.04
1225.0,302.41
1230.0,302.96
1235.0,303.13
1240.0,302.99
1245.0,303.04
1250.0,304.06
1255.0,304.31
1260.0,305.46
1265.0,305.74
1270.0,305.45
1275.0,305.72
1280.0,306.69
1285.0,306.2
1290.0,307.22
1295.0,308.4
1300.0,308.19
1305.0,308.55
1310.0,309.19
1315.0,310.1
1320.0,310.21
1325.0,310.65
1330.0,310.59
1335.0,310.97
1340.0,310.9
1345.0,311.99
1350.0,310.82
1355.0,311.3
1360.0,311.96
1365.0,313.18
1370.0,312.97
1375.0,312.64
1380.0,313.75
1385.0,315.24
1390.0,314.45
1395.0,314.42
1400.0,312.73
1405.0,312.58
1410.0,312.85
1415.0,312.13
1420.0,313.98
1425.0,315.33
1430.0,315.76
1435.0,316.22
1440.0,316.16
1445.0,316.81
1450.0,317.64
1455.0,317.91
1460.0,317.71
1465.0,317.9
1470.0,318.72
1475.0,319.71
1480.0,319.97
1485.0,321.05
1490.0,320.08
1495.0,320.27
1500.0,321.32
1505.0,322.08
1510.0,322.45
1515.0,322.57
1520.0,324.14
1525.0,324.81
1530.0,324.8
1535.0,325.04
1540.0,324.66
1545.0,325.24
1550.0,326.43
1555.0,326.77
1560.0,325.38
1565.0,326.52
1570.0,325.67
1575.0,326.46
1580.0,325.92
1585.0,325.96
1590.0,325.83
1595.0,325.34
1600.0,325.29
1605.0,324.8
1610.0,326.49
1615.0,327.45
1620.0,326.12
1625.0,326.52
1630.0,324.7
1635.0,325.58
1640.0,325.99
1645.0,327.48
1650.0,325.94
1655.0,326.07
1660.0,329.54
1665.0,330.11
1670.0,329.58
1675.0,329.89
1680.0,330.26
1685.0,330.24
1690.0,330.85
1695.0,331.05
1700.0,330.82
1705.0,329.51
1710.0,330.03
1715.0,329.34
1720.0,329.99
1725.0,330.86
1730.0,330.08
1735.0,329.68
1740.0,329.77
1745.0,329.63
1750.0,329.5
1755.0,329.53
1760.0,329.45
1765.0,329.3
1770.0,329.05
1775.0,329.69
1780.0,330.61
1785.0,330.55
1790.0,330.47
1795.0,330.96
1800.0,330.51
1805.0,330.41
1810.0,330.55
1815.0,330.94
1820.0,330.65
1825.0,330.22
1830.0,330.3
1835.0,330.68
1840.0,330.89
1845.0,330.25
1850.0,330.12
1855.0,330.52
1860.0,331.09
1865.0,330.57
1870.0,330.7
1875.0,329.19
1880.0,329.13
1885.0,329.35
1890.0,328.79
1895.0,327.34
1900.0,324.95
1905.0,322.29
1910.0,319.71
1915.0,318.04
1920.0,316.39
1925.0,315.78
1930.0,315.61
1935.0,315.49
1940.0,316.29
1945.0,315.5
1950.0,316.88
1955.0,317.21
1960.0,317.5
1965.0,317.85
1970.0,317.93
1975.0,318.52
1980.0,318.87
1985.0,319.4
1990.0,320.18
1995.0,321.0
2000.0,321.11
2005.0,321.69
2010.0,322.44
2015.0,322.7
2020.0,324.82
2025.0,323.85
2030.0,324.66
