Composition,
Date Added,2000-06-09
Formula,
Grain Size Description,<75.0um
Grain Size,0.0 - 75.0
Locality,
Minimum Wavelength,320
Sample Name,MST-12 longox 
Maximum Wavelength,2550
Database of Origin,ReLab
Other Information,
References,
Resolution,10.0
Material Class,Rock
Sample Description,Basalt crystallized at 1050C then oxidized for 25 days in air at 700C.  ~65% crystallized w/ pig + aug + plag + mag 
Sample ID,C1MM37
Original Sample ID,MM-MJR-037
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
320.0,40.9
330.0,41.38
340.0,41.41
350.0,41.75
360.0,42.56
370.0,43.26
380.0,44.22
390.0,45.24
400.0,45.59
410.0,45.27
420.0,45.48
430.0,45.38
440.0,45.39
450.0,45.56
460.0,45.78
470.0,46.08
480.0,46.45
490.0,47.43
500.0,48.45
510.0,49.82
520.0,51.55
530.0,53.46
540.0,56.16
550.0,59.35
560.0,62.96
570.0,67.55
580.0,72.67
590.0,78.0
600.0,82.65
610.0,87.45
620.0,91.65
630.0,95.9
640.0,99.43
650.0,102.98
660.0,105.8
670.0,108.92
680.0,112.4
690.0,115.12
700.0,117.84
710.0,120.78
720.0,123.39
730.0,125.97
740.0,128.53
750.0,131.32
760.0,132.19
770.0,134.54
780.0,135.23
790.0,135.93
800.0,137.62
810.0,138.28
820.0,139.07
830.0,137.37
840.0,137.69
850.0,137.01
860.0,136.59
870.0,136.43
880.0,135.83
890.0,134.23
900.0,133.61
910.0,132.96
920.0,132.97
930.0,131.58
940.0,131.9
950.0,131.79
960.0,131.87
970.0,132.23
980.0,133.17
990.0,133.76
1000.0,133.89
1010.0,134.92
1020.0,134.96
1030.0,136.67
1040.0,136.91
1050.0,138.79
1060.0,139.29
1070.0,140.29
1080.0,141.47
1090.0,142.46
1100.0,142.93
1110.0,143.99
1120.0,144.52
1130.0,145.25
1140.0,144.83
1150.0,145.57
1160.0,145.75
1170.0,145.44
1180.0,145.16
1190.0,145.53
1200.0,144.73
1210.0,144.47
1220.0,144.75
1230.0,144.73
1240.0,144.77
1250.0,144.23
1260.0,143.18
1270.0,143.57
1280.0,142.92
1290.0,143.34
1300.0,143.13
1310.0,142.71
1320.0,142.65
1330.0,142.42
1340.0,142.54
1350.0,142.26
1360.0,142.32
1370.0,141.92
1380.0,142.1
1390.0,141.8
1400.0,141.54
1410.0,141.16
1420.0,140.97
1430.0,140.48
1440.0,140.38
1450.0,140.43
1460.0,140.49
1470.0,141.08
1480.0,141.17
1490.0,140.53
1500.0,140.59
1510.0,140.99
1520.0,140.62
1530.0,140.14
1540.0,140.47
1550.0,140.92
1560.0,141.09
1570.0,140.94
1580.0,141.24
1590.0,140.53
1600.0,140.43
1610.0,141.35
1620.0,141.03
1630.0,140.89
1640.0,141.22
1650.0,141.17
1660.0,141.0
1670.0,140.93
1680.0,140.95
1690.0,140.68
1700.0,141.58
1710.0,141.17
1720.0,141.51
1730.0,141.54
1740.0,141.64
1750.0,141.94
1760.0,142.03
1770.0,142.13
1780.0,141.93
1790.0,142.14
1800.0,142.68
1810.0,142.96
1820.0,143.5
1830.0,143.65
1840.0,143.34
1850.0,143.84
1860.0,143.53
1870.0,143.59
1880.0,144.02
1890.0,144.1
1900.0,143.73
1910.0,144.11
1920.0,144.19
1930.0,143.98
1940.0,144.3
1950.0,144.18
1960.0,144.78
1970.0,145.07
1980.0,145.23
1990.0,145.55
2000.0,145.42
2010.0,146.01
2020.0,145.92
2030.0,146.56
2040.0,146.74
2050.0,146.69
2060.0,147.18
2070.0,147.02
2080.0,147.5
2090.0,148.14
2100.0,148.23
2110.0,148.14
2120.0,148.45
2130.0,148.8
2140.0,148.92
2150.0,149.47
2160.0,149.16
2170.0,149.58
2180.0,149.39
2190.0,150.07
2200.0,150.34
2210.0,150.26
2220.0,150.84
2230.0,150.93
2240.0,151.43
2250.0,151.8
2260.0,152.67
2270.0,152.79
2280.0,153.3
2290.0,154.04
2300.0,153.84
2310.0,155.21
2320.0,155.15
2330.0,155.39
2340.0,155.72
2350.0,156.33
2360.0,156.46
2370.0,157.49
2380.0,157.7
2390.0,158.23
2400.0,159.23
2410.0,159.81
2420.0,161.0
2430.0,160.36
2440.0,161.34
2450.0,162.74
2460.0,163.71
2470.0,165.36
2480.0,165.59
2490.0,164.34
2500.0,165.21
2510.0,165.8
2520.0,166.77
2530.0,169.01
2540.0,168.33
2550.0,169.73
