Composition,
Date Added,2000-09-06
Formula,
Grain Size Description,<500.0um
Grain Size,"(75.0, 500.0)"
Locality,
Minimum Wavelength,320
Sample Name,MST-25r 
Maximum Wavelength,25988
Database of Origin,RELAB
Other Information,Synthetic Basalt
References,
Resolution,4.0
Material class,Synthetic
Sample Description,
Sample ID,LCMM43
Original Sample ID,MM-MJR-043
Viewing Geometry,unknown
Wavelength,Response
320.0,0.02931
330.0,0.03065
340.0,0.03063
350.0,0.03094
360.0,0.0311
370.0,0.03183
380.0,0.03278
390.0,0.03402
400.0,0.03458
410.0,0.03551
420.0,0.03626
430.0,0.03719
440.0,0.03794
450.0,0.0385
460.0,0.03905
470.0,0.03965
480.0,0.04038
490.0,0.04121
500.0,0.04196
510.0,0.04265
520.0,0.04325
530.0,0.04384
540.0,0.04433
550.0,0.04483
560.0,0.04532
570.0,0.04589
580.0,0.04639
590.0,0.04697
600.0,0.0475
610.0,0.04811
620.0,0.04873
630.0,0.04929
640.0,0.0498
650.0,0.05028
660.0,0.0507
670.0,0.05114
680.0,0.05151
690.0,0.05195
700.0,0.05247
710.0,0.05295
720.0,0.05349
730.0,0.05404
740.0,0.05455
750.0,0.05512
760.0,0.0557
770.0,0.05623
780.0,0.05675
790.0,0.05728
800.0,0.05818
810.0,0.05784
820.0,0.05845
830.0,0.0597
840.0,0.05907
850.0,0.06179
860.0,0.06057
870.0,0.06176
880.0,0.06155
890.0,0.06332
900.0,0.06193
910.0,0.06351
920.0,0.06524
930.0,0.06365
940.0,0.06459
950.0,0.0655
960.0,0.06544
970.0,0.06728
980.0,0.06797
990.0,0.06822
1000.0,0.06855
1010.0,0.06935
1020.0,0.06981
1030.0,0.0704
1040.0,0.07105
1050.0,0.07197
1060.0,0.07285
1070.0,0.07315
1080.0,0.07395
1090.0,0.07482
1100.0,0.07537
1110.0,0.07683
1120.0,0.0777
1130.0,0.07807
1140.0,0.07944
1150.0,0.08052
1160.0,0.08155
1170.0,0.08293
1180.0,0.08389
1190.0,0.0854
1200.0,0.08676
1210.0,0.08796
1220.0,0.08947
1230.0,0.09057
1240.0,0.09183
1250.0,0.09271
1260.0,0.09479
1270.0,0.09633
1280.0,0.09777
1290.0,0.09959
1300.0,0.10145
1310.0,0.10271
1320.0,0.1046
1330.0,0.10645
1340.0,0.10796
1350.0,0.10989
1360.0,0.11197
1370.0,0.11284
1380.0,0.11505
1390.0,0.11727
1400.0,0.11879
1410.0,0.12096
1420.0,0.12287
1430.0,0.12461
1440.0,0.1258
1450.0,0.12799
1460.0,0.12938
1470.0,0.13107
1480.0,0.13279
1490.0,0.13411
1500.0,0.13566
1510.0,0.13636
1520.0,0.13723
1530.0,0.13901
1540.0,0.13993
1550.0,0.14065
1560.0,0.1415
1570.0,0.14284
1580.0,0.14339
1590.0,0.14437
1600.0,0.1448
1610.0,0.14594
1620.0,0.14645
1630.0,0.14613
1640.0,0.14641
1650.0,0.14652
1660.0,0.14699
1670.0,0.14748
1680.0,0.14797
1690.0,0.14829
1700.0,0.14799
1710.0,0.14835
1720.0,0.14821
1730.0,0.14879
1740.0,0.14899
1750.0,0.14846
1760.0,0.14896
1770.0,0.14913
1780.0,0.14947
1790.0,0.15002
1800.0,0.15036
1810.0,0.15028
1820.0,0.15107
1830.0,0.15067
1840.0,0.15211
1850.0,0.15156
1860.0,0.15251
1870.0,0.15367
1880.0,0.15269
1890.0,0.154
1900.0,0.15537
1910.0,0.15458
1920.0,0.1554
1930.0,0.15625
1940.0,0.15766
1950.0,0.15912
1960.0,0.15873
1970.0,0.16005
1980.0,0.16068
1990.0,0.1615
2000.0,0.16309
2010.0,0.16476
2020.0,0.1656
2030.0,0.16649
2040.0,0.16727
2050.0,0.16851
2060.0,0.1701
2070.0,0.17147
2080.0,0.17284
2090.0,0.17438
2100.0,0.17522
2110.0,0.17629
2120.0,0.17757
2130.0,0.17961
2140.0,0.17998
2150.0,0.1826
2160.0,0.18388
2170.0,0.18459
2180.0,0.18688
2190.0,0.18765
2200.0,0.18916
2210.0,0.19066
2220.0,0.19149
2230.0,0.19309
2240.0,0.19479
2250.0,0.1958
2260.0,0.19823
2270.0,0.19956
2280.0,0.20138
2290.0,0.20261
2300.0,0.20556
2310.0,0.2057
2320.0,0.20762
2330.0,0.20952
2340.0,0.2098
2350.0,0.21147
2360.0,0.21285
2370.0,0.21358
2380.0,0.21509
2390.0,0.21639
2400.0,0.21783
2410.0,0.21863
2420.0,0.22011
2430.0,0.22055
2440.0,0.22317
2450.0,0.2239
2460.0,0.22596
2470.0,0.22677
2480.0,0.22763
2490.0,0.22887
2500.0,0.23108
2501.1,0.2307
2501.7,0.23124
2502.3,0.23141
2502.9,0.23105
2503.5,0.23135
2504.1,0.23154
2504.7,0.23186
2505.3,0.23175
2505.9,0.23195
2506.5,0.23169
2507.1,0.23201
2507.7,0.23219
2508.4,0.23235
2509.0,0.23188
2509.6,0.23138
2510.2,0.23168
2510.8,0.23188
2511.4,0.23181
2512.0,0.23165
2512.6,0.23162
2513.2,0.23202
2513.8,0.23256
2514.4,0.23252
2515.0,0.23206
2515.7,0.2317
2516.3,0.23184
2516.9,0.23265
2517.5,0.23262
2518.1,0.23226
2518.7,0.23256
2519.3,0.23262
2519.9,0.23227
2520.5,0.23246
2521.2,0.23292
2521.8,0.23362
2522.4,0.23334
2523.0,0.2325
2523.6,0.23252
2524.2,0.23295
2524.8,0.23248
2525.5,0.2329
2526.1,0.233
2526.7,0.23275
2527.3,0.23278
2527.9,0.23314
2528.5,0.23322
2529.2,0.23314
2529.8,0.23276
2530.4,0.23281
2531.0,0.2331
2531.6,0.23274
2532.2,0.23247
2532.9,0.23285
2533.5,0.2329
2534.1,0.23304
2534.7,0.23322
2535.3,0.23368
2536.0,0.23331
2536.6,0.23286
2537.2,0.23326
2537.8,0.23404
2538.4,0.23377
2539.1,0.23316
2539.7,0.23329
2540.3,0.23376
2540.9,0.23406
2541.6,0.23413
2542.2,0.23398
2542.8,0.23352
2543.4,0.23357
2544.0,0.234
2544.7,0.23428
2545.3,0.23501
2545.9,0.23509
2546.5,0.23419
2547.2,0.23373
2547.8,0.23388
2548.4,0.23359
2549.1,0.2339
2549.7,0.23461
2550.3,0.23466
2550.9,0.2343
2551.6,0.23386
2552.2,0.23369
2552.8,0.23366
2553.4,0.2332
2554.1,0.23426
2554.7,0.23542
2555.3,0.23533
2556.0,0.2348
2556.6,0.23476
2557.2,0.2349
2557.9,0.23519
2558.5,0.23561
2559.1,0.23533
2559.7,0.23434
2560.4,0.23462
2561.0,0.23463
2561.6,0.23369
2562.3,0.2341
2562.9,0.23456
2563.5,0.23474
2564.2,0.23513
2564.8,0.2344
2565.4,0.23499
2566.1,0.23598
2566.7,0.23689
2567.4,0.23676
2568.0,0.23572
2568.6,0.23504
2569.3,0.23488
2569.9,0.2337
2570.5,0.23351
2571.2,0.23592
2571.8,0.237
2572.4,0.23675
2573.1,0.23601
2573.7,0.23414
2574.4,0.23417
2575.0,0.23544
2575.6,0.23665
2576.3,0.23688
2576.9,0.23542
2577.6,0.23437
2578.2,0.23563
2578.8,0.23645
2579.5,0.23676
2580.1,0.23643
2580.8,0.23519
2581.4,0.23407
2582.1,0.23493
2582.7,0.23645
2583.3,0.23665
2584.0,0.2346
2584.6,0.23309
2585.3,0.23537
2585.9,0.23771
2586.6,0.23805
2587.2,0.2358
2587.9,0.23432
2588.5,0.23622
2589.1,0.23773
2589.8,0.23709
2590.4,0.2368
2591.1,0.23746
2591.7,0.23732
2592.4,0.23626
2593.0,0.23578
2593.7,0.23621
2594.3,0.23413
2595.0,0.22979
2595.6,0.23202
2596.3,0.23617
2596.9,0.2393
2597.6,0.24046
2598.2,0.23962
2598.9,0.23822
2599.5,0.23699
2600.2,0.23661
2600.8,0.23682
2601.5,0.23683
2602.1,0.23607
2602.8,0.23645
2603.4,0.23699
2604.1,0.23649
2604.8,0.23652
2605.4,0.23579
2606.1,0.23481
2606.7,0.2374
2607.4,0.2393
2608.0,0.23862
2608.7,0.2381
2609.3,0.2384
2610.0,0.23696
2610.7,0.23652
2611.3,0.23845
2612.0,0.23899
2612.6,0.23813
2613.3,0.23728
2613.9,0.23709
2614.6,0.23784
2615.3,0.23818
2615.9,0.23817
2616.6,0.23644
2617.2,0.23509
2617.9,0.23573
2618.6,0.23838
2619.2,0.23962
2619.9,0.2391
2620.6,0.23655
2621.2,0.23591
2621.9,0.2388
2622.5,0.2406
2623.2,0.24043
2623.9,0.23887
2624.5,0.23829
2625.2,0.23818
2625.9,0.23807
2626.5,0.23664
2627.2,0.23503
2627.9,0.23708
2628.5,0.23912
2629.2,0.23902
2629.9,0.23774
2630.5,0.23498
2631.2,0.23402
2631.9,0.23841
2632.5,0.24135
2633.2,0.24101
2633.9,0.23923
2634.5,0.23813
2635.2,0.23871
2635.9,0.24002
2636.5,0.24086
2637.2,0.24038
2637.9,0.23911
2638.6,0.23878
2639.2,0.23886
2639.9,0.23894
2640.6,0.23881
2641.2,0.23822
2641.9,0.23805
2642.6,0.23827
2643.3,0.23863
2643.9,0.2394
2644.6,0.23988
2645.3,0.23944
2646.0,0.23894
2646.6,0.23938
2647.3,0.23973
2648.0,0.23985
2648.7,0.23967
2649.3,0.2394
2650.0,0.23929
2650.7,0.23969
2651.4,0.23995
2652.1,0.23911
2652.7,0.23737
