Composition,
Date Added,2001-03-02
Formula,
Grain Size Description,<500.0um
Grain Size,"(100.0, 500.0)"
Locality,Synthetic 
Minimum Wavelength,1800
Sample Name,SFA3-5ox
Maximum Wavelength,25921
Database of Origin,RELAB
Other Information,Synthetic Volcanic Glass Oxidized 
References,
Resolution,4.0
Material class,Synthetic
Sample Description,99% granular glass slightly oxidized (1 day at 700C)  SiO2 57%
Sample ID,M1MM59
Original Sample ID,MM-MJR-059
Viewing Geometry,unknown
Wavelength,Response
1800.0,0.01625
1800.7,0.01649
1801.3,0.01721
1801.9,0.01616
1802.6,0.0158
1803.2,0.01587
1803.8,0.01545
1804.4,0.01497
1805.1,0.01483
1805.7,0.01619
1806.3,0.01636
1806.9,0.01608
1807.6,0.01569
1808.2,0.01499
1808.8,0.01583
1809.5,0.01609
1810.1,0.01548
1810.7,0.01563
1811.4,0.01562
1812.0,0.0155
1812.6,0.01543
1813.3,0.01579
1813.9,0.01629
1814.5,0.01657
1815.2,0.01576
1815.8,0.01514
1816.4,0.01594
1817.1,0.01572
1817.7,0.01543
1818.4,0.01619
1819.0,0.01599
1819.6,0.01556
1820.3,0.0148
1820.9,0.0146
1821.6,0.01543
1822.2,0.01582
1822.8,0.01609
1823.5,0.01576
1824.1,0.01606
1824.8,0.01708
1825.4,0.01659
1826.0,0.01587
1826.7,0.01646
1827.3,0.01651
1828.0,0.01472
1828.6,0.01426
1829.3,0.01546
1829.9,0.01563
1830.6,0.01495
1831.2,0.01553
1831.8,0.01627
1832.5,0.01573
1833.1,0.01562
1833.8,0.01558
1834.4,0.01531
1835.1,0.0166
1835.7,0.01641
1836.4,0.01609
1837.0,0.01649
1837.7,0.01731
1838.3,0.01742
1839.0,0.01609
1839.7,0.0152
1840.3,0.01592
1841.0,0.0158
1841.6,0.01511
1842.3,0.01485
1842.9,0.01518
1843.6,0.01544
1844.2,0.01541
1844.9,0.01588
1845.5,0.01575
1846.2,0.01527
1846.9,0.0159
1847.5,0.01616
1848.2,0.01658
1848.8,0.01592
1849.5,0.01504
1850.2,0.01582
1850.8,0.01658
1851.5,0.01604
1852.1,0.01563
1852.8,0.01599
1853.5,0.01567
1854.1,0.01507
1854.8,0.01489
1855.5,0.01507
1856.1,0.01563
1856.8,0.01661
1857.4,0.01686
1858.1,0.01579
1858.8,0.01562
1859.4,0.01636
1860.1,0.01606
1860.8,0.01626
1861.4,0.01727
1862.1,0.01759
1862.8,0.01709
1863.5,0.01654
1864.1,0.01578
1864.8,0.01479
1865.5,0.01539
1866.1,0.01553
1866.8,0.01568
1867.5,0.01602
1868.2,0.01564
1868.8,0.01618
1869.5,0.01651
1870.2,0.01618
1870.9,0.01603
1871.5,0.01692
1872.2,0.01628
1872.9,0.01532
1873.6,0.01618
1874.2,0.01622
1874.9,0.01573
1875.6,0.01605
1876.3,0.01643
1876.9,0.01576
1877.6,0.01595
1878.3,0.01657
1879.0,0.01656
1879.7,0.01663
1880.4,0.01567
1881.0,0.01463
1881.7,0.01485
1882.4,0.01549
1883.1,0.01533
1883.8,0.01438
1884.5,0.01542
1885.1,0.01634
1885.8,0.01598
1886.5,0.01555
1887.2,0.01581
1887.9,0.01595
1888.6,0.01588
1889.3,0.01631
1890.0,0.01672
1890.6,0.0172
1891.3,0.01707
1892.0,0.01669
1892.7,0.01643
1893.4,0.01641
1894.1,0.0163
1894.8,0.01625
1895.5,0.0156
1896.2,0.01547
1896.9,0.01597
1897.6,0.01565
1898.3,0.01526
1899.0,0.01624
1899.6,0.01622
1900.3,0.01586
1901.0,0.01639
1901.7,0.01653
1902.4,0.01625
1903.1,0.01659
1903.8,0.01602
1904.5,0.01552
1905.2,0.01571
1905.9,0.01567
1906.6,0.0156
1907.3,0.0159
1908.0,0.01677
1908.7,0.01616
1909.4,0.0154
1910.1,0.01595
1910.8,0.01656
1911.6,0.01646
1912.3,0.016
1913.0,0.01508
1913.7,0.01485
1914.4,0.01576
1915.1,0.01627
