Composition,
Date Added,2000-12-27
Formula,
Grain Size Description,<500.0um
Grain Size,"(100.0, 500.0)"
Locality,
Minimum Wavelength,1800
Sample Name,SF3-1 
Maximum Wavelength,25921
Database of Origin,RELAB
Other Information,"SFA3-1 (047), SFA3-2 (048), SFA3-3 (049), Synthetic SNC-type Basalt "
References,Brown Univ.
Resolution,4.0
Material class,Synthetic
Sample Description,12% crystalline   
Sample ID,MAMM47
Original Sample ID,MM-MJR-047
Viewing Geometry,unknown
Wavelength,Response
1800.0,0.023
1800.7,0.02324
1801.3,0.02316
1801.9,0.02328
1802.6,0.023
1803.2,0.0235
1803.8,0.02359
1804.4,0.02305
1805.1,0.02336
1805.7,0.02328
1806.3,0.02334
1806.9,0.02347
1807.6,0.02284
1808.2,0.02283
1808.8,0.02303
1809.5,0.02297
1810.1,0.02318
1810.7,0.02339
1811.4,0.02304
1812.0,0.02296
1812.6,0.02348
1813.3,0.02324
1813.9,0.0227
1814.5,0.02267
1815.2,0.02186
1815.8,0.02216
1816.4,0.02301
1817.1,0.02315
1817.7,0.02323
1818.4,0.02297
1819.0,0.02277
1819.6,0.02266
1820.3,0.02238
1820.9,0.02261
1821.6,0.02304
1822.2,0.02306
1822.8,0.02307
1823.5,0.02308
1824.1,0.02346
1824.8,0.02432
1825.4,0.02382
1826.0,0.02296
1826.7,0.02272
1827.3,0.02292
1828.0,0.02325
1828.6,0.02319
1829.3,0.0231
1829.9,0.02326
1830.6,0.02318
1831.2,0.02306
1831.8,0.02264
1832.5,0.02252
1833.1,0.02251
1833.8,0.02238
1834.4,0.02266
1835.1,0.02309
1835.7,0.02325
1836.4,0.023
1837.0,0.02372
1837.7,0.02414
1838.3,0.0237
1839.0,0.02348
1839.7,0.02307
1840.3,0.0223
1841.0,0.02213
1841.6,0.02189
1842.3,0.02212
1842.9,0.02247
1843.6,0.02277
1844.2,0.02295
1844.9,0.02291
1845.5,0.0236
1846.2,0.02342
1846.9,0.02309
1847.5,0.02321
1848.2,0.02286
1848.8,0.02291
1849.5,0.02316
1850.2,0.02294
1850.8,0.02319
1851.5,0.02334
1852.1,0.02311
1852.8,0.02356
1853.5,0.0241
1854.1,0.02365
1854.8,0.02303
1855.5,0.02235
1856.1,0.0225
1856.8,0.02305
1857.4,0.02271
1858.1,0.02305
1858.8,0.02309
1859.4,0.02246
1860.1,0.02314
1860.8,0.02401
1861.4,0.02407
1862.1,0.02375
1862.8,0.02287
1863.5,0.02288
1864.1,0.02339
1864.8,0.02345
1865.5,0.02356
1866.1,0.02322
1866.8,0.02319
1867.5,0.02313
1868.2,0.0229
1868.8,0.02318
1869.5,0.02293
1870.2,0.0227
1870.9,0.02251
1871.5,0.02286
1872.2,0.02347
1872.9,0.02374
1873.6,0.02352
1874.2,0.02307
1874.9,0.02295
1875.6,0.02258
1876.3,0.0224
1876.9,0.02297
1877.6,0.02302
1878.3,0.02283
1879.0,0.02313
1879.7,0.02362
1880.4,0.02327
1881.0,0.02328
1881.7,0.02284
1882.4,0.02206
1883.1,0.02219
1883.8,0.02245
1884.5,0.02234
1885.1,0.02296
1885.8,0.02339
1886.5,0.02328
1887.2,0.02308
1887.9,0.02311
1888.6,0.02307
1889.3,0.0229
1890.0,0.02351
1890.6,0.02375
1891.3,0.0236
1892.0,0.02327
1892.7,0.02388
1893.4,0.02366
1894.1,0.02333
1894.8,0.02312
1895.5,0.02336
1896.2,0.02359
1896.9,0.02374
1897.6,0.02337
1898.3,0.02289
1899.0,0.02277
1899.6,0.02294
1900.3,0.02289
1901.0,0.02231
1901.7,0.02187
1902.4,0.02257
1903.1,0.02301
1903.8,0.02278
1904.5,0.02261
1905.2,0.02274
1905.9,0.02297
1906.6,0.02357
1907.3,0.02369
1908.0,0.0234
1908.7,0.02299
1909.4,0.02287
1910.1,0.02238
1910.8,0.02234
1911.6,0.02329
1912.3,0.02349
1913.0,0.02275
1913.7,0.02267
1914.4,0.02285
1915.1,0.02337
1915.8,0.02376
1916.5,0.02361
1917.2,0.02309
1917.9,0.02286
1918.6,0.02307
1919.3,0.02315
1920.0,0.02372
1920.8,0.02337
1921.5,0.02308
1922.2,0.02294
1922.9,0.02275
1923.6,0.02285
1924.3,0.02323
1925.0,0.02307
1925.8,0.02292
1926.5,0.02335
1927.2,0.02356
1927.9,0.02363
1928.6,0.02364
1929.3,0.02308
1930.1,0.02334
1930.8,0.02379
1931.5,0.02385
1932.2,0.02316
1932.9,0.02281
1933.7,0.02315
1934.4,0.02332
1935.1,0.02315
1935.8,0.02311
1936.5,0.0231
1937.3,0.02285
1938.0,0.02316
1938.7,0.02328
1939.4,0.02305
1940.2,0.02347
1940.9,0.02451
1941.6,0.02414
1942.4,0.02344
1943.1,0.02365
1943.8,0.02334
1944.5,0.0229
1945.3,0.02335
1946.0,0.02358
1946.7,0.02342
1947.5,0.02316
1948.2,0.02313
1948.9,0.02305
1949.7,0.02291
1950.4,0.02305
1951.1,0.02305
1951.9,0.02289
1952.6,0.02323
1953.3,0.02378
1954.1,0.02382
1954.8,0.02387
1955.5,0.02365
1956.3,0.02348
1957.0,0.02335
1957.8,0.02368
1958.5,0.02376
1959.2,0.02348
1960.0,0.02347
1960.7,0.02343
1961.5,0.02293
1962.2,0.02257
1962.9,0.02241
1963.7,0.02287
1964.4,0.02365
1965.2,0.02365
1965.9,0.02334
1966.7,0.0229
1967.4,0.02299
1968.2,0.02325
1968.9,0.02337
1969.7,0.02353
1970.4,0.02353
1971.2,0.02366
1971.9,0.02374
1972.7,0.02381
1973.4,0.02357
1974.2,0.02318
1974.9,0.02322
1975.7,0.02313
1976.4,0.02282
1977.2,0.02338
1977.9,0.02366
1978.7,0.02313
1979.4,0.02309
1980.2,0.02379
1980.9,0.02346
1981.7,0.02342
1982.5,0.02343
1983.2,0.02315
1984.0,0.0231
1984.7,0.0234
1985.5,0.02331
1986.3,0.02361
1987.0,0.02368
1987.8,0.0232
1988.5,0.02275
1989.3,0.02285
1990.1,0.02339
1990.8,0.02378
1991.6,0.02388
1992.4,0.02381
1993.1,0.02354
1993.9,0.02341
1994.7,0.02352
1995.4,0.02349
1996.2,0.02345
1997.0,0.0237
1997.7,0.02328
1998.5,0.02321
1999.3,0.02353
2000.1,0.02399
2000.8,0.02398
2001.6,0.02394
2002.4,0.02416
2003.1,0.02392
2003.9,0.02364
2004.7,0.02324
2005.5,0.02335
2006.2,0.02375
2007.0,0.02392
2007.8,0.02374
2008.6,0.02345
2009.4,0.02372
2010.1,0.02386
2010.9,0.02402
2011.7,0.02391
2012.5,0.02367
2013.3,0.02389
2014.0,0.02417
2014.8,0.02376
2015.6,0.02335
2016.4,0.02419
2017.2,0.0245
2018.0,0.02385
2018.7,0.02313
2019.5,0.02326
2020.3,0.02353
2021.1,0.02387
2021.9,0.0239
2022.7,0.02364
2023.5,0.02363
2024.3,0.02342
2025.1,0.02342
2025.8,0.02349
2026.6,0.02348
2027.4,0.02333
2028.2,0.02332
2029.0,0.0232
2029.8,0.02346
2030.6,0.02376
2031.4,0.02408
2032.2,0.02407
2033.0,0.02373
2033.8,0.02357
2034.6,0.02327
2035.4,0.02326
2036.2,0.02351
2037.0,0.02353
