Composition,
Date Added,2022-07-11
Formula,
Grain Size Description,<0.0um
Grain Size,Unknown
Locality,"Alajuela, Costa Rica"
Minimum Wavelength,300
Sample Name,Aguas Zarcas potted butt 1
Maximum Wavelength,2600
Database of Origin,RELAB
Other Information,CM2
References,
Resolution,5.0
Material class,Rock
Sample Description,Met-1 lithology 
Sample ID,CAMP333
Original Sample ID,MP-REM-333
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,0.017167
305.0,0.017265
310.0,0.016954
315.0,0.017247
320.0,0.017627
325.0,0.017838
330.0,0.01787
335.0,0.01789
340.0,0.01772
345.0,0.017584
350.0,0.017587
355.0,0.01775
360.0,0.018022
365.0,0.018035
370.0,0.018112
375.0,0.018146
380.0,0.018189
385.0,0.01819
390.0,0.018213
395.0,0.018245
400.0,0.018229
405.0,0.018243
410.0,0.01829
415.0,0.018314
420.0,0.018303
425.0,0.018384
430.0,0.018402
435.0,0.018447
440.0,0.018498
445.0,0.018493
450.0,0.018522
455.0,0.018495
460.0,0.018525
465.0,0.018508
470.0,0.018548
475.0,0.018539
480.0,0.018602
485.0,0.018616
490.0,0.018673
495.0,0.018676
500.0,0.018722
505.0,0.018758
510.0,0.018769
515.0,0.01878
520.0,0.018816
525.0,0.018825
530.0,0.018861
535.0,0.018838
540.0,0.018864
545.0,0.018853
550.0,0.018856
555.0,0.018853
560.0,0.018877
565.0,0.018854
570.0,0.018869
575.0,0.018841
580.0,0.018853
585.0,0.01882
590.0,0.01882
595.0,0.018789
600.0,0.018804
605.0,0.018802
610.0,0.018807
615.0,0.018774
620.0,0.018753
625.0,0.018753
630.0,0.018764
635.0,0.018723
640.0,0.018701
645.0,0.018704
650.0,0.018699
655.0,0.018686
660.0,0.018684
665.0,0.018673
670.0,0.018703
675.0,0.0187
680.0,0.018762
685.0,0.01876
690.0,0.018765
695.0,0.018754
700.0,0.018752
705.0,0.018745
710.0,0.018736
715.0,0.018735
720.0,0.018731
725.0,0.018742
730.0,0.018755
735.0,0.018755
740.0,0.018762
745.0,0.018776
750.0,0.018777
755.0,0.018759
760.0,0.018757
765.0,0.018749
770.0,0.018741
775.0,0.018727
780.0,0.018733
785.0,0.018726
790.0,0.018714
795.0,0.018682
800.0,0.018678
805.0,0.018664
810.0,0.018686
815.0,0.018645
820.0,0.018638
825.0,0.018632
830.0,0.018601
835.0,0.018558
840.0,0.018552
845.0,0.018518
850.0,0.018497
855.0,0.018469
860.0,0.018454
865.0,0.018428
870.0,0.018431
875.0,0.018413
880.0,0.018411
885.0,0.018404
890.0,0.018397
895.0,0.018419
900.0,0.018387
905.0,0.018347
910.0,0.018336
915.0,0.018284
920.0,0.018247
925.0,0.018222
930.0,0.018222
935.0,0.018206
940.0,0.018224
945.0,0.018241
950.0,0.018249
955.0,0.018266
960.0,0.018293
965.0,0.018305
970.0,0.018318
975.0,0.01832
980.0,0.018321
985.0,0.018303
990.0,0.018312
995.0,0.018312
1000.0,0.018329
1005.0,0.018321
1010.0,0.018343
1015.0,0.01833
1020.0,0.018341
1025.0,0.018342
1030.0,0.018356
1035.0,0.018366
1040.0,0.018365
1045.0,0.018336
1050.0,0.018337
1055.0,0.018325
1060.0,0.018307
1065.0,0.018341
1070.0,0.018364
1075.0,0.018349
1080.0,0.018365
1085.0,0.018377
1090.0,0.018355
1095.0,0.018348
1100.0,0.018357
1105.0,0.018346
1110.0,0.018331
1115.0,0.018342
1120.0,0.018332
1125.0,0.018315
1130.0,0.018306
1135.0,0.0183
1140.0,0.018274
1145.0,0.018267
1150.0,0.01826
1155.0,0.018254
1160.0,0.018252
1165.0,0.01826
1170.0,0.018278
1175.0,0.018298
1180.0,0.018312
1185.0,0.018306
1190.0,0.01829
1195.0,0.018263
1200.0,0.018238
1205.0,0.018223
1210.0,0.018228
1215.0,0.018234
1220.0,0.018251
1225.0,0.018271
1230.0,0.018288
1235.0,0.018286
1240.0,0.018302
1245.0,0.018312
1250.0,0.018296
1255.0,0.018289
1260.0,0.018305
1265.0,0.018302
1270.0,0.01831
1275.0,0.018329
1280.0,0.018357
1285.0,0.018381
1290.0,0.018398
1295.0,0.018402
1300.0,0.018411
1305.0,0.0184
1310.0,0.018391
1315.0,0.0184
1320.0,0.018389
1325.0,0.018378
1330.0,0.018377
1335.0,0.018372
1340.0,0.018372
1345.0,0.018365
1350.0,0.018378
1355.0,0.018363
1360.0,0.018339
1365.0,0.018319
1370.0,0.018348
1375.0,0.018318
1380.0,0.018317
1385.0,0.018331
1390.0,0.018326
1395.0,0.018283
1400.0,0.018276
1405.0,0.018253
1410.0,0.018249
1415.0,0.01825
1420.0,0.018248
1425.0,0.018255
1430.0,0.018276
1435.0,0.018272
1440.0,0.018273
1445.0,0.018275
1450.0,0.018279
1455.0,0.018277
1460.0,0.01829
1465.0,0.018296
1470.0,0.018299
1475.0,0.018297
1480.0,0.018299
1485.0,0.018284
1490.0,0.018278
1495.0,0.018288
1500.0,0.018288
1505.0,0.018288
1510.0,0.018296
1515.0,0.018294
1520.0,0.018297
1525.0,0.018284
1530.0,0.018283
1535.0,0.018263
1540.0,0.01827
1545.0,0.018247
1550.0,0.018256
1555.0,0.018263
1560.0,0.018277
1565.0,0.018269
1570.0,0.018289
1575.0,0.018305
1580.0,0.018298
1585.0,0.018309
1590.0,0.018319
1595.0,0.018308
1600.0,0.018305
1605.0,0.018306
1610.0,0.018308
1615.0,0.018302
1620.0,0.018316
1625.0,0.018312
1630.0,0.01831
1635.0,0.0183
1640.0,0.018304
1645.0,0.018289
1650.0,0.018276
1655.0,0.018267
