Composition,
Date Added,2020-02-19
Formula,
Grain Size Description,<25.0um
Grain Size,(0.0 - 25.0)
Locality,"Allan Hills, Antarctica"
Minimum Wavelength,833
Sample Name,"ALH 84048,5 <25 um"
Maximum Wavelength,25050
Database of Origin,RELAB
Other Information,CM2 
References,
Resolution,4.0
Material class,Rock
Sample Description,USNM 6550
Sample ID,BIR1MP203E
Original Sample ID,MP-TXH-203-E
Viewing Geometry,Unknown
Wavelength,Response
833.34,0.037183
833.47,0.03776
833.6,0.038004
833.74,0.037138
833.87,0.036434
834.01,0.037128
834.14,0.037495
834.28,0.036869
834.41,0.037115
834.54,0.03699
834.68,0.037062
834.81,0.036694
834.95,0.036396
835.08,0.037141
835.22,0.037764
835.35,0.037662
835.48,0.03721
835.62,0.037635
835.75,0.038021
835.89,0.037715
836.02,0.037778
836.16,0.038115
836.29,0.03697
836.43,0.035977
836.56,0.037136
836.7,0.038256
836.83,0.037626
836.97,0.03698
837.1,0.03662
837.24,0.037227
837.37,0.038112
837.51,0.03762
837.64,0.037291
837.78,0.037351
837.92,0.037458
838.05,0.037554
838.19,0.038011
838.32,0.038277
838.46,0.038538
838.59,0.03931
838.73,0.039861
838.86,0.039525
839.0,0.038113
839.14,0.037457
839.27,0.038072
839.41,0.037704
839.54,0.037708
839.68,0.037909
839.82,0.036961
839.95,0.036883
840.09,0.037284
840.22,0.037657
840.36,0.038238
840.5,0.038046
840.63,0.037343
840.77,0.036507
840.91,0.036354
841.04,0.036729
841.18,0.036893
841.31,0.037059
841.45,0.037493
841.59,0.037864
841.72,0.037939
841.86,0.037732
842.0,0.037597
842.13,0.037542
842.27,0.037461
842.41,0.037248
842.54,0.037668
842.68,0.037791
842.82,0.037717
842.96,0.037673
843.09,0.037878
843.23,0.03792
843.37,0.037995
843.5,0.038534
843.64,0.038903
843.78,0.038414
843.92,0.038373
844.05,0.037848
844.19,0.037415
844.33,0.037422
844.47,0.037384
844.6,0.037245
844.74,0.037053
844.88,0.03771
845.02,0.037445
845.15,0.036466
845.29,0.036499
845.43,0.037699
845.57,0.03825
845.71,0.037568
845.84,0.037183
845.98,0.03742
846.12,0.037562
846.26,0.037369
846.4,0.037695
846.53,0.037732
846.67,0.037435
846.81,0.037068
846.95,0.036689
847.09,0.037252
