Composition,
Date Added,2020-06-09
Formula,
Grain Size Description,<75.0um
Grain Size,"(45.0, 75.0)"
Locality,"Elephant Moraine, Antarctica"
Minimum Wavelength,833
Sample Name,"EET 83226,22 45-75 um"
Maximum Wavelength,25050
Database of Origin,RELAB
Other Information,CM2 
References,
Resolution,4.0
Material class,Rock
Sample Description,USNM 7012
Sample ID,BIR1MP211G
Original Sample ID,MP-TXH-211-G
Viewing Geometry,unknown
Wavelength,Response
833.34,0.035889
833.47,0.036892
833.6,0.036599
833.74,0.034701
833.87,0.034678
834.01,0.036451
834.14,0.03757
834.28,0.036924
834.41,0.036107
834.54,0.035553
834.68,0.035474
834.81,0.036269
834.95,0.037034
835.08,0.03686
835.22,0.036261
835.35,0.036324
835.48,0.036368
835.62,0.03635
835.75,0.036057
835.89,0.035467
836.02,0.03528
836.16,0.035237
836.29,0.034525
836.43,0.035214
836.56,0.03573
836.7,0.034699
836.83,0.035463
836.97,0.036728
837.1,0.036511
837.24,0.036759
837.37,0.036295
837.51,0.035839
837.64,0.03607
837.78,0.036128
837.92,0.036329
838.05,0.036419
838.19,0.03658
838.32,0.036879
838.46,0.036437
838.59,0.035731
838.73,0.035152
838.86,0.035482
839.0,0.034982
839.14,0.03489
839.27,0.036096
839.41,0.036005
839.54,0.034956
839.68,0.035718
839.82,0.036767
839.95,0.036847
840.09,0.037095
840.22,0.0364
840.36,0.036217
840.5,0.035729
840.63,0.035274
840.77,0.036
840.91,0.035756
841.04,0.035479
841.18,0.035294
841.31,0.035496
841.45,0.035342
841.59,0.035654
841.72,0.035223
841.86,0.035158
842.0,0.036049
842.13,0.035963
842.27,0.035257
842.41,0.035606
842.54,0.036411
842.68,0.036355
842.82,0.035194
842.96,0.035055
843.09,0.035672
843.23,0.036251
843.37,0.036296
843.5,0.035498
843.64,0.034989
843.78,0.03546
843.92,0.035782
844.05,0.036169
844.19,0.036197
844.33,0.035352
844.47,0.035274
844.6,0.035162
844.74,0.034735
