Composition,
Date Added,2016-10-06
Formula,
Grain Size Description,<um
Grain Size,Whole Object
Locality,"Allan Hills, Antarctica"
Minimum Wavelength,300
Sample Name,"ALH 82100,21 chip"
Maximum Wavelength,2600
Database of Origin,RELAB
Other Information,CM2 
References,
Resolution,5.0
Material class,Rock
Sample Description,
Sample ID,CAMP235
Original Sample ID,MP-TXH-235
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,0.03241
305.0,0.03185
310.0,0.03235
315.0,0.03247
320.0,0.0327
325.0,0.03297
330.0,0.03308
335.0,0.03318
340.0,0.0336
345.0,0.0337
350.0,0.03404
355.0,0.03412
360.0,0.0343
365.0,0.03442
370.0,0.03466
375.0,0.03482
380.0,0.03504
385.0,0.03527
390.0,0.03542
395.0,0.03552
400.0,0.03576
405.0,0.03593
410.0,0.03594
415.0,0.03598
420.0,0.03613
425.0,0.03603
430.0,0.03614
435.0,0.03624
440.0,0.03627
445.0,0.03628
450.0,0.0363
455.0,0.03638
460.0,0.03636
465.0,0.03637
470.0,0.03636
475.0,0.03637
480.0,0.0364
485.0,0.03651
490.0,0.03652
495.0,0.03652
500.0,0.0366
505.0,0.0367
510.0,0.03676
515.0,0.03678
520.0,0.03685
525.0,0.03683
530.0,0.03684
535.0,0.03695
540.0,0.03704
545.0,0.03705
550.0,0.03705
555.0,0.03713
560.0,0.03719
565.0,0.0372
570.0,0.03725
575.0,0.03721
580.0,0.03725
585.0,0.03732
590.0,0.03737
595.0,0.03731
600.0,0.03734
605.0,0.03734
610.0,0.03741
615.0,0.0374
620.0,0.03735
625.0,0.03735
630.0,0.03737
635.0,0.03729
640.0,0.03728
645.0,0.03727
650.0,0.0373
655.0,0.03729
660.0,0.03722
665.0,0.03726
670.0,0.03722
675.0,0.03721
680.0,0.03718
685.0,0.03713
690.0,0.03712
695.0,0.03711
700.0,0.03707
705.0,0.03707
710.0,0.03703
715.0,0.037
720.0,0.03693
725.0,0.03695
730.0,0.03685
735.0,0.03687
740.0,0.03677
745.0,0.03678
750.0,0.03681
755.0,0.03677
760.0,0.0367
765.0,0.03664
770.0,0.03668
775.0,0.03646
780.0,0.03653
785.0,0.03663
790.0,0.03654
795.0,0.03633
800.0,0.03641
805.0,0.03627
810.0,0.03632
815.0,0.03629
820.0,0.03627
825.0,0.03611
830.0,0.03597
835.0,0.03592
840.0,0.0359
845.0,0.03583
850.0,0.03581
855.0,0.03569
860.0,0.03571
865.0,0.03558
870.0,0.03552
875.0,0.03539
880.0,0.03527
885.0,0.03497
890.0,0.03497
895.0,0.03474
900.0,0.03481
905.0,0.03476
910.0,0.03489
915.0,0.0348
920.0,0.0348
925.0,0.03489
930.0,0.03476
935.0,0.03487
940.0,0.03486
945.0,0.03489
950.0,0.03492
955.0,0.03494
960.0,0.03493
965.0,0.03494
970.0,0.03493
975.0,0.03488
980.0,0.03486
985.0,0.03486
990.0,0.0348
995.0,0.03478
1000.0,0.03475
1005.0,0.03478
1010.0,0.03475
1015.0,0.03481
1020.0,0.03482
1025.0,0.03481
1030.0,0.03472
1035.0,0.03474
1040.0,0.0347
1045.0,0.03469
1050.0,0.03474
1055.0,0.03476
1060.0,0.03475
1065.0,0.03471
1070.0,0.0347
1075.0,0.03469
1080.0,0.03469
1085.0,0.03469
1090.0,0.03471
1095.0,0.03471
1100.0,0.03468
1105.0,0.03474
1110.0,0.03473
1115.0,0.03477
1120.0,0.0348
1125.0,0.03482
1130.0,0.03478
1135.0,0.03479
1140.0,0.03473
1145.0,0.03468
1150.0,0.03467
1155.0,0.03461
1160.0,0.03458
1165.0,0.0346
1170.0,0.0346
1175.0,0.0346
1180.0,0.03464
1185.0,0.03466
1190.0,0.03461
1195.0,0.03462
1200.0,0.03464
1205.0,0.03464
1210.0,0.03461
1215.0,0.03459
1220.0,0.03461
1225.0,0.0346
1230.0,0.0346
1235.0,0.03457
1240.0,0.0346
1245.0,0.03455
1250.0,0.03449
1255.0,0.03445
1260.0,0.03449
1265.0,0.03454
1270.0,0.03457
1275.0,0.03457
1280.0,0.03458
1285.0,0.03459
1290.0,0.03452
1295.0,0.03457
1300.0,0.03456
1305.0,0.03459
1310.0,0.0346
1315.0,0.03466
1320.0,0.03465
1325.0,0.03467
1330.0,0.03465
1335.0,0.03465
1340.0,0.03471
1345.0,0.0347
1350.0,0.03472
1355.0,0.03474
1360.0,0.03475
1365.0,0.03474
1370.0,0.03477
1375.0,0.03479
1380.0,0.03481
1385.0,0.03485
1390.0,0.03487
1395.0,0.03487
1400.0,0.03488
1405.0,0.03494
1410.0,0.03499
1415.0,0.03501
1420.0,0.03501
1425.0,0.03503
1430.0,0.03502
1435.0,0.03508
1440.0,0.03517
1445.0,0.03515
1450.0,0.03519
1455.0,0.03519
1460.0,0.03512
1465.0,0.03509
1470.0,0.03516
