Composition,
Date Added,2020-09-16
Formula,
Grain Size Description,<um
Grain Size,Whole Object
Locality,"David Glacier, Antarctica"
Minimum Wavelength,300
Sample Name,"DAV 92300,20 chip"
Maximum Wavelength,99719
Database of Origin,RELAB
Other Information,CK4
References,
Resolution,4.0
Material class,Rock
Sample Description,
Sample ID,RBKRAMP292
Original Sample ID,MP-TXH-292
Viewing Geometry,Unknown
Wavelength,Response
300.0,0.058132
305.0,0.056607
310.0,0.057341
315.0,0.058475
320.0,0.060564
325.0,0.062715
330.0,0.065638
335.0,0.068808
340.0,0.072397
345.0,0.075359
350.0,0.079191
355.0,0.082159
360.0,0.085892
365.0,0.089222
370.0,0.092159
375.0,0.094822
380.0,0.097842
385.0,0.09985
390.0,0.101709
395.0,0.102867
400.0,0.104282
405.0,0.105545
410.0,0.107245
415.0,0.108543
420.0,0.109662
425.0,0.110589
430.0,0.111503
435.0,0.112117
440.0,0.11246
445.0,0.11265
450.0,0.112575
455.0,0.11278
460.0,0.113225
465.0,0.113867
470.0,0.11408
475.0,0.114833
480.0,0.115226
485.0,0.115628
490.0,0.115909
495.0,0.11603
500.0,0.116553
505.0,0.11706
510.0,0.117366
515.0,0.117522
520.0,0.117809
525.0,0.118027
530.0,0.118131
535.0,0.118251
540.0,0.118438
545.0,0.118565
550.0,0.118796
555.0,0.118762
560.0,0.11885
565.0,0.118769
570.0,0.118748
575.0,0.11874
580.0,0.118771
585.0,0.118877
590.0,0.118808
595.0,0.11871
600.0,0.118511
605.0,0.11862
610.0,0.118609
615.0,0.118235
620.0,0.118296
625.0,0.118263
630.0,0.118008
635.0,0.11803
640.0,0.117929
645.0,0.117894
650.0,0.117671
655.0,0.117701
660.0,0.117733
665.0,0.117745
670.0,0.117803
675.0,0.117805
680.0,0.117828
685.0,0.117844
690.0,0.117793
695.0,0.117712
700.0,0.117671
705.0,0.117582
710.0,0.117435
715.0,0.117376
720.0,0.117182
725.0,0.117052
730.0,0.116873
735.0,0.116811
740.0,0.116562
745.0,0.116381
750.0,0.116099
755.0,0.115754
760.0,0.115427
765.0,0.115329
770.0,0.115071
775.0,0.114539
780.0,0.114335
785.0,0.114042
790.0,0.1138
795.0,0.113377
800.0,0.113138
805.0,0.112788
810.0,0.112517
815.0,0.111887
820.0,0.111264
825.0,0.111369
830.0,0.110726
835.0,0.110738
840.0,0.110202
845.0,0.109472
850.0,0.109348
855.0,0.108913
860.0,0.108613
865.0,0.108209
870.0,0.107881
875.0,0.107555
880.0,0.107197
885.0,0.106842
890.0,0.106501
895.0,0.106145
900.0,0.105795
905.0,0.105477
910.0,0.105155
915.0,0.104806
920.0,0.104502
925.0,0.104111
930.0,0.103838
935.0,0.103465
940.0,0.103093
945.0,0.102713
950.0,0.102305
955.0,0.102042
960.0,0.101641
965.0,0.101278
970.0,0.100925
975.0,0.100519
980.0,0.100076
985.0,0.09972
990.0,0.099386
995.0,0.098975
1000.0,0.09853
1005.0,0.098607
1010.0,0.098241
1015.0,0.097917
1020.0,0.097602
1025.0,0.097315
1030.0,0.09707
1035.0,0.096829
1040.0,0.096631
1045.0,0.096494
1050.0,0.096356
1055.0,0.096269
1060.0,0.096198
1065.0,0.096177
1070.0,0.096192
1075.0,0.096221
1080.0,0.096314
1085.0,0.096461
1090.0,0.096624
1095.0,0.096839
1100.0,0.097028
1105.0,0.09724
1110.0,0.097444
1115.0,0.097604
1120.0,0.09775
1125.0,0.097919
1130.0,0.098095
1135.0,0.098252
1140.0,0.098404
1145.0,0.098521
1150.0,0.098641
1155.0,0.098749
1160.0,0.098832
1165.0,0.098911
1170.0,0.098992
1175.0,0.099061
1180.0,0.099112
1185.0,0.099164
1190.0,0.099208
1195.0,0.099255
1200.0,0.099302
1205.0,0.099324
1210.0,0.099352
1215.0,0.099383
1220.0,0.099421
1225.0,0.099445
1230.0,0.099472
1235.0,0.099486
1240.0,0.099546
1245.0,0.099584
1250.0,0.099629
1255.0,0.099677
1260.0,0.099723
1265.0,0.099776
1270.0,0.099848
1275.0,0.09993
1280.0,0.100015
1285.0,0.100099
1290.0,0.100217
1295.0,0.100319
1300.0,0.100463
1305.0,0.100617
1310.0,0.100755
1315.0,0.10092
1320.0,0.101063
1325.0,0.101168
1330.0,0.101258
1335.0,0.101351
1340.0,0.101437
1345.0,0.101526
1350.0,0.101621
1355.0,0.10171
1360.0,0.101829
1365.0,0.101942
1370.0,0.102025
1375.0,0.102119
1380.0,0.102252
1385.0,0.102433
1390.0,0.102611
1395.0,0.102763
1400.0,0.102909
1405.0,0.103056
1410.0,0.103215
1415.0,0.103356
1420.0,0.103492
1425.0,0.103657
1430.0,0.10383
1435.0,0.103988
1440.0,0.104098
1445.0,0.104212
1450.0,0.104331
1455.0,0.10446
1460.0,0.104581
1465.0,0.104719
1470.0,0.104845
1475.0,0.104959
1480.0,0.105047
1485.0,0.105131
1490.0,0.105196
1495.0,0.105293
1500.0,0.105386
1505.0,0.105478
1510.0,0.105559
1515.0,0.105659
1520.0,0.105736
1525.0,0.105819
1530.0,0.105898
1535.0,0.105977
1540.0,0.106045
1545.0,0.106116
1550.0,0.106196
1555.0,0.10629
1560.0,0.106376
1565.0,0.106447
1570.0,0.106519
1575.0,0.106593
1580.0,0.106667
1585.0,0.106719
1590.0,0.106764
1595.0,0.106831
1600.0,0.106871
1605.0,0.106904
1610.0,0.106929
