Composition,
Date Added,2013-10-22
Formula,
Grain Size Description,<um
Grain Size, - 
Locality,
Minimum Wavelength,833
Sample Name,Pokrovskite chip white coating
Maximum Wavelength,25050
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Mineral
Sample Description,Mars-relevant carbonates
Sample ID,BIR1CB096
Original Sample ID,CB-MSG-096
Viewing Geometry,
Wavelength,Response
833.3,171.81
833.5,171.44
833.6,171.9
833.7,172.84
833.9,173.42
834.0,172.11
834.1,170.4
834.3,170.08
834.4,170.41
834.5,171.68
834.7,172.66
834.8,173.11
835.0,172.84
835.1,171.86
835.2,171.47
835.3,172.33
835.5,173.2
835.6,173.34
835.8,173.05
835.9,171.89
836.0,171.73
836.2,172.35
836.3,171.01
836.4,170.82
836.6,172.57
836.7,172.92
836.8,171.84
837.0,171.82
837.1,173.05
837.2,172.31
837.4,170.74
837.5,170.6
837.6,172.08
837.8,174.33
837.9,174.53
838.0,172.24
838.2,171.4
838.3,171.45
838.5,171.68
838.6,171.13
838.7,171.08
838.9,170.68
839.0,170.7
839.1,170.9
839.3,172.04
839.4,172.15
839.5,171.93
839.7,172.63
839.8,172.26
840.0,171.71
840.1,170.98
840.2,171.02
840.4,170.18
840.5,169.7
840.6,171.37
840.8,172.3
840.9,171.25
841.0,171.57
841.2,171.68
841.3,171.49
841.5,171.02
841.6,170.4
841.7,170.82
841.9,171.37
842.0,171.34
842.1,171.23
842.3,172.03
842.4,171.77
842.5,171.14
842.7,170.93
842.8,170.87
843.0,171.3
843.1,171.77
843.2,170.55
843.4,169.82
843.5,170.58
843.6,170.34
843.8,170.95
843.9,172.13
844.0,171.87
844.2,170.43
844.3,169.73
844.5,170.92
844.6,170.64
844.7,170.84
844.9,171.74
845.0,172.4
845.2,172.43
845.3,171.96
845.4,171.33
845.6,170.93
845.7,170.66
845.8,170.77
846.0,170.98
846.1,171.07
846.3,171.84
846.4,171.07
846.5,170.09
846.7,170.98
846.8,170.74
847.0,171.1
847.1,172.33
847.2,170.81
847.4,168.94
847.5,169.93
847.6,170.67
847.8,169.88
847.9,170.89
848.1,170.8
848.2,170.07
848.3,170.75
848.5,169.45
848.6,169.55
848.8,171.98
848.9,172.33
849.0,171.04
849.2,171.15
849.3,171.03
849.5,170.6
849.6,171.27
849.7,171.39
849.9,171.28
850.0,172.27
850.1,172.31
850.3,172.04
850.4,171.4
850.6,170.13
850.7,169.66
850.8,170.33
851.0,171.16
851.1,171.52
851.3,171.4
851.4,170.91
851.5,169.91
851.7,171.17
851.8,172.14
852.0,171.1
852.1,170.26
852.2,170.19
852.4,170.01
852.5,169.67
852.7,169.84
852.8,170.14
852.9,171.27
853.1,171.28
853.2,170.58
853.4,170.85
853.5,170.46
853.6,170.31
853.8,169.68
853.9,168.97
854.1,168.48
854.2,169.29
854.3,169.75
854.5,169.54
854.6,169.34
854.8,169.91
854.9,169.99
855.0,169.25
855.2,169.37
855.3,170.06
855.5,169.82
855.6,170.01
855.8,170.63
855.9,170.52
856.0,170.43
