Composition,
Date Added,2005-07-15
Formula,
Grain Size Description,<63.0um
Grain Size,0.0 - 63.0
Locality,
Minimum Wavelength,300
Sample Name,Ilmenite-rich basalt 1: 80% basalt + 20% ilmenite
Maximum Wavelength,2600
Database of Origin,ReLab
Other Information,
References,
Resolution,10.0
Material Class,Rock
Sample Description,"Student, Active Mission (MESSENGER)"
Sample ID,CDMR02
Original Sample ID,MR-MSR-002
Viewing Geometry,20.0° / 0.0°
Wavelength,Response
300.0,74.61
310.0,81.44
320.0,83.85
330.0,88.28
340.0,90.95
350.0,93.53
360.0,96.46
370.0,99.59
380.0,102.13
390.0,105.03
400.0,106.75
410.0,108.08
420.0,108.97
430.0,109.97
440.0,110.62
450.0,110.96
460.0,111.43
470.0,111.61
480.0,111.98
490.0,112.26
500.0,112.66
510.0,113.08
520.0,113.53
530.0,114.09
540.0,114.56
550.0,114.97
560.0,115.21
570.0,115.44
580.0,115.56
590.0,115.47
600.0,116.0
610.0,116.42
620.0,117.07
630.0,117.87
640.0,118.6
650.0,119.39
660.0,120.08
670.0,120.85
680.0,121.66
690.0,122.35
700.0,123.11
710.0,123.8
720.0,124.58
730.0,125.38
740.0,126.15
750.0,126.95
760.0,127.6
770.0,128.14
780.0,129.14
790.0,129.79
800.0,130.5
810.0,131.39
820.0,132.16
830.0,133.1
840.0,133.81
850.0,135.09
860.0,135.85
870.0,136.73
880.0,137.17
890.0,137.69
900.0,138.41
910.0,138.23
920.0,139.06
930.0,138.78
940.0,138.58
950.0,138.57
960.0,138.15
970.0,137.83
980.0,137.33
990.0,136.5
1000.0,136.43
1010.0,136.09
1020.0,135.45
1030.0,135.56
1040.0,135.15
1050.0,135.27
1060.0,135.31
1070.0,135.45
1080.0,135.64
1090.0,135.8
1100.0,135.97
1110.0,136.21
1120.0,136.04
1130.0,136.19
1140.0,136.26
1150.0,136.31
1160.0,136.16
1170.0,136.1
1180.0,135.95
1190.0,135.69
1200.0,135.82
1210.0,135.37
1220.0,135.33
1230.0,135.28
1240.0,135.07
1250.0,135.01
1260.0,135.1
1270.0,135.22
1280.0,135.25
1290.0,135.16
1300.0,135.28
1310.0,135.32
1320.0,135.85
1330.0,135.89
1340.0,135.89
1350.0,136.12
1360.0,135.95
1370.0,136.26
1380.0,136.55
1390.0,136.93
1400.0,137.15
1410.0,137.61
1420.0,137.94
1430.0,138.42
1440.0,138.75
1450.0,139.27
1460.0,139.63
1470.0,139.85
1480.0,140.09
1490.0,140.36
1500.0,140.75
1510.0,140.99
1520.0,141.21
1530.0,141.88
1540.0,142.31
1550.0,142.41
1560.0,142.93
1570.0,143.06
1580.0,143.24
1590.0,143.81
1600.0,144.2
1610.0,144.56
1620.0,145.0
1630.0,145.54
1640.0,145.64
1650.0,146.16
1660.0,147.01
1670.0,147.41
1680.0,148.01
1690.0,148.52
1700.0,149.01
1710.0,149.48
1720.0,149.93
1730.0,150.32
1740.0,150.71
1750.0,150.97
1760.0,151.41
1770.0,151.87
1780.0,152.74
1790.0,152.36
1800.0,153.27
1810.0,153.23
1820.0,153.49
1830.0,153.63
1840.0,153.91
1850.0,154.03
1860.0,154.44
1870.0,154.95
1880.0,155.12
1890.0,155.28
1900.0,155.7
1910.0,155.88
1920.0,156.1
1930.0,156.8
1940.0,157.61
1950.0,158.52
1960.0,158.63
1970.0,159.49
1980.0,159.46
1990.0,160.47
2000.0,160.89
2010.0,161.72
2020.0,161.79
2030.0,162.32
2040.0,163.17
2050.0,162.99
2060.0,163.16
2070.0,163.78
2080.0,163.89
2090.0,164.41
2100.0,164.77
2110.0,165.41
2120.0,165.9
2130.0,165.9
2140.0,166.36
2150.0,167.0
2160.0,167.36
2170.0,167.32
2180.0,166.88
2190.0,167.67
2200.0,168.17
2210.0,168.97
2220.0,168.71
2230.0,169.27
2240.0,170.32
2250.0,170.63
2260.0,171.31
2270.0,171.96
2280.0,172.49
2290.0,172.75
2300.0,173.8
2310.0,174.6
2320.0,174.58
2330.0,175.03
2340.0,176.1
2350.0,176.46
2360.0,177.42
2370.0,177.85
2380.0,178.72
2390.0,179.1
2400.0,179.88
2410.0,180.34
2420.0,180.72
2430.0,181.92
2440.0,182.51
2450.0,183.35
2460.0,183.88
2470.0,184.55
2480.0,185.35
2490.0,186.28
2500.0,187.07
2510.0,188.45
2520.0,189.51
2530.0,190.79
2540.0,191.96
2550.0,193.83
2560.0,194.78
2570.0,196.69
2580.0,198.32
2590.0,200.13
2600.0,201.1
