Composition,
Date Added,2011-12-02
Formula,
Grain Size Description,<45.0um
Grain Size,(0.0 - 45.0)
Locality,"Graves Nunataks, Antarctica"
Minimum Wavelength,280
Sample Name,GRA98108 <45 um
Maximum Wavelength,25050
Database of Origin,RELAB
Other Information,Basaltic HED Diogenite Harzburgitic
References,"Beck and McSween (2010) MAPS 45, 850.  Mittlefehldt et al. (2011) in press."
Resolution,4.0
Material class,Rock
Sample Description,Reference for use in the Dawn Mission
Sample ID,BKR1MT169A
Original Sample ID,MT-AWB-169-A
Viewing Geometry,Unknown
Wavelength,Response
280.0,0.2728
285.0,0.19212
290.0,0.15842
295.0,0.14647
300.0,0.14447
305.0,0.14584
310.0,0.1505
315.0,0.15688
320.0,0.16538
325.0,0.17476
330.0,0.18518
335.0,0.19753
340.0,0.21115
345.0,0.226
350.0,0.24052
355.0,0.2557
360.0,0.27227
365.0,0.28948
370.0,0.30564
375.0,0.31982
380.0,0.33279
385.0,0.34619
390.0,0.36121
395.0,0.3706
400.0,0.38232
405.0,0.39324
410.0,0.39989
415.0,0.40496
420.0,0.40997
425.0,0.41186
430.0,0.41631
435.0,0.42237
440.0,0.42805
445.0,0.43544
450.0,0.44477
455.0,0.44862
460.0,0.4548
465.0,0.45947
470.0,0.46469
475.0,0.47125
480.0,0.47644
485.0,0.48281
490.0,0.48918
495.0,0.49483
500.0,0.499
505.0,0.49292
510.0,0.51124
515.0,0.52278
520.0,0.53126
525.0,0.53768
530.0,0.543
535.0,0.54477
540.0,0.54567
545.0,0.54595
550.0,0.54617
555.0,0.54968
560.0,0.55426
565.0,0.55693
570.0,0.55735
575.0,0.55922
580.0,0.55985
585.0,0.56073
590.0,0.56089
595.0,0.5624
600.0,0.56312
605.0,0.56399
610.0,0.56451
615.0,0.56704
620.0,0.56899
625.0,0.56926
630.0,0.57081
635.0,0.57261
640.0,0.57308
645.0,0.57504
650.0,0.57352
655.0,0.57564
660.0,0.57612
665.0,0.57746
670.0,0.5781
675.0,0.57829
680.0,0.57991
685.0,0.58154
690.0,0.58222
695.0,0.58244
700.0,0.58412
705.0,0.58517
710.0,0.58468
715.0,0.58471
720.0,0.58619
725.0,0.58481
730.0,0.58233
735.0,0.58002
740.0,0.5753
745.0,0.57037
750.0,0.56428
755.0,0.55656
760.0,0.54789
765.0,0.53781
770.0,0.52669
775.0,0.51549
780.0,0.50192
785.0,0.48825
790.0,0.4716
795.0,0.45668
800.0,0.43986
805.0,0.42464
810.0,0.40813
815.0,0.39148
820.0,0.37716
825.0,0.36178
830.0,0.34817
835.0,0.33476
840.0,0.3208
845.0,0.30864
850.0,0.29717
855.0,0.28681
860.0,0.27752
865.0,0.26744
870.0,0.26133
875.0,0.25369
880.0,0.2478
885.0,0.24161
890.0,0.23626
895.0,0.2326
900.0,0.22816
905.0,0.22618
910.0,0.2242
915.0,0.22411
920.0,0.22278
925.0,0.2241
930.0,0.22499
935.0,0.2263
