Composition,
Date Added,2013-10-18
Formula,
Grain Size Description,<75.0um
Grain Size,"(0.0, 75.0)"
Locality,"Sandford Cliffs, Antarctica"
Minimum Wavelength,300
Sample Name,"SAN 03472,9 <75 um"
Maximum Wavelength,25050
Database of Origin,RELAB
Other Information,Howardite
References,
Resolution,4.0
Material class,Rock
Sample Description,Howardite ground and sieved powder for Dawn mission
Sample ID,BKR1MT258A
Original Sample ID,MT-D2M-258-A
Viewing Geometry,unknown
Wavelength,Response
300.0,0.08278
305.0,0.07943
310.0,0.07846
315.0,0.07811
320.0,0.07905
325.0,0.07978
330.0,0.08152
335.0,0.08323
340.0,0.08599
345.0,0.08789
350.0,0.0893
355.0,0.09093
360.0,0.09397
365.0,0.098
370.0,0.10249
375.0,0.10778
380.0,0.11357
385.0,0.12012
390.0,0.12806
395.0,0.13424
400.0,0.14145
405.0,0.14608
410.0,0.15116
415.0,0.15642
420.0,0.16234
425.0,0.1673
430.0,0.17399
435.0,0.18151
440.0,0.18897
445.0,0.19596
450.0,0.20074
455.0,0.20423
460.0,0.20714
465.0,0.20918
470.0,0.21091
475.0,0.21334
480.0,0.21582
485.0,0.21977
490.0,0.2239
495.0,0.22961
500.0,0.23509
505.0,0.23911
510.0,0.24666
515.0,0.25576
520.0,0.26321
525.0,0.27074
530.0,0.2776
535.0,0.28463
540.0,0.29026
545.0,0.29518
550.0,0.29948
555.0,0.30598
560.0,0.31037
565.0,0.31433
570.0,0.31763
575.0,0.32105
580.0,0.32329
585.0,0.32631
590.0,0.32801
595.0,0.33058
600.0,0.33216
605.0,0.33457
610.0,0.33636
615.0,0.33905
620.0,0.34075
625.0,0.34303
630.0,0.34503
635.0,0.34742
640.0,0.34945
645.0,0.35187
650.0,0.35314
655.0,0.35572
660.0,0.3569
665.0,0.35914
670.0,0.36065
675.0,0.36242
680.0,0.36484
685.0,0.36655
690.0,0.36849
695.0,0.3709
700.0,0.37279
705.0,0.37511
710.0,0.37682
715.0,0.3791
720.0,0.38057
725.0,0.38236
730.0,0.38297
735.0,0.38479
740.0,0.38466
745.0,0.38546
750.0,0.38404
755.0,0.38351
760.0,0.38154
765.0,0.37956
770.0,0.37631
775.0,0.37316
780.0,0.3688
785.0,0.36396
790.0,0.3578
795.0,0.35199
800.0,0.34452
805.0,0.33722
810.0,0.32946
815.0,0.32145
820.0,0.31295
825.0,0.30468
830.0,0.29621
835.0,0.28868
840.0,0.28058
845.0,0.27319
850.0,0.26571
855.0,0.25981
860.0,0.25321
865.0,0.24728
870.0,0.24141
875.0,0.23659
880.0,0.23036
885.0,0.22614
890.0,0.22236
895.0,0.21891
900.0,0.21615
905.0,0.21503
910.0,0.21344
915.0,0.21209
920.0,0.21105
925.0,0.21042
930.0,0.21051
935.0,0.21083
940.0,0.21183
945.0,0.21258
950.0,0.21441
955.0,0.21687
960.0,0.21945
965.0,0.22398
970.0,0.227
975.0,0.23205
980.0,0.23755
985.0,0.24271
990.0,0.24922
995.0,0.2553
1000.0,0.26224
1005.0,0.26874
1010.0,0.2765
1015.0,0.284
1020.0,0.29211
1025.0,0.29924
1030.0,0.30697
1035.0,0.31466
1040.0,0.32099
1045.0,0.32915
1050.0,0.33574
1055.0,0.34099
1060.0,0.34786
1065.0,0.35468
1070.0,0.36004
1075.0,0.36603
1080.0,0.37182
1085.0,0.37516
1090.0,0.38046
1095.0,0.38516
1100.0,0.38875
1105.0,0.3926
1110.0,0.39507
1115.0,0.39948
1120.0,0.40087
1125.0,0.40438
1130.0,0.40609
1135.0,0.40801
1140.0,0.40918
1145.0,0.41093
1150.0,0.4121
1155.0,0.41297
1160.0,0.41409
1165.0,0.41469
1170.0,0.41608
1175.0,0.4163
1180.0,0.4173
1185.0,0.41852
1190.0,0.41819
1195.0,0.41932
1200.0,0.41919
1205.0,0.42104
1210.0,0.42155
1215.0,0.42166
1220.0,0.42169
1225.0,0.42277
1230.0,0.42289
1235.0,0.42374
1240.0,0.4245
1245.0,0.4252
1250.0,0.42591
1255.0,0.42664
1260.0,0.42692
