Composition,
Date Added,2014-06-10
Formula,
Grain Size Description,<35.0um
Grain Size,(0.0 - 35.0)
Locality,"Allan Hills, Antarctica"
Minimum Wavelength,320
Sample Name,ALH 83100 (CM1/2) <35 um
Maximum Wavelength,2550
Database of Origin,RELAB
Other Information,CM1/2
References,
Resolution,5.0
Material class,Rock
Sample Description,"Fo 100: 4.9, Fo 90: 3.8 vol%"
Sample ID,C2MT222
Original Sample ID,MT-JMS-222
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
320.0,0.02543
325.0,0.02555
330.0,0.02589
335.0,0.02639
340.0,0.02678
345.0,0.02743
350.0,0.02803
355.0,0.02883
360.0,0.02956
365.0,0.03043
370.0,0.03158
375.0,0.03274
380.0,0.03412
385.0,0.03538
390.0,0.0367
395.0,0.03802
400.0,0.03927
405.0,0.04001
410.0,0.04093
415.0,0.04206
420.0,0.04322
425.0,0.04411
430.0,0.04561
435.0,0.04643
440.0,0.04773
445.0,0.04843
450.0,0.04951
455.0,0.05018
460.0,0.05106
465.0,0.05175
470.0,0.05262
475.0,0.05345
480.0,0.05451
485.0,0.05528
490.0,0.05596
495.0,0.0569
500.0,0.05768
505.0,0.05865
510.0,0.05969
515.0,0.06054
520.0,0.06111
525.0,0.06208
530.0,0.0625
535.0,0.06277
540.0,0.06325
545.0,0.06373
550.0,0.06406
555.0,0.06464
560.0,0.06485
565.0,0.06519
570.0,0.06537
575.0,0.06548
580.0,0.06565
585.0,0.06581
590.0,0.06585
595.0,0.06578
600.0,0.06575
605.0,0.06575
610.0,0.06565
615.0,0.06557
620.0,0.06554
625.0,0.06537
630.0,0.06522
635.0,0.06511
640.0,0.06497
645.0,0.06482
650.0,0.06469
655.0,0.06458
660.0,0.06437
665.0,0.06423
670.0,0.06412
675.0,0.06407
680.0,0.064
685.0,0.06391
690.0,0.0639
695.0,0.06385
700.0,0.06381
705.0,0.06385
710.0,0.06388
715.0,0.06395
720.0,0.06407
725.0,0.06416
730.0,0.06425
735.0,0.06442
740.0,0.06467
745.0,0.06479
750.0,0.06495
755.0,0.06514
760.0,0.06516
765.0,0.06561
770.0,0.06596
775.0,0.06627
780.0,0.06658
785.0,0.06685
790.0,0.06716
795.0,0.06737
800.0,0.06773
805.0,0.06799
810.0,0.06825
815.0,0.06847
820.0,0.06878
825.0,0.06894
830.0,0.06919
835.0,0.06934
840.0,0.06941
845.0,0.06942
850.0,0.06921
855.0,0.06931
860.0,0.06941
865.0,0.06948
