Composition,
Date Added,2009-09-09
Formula,
Grain Size Description,<0.0um
Grain Size,Whole Object
Locality,"Allende, Mexico"
Minimum Wavelength,280
Sample Name,Allende dark inclusion MZA chip face B (dark smooth face)
Maximum Wavelength,25050
Database of Origin,RELAB
Other Information,CV3 Dark Inclusion
References,
Resolution,4.0
Material class,Rock
Sample Description,
Sample ID,BKR1MT104B
Original Sample ID,MT-MEZ-104-B
Viewing Geometry,Unknown
Wavelength,Response
280.0,0.06139
285.0,0.05624
290.0,0.05399
295.0,0.05289
300.0,0.05319
305.0,0.05308
310.0,0.05383
315.0,0.05534
320.0,0.05735
325.0,0.05899
330.0,0.06068
335.0,0.0622
340.0,0.06358
345.0,0.0648
350.0,0.06589
355.0,0.06735
360.0,0.06872
365.0,0.07006
370.0,0.07149
375.0,0.07288
380.0,0.07424
385.0,0.07549
390.0,0.07698
395.0,0.07795
400.0,0.07827
405.0,0.07896
410.0,0.07963
415.0,0.08056
420.0,0.08132
425.0,0.08267
430.0,0.08339
435.0,0.08397
440.0,0.08452
445.0,0.08459
450.0,0.08473
455.0,0.08485
460.0,0.08504
465.0,0.0855
470.0,0.08599
475.0,0.08639
480.0,0.08692
485.0,0.08751
490.0,0.08768
495.0,0.08788
500.0,0.08829
505.0,0.08852
510.0,0.08871
515.0,0.08875
520.0,0.08884
525.0,0.089
530.0,0.08925
535.0,0.08928
540.0,0.08957
545.0,0.08971
550.0,0.08981
555.0,0.09009
560.0,0.09028
565.0,0.09038
570.0,0.09055
575.0,0.09058
580.0,0.09059
585.0,0.09065
590.0,0.09059
595.0,0.09047
600.0,0.09016
605.0,0.08993
610.0,0.08991
615.0,0.08973
620.0,0.08957
625.0,0.08962
630.0,0.0897
635.0,0.08979
640.0,0.08974
645.0,0.08994
650.0,0.08995
655.0,0.08994
660.0,0.08968
665.0,0.08955
670.0,0.0896
675.0,0.08957
680.0,0.08958
685.0,0.08945
690.0,0.08941
695.0,0.08885
700.0,0.08899
