Composition,
Date Added,2015-04-06
Formula,
Grain Size Description,<45.0um
Grain Size,(0.0 - 45.0)
Locality,"Lewis Cliff, Antarctica"
Minimum Wavelength,300
Sample Name,"LEW85339,10 (L3.4) <45 um"
Maximum Wavelength,25050
Database of Origin,RELAB
Other Information,L3.4
References,
Resolution,4.0
Material class,Rock
Sample Description,Asteroid-meteorite connection (NASA-F)
Sample ID,BKR1MT181A
Original Sample ID,MT-PFV-181-A
Viewing Geometry,Unknown
Wavelength,Response
300.0,0.054
305.0,0.05387
310.0,0.05486
315.0,0.05628
320.0,0.0578
325.0,0.05959
330.0,0.06148
335.0,0.06373
340.0,0.06572
345.0,0.06766
350.0,0.06935
355.0,0.07156
360.0,0.07482
365.0,0.07756
370.0,0.08077
375.0,0.08361
380.0,0.08686
385.0,0.08979
390.0,0.09305
395.0,0.09607
400.0,0.09921
405.0,0.10234
410.0,0.10438
415.0,0.1076
420.0,0.11057
425.0,0.11407
430.0,0.11756
435.0,0.1225
440.0,0.12454
445.0,0.12693
450.0,0.12867
455.0,0.12955
460.0,0.13288
465.0,0.13464
470.0,0.13668
475.0,0.13778
480.0,0.13787
485.0,0.14183
490.0,0.14636
495.0,0.14706
500.0,0.14851
505.0,0.15335
510.0,0.15838
515.0,0.16046
520.0,0.16375
525.0,0.16674
530.0,0.17007
535.0,0.17334
540.0,0.1756
545.0,0.17851
550.0,0.18063
555.0,0.18314
560.0,0.1853
565.0,0.18815
570.0,0.18931
575.0,0.19135
580.0,0.19267
585.0,0.19452
590.0,0.19563
595.0,0.19562
600.0,0.19676
605.0,0.1972
610.0,0.19887
615.0,0.19984
620.0,0.20116
625.0,0.20226
630.0,0.20378
635.0,0.20457
640.0,0.20536
645.0,0.20617
650.0,0.20597
655.0,0.20623
660.0,0.20759
665.0,0.2086
670.0,0.20953
675.0,0.21084
680.0,0.21153
685.0,0.21193
690.0,0.21216
695.0,0.21276
700.0,0.21309
705.0,0.21341
710.0,0.21318
715.0,0.21323
720.0,0.21329
725.0,0.21319
730.0,0.21371
735.0,0.21373
740.0,0.21363
745.0,0.21363
750.0,0.21352
755.0,0.21353
760.0,0.21325
765.0,0.21316
770.0,0.21277
775.0,0.21256
780.0,0.21186
785.0,0.21128
790.0,0.2106
795.0,0.20963
800.0,0.21008
805.0,0.20883
810.0,0.20803
815.0,0.20684
820.0,0.20584
825.0,0.20451
830.0,0.20322
835.0,0.20196
840.0,0.201
840.2,0.20113
840.4,0.20176
840.5,0.20265
840.6,0.20299
840.8,0.20097
840.9,0.19983
841.0,0.1998
841.2,0.19948
841.3,0.19893
841.5,0.19971
841.6,0.20035
841.7,0.20085
841.9,0.20147
842.0,0.20112
842.1,0.20054
842.3,0.20124
842.4,0.20158
842.5,0.20025
842.7,0.20005
842.8,0.19947
843.0,0.19903
843.1,0.1999
843.2,0.19982
843.4,0.19991
843.5,0.20035
843.6,0.19925
843.8,0.19963
843.9,0.20029
844.0,0.19956
844.2,0.19956
844.3,0.1989
844.5,0.19775
844.6,0.199
844.7,0.20059
844.9,0.20103
845.0,0.20158
845.2,0.20064
845.3,0.2011
845.4,0.20226
845.6,0.20072
845.7,0.19941
845.8,0.19874
846.0,0.19936
846.1,0.20023
846.3,0.19994
846.4,0.19948
846.5,0.19898
846.7,0.19826
846.8,0.19868
847.0,0.19945
847.1,0.19938
847.2,0.20012
847.4,0.20078
847.5,0.20065
847.6,0.20015
847.8,0.20057
847.9,0.20077
848.1,0.20008
848.2,0.19824
848.3,0.1985
848.5,0.19902
848.6,0.19856
848.8,0.199
848.9,0.19941
849.0,0.19884
