Composition,
Date Added,2010-11-10
Formula,
Grain Size Description,<25.0um
Grain Size,(0.0 - 25.0)
Locality,"Lewis Cliff, Antarctica"
Minimum Wavelength,280
Sample Name,"LEW88180,27 (EH5) <25 um"
Maximum Wavelength,2600
Database of Origin,RELAB
Other Information,EH5
References,
Resolution,5.0
Material class,Rock
Sample Description,Asteroid-meteorite connection (NASA-F)
Sample ID,C1MT123B
Original Sample ID,MT-PFV-123-B
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
280.0,0.05246
285.0,0.04712
290.0,0.04336
295.0,0.04269
300.0,0.04226
305.0,0.04175
310.0,0.04175
315.0,0.04252
320.0,0.04299
325.0,0.04377
330.0,0.04411
335.0,0.04444
340.0,0.04499
345.0,0.0451
350.0,0.04558
355.0,0.04618
360.0,0.04719
365.0,0.04794
370.0,0.04894
375.0,0.04996
380.0,0.05109
385.0,0.05211
390.0,0.05349
395.0,0.05462
400.0,0.05589
405.0,0.05683
410.0,0.05785
415.0,0.05897
420.0,0.06005
425.0,0.06116
430.0,0.06244
435.0,0.06368
440.0,0.06483
445.0,0.0659
450.0,0.06713
455.0,0.06785
460.0,0.06881
465.0,0.06962
470.0,0.07041
475.0,0.0712
480.0,0.07215
485.0,0.07295
490.0,0.07415
495.0,0.07514
500.0,0.07631
505.0,0.0773
510.0,0.0786
515.0,0.07983
520.0,0.08081
525.0,0.08215
530.0,0.08328
535.0,0.08429
540.0,0.08556
545.0,0.08647
550.0,0.08751
555.0,0.08857
560.0,0.08955
565.0,0.09017
570.0,0.09126
575.0,0.09209
580.0,0.09257
585.0,0.09338
590.0,0.09402
595.0,0.09459
600.0,0.09521
605.0,0.09567
610.0,0.09631
615.0,0.09674
620.0,0.09729
625.0,0.0975
630.0,0.09813
635.0,0.09838
640.0,0.09868
645.0,0.09911
650.0,0.09933
655.0,0.09961
660.0,0.09994
665.0,0.10018
670.0,0.10086
675.0,0.10127
680.0,0.10195
685.0,0.10217
690.0,0.1026
695.0,0.10272
700.0,0.10305
705.0,0.10322
710.0,0.10327
715.0,0.10327
720.0,0.10346
725.0,0.10349
730.0,0.10367
735.0,0.10368
740.0,0.10385
745.0,0.10383
750.0,0.10406
755.0,0.10397
760.0,0.10413
765.0,0.10412
770.0,0.10426
775.0,0.10418
780.0,0.10441
785.0,0.10442
790.0,0.1045
795.0,0.10446
800.0,0.1043
805.0,0.10438
810.0,0.1045
815.0,0.10478
820.0,0.10472
825.0,0.10482
830.0,0.10512
835.0,0.1052
840.0,0.10525
845.0,0.10546
850.0,0.10567
855.0,0.10594
860.0,0.10594
865.0,0.10619
870.0,0.10629
875.0,0.10635
880.0,0.10649
885.0,0.10658
890.0,0.10666
895.0,0.10675
900.0,0.10706
905.0,0.10735
910.0,0.10776
915.0,0.10813
920.0,0.10843
925.0,0.10875
930.0,0.10907
935.0,0.10926
940.0,0.10933
945.0,0.10962
950.0,0.1097
955.0,0.10966
960.0,0.10963
965.0,0.10971
970.0,0.10961
975.0,0.10963
980.0,0.10959
985.0,0.10964
990.0,0.10959
995.0,0.10962
1000.0,0.10963
1005.0,0.10972
1010.0,0.10981
1015.0,0.11
1020.0,0.10996
1025.0,0.11012
1030.0,0.11023
1035.0,0.11028
1040.0,0.11025
1045.0,0.11033
1050.0,0.11031
1055.0,0.1103
1060.0,0.11032
1065.0,0.11041
1070.0,0.11043
1075.0,0.11063
1080.0,0.1107
1085.0,0.11095
1090.0,0.1109
1095.0,0.11086
1100.0,0.11092
1105.0,0.11098
1110.0,0.11096
1115.0,0.11096
1120.0,0.11109
1125.0,0.11119
1130.0,0.11133
1135.0,0.11173
1140.0,0.1119
1145.0,0.11175
1150.0,0.11183
1155.0,0.11201
1160.0,0.112
1165.0,0.112
1170.0,0.11209
1175.0,0.11215
1180.0,0.11225
1185.0,0.11243
1190.0,0.11248
1195.0,0.11276
1200.0,0.11264
1205.0,0.11252
1210.0,0.1126
1215.0,0.11283
1220.0,0.11299
1225.0,0.11335
1230.0,0.1133
1235.0,0.11322
1240.0,0.11338
1245.0,0.1137
1250.0,0.1137
1255.0,0.11336
1260.0,0.11336
1265.0,0.11345
1270.0,0.11355
1275.0,0.11359
1280.0,0.11378
1285.0,0.11385
1290.0,0.11392
1295.0,0.11399
1300.0,0.11406
1305.0,0.11411
1310.0,0.11426
1315.0,0.11415
1320.0,0.11432
1325.0,0.11429
1330.0,0.11444
1335.0,0.11441
1340.0,0.11451
1345.0,0.11443
1350.0,0.11456
1355.0,0.11449
1360.0,0.11464
