Composition,
Date Added,2011-12-09
Formula,
Grain Size Description,<45.0um
Grain Size,"(0.0, 45.0)"
Locality,"Meteorite Hills, Antarctica"
Minimum Wavelength,280
Sample Name,"MET96503,25 (L3.6) <45 um"
Maximum Wavelength,2600
Database of Origin,RELAB
Other Information,L3.6
References,
Resolution,5.0
Material class,Rock
Sample Description,Asteroid-meteorite connection (NASA-F)
Sample ID,C1MT152A
Original Sample ID,MT-PFV-152-A
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
280.0,0.07571
285.0,0.05144
290.0,0.04443
295.0,0.04193
300.0,0.04026
305.0,0.03989
310.0,0.04009
315.0,0.04018
320.0,0.0408
325.0,0.04148
330.0,0.04238
335.0,0.04288
340.0,0.04373
345.0,0.04452
350.0,0.0451
355.0,0.04592
360.0,0.04693
365.0,0.04838
370.0,0.04984
375.0,0.05157
380.0,0.05331
385.0,0.05542
390.0,0.05824
395.0,0.06034
400.0,0.06288
405.0,0.06473
410.0,0.06655
415.0,0.06866
420.0,0.07131
425.0,0.07338
430.0,0.07598
435.0,0.07961
440.0,0.08247
445.0,0.08507
450.0,0.08714
455.0,0.08907
460.0,0.09083
465.0,0.09181
470.0,0.0931
475.0,0.09438
480.0,0.09604
485.0,0.09802
490.0,0.10026
495.0,0.10269
500.0,0.10609
505.0,0.10902
510.0,0.11349
515.0,0.11786
520.0,0.12198
525.0,0.12686
530.0,0.13117
535.0,0.13601
540.0,0.14038
545.0,0.14389
550.0,0.14788
555.0,0.15187
560.0,0.15493
565.0,0.15725
570.0,0.15962
575.0,0.16186
580.0,0.16369
585.0,0.16562
590.0,0.16694
595.0,0.16781
600.0,0.16886
605.0,0.16966
610.0,0.17125
615.0,0.17162
620.0,0.17146
625.0,0.17219
630.0,0.17267
635.0,0.17318
640.0,0.17331
645.0,0.17425
650.0,0.17442
655.0,0.17488
660.0,0.17525
665.0,0.17568
670.0,0.17646
675.0,0.17709
680.0,0.17728
685.0,0.17792
690.0,0.17831
695.0,0.1787
700.0,0.17886
705.0,0.17928
710.0,0.17945
715.0,0.17957
720.0,0.17988
725.0,0.18006
730.0,0.18024
735.0,0.18056
740.0,0.18004
745.0,0.18026
750.0,0.18044
755.0,0.18021
760.0,0.18047
765.0,0.18067
770.0,0.18046
775.0,0.18029
780.0,0.17994
785.0,0.1797
790.0,0.17961
795.0,0.17921
800.0,0.17836
805.0,0.17801
810.0,0.17743
815.0,0.17717
820.0,0.17677
825.0,0.17604
830.0,0.17529
835.0,0.17499
840.0,0.17423
845.0,0.17348
850.0,0.17283
855.0,0.17224
860.0,0.17141
865.0,0.17081
870.0,0.17014
875.0,0.16948
880.0,0.16919
885.0,0.16869
890.0,0.16811
895.0,0.16764
900.0,0.16734
905.0,0.16701
910.0,0.16693
915.0,0.16681
920.0,0.16683
925.0,0.16684
930.0,0.16702
935.0,0.16682
940.0,0.16706
945.0,0.16731
950.0,0.16762
955.0,0.16793
960.0,0.168
965.0,0.16774
970.0,0.16825
975.0,0.16846
980.0,0.16896
985.0,0.16901
990.0,0.16927
995.0,0.16957
1000.0,0.16998
1005.0,0.17043
1010.0,0.17093
1015.0,0.17107
1020.0,0.17114
1025.0,0.17154
1030.0,0.1724
1035.0,0.17251
1040.0,0.17295
1045.0,0.17361
1050.0,0.17315
1055.0,0.17429
1060.0,0.17418
1065.0,0.17497
1070.0,0.17527
1075.0,0.17636
1080.0,0.17645
1085.0,0.17679
1090.0,0.17829
1095.0,0.1782
1100.0,0.17858
1105.0,0.17878
1110.0,0.17904
1115.0,0.17991
1120.0,0.18027
1125.0,0.18028
1130.0,0.18141
1135.0,0.18114
1140.0,0.18117
1145.0,0.1824
1150.0,0.18212
1155.0,0.1822
1160.0,0.18229
1165.0,0.18268
1170.0,0.18315
1175.0,0.18329
1180.0,0.18391
1185.0,0.18347
1190.0,0.18375
1195.0,0.18472
1200.0,0.18451
1205.0,0.18425
1210.0,0.18421
1215.0,0.18448
1220.0,0.18516
1225.0,0.18478
1230.0,0.18489
1235.0,0.18447
1240.0,0.18452
1245.0,0.18519
1250.0,0.18545
1255.0,0.18564
1260.0,0.18585
1265.0,0.18606
1270.0,0.18624
1275.0,0.18628
1280.0,0.18628
1285.0,0.18597
1290.0,0.18623
1295.0,0.18636
1300.0,0.18677
1305.0,0.18674
1310.0,0.18722
1315.0,0.18727
1320.0,0.18728
1325.0,0.18748
1330.0,0.1877
1335.0,0.18786
1340.0,0.18796
1345.0,0.18808
1350.0,0.18818
1355.0,0.18809
1360.0,0.18828
1365.0,0.18853
1370.0,0.18874
1375.0,0.18897
1380.0,0.18922
1385.0,0.1895
1390.0,0.18964
1395.0,0.18974
1400.0,0.18986
1405.0,0.18999
1410.0,0.19029
1415.0,0.19046
1420.0,0.19066
1425.0,0.19052
1430.0,0.19133
1435.0,0.1906
1440.0,0.19101
1445.0,0.19117
1450.0,0.1912
1455.0,0.19159
1460.0,0.19168
1465.0,0.19191
1470.0,0.19104
1475.0,0.19154
1480.0,0.19157
1485.0,0.19154
1490.0,0.19238
1495.0,0.19229
1500.0,0.19237
1505.0,0.19246
1510.0,0.19259
1515.0,0.1927
1520.0,0.19274
1525.0,0.19289
1530.0,0.19286
1535.0,0.19298
1540.0,0.19281
1545.0,0.1929
1550.0,0.19228
1555.0,0.19272
1560.0,0.19266
1565.0,0.19257
1570.0,0.1934
1575.0,0.19318
1580.0,0.19297
1585.0,0.19321
1590.0,0.19259
1595.0,0.19241
1600.0,0.19264
1605.0,0.19292
1610.0,0.1928
1615.0,0.19287
1620.0,0.19273
1625.0,0.19248
1630.0,0.1921
1635.0,0.19223
1640.0,0.19294
1645.0,0.1925
1650.0,0.19262
1655.0,0.19252
1660.0,0.19271
1665.0,0.19253
1670.0,0.19275
1675.0,0.19273
1680.0,0.19233
1685.0,0.19229
1690.0,0.19252
1695.0,0.19207
1700.0,0.19224
1705.0,0.19189
1710.0,0.1921
1715.0,0.19237
1720.0,0.19213
1725.0,0.19192
1730.0,0.19161
1735.0,0.19153
1740.0,0.19158
1745.0,0.19154
1750.0,0.19148
1755.0,0.19146
1760.0,0.19138
1765.0,0.19102
1770.0,0.19112
1775.0,0.19102
1780.0,0.19085
1785.0,0.19099
1790.0,0.19107
1795.0,0.19073
1800.0,0.19104
1805.0,0.19072
1810.0,0.19053
1815.0,0.19071
1820.0,0.19028
1825.0,0.19075
1830.0,0.19047
1835.0,0.19046
1840.0,0.19079
1845.0,0.19057
1850.0,0.19091
1855.0,0.19011
1860.0,0.18944
1865.0,0.18991
1870.0,0.19008
1875.0,0.19
1880.0,0.18982
1885.0,0.19024
1890.0,0.1894
1895.0,0.18932
1900.0,0.18911
1905.0,0.18894
1910.0,0.1894
1915.0,0.18917
1920.0,0.1892
1925.0,0.18867
1930.0,0.18815
1935.0,0.18863
1940.0,0.18878
1945.0,0.18914
1950.0,0.18849
1955.0,0.18821
1960.0,0.18863
1965.0,0.18921
1970.0,0.18872
1975.0,0.1888
1980.0,0.18854
1985.0,0.18935
1990.0,0.18946
1995.0,0.18861
2000.0,0.18864
2005.0,0.18921
2010.0,0.18969
2015.0,0.18982
2020.0,0.18952
2025.0,0.18972
2030.0,0.18904
2035.0,0.18943
2040.0,0.18943
2045.0,0.18952
2050.0,0.18957
2055.0,0.18997
2060.0,0.19075
2065.0,0.19027
2070.0,0.19065
2075.0,0.19058
2080.0,0.18993
2085.0,0.19042
2090.0,0.19021
2095.0,0.19062
2100.0,0.19085
2105.0,0.19034
2110.0,0.1907
2115.0,0.19039
2120.0,0.19065
2125.0,0.19087
2130.0,0.19064
2135.0,0.19107
2140.0,0.19097
2145.0,0.19096
2150.0,0.19099
2155.0,0.19113
2160.0,0.19153
2165.0,0.19139
2170.0,0.19176
2175.0,0.19195
2180.0,0.19188
2185.0,0.19226
2190.0,0.1918
2195.0,0.1924
2200.0,0.19201
2205.0,0.19218
2210.0,0.19186
2215.0,0.19226
2220.0,0.19274
2225.0,0.19274
2230.0,0.19257
2235.0,0.19247
2240.0,0.19254
2245.0,0.19278
2250.0,0.19255
2255.0,0.19254
2260.0,0.1927
2265.0,0.19261
2270.0,0.19281
2275.0,0.19297
2280.0,0.19302
2285.0,0.19327
2290.0,0.19315
2295.0,0.19298
2300.0,0.19296
2305.0,0.19248
2310.0,0.1926
2315.0,0.19258
2320.0,0.19233
2325.0,0.19266
2330.0,0.19235
2335.0,0.19249
2340.0,0.19301
2345.0,0.19247
2350.0,0.19285
2355.0,0.19177
2360.0,0.19236
2365.0,0.19209
2370.0,0.19212
2375.0,0.19234
2380.0,0.19203
2385.0,0.19249
2390.0,0.19241
2395.0,0.19281
2400.0,0.19283
2405.0,0.19256
2410.0,0.19288
2415.0,0.19279
2420.0,0.19338
2425.0,0.19257
2430.0,0.19262
2435.0,0.19254
2440.0,0.19235
2445.0,0.19222
2450.0,0.19254
2455.0,0.19235
2460.0,0.1925
2465.0,0.19291
2470.0,0.19221
2475.0,0.19229
2480.0,0.19315
2485.0,0.19278
2490.0,0.19228
2495.0,0.19243
2500.0,0.19171
2505.0,0.1919
2510.0,0.19233
2515.0,0.19179
2520.0,0.19193
2525.0,0.19193
2530.0,0.19151
2535.0,0.19241
2540.0,0.19218
2545.0,0.19224
2550.0,0.1918
2555.0,0.19194
2560.0,0.19203
2565.0,0.19176
2570.0,0.19162
2575.0,0.19199
2580.0,0.19183
2585.0,0.19237
2590.0,0.1919
2595.0,0.19165
2600.0,0.19279
